Date,Open,High,Low,Close,Volume
10/1/2012,98.9,102.6,92.0,100.9,39900
10/2/2012,103.0,107.4,101.0,102.5,31600
10/3/2012,105.0,105.0,96.0,97.3,9600
10/4/2012,94.5,100.0,94.5,97.1,4000
10/7/2012,95.8,96.9,93.2,94.4,7200
10/8/2012,92.0,95.5,92.0,92.7,7000
10/9/2012,94.3,94.5,93.0,93.8,3400
10/10/2012,92.5,93.2,92.3,92.5,6300
10/11/2012,91.1,93.0,90.3,90.9,12100
10/14/2012,90.1,93.5,88.6,90.4,2300
10/15/2012,90.0,91.0,89.5,90.1,4000
10/16/2012,90.1,91.2,90.1,90.7,600
10/17/2012,91.0,91.1,90.0,90.6,1600
10/18/2012,90.8,90.8,88.3,88.8,3700
10/21/2012,88.1,89.2,88.1,88.8,2800
10/22/2012,91.0,91.0,90.0,90.6,1600
10/23/2012,90.5,91.0,90.2,90.6,2700
10/30/2012,89.5,89.6,89.5,89.5,2500
10/31/2012,88.1,91.4,88.1,89.5,3900
11/1/2012,90.0,92.2,90.0,90.8,1600
11/4/2012,90.4,90.4,89.0,89.8,1500
11/5/2012,89.7,91.9,89.5,89.9,1200
11/6/2012,89.5,89.6,89.5,89.5,500
11/7/2012,84.0,88.2,84.0,87.6,1100
11/8/2012,87.6,92.0,87.0,89.6,1900
11/11/2012,88.0,89.5,86.6,87.9,1400
11/12/2012,88.0,90.0,88.0,88.1,1500
11/13/2012,88.1,89.7,88.1,89.2,1300
11/14/2012,86.6,86.6,86.5,86.5,300
11/15/2012,91.6,91.6,88.0,89.4,1400
11/18/2012,89.5,89.5,88.2,88.8,800
11/19/2012,86.2,88.5,86.2,87.2,2700
11/20/2012,85.0,85.0,84.0,84.5,2000
11/21/2012,85.0,85.0,84.5,84.5,2100
11/22/2012,84.3,85.0,83.7,84.0,1600
11/26/2012,85.0,85.0,80.8,81.8,1100
11/27/2012,82.0,83.4,82.0,82.3,400
11/28/2012,81.0,81.0,81.0,81.0,100
11/29/2012,83.2,84.0,83.0,83.3,3300
12/2/2012,83.3,83.3,83.0,83.1,300
12/3/2012,80.0,80.3,80.0,80.1,500
12/4/2012,81.9,82.0,81.1,81.9,2300
12/5/2012,76.0,80.3,76.0,78.4,500
12/6/2012,81.0,82.0,81.0,81.1,2000
12/9/2012,80.8,81.8,80.6,80.8,1200
12/10/2012,82.9,82.9,80.8,81.4,500
12/11/2012,82.0,82.0,80.2,81.6,2700
12/12/2012,82.5,82.5,80.6,81.2,5300
12/13/2012,82.5,82.6,81.4,82.2,3000
12/17/2012,81.3,84.0,81.3,83.2,3000
12/18/2012,81.8,82.5,80.0,81.4,2400
12/19/2012,80.3,82.1,80.0,81.7,6000
12/20/2012,82.1,86.3,82.1,84.3,2200
12/23/2012,82.0,82.3,82.0,82.0,600
12/24/2012,80.2,84.9,80.2,84.5,3600
12/26/2012,84.0,87.5,84.0,86.5,4400
12/27/2012,84.0,84.0,84.0,84.0,100
12/30/2012,84.4,84.9,84.1,84.1,2200
1/1/2013,88.2,88.2,85.8,86.7,3900
1/2/2013,85.5,87.3,85.5,86.0,700
1/3/2013,87.9,88.2,86.9,87.8,3400
1/6/2013,85.7,88.4,85.7,87.3,3700
1/7/2013,84.5,88.0,84.5,87.1,2600
1/8/2013,87.0,87.9,86.1,86.7,1900
