Date,Open,High,Low,Close,Volume
10/18/2018,33.0,44.9,32.0,44.3,8559274
10/21/2018,45.1,47.5,38.2,38.8,1694262
10/22/2018,36.8,38.9,35.0,35.0,4037529
10/23/2018,34.7,35.9,32.6,33.0,1970279
10/24/2018,33.2,33.6,30.7,31.1,2115868
10/25/2018,31.5,34.0,31.1,33.0,1786755
10/28/2018,33.0,33.0,28.8,29.1,1866198
10/29/2018,29.2,29.8,28.1,29.6,1549696
10/30/2018,29.9,32.5,29.8,32.4,1930457
10/31/2018,32.5,33.5,31.4,33.0,2078242
11/1/2018,33.1,34.4,32.0,32.4,1739773
11/4/2018,32.5,35.4,32.5,35.0,2216277
11/5/2018,35.4,35.9,31.5,32.0,1787459
11/6/2018,32.0,32.7,31.2,31.9,1189568
11/7/2018,32.2,33.8,32.2,33.2,1773261
11/8/2018,33.4,35.4,33.0,33.8,2578291
11/11/2018,34.0,34.9,32.0,32.5,1639496
11/12/2018,32.5,32.8,29.9,30.1,1464045
11/13/2018,30.5,31.7,30.5,30.6,676814
11/14/2018,31.5,33.6,31.0,33.6,2677097
11/18/2018,33.0,33.5,32.1,33.5,771112
11/19/2018,36.8,36.8,34.9,36.8,4727017
11/20/2018,40.4,40.4,36.6,39.0,3057347
11/22/2018,38.8,39.8,37.5,37.8,2399977
11/25/2018,38.0,38.5,35.4,35.8,2146706
11/26/2018,36.0,37.7,35.9,36.1,1610347
11/27/2018,36.1,37.2,34.4,35.0,1780789
11/28/2018,35.0,37.5,35.0,36.7,1806547
11/29/2018,37.0,40.3,37.0,40.3,3843180
12/2/2018,42.0,43.0,39.8,40.2,2715739
12/3/2018,40.2,44.2,38.8,44.0,3448428
12/4/2018,45.1,45.8,42.2,42.9,2805313
12/5/2018,43.0,43.7,40.6,41.1,2746894
12/6/2018,41.6,43.5,40.8,41.6,2106997
12/9/2018,42.0,43.2,40.8,41.0,2241659
12/10/2018,41.5,41.7,36.9,37.3,2635067
12/11/2018,36.2,38.3,35.7,36.3,1679539
12/12/2018,37.1,37.8,36.4,36.9,1359468
12/13/2018,37.0,37.0,33.5,33.8,1985159
12/17/2018,33.8,33.9,30.9,31.2,1180139
12/18/2018,31.2,33.1,31.2,32.6,756105
12/19/2018,32.9,33.8,31.6,31.8,995968
12/20/2018,32.0,33.3,31.5,33.0,1565171
12/23/2018,33.3,33.6,31.9,32.1,719608
12/24/2018,32.2,32.5,31.3,31.5,887767
12/26/2018,31.7,32.2,31.0,31.2,506574
12/27/2018,31.5,31.5,30.9,31.1,712873
1/1/2019,32.1,34.0,31.3,33.9,1694285
1/2/2019,34.0,35.0,33.0,34.6,1911613
1/3/2019,34.6,35.0,34.0,34.6,1502050
1/6/2019,34.8,35.5,33.5,33.9,1809016
1/7/2019,34.0,34.2,32.3,32.5,1619062
1/8/2019,32.5,33.2,32.2,32.3,1033719
1/9/2019,32.9,33.2,32.2,32.8,957155
1/10/2019,32.7,33.2,31.9,32.1,1124397
1/13/2019,32.2,33.6,32.0,33.0,1142301
1/14/2019,33.2,34.6,33.1,33.8,1650251
1/15/2019,34.0,35.0,33.7,34.0,1912940
1/16/2019,33.7,34.1,32.7,32.9,815871
1/17/2019,32.6,33.0,32.0,32.1,834117
1/20/2019,32.5,33.3,32.0,32.4,936065
1/21/2019,32.7,33.2,32.0,32.2,607087
1/22/2019,32.8,32.8,31.5,31.8,873642
1/23/2019,31.9,32.2,31.0,31.1,963902
1/24/2019,31.3,31.5,30.7,30.9,670066
1/27/2019,31.5,31.5,30.5,30.7,624431
1/28/2019,30.9,31.4,30.4,30.6,599350
1/29/2019,30.8,31.0,30.1,30.3,408727
1/30/2019,30.5,30.6,29.7,29.9,525461
1/31/2019,30.6,31.6,30.3,30.8,844954
2/3/2019,31.5,31.5,30.1,30.2,448826
2/4/2019,30.2,30.5,29.8,29.9,597794
2/5/2019,30.0,30.3,29.7,29.8,410102
2/6/2019,29.8,30.1,29.4,29.5,541383
2/7/2019,29.6,29.8,29.2,29.2,787187
2/10/2019,29.4,29.5,28.4,28.6,448163
2/11/2019,28.6,31.4,28.5,31.4,1089525
2/12/2019,32.1,33.2,32.1,33.0,3590027
2/13/2019,33.2,33.7,32.8,33.5,2340060
2/14/2019,33.5,34.7,33.1,34.2,2675729
2/17/2019,34.5,34.9,32.9,33.1,1443998
2/18/2019,33.4,33.9,32.3,32.5,946324
2/19/2019,32.9,33.5,32.2,32.9,552528
2/20/2019,33.2,33.3,32.6,32.9,806753
2/24/2019,33.0,33.0,31.8,31.9,624995
2/25/2019,32.0,32.3,30.5,30.6,675333
2/26/2019,31.2,31.3,30.3,30.7,309017
2/27/2019,30.7,31.2,30.1,30.5,805541
3/3/2019,30.6,31.5,30.2,30.7,436241
3/4/2019,30.8,30.9,30.0,30.1,459189
3/5/2019,30.4,30.4,29.5,29.7,397635
3/6/2019,30.2,30.4,29.6,29.6,512361
3/7/2019,29.9,30.5,29.8,30.2,332649
3/10/2019,30.6,30.9,30.4,30.6,312353
3/11/2019,30.8,30.9,29.2,29.6,1015673
3/12/2019,29.6,29.8,27.9,28.1,1415178
3/13/2019,28.2,28.2,26.6,26.8,657607
3/14/2019,27.5,27.5,24.7,25.1,1064053
