Date,Open,High,Low,Close,Volume
10/1/2012,215.0,219.925,215.0,216.575,58000
10/2/2012,224.0,227.4,217.0,225.975,175000
10/4/2012,181.0,185.9,178.0,182.35,129000
10/7/2012,183.8,189.8,180.0,181.0,71000
10/8/2012,182.0,183.5,175.6,179.425,37500
10/9/2012,181.2,188.6,181.1,184.35,58500
10/10/2012,185.0,185.0,177.2,178.05,20500
10/11/2012,177.0,177.0,175.0,175.45,15500
10/14/2012,178.0,178.0,170.9,171.9,26500
10/15/2012,175.4,176.5,170.2,172.825,12000
10/16/2012,173.7,173.7,171.1,172.025,13000
10/17/2012,177.0,177.0,172.3,172.925,4500
10/18/2012,172.9,175.325,170.0,172.825,7000
10/21/2012,172.5,172.5,168.5,169.9,7000
10/22/2012,170.0,172.0,170.0,171.1,3000
10/23/2012,171.1,172.55,170.5,171.9,11000
10/30/2012,169.0,174.9,168.0,170.4,8500
10/31/2012,170.8,171.225,170.8,171.1,12500
11/1/2012,171.925,173.0,169.1,170.05,27500
11/4/2012,170.0,171.275,170.0,170.925,22000
11/5/2012,170.5,170.95,170.1,170.825,14500
11/6/2012,166.7,168.0,165.0,165.875,16500
11/7/2012,166.025,166.025,160.2,161.525,29500
11/8/2012,167.0,168.3,163.0,163.875,28000
11/11/2012,164.0,164.0,160.0,161.025,21500
11/12/2012,162.3,162.475,157.0,157.75,36500
11/13/2012,158.7,158.7,155.0,155.8,42000
11/14/2012,157.0,157.0,150.375,151.15,52000
11/15/2012,150.6,154.675,149.2,151.175,18000
11/18/2012,154.925,154.925,151.2,151.95,13000
11/19/2012,150.0,150.1,148.3,149.25,16000
11/20/2012,148.6,148.6,147.5,147.9,8000
11/21/2012,148.0,148.0,143.0,143.675,21500
11/22/2012,147.75,147.775,145.0,146.525,12000
11/26/2012,146.0,149.3,144.0,145.025,25000
11/27/2012,144.0,144.0,142.0,143.025,1500
11/28/2012,147.0,149.0,144.7,147.2,33000
11/29/2012,151.0,154.5,149.0,152.325,39000
12/2/2012,150.3,151.5,147.2,149.125,12000
12/3/2012,148.0,148.0,145.175,145.575,12500
12/4/2012,152.5,154.0,147.5,149.225,23000
12/5/2012,147.55,148.0,147.35,147.75,4500
12/6/2012,144.1,148.0,144.1,145.6,25500
12/9/2012,143.225,143.225,142.1,142.4,16000
12/10/2012,141.025,145.0,141.025,141.875,9500
12/11/2012,142.6,144.0,142.2,142.675,18000
12/12/2012,145.95,145.95,142.35,143.05,13000
12/13/2012,143.0,143.9,142.1,143.0,1500
12/17/2012,146.0,147.2,143.8,145.1,3000
12/18/2012,145.975,146.775,145.5,146.05,5500
12/19/2012,145.6,147.4,145.525,146.75,12500
12/20/2012,146.0,147.0,144.525,145.275,6000
12/23/2012,140.0,145.075,140.0,143.275,6500
12/24/2012,145.9,145.9,144.0,144.8,3000
12/26/2012,148.8,153.65,148.8,153.525,51000
12/27/2012,156.5,158.6,152.7,155.6,26000
12/30/2012,150.4,152.1,150.4,150.825,3500
1/1/2013,150.1,150.5,147.5,149.775,9000
1/2/2013,146.2,148.0,146.2,147.425,2000
1/3/2013,149.9,149.9,146.1,146.775,14500
1/6/2013,146.1,146.975,145.5,145.85,11500
1/7/2013,146.0,146.0,144.25,144.9,9000
1/8/2013,142.5,145.1,142.5,144.45,9000
1/9/2013,145.0,145.0,144.05,144.425,6500
1/10/2013,142.225,145.1,142.225,144.15,3500
1/13/2013,146.5,149.9,145.0,147.0,13000
1/14/2013,146.5,146.5,145.15,145.8,6500
1/15/2013,145.85,145.85,144.825,145.325,2000
1/16/2013,145.0,145.1,145.0,145.0,4000
1/17/2013,144.05,145.0,143.7,144.475,24000
1/20/2013,143.4,143.4,143.2,143.325,6500
1/21/2013,142.7,143.0,142.0,142.1,29500
1/22/2013,142.35,142.35,141.8,141.95,29500
1/23/2013,142.4,142.4,141.7,141.875,15500
1/24/2013,142.025,144.0,142.025,143.075,22000
1/27/2013,144.9,145.8,142.6,144.75,13000
1/28/2013,144.475,144.475,142.8,142.975,8000
1/29/2013,143.65,146.375,143.6,145.125,25500
1/30/2013,144.5,144.5,142.4,143.7,11000
1/31/2013,141.5,142.2,141.3,141.625,31000
2/3/2013,142.3,142.3,140.9,141.1,24000
2/4/2013,142.1,142.1,142.0,142.05,1500
2/5/2013,143.0,143.7,142.525,142.95,8000
2/6/2013,142.725,144.3,142.5,142.95,19000
2/7/2013,144.0,144.5,143.175,143.975,14500
2/10/2013,143.8,144.7,142.25,143.625,18000
2/11/2013,143.5,143.8,142.25,142.425,29500
2/12/2013,142.5,142.5,141.2,141.4,83000
2/13/2013,142.0,142.5,141.825,142.2,6500
2/14/2013,142.4,144.0,142.2,142.75,20000
2/17/2013,144.2,144.2,141.1,141.5,37000
2/18/2013,142.0,142.5,141.0,141.275,38000
2/19/2013,141.0,141.2,140.1,140.5,8000
2/20/2013,140.5,141.1,138.8,139.125,38500
2/24/2013,143.5,143.5,136.825,137.85,22500
2/25/2013,137.5,137.5,136.0,136.475,8500
2/26/2013,136.0,139.45,136.0,137.125,12500
2/27/2013,136.225,136.6,134.6,135.675,10500
2/28/2013,131.2,131.5,131.2,131.275,4500
3/3/2013,125.1,126.0,124.1,124.75,9500
3/4/2013,128.0,132.525,128.0,131.5,13000
3/5/2013,130.0,133.9,130.0,132.2,6500
3/6/2013,130.5,130.525,130.0,130.375,6000
3/7/2013,124.5,131.175,124.5,128.0,4000
3/10/2013,127.0,127.0,125.55,126.025,1500
3/11/2013,127.0,127.0,127.0,127.0,2000
3/12/2013,126.0,129.0,126.0,127.0,4000
3/13/2013,132.0,133.8,131.0,132.95,9500
3/14/2013,131.0,131.6,130.1,130.925,4500
3/18/2013,131.0,131.225,131.0,131.15,6500
3/19/2013,132.975,133.5,132.95,133.225,5500
3/20/2013,130.5,132.0,129.1,130.925,7500
3/24/2013,129.025,129.025,126.0,126.925,7000
3/25/2013,126.15,128.0,124.5,125.4,4500
3/27/2013,123.5,123.5,122.25,123.0,7500
3/28/2013,122.55,126.0,122.55,123.75,1500
3/31/2013,123.1,124.5,123.1,123.375,4000
4/1/2013,120.1,120.9,118.8,119.9,12500
4/2/2013,119.5,120.3,117.6,119.15,6000
4/3/2013,124.0,124.4,120.5,121.475,6500
4/4/2013,122.0,122.0,119.5,119.975,4500
4/7/2013,122.5,123.0,119.8,121.9,4500
4/8/2013,121.9,121.9,121.8,121.875,3500
4/9/2013,122.5,123.5,121.6,122.575,12500
4/10/2013,124.5,124.5,122.975,123.05,16000
4/11/2013,123.775,123.775,123.775,123.775,500
4/15/2013,126.4,126.4,122.8,123.975,5000
4/16/2013,123.3,123.3,120.6,121.575,16000
4/17/2013,121.225,121.3,121.0,121.2,3500
4/18/2013,123.0,123.0,120.775,122.3,4000
4/21/2013,120.1,121.0,118.6,119.95,22000
4/22/2013,120.0,120.0,118.6,119.35,5000
4/23/2013,120.0,120.0,118.3,119.25,5000
4/24/2013,120.65,120.65,120.4,120.525,1000
4/25/2013,118.025,118.425,118.0,118.225,7000
4/28/2013,125.0,125.6,125.0,125.6,108000
4/29/2013,130.9,130.9,124.0,125.65,41500
4/30/2013,124.575,124.9,124.0,124.425,5000
5/2/2013,123.0,125.6,121.65,124.0,29000
5/5/2013,123.65,123.65,121.7,122.575,7500
5/6/2013,126.0,126.0,121.725,122.475,8000
5/7/2013,125.7,125.7,122.75,123.2,23000
5/8/2013,124.05,126.2,123.525,124.7,37000
5/9/2013,125.1,126.0,124.5,125.175,16000
5/12/2013,127.8,132.975,126.3,132.625,65000
5/13/2013,131.1,135.9,131.1,135.1,37000
5/14/2013,136.0,143.5,136.0,142.525,78000
5/15/2013,140.0,143.0,138.025,140.075,68500
5/16/2013,140.0,142.9,139.3,140.15,39500
5/19/2013,140.0,144.0,140.0,142.1,37500
5/20/2013,143.0,143.5,138.05,138.525,61500
5/21/2013,138.625,139.9,136.8,137.2,48000
5/22/2013,135.625,136.4,130.8,131.25,55500
5/26/2013,131.425,131.425,127.6,128.1,42000
5/27/2013,131.0,131.5,130.0,130.1,27000
5/28/2013,130.525,135.0,130.1,133.575,21500
5/29/2013,140.0,140.0,137.1,139.4,59500
5/30/2013,140.35,141.8,138.4,139.925,97500
6/2/2013,142.05,148.65,141.0,148.65,161000
6/3/2013,151.9,151.9,145.0,150.2,57500
6/4/2013,152.0,152.0,147.3,148.125,59000
6/5/2013,148.0,150.4,147.3,149.95,55000
6/6/2013,149.625,150.0,146.525,147.725,63500
6/9/2013,146.6,146.6,139.2,140.075,51000
6/10/2013,145.0,148.775,143.25,147.975,36500
6/11/2013,150.0,150.3,148.0,149.5,77500
6/12/2013,149.9,151.4,148.525,149.35,98500
6/13/2013,148.325,149.4,147.0,147.175,41500
6/16/2013,146.0,150.2,146.0,149.625,70000
6/17/2013,151.9,157.8,150.0,151.325,75000
6/18/2013,151.4,152.5,148.0,149.55,54500
6/19/2013,153.0,158.0,153.0,154.725,70500
6/20/2013,155.2,156.7,151.5,151.8,52000
6/23/2013,153.025,153.1,148.025,149.1,68000
6/24/2013,150.0,152.0,149.5,150.8,46000
6/26/2013,160.0,160.225,160.0,160.225,381500
6/27/2013,170.2,170.2,170.2,170.2,80500
6/30/2013,180.2,180.2,174.2,179.65,394000
7/2/2013,182.0,186.4,180.0,182.25,187500
7/3/2013,182.0,182.0,178.0,179.925,138000
7/4/2013,181.85,184.975,180.0,181.7,169000
7/7/2013,185.475,191.675,185.4,191.675,148000
7/8/2013,201.675,201.675,198.0,201.675,108000
7/9/2013,211.7,211.75,211.7,211.75,85000
7/10/2013,222.325,222.325,222.325,222.325,125000
7/11/2013,233.425,233.425,211.725,214.05,333500
7/14/2013,214.05,216.0,203.35,203.425,269500
7/15/2013,203.9,213.575,203.9,213.575,205500
7/16/2013,220.0,224.2,205.0,208.975,156000
7/17/2013,206.0,208.8,200.5,201.95,161000
7/18/2013,201.0,204.6,192.0,194.475,115500
7/21/2013,194.475,200.0,184.8,185.725,151000
7/22/2013,189.875,189.875,180.0,180.775,108000
7/23/2013,185.0,186.0,170.8,170.85,120000
7/24/2013,171.0,180.825,166.2,180.5,103000
7/25/2013,189.9,190.475,178.0,180.425,106000
7/28/2013,177.9,182.0,174.1,179.95,58500
7/29/2013,181.9,186.7,181.9,185.525,47000
7/30/2013,186.0,192.0,185.1,185.5,124000
7/31/2013,186.5,189.0,185.0,186.775,71500
8/1/2013,187.5,187.5,183.2,185.425,48500
8/4/2013,182.2,183.0,178.0,179.3,59000
8/5/2013,179.975,182.6,178.55,181.4,49000
8/12/2013,180.0,182.5,179.1,181.525,28000
8/13/2013,186.7,188.5,184.9,186.275,65500
8/14/2013,186.05,196.275,184.1,196.275,154000
8/18/2013,204.8,206.25,200.675,201.55,120000
8/19/2013,202.0,207.4,200.8,201.275,107500
8/20/2013,205.3,211.325,203.15,210.725,323500
8/21/2013,220.0,221.0,213.5,220.35,335000
8/22/2013,221.5,224.0,217.0,220.875,213500
8/25/2013,222.3,228.5,218.0,219.5,266500
8/26/2013,220.0,221.5,212.6,216.175,209000
8/27/2013,219.9,220.0,208.1,210.425,167500
8/29/2013,212.0,212.775,205.3,207.575,113000
9/1/2013,212.9,217.95,211.5,217.95,148000
9/2/2013,228.825,228.825,225.3,228.825,417000
9/3/2013,229.0,232.5,221.75,229.775,203500
9/4/2013,232.0,232.0,218.3,219.275,355500
9/5/2013,214.0,215.9,209.8,212.9,214000
9/8/2013,211.15,218.0,210.0,211.575,109500
9/9/2013,210.325,216.9,201.25,210.875,217000
9/10/2013,214.5,216.5,207.2,208.3,130000
9/11/2013,214.0,214.0,200.5,203.85,100500
9/12/2013,207.0,207.0,199.125,200.55,117000
9/15/2013,199.5,202.7,195.3,197.225,120000
9/16/2013,195.2,197.5,190.1,191.275,87000
9/17/2013,193.5,198.8,191.3,194.175,58500
9/18/2013,194.875,204.1,194.875,204.1,96500
9/19/2013,212.0,214.2,206.425,207.35,129000
9/22/2013,211.4,211.5,198.9,199.425,37500
9/23/2013,200.0,200.0,194.7,195.925,49000
9/24/2013,195.675,199.975,194.05,194.725,50500
9/25/2013,194.5,194.5,190.6,191.2,53500
9/26/2013,191.0,195.0,189.0,190.0,50000
9/29/2013,194.9,194.9,190.0,190.45,26500
9/30/2013,189.225,190.9,186.225,186.925,29000
10/1/2013,186.65,190.0,185.675,187.95,29500
10/2/2013,187.2,188.5,186.5,187.125,25500
10/3/2013,193.4,193.4,183.1,183.9,71500
10/6/2013,193.9,193.9,185.1,185.65,108000
10/7/2013,165.0,169.8,158.725,159.725,189000
10/8/2013,157.7,159.8,149.75,149.775,183000
