Date,Open,High,Low,Close,Volume
10/8/2017,10.5,11.5,8.6,8.9,1682040
10/9/2017,8.9,8.9,8.1,8.6,390800
10/10/2017,8.6,8.6,8.0,8.0,747036
10/11/2017,8.3,8.3,7.9,8.0,214192
10/12/2017,8.0,8.0,7.7,7.8,391250
10/15/2017,7.8,7.8,7.6,7.6,265953
10/16/2017,7.7,7.9,7.7,7.8,142239
10/17/2017,7.8,8.1,7.8,8.0,165302
10/18/2017,8.1,8.1,7.9,7.9,178520
10/19/2017,7.9,8.2,7.9,8.1,188495
10/22/2017,8.2,8.4,8.1,8.2,575557
10/23/2017,8.2,8.2,8.1,8.1,52460
10/24/2017,8.1,8.2,8.0,8.2,76630
10/25/2017,8.1,8.2,8.1,8.1,33200
10/26/2017,8.0,8.1,8.0,8.1,36878
10/29/2017,8.0,8.1,8.0,8.1,39270
10/30/2017,8.0,8.0,8.0,8.0,20300
10/31/2017,8.0,8.1,8.0,8.0,54395
11/1/2017,8.0,8.0,8.0,8.0,81750
11/2/2017,8.1,8.1,8.0,8.0,38201
11/5/2017,8.1,8.1,7.9,8.0,42050
11/6/2017,8.0,8.0,7.9,7.9,104400
11/7/2017,8.0,8.0,7.9,7.9,129090
11/8/2017,7.9,8.0,7.9,7.9,15290
11/9/2017,7.9,8.0,7.9,7.9,16830
11/12/2017,7.9,8.0,7.9,7.9,43700
11/13/2017,7.9,7.9,7.9,7.9,36150
11/14/2017,7.9,8.0,7.9,8.0,86360
11/15/2017,8.0,8.0,7.9,7.9,70840
11/16/2017,7.9,7.9,7.9,7.9,50800
11/19/2017,7.9,7.9,7.9,7.9,11200
11/20/2017,7.9,7.9,7.8,7.9,18100
11/21/2017,7.9,7.9,7.8,7.9,19790
11/22/2017,7.9,8.0,7.9,7.9,3150
11/23/2017,7.9,7.9,7.9,7.9,400
11/26/2017,7.9,7.9,7.8,7.8,53274
11/27/2017,7.8,7.8,7.7,7.8,106231
11/28/2017,7.8,7.8,7.7,7.8,15650
11/29/2017,7.7,7.8,7.7,7.7,18250
11/30/2017,7.8,7.8,7.7,7.7,63600
12/3/2017,7.8,7.8,7.7,7.7,9000
12/4/2017,7.8,7.8,7.7,7.8,15581
12/5/2017,7.8,7.8,7.7,7.8,39000
12/6/2017,7.8,7.9,7.8,7.9,253891
12/7/2017,7.9,8.1,7.9,8.0,100350
12/10/2017,8.0,8.0,8.0,8.0,84100
12/11/2017,7.9,7.9,7.9,7.9,56600
12/12/2017,7.9,8.0,7.9,7.9,34750
12/13/2017,7.9,7.9,7.9,7.9,10000
12/14/2017,8.0,8.0,8.0,8.0,1180
12/17/2017,8.0,8.0,7.7,7.7,72960
12/18/2017,7.8,7.9,7.8,7.9,26469
12/19/2017,7.8,7.8,7.8,7.8,2740
12/20/2017,7.8,7.8,7.7,7.7,17000
12/21/2017,7.9,7.9,7.7,7.7,48720
12/24/2017,7.7,7.8,7.7,7.7,14100
12/26/2017,7.8,7.8,7.7,7.7,26600
12/27/2017,7.7,7.7,7.7,7.7,12581
12/28/2017,7.7,8.3,7.7,8.1,231430
1/1/2018,7.9,7.9,7.9,7.9,31500
1/3/2018,7.9,7.9,7.9,7.9,95350
1/4/2018,7.9,8.0,7.8,7.9,8315
1/7/2018,7.9,8.0,7.9,7.9,30330
1/8/2018,7.9,7.9,7.9,7.9,140451
1/9/2018,7.9,7.9,7.8,7.8,84800
1/10/2018,7.8,7.9,7.7,7.7,95801
1/11/2018,7.8,7.8,7.8,7.8,38194
1/14/2018,7.8,7.8,7.7,7.7,126100
1/15/2018,7.7,7.8,7.7,7.7,20641
1/16/2018,7.7,7.8,7.6,7.7,118016
1/18/2018,7.8,7.9,7.7,7.8,14370
1/21/2018,7.8,7.8,7.7,7.8,45060
1/22/2018,7.8,7.8,7.7,7.7,111800
1/23/2018,7.7,7.8,7.7,7.8,9500
1/24/2018,7.8,7.8,7.8,7.8,27750
1/25/2018,7.8,7.8,7.7,7.8,5550
1/28/2018,7.7,7.8,7.7,7.8,8090
1/29/2018,7.9,7.9,7.8,7.9,17000
1/30/2018,7.9,8.0,7.8,7.9,20011
1/31/2018,7.8,7.8,7.8,7.8,16731
2/1/2018,7.7,7.8,7.7,7.7,7800
2/4/2018,7.7,7.7,7.6,7.7,15819
2/5/2018,7.7,7.7,7.5,7.6,27265
2/6/2018,7.7,7.7,7.7,7.7,45000
2/7/2018,7.7,7.7,7.7,7.7,32800
2/8/2018,7.7,7.7,7.6,7.6,54700
2/11/2018,7.7,7.7,7.7,7.7,45989
2/12/2018,7.9,7.9,7.7,7.8,14790
2/13/2018,7.7,7.8,7.7,7.7,16116
2/14/2018,7.7,7.8,7.7,7.7,21887
2/15/2018,7.7,7.7,7.6,7.7,12250
2/18/2018,7.7,7.8,7.6,7.6,40160
2/19/2018,7.7,7.7,7.7,7.7,7000
2/20/2018,7.7,7.7,7.6,7.7,10000
2/22/2018,7.7,7.7,7.6,7.6,3000
2/25/2018,7.7,7.7,7.6,7.6,24501
2/26/2018,7.6,7.6,7.6,7.6,18490
2/27/2018,7.6,7.6,7.6,7.6,2000
2/28/2018,7.6,7.7,7.5,7.5,24010
3/1/2018,7.6,7.6,7.5,7.6,4035
3/4/2018,7.6,7.6,7.6,7.6,2150
3/5/2018,7.6,7.6,7.6,7.6,5050
3/7/2018,7.6,7.6,7.5,7.6,9050
3/8/2018,7.6,7.6,7.5,7.6,2600
3/11/2018,7.6,7.6,7.6,7.6,2900
3/12/2018,7.6,7.6,7.6,7.6,1000
3/13/2018,7.6,7.6,7.6,7.6,1500
3/14/2018,7.6,7.7,7.6,7.6,5100
3/15/2018,7.6,7.8,7.6,7.8,11925
3/18/2018,7.9,7.9,7.8,7.9,40300
