Date,Open,High,Low,Close,Volume
10/1/2012,9.5,10.3,9.0,10.2,985000
10/2/2012,11.0,11.2,10.8,11.2,1391500
10/3/2012,12.3,12.3,11.4,11.9,3439000
10/4/2012,11.4,13.0,11.1,12.9,2934500
10/7/2012,13.0,13.5,11.7,11.7,1787000
10/8/2012,11.0,12.5,10.6,11.2,661500
10/9/2012,11.9,12.3,11.5,12.1,1776000
10/10/2012,12.4,12.4,11.0,11.1,632500
10/11/2012,11.6,11.6,10.5,10.7,387500
10/14/2012,11.5,11.5,10.2,10.3,516500
10/15/2012,10.5,11.3,9.7,11.2,952000
10/16/2012,11.1,11.8,10.7,10.8,647500
10/17/2012,11.0,11.2,10.5,10.7,416000
10/18/2012,10.9,11.1,10.8,10.8,601500
10/21/2012,10.7,10.9,10.4,10.4,288500
10/22/2012,10.4,10.5,10.0,10.1,370000
10/23/2012,10.3,10.8,10.3,10.4,354500
10/30/2012,10.7,10.7,10.3,10.5,278500
10/31/2012,10.4,11.0,10.4,10.7,343500
11/1/2012,10.7,11.0,10.5,10.5,266500
11/4/2012,10.7,10.7,10.2,10.2,183000
11/5/2012,10.4,10.4,9.9,10.1,280000
11/6/2012,10.4,10.7,10.2,10.6,547500
11/7/2012,11.0,11.0,10.5,10.6,729000
11/8/2012,10.6,10.7,10.2,10.2,261000
11/11/2012,10.5,10.5,9.6,9.6,488500
11/12/2012,9.8,10.0,9.0,9.1,240000
11/13/2012,9.7,9.7,8.9,9.2,230000
11/14/2012,9.5,9.5,9.1,9.2,189000
11/15/2012,9.4,10.1,9.2,10.0,709500
11/18/2012,10.5,10.6,9.6,9.8,464500
11/19/2012,9.7,10.1,9.5,9.5,329000
11/20/2012,9.7,9.8,9.2,9.2,375500
11/21/2012,9.5,9.5,9.2,9.3,218000
11/22/2012,9.6,9.8,9.4,9.5,165000
11/26/2012,9.5,9.5,9.1,9.1,141000
11/27/2012,9.3,9.3,9.1,9.1,181000
11/28/2012,9.2,9.3,8.9,8.9,205500
11/29/2012,9.3,9.6,9.3,9.4,231500
12/2/2012,9.6,9.6,9.1,9.1,107000
12/3/2012,9.2,9.2,8.9,8.9,120500
12/4/2012,9.0,9.1,8.9,8.9,106000
12/5/2012,9.0,9.1,8.9,8.9,234500
12/6/2012,8.8,9.0,8.8,8.8,223500
12/9/2012,8.8,8.8,8.3,8.4,69000
12/10/2012,8.3,8.4,7.8,7.8,170000
12/11/2012,7.9,8.5,7.9,8.5,307000
12/12/2012,8.0,9.1,8.0,8.4,254500
12/13/2012,8.4,8.8,8.4,8.5,207500
12/17/2012,8.4,8.7,8.4,8.4,207500
12/18/2012,8.5,8.6,8.4,8.4,80500
12/19/2012,8.4,8.5,8.3,8.3,157000
12/20/2012,8.2,8.3,8.1,8.1,197500
12/23/2012,8.1,8.2,7.9,7.9,171000
12/24/2012,8.0,8.3,7.9,8.1,158500
12/26/2012,8.2,8.3,8.0,8.0,124500
12/27/2012,7.9,8.4,7.9,8.2,162500
12/30/2012,8.3,8.4,8.1,8.1,170000
1/1/2013,8.2,8.2,8.0,8.0,75500
1/2/2013,8.0,8.0,7.9,7.9,118500
1/3/2013,8.3,8.6,8.3,8.5,641000
1/6/2013,9.0,9.0,8.6,8.7,337000
1/7/2013,8.5,8.5,8.2,8.2,309500
1/8/2013,8.4,8.5,8.1,8.1,479000
1/9/2013,8.9,8.9,8.1,8.1,1073500
1/10/2013,8.3,8.3,8.0,8.1,172000
1/13/2013,8.1,8.2,7.7,7.8,329000
1/14/2013,7.9,8.2,7.7,7.7,181500
1/15/2013,7.9,7.9,7.7,7.8,154000
1/16/2013,7.9,8.0,7.8,7.8,164000
1/17/2013,7.9,8.0,7.9,7.9,133000
1/20/2013,7.9,8.0,7.8,7.8,41500
1/21/2013,7.9,8.0,7.7,7.7,109500
1/22/2013,7.7,7.8,7.5,7.5,362000
1/23/2013,7.6,7.7,7.3,7.3,306000
1/24/2013,7.3,7.4,7.2,7.2,189000
1/27/2013,7.4,7.4,7.1,7.1,131500
1/28/2013,7.2,7.3,7.1,7.2,116000
1/29/2013,7.2,7.4,7.2,7.2,241000
1/30/2013,7.3,7.4,7.2,7.2,124000
1/31/2013,7.2,7.3,7.1,7.1,121500
2/3/2013,7.2,7.3,7.0,7.0,240500
2/4/2013,7.1,7.1,6.9,6.9,164000
2/5/2013,7.0,7.1,6.9,7.0,136000
2/6/2013,7.1,7.2,7.0,7.0,341000
2/7/2013,7.2,7.2,7.0,7.0,172500
2/10/2013,7.2,7.3,7.1,7.1,178000
2/11/2013,7.3,7.3,7.1,7.1,267000
2/12/2013,7.1,7.2,7.0,7.0,272000
2/13/2013,7.1,7.1,7.0,7.0,137000
2/14/2013,7.0,7.1,6.9,7.0,308000
2/17/2013,7.0,7.1,6.9,6.9,234500
2/18/2013,7.0,7.0,6.8,6.8,231000
2/19/2013,6.8,7.0,6.8,6.8,195000
2/20/2013,6.9,7.0,6.8,6.8,371500
2/24/2013,6.9,6.9,6.7,6.7,163000
2/25/2013,6.7,6.9,6.7,6.7,122500
2/26/2013,6.8,6.9,6.7,6.7,45500
2/27/2013,6.9,6.9,6.6,6.6,113000
2/28/2013,6.6,6.7,6.6,6.6,56500
3/3/2013,6.6,6.6,6.0,6.1,85500
3/4/2013,6.4,6.4,6.2,6.3,51000
3/5/2013,6.3,6.4,6.2,6.3,88000
3/6/2013,6.2,6.3,6.1,6.1,76500
3/7/2013,6.1,6.3,5.9,5.9,191000
3/10/2013,6.1,6.3,6.0,6.0,83500
3/11/2013,6.2,6.2,5.9,6.0,179500
3/12/2013,6.0,6.0,5.9,5.9,115000
3/13/2013,6.0,6.1,6.0,6.0,55500
3/14/2013,6.0,6.0,5.9,5.9,31500
3/18/2013,5.9,6.0,5.8,5.8,106000
3/19/2013,6.0,6.3,5.9,6.1,109500
3/20/2013,6.0,6.1,6.0,6.0,63500
