Date,Open,High,Low,Close,Volume
10/1/2012,8.5,8.9,8.5,8.7,228000
10/2/2012,8.7,9.0,8.7,8.9,566000
10/3/2012,9.0,9.0,8.7,8.8,487000
10/4/2012,9.0,9.0,8.6,8.8,244000
10/7/2012,8.7,8.9,8.6,8.6,140500
10/8/2012,8.8,8.8,8.0,8.4,346000
10/9/2012,8.6,8.7,8.4,8.6,125500
10/10/2012,8.4,8.8,8.4,8.4,119500
10/11/2012,8.3,8.5,8.2,8.3,97500
10/14/2012,8.5,8.5,8.1,8.2,98000
10/15/2012,8.1,8.2,8.0,8.1,65500
10/16/2012,8.1,8.2,8.0,8.0,153500
10/17/2012,8.1,8.2,8.0,8.0,87500
10/18/2012,8.0,8.2,8.0,8.0,72500
10/21/2012,8.0,8.1,8.0,8.0,95000
10/22/2012,8.0,8.3,8.0,8.2,167000
10/23/2012,8.0,8.3,8.0,8.2,111000
10/30/2012,8.2,8.6,8.2,8.5,347000
10/31/2012,8.2,8.6,8.2,8.3,172000
11/1/2012,8.5,8.5,8.2,8.3,72500
11/4/2012,8.3,8.4,8.2,8.2,100500
11/5/2012,8.2,8.3,8.2,8.2,81500
11/6/2012,8.1,8.2,8.1,8.1,117500
11/7/2012,8.1,8.2,8.1,8.1,60000
11/8/2012,8.5,8.5,8.0,8.0,80000
11/11/2012,8.0,8.1,7.8,7.8,88500
11/12/2012,8.0,8.0,7.7,7.8,79500
11/13/2012,7.8,8.0,7.8,7.8,26500
11/14/2012,7.7,8.0,7.7,7.8,41000
11/15/2012,7.8,8.0,7.8,7.9,90500
11/18/2012,7.8,8.0,7.8,7.8,62500
11/19/2012,7.8,7.9,7.7,7.7,59000
11/20/2012,7.7,7.8,7.6,7.6,112000
11/21/2012,7.7,7.8,7.7,7.7,59500
11/22/2012,7.8,7.9,7.7,7.7,55500
11/26/2012,7.6,7.6,7.3,7.3,211000
11/27/2012,7.4,7.5,7.3,7.3,61000
11/28/2012,7.4,7.5,7.0,7.0,343500
11/29/2012,7.4,7.7,7.3,7.6,132500
12/2/2012,7.8,7.9,7.5,7.5,76000
12/3/2012,7.2,7.5,7.2,7.2,62000
12/4/2012,7.2,7.4,7.2,7.3,27500
12/5/2012,7.3,7.6,7.3,7.4,16500
12/6/2012,7.4,7.4,7.3,7.3,194500
12/9/2012,7.3,7.5,7.2,7.3,63000
12/10/2012,7.3,7.3,7.0,7.1,115500
12/11/2012,7.0,7.3,7.0,7.1,50500
12/12/2012,7.2,7.5,7.2,7.3,66500
12/13/2012,7.2,7.7,7.2,7.5,166500
12/17/2012,7.5,7.7,7.5,7.6,95500
12/18/2012,7.5,7.6,7.2,7.2,403500
12/19/2012,7.2,7.4,7.2,7.3,130500
12/20/2012,7.4,8.0,7.3,7.7,1175000
12/23/2012,7.7,7.7,7.5,7.5,61500
12/24/2012,7.5,7.7,7.4,7.4,244000
12/26/2012,7.8,7.8,7.4,7.5,88500
12/27/2012,7.5,8.0,7.4,7.7,234500
12/30/2012,7.6,7.8,7.5,7.5,99000
1/1/2013,8.1,8.1,7.6,7.6,146000
1/2/2013,7.6,7.6,7.5,7.5,128500
1/3/2013,7.5,7.6,7.5,7.5,190000
1/6/2013,7.6,7.6,7.5,7.5,242500
1/7/2013,7.5,7.6,7.4,7.4,228500
1/8/2013,7.4,7.6,7.4,7.4,187000
1/9/2013,7.5,7.5,7.4,7.4,66000
1/10/2013,7.5,7.6,7.4,7.4,53000
1/13/2013,7.4,7.5,7.4,7.4,38500
1/14/2013,7.3,7.4,7.3,7.3,111000
1/15/2013,7.4,7.4,7.2,7.2,103500
1/16/2013,7.3,7.5,7.3,7.4,40500
1/17/2013,7.3,7.5,7.3,7.4,45000
1/20/2013,7.4,7.4,7.2,7.2,79000
1/21/2013,7.4,7.4,7.2,7.2,43500
1/22/2013,7.3,7.4,7.2,7.2,40000
1/23/2013,7.3,7.4,7.2,7.2,54000
1/24/2013,7.3,7.4,7.3,7.3,42000
1/27/2013,7.2,7.4,7.2,7.2,49500
1/28/2013,7.3,7.3,7.2,7.2,93500
1/29/2013,7.3,7.5,7.3,7.4,99500
1/30/2013,7.3,7.4,7.3,7.3,67500
1/31/2013,7.4,7.4,7.3,7.3,125500
2/3/2013,7.4,7.5,7.3,7.4,117000
2/4/2013,7.4,7.5,7.4,7.4,109000
2/5/2013,7.3,7.5,7.2,7.4,110000
2/6/2013,7.4,7.5,7.4,7.4,85000
2/7/2013,7.4,7.5,7.2,7.3,146000
2/10/2013,7.3,7.5,7.3,7.3,113000
2/11/2013,7.4,7.5,7.3,7.4,293500
2/12/2013,7.3,7.6,7.3,7.3,122000
2/13/2013,7.3,7.4,7.3,7.3,43000
2/14/2013,7.3,7.4,7.3,7.3,146000
2/17/2013,7.5,7.5,7.3,7.3,71000
2/18/2013,7.3,7.4,7.3,7.3,45000
2/19/2013,7.2,7.4,7.2,7.3,26000
2/20/2013,7.2,7.3,7.2,7.2,122500
2/24/2013,7.2,7.3,7.1,7.2,85500
2/25/2013,7.2,7.3,7.1,7.1,65500
2/26/2013,7.1,7.2,7.0,7.0,404500
2/27/2013,7.0,7.1,7.0,7.0,73500
2/28/2013,7.0,7.4,6.9,7.3,245000
3/3/2013,6.9,7.0,6.9,6.9,89500
3/4/2013,7.2,7.2,7.0,7.1,83000
3/5/2013,7.2,7.2,7.0,7.0,53000
3/6/2013,7.1,7.1,6.9,7.0,117500
3/7/2013,6.9,7.0,6.8,7.0,76500
3/10/2013,6.9,6.9,6.8,6.8,56500
3/11/2013,6.8,6.9,6.7,6.8,66000
3/12/2013,6.9,6.9,6.8,6.8,46000
3/13/2013,7.0,7.1,6.8,6.8,50000
3/14/2013,6.9,7.0,6.8,6.9,15000
3/18/2013,6.8,7.0,6.8,6.9,58000
3/19/2013,6.9,7.0,6.7,6.7,111500
3/20/2013,6.8,6.8,6.6,6.6,113000
3/24/2013,6.6,6.7,6.5,6.6,35000
3/25/2013,7.0,7.0,6.7,6.7,45000
3/27/2013,6.6,6.8,6.6,6.7,36000
3/28/2013,6.6,6.7,6.6,6.6,15000
3/31/2013,6.8,6.8,6.6,6.6,41000
4/1/2013,6.6,6.7,6.4,6.4,57500
4/2/2013,6.4,6.7,6.3,6.4,55000
4/3/2013,6.5,6.6,6.4,6.5,31500
4/4/2013,6.5,6.6,6.3,6.3,56000
4/7/2013,6.6,6.9,6.2,6.3,64000
4/8/2013,6.2,6.5,6.2,6.3,82000
4/9/2013,6.3,6.5,6.3,6.3,63000
4/10/2013,6.5,6.6,6.3,6.4,69500
4/11/2013,6.4,6.5,6.3,6.3,76000
4/15/2013,6.4,6.5,6.4,6.4,16000
4/16/2013,6.5,6.5,6.2,6.3,68000
4/17/2013,6.3,6.4,6.2,6.2,101000
4/18/2013,6.3,6.4,6.2,6.2,47000
4/21/2013,6.3,6.4,6.2,6.3,46500
4/22/2013,6.3,6.4,6.2,6.2,86000
4/23/2013,6.1,6.3,6.1,6.2,33000
4/24/2013,6.2,6.2,5.9,6.0,404000
4/25/2013,6.0,6.0,5.9,5.9,147000
4/28/2013,5.9,6.0,5.7,5.7,271500
4/29/2013,5.7,5.7,5.5,5.5,196000
4/30/2013,5.6,5.7,5.5,5.7,175000
5/2/2013,5.6,5.8,5.5,5.7,290500
5/5/2013,5.7,6.2,5.7,6.0,335500
5/6/2013,6.0,6.1,5.8,5.9,148500
5/7/2013,6.0,6.2,6.0,6.0,126500
5/8/2013,6.2,6.2,6.0,6.1,85500
5/9/2013,6.1,6.1,6.0,6.0,57500
5/12/2013,6.1,6.1,6.0,6.0,346500
5/13/2013,6.1,6.1,5.9,6.0,232500
5/14/2013,6.0,6.4,6.0,6.2,458500
5/16/2013,5.7,6.3,5.7,6.2,250500
5/19/2013,6.3,6.4,6.2,6.2,269000
5/20/2013,6.3,6.6,6.3,6.4,288500
5/21/2013,6.4,6.6,6.2,6.3,143000
5/22/2013,6.2,6.4,6.2,6.2,108000
5/26/2013,6.1,6.2,6.0,6.0,77000
5/27/2013,6.2,6.3,6.1,6.2,27000
5/28/2013,6.3,6.3,6.1,6.1,89000
5/29/2013,6.2,6.3,6.1,6.2,93500
5/30/2013,6.3,6.4,6.2,6.2,87000
6/2/2013,6.2,6.4,6.2,6.3,118500
6/3/2013,6.2,6.3,6.1,6.1,135000
6/4/2013,6.3,6.3,6.1,6.1,137500
6/5/2013,6.1,6.4,6.1,6.2,82500
6/6/2013,6.4,6.4,6.1,6.2,82000
6/9/2013,5.9,6.1,5.9,5.9,130500
6/10/2013,6.0,6.3,6.0,6.1,38500
6/11/2013,6.3,6.4,6.1,6.3,236000
6/12/2013,6.4,6.6,6.3,6.4,277000
6/13/2013,6.6,6.7,6.4,6.4,121000
6/16/2013,6.5,6.5,6.1,6.1,231500
6/17/2013,6.2,6.4,6.2,6.2,77500
6/18/2013,6.3,6.8,6.3,6.6,395000
6/19/2013,6.5,6.7,6.4,6.4,187500
6/20/2013,6.4,6.5,6.3,6.4,54500
6/23/2013,6.7,6.7,6.2,6.2,183500
6/24/2013,6.2,6.3,6.1,6.2,125500
6/26/2013,6.1,6.4,6.1,6.1,148000
6/27/2013,6.3,6.3,6.1,6.1,122000
6/30/2013,6.1,6.3,6.0,6.0,212000
7/2/2013,6.0,6.2,6.0,6.1,120500
7/3/2013,6.1,6.7,6.1,6.6,825500
7/4/2013,6.7,7.2,6.7,7.1,1026000
7/7/2013,7.3,7.5,7.0,7.0,476000
7/8/2013,6.8,7.1,6.7,6.9,410000
7/9/2013,6.6,7.0,6.5,6.8,561000
7/10/2013,6.9,6.9,6.7,6.7,247500
7/11/2013,6.3,6.8,6.3,6.5,239500
7/14/2013,6.7,6.7,6.3,6.3,93500
7/15/2013,6.3,6.3,6.1,6.1,264500
7/16/2013,6.1,6.3,6.0,6.1,93000
7/17/2013,6.3,6.3,6.1,6.1,167500
7/18/2013,6.1,6.1,6.0,6.0,252000
7/21/2013,6.0,6.2,6.0,6.0,428500
7/22/2013,6.0,6.2,5.9,6.0,41000
7/23/2013,6.1,6.1,5.9,5.9,58500
7/24/2013,5.9,6.4,5.9,6.3,313500
7/25/2013,6.5,6.8,6.0,6.0,53500
7/28/2013,5.9,6.2,5.9,6.1,55000
7/29/2013,6.1,6.2,6.0,6.0,36500
7/30/2013,6.0,6.1,5.9,6.0,104500
7/31/2013,6.0,6.1,6.0,6.0,55500
8/1/2013,5.9,6.0,5.7,5.8,180000
8/4/2013,5.8,5.9,5.5,5.7,111500
8/5/2013,5.8,6.2,5.8,6.0,60000
8/12/2013,6.2,6.2,5.9,6.0,22000
8/13/2013,6.1,6.2,6.0,6.0,100000
8/14/2013,6.0,6.1,5.9,5.9,74500
8/18/2013,5.9,6.1,5.8,5.8,334000
8/19/2013,5.9,6.1,5.9,5.9,75000
8/20/2013,6.0,6.1,5.9,5.9,156000
8/21/2013,6.0,6.1,5.9,5.9,169000
8/22/2013,5.9,6.2,5.9,6.1,158000
8/25/2013,6.0,6.0,5.9,5.9,53000
8/26/2013,5.9,6.0,5.9,5.9,56000
8/27/2013,6.0,6.1,5.9,5.9,252500
8/29/2013,5.9,6.0,5.9,5.9,61500
9/1/2013,6.0,6.0,5.8,5.9,86500
9/2/2013,5.8,6.1,5.8,5.9,298000
9/3/2013,5.9,6.1,5.9,6.0,174500
9/4/2013,6.0,6.1,5.9,6.0,116500
9/5/2013,5.9,6.0,5.9,5.9,276000
9/8/2013,5.9,6.3,5.8,6.1,233000
9/9/2013,6.0,6.0,5.9,5.9,45000
9/10/2013,6.0,6.0,5.8,5.8,235500
9/11/2013,5.9,6.0,5.8,5.8,243500
9/12/2013,5.9,6.0,5.8,5.8,48000
9/15/2013,5.9,6.0,5.8,5.8,238000
9/16/2013,5.7,6.1,5.7,5.9,188000
9/17/2013,6.0,6.0,5.9,5.9,209500
9/18/2013,6.0,6.0,5.9,5.9,189500
9/19/2013,5.9,6.0,5.9,5.9,370500
9/22/2013,5.9,6.0,5.8,5.8,111500
9/23/2013,5.8,5.9,5.8,5.8,129000
9/24/2013,5.8,6.0,5.7,5.8,182000
9/25/2013,5.8,5.8,5.7,5.7,26000
9/26/2013,5.7,5.9,5.7,5.8,54500
9/29/2013,5.7,5.9,5.7,5.7,20500
9/30/2013,5.8,5.9,5.7,5.7,128000
10/1/2013,5.9,5.9,5.7,5.7,245500
10/2/2013,5.7,5.8,5.7,5.7,66000
10/3/2013,5.7,5.9,5.7,5.7,187500
10/6/2013,5.7,5.9,5.7,5.8,246000
10/7/2013,5.8,5.8,5.7,5.7,63500
10/8/2013,5.5,5.8,5.5,5.6,51500
10/9/2013,5.9,5.9,5.7,5.7,123500
10/10/2013,5.8,5.9,5.7,5.7,153000
10/20/2013,5.7,5.9,5.6,5.8,103000
10/21/2013,5.6,5.8,5.6,5.7,142000
10/22/2013,5.7,5.8,5.5,5.5,382000
10/23/2013,5.6,5.8,5.6,5.7,76000
10/24/2013,5.5,5.8,5.5,5.6,120500
10/27/2013,5.7,5.9,5.7,5.8,189500
10/28/2013,5.9,6.1,5.7,5.7,219000
10/29/2013,5.6,6.0,5.6,5.8,243500
10/30/2013,5.8,6.0,5.8,5.9,117500
10/31/2013,6.0,6.0,5.8,5.9,52000
11/3/2013,5.8,5.9,5.7,5.7,55000
11/4/2013,5.8,5.9,5.8,5.8,109500
11/5/2013,6.0,6.0,5.9,5.9,102500
11/6/2013,5.9,6.1,5.9,6.0,642500
11/7/2013,6.0,6.2,6.0,6.0,321000
11/10/2013,6.1,6.5,6.0,6.4,302500
11/11/2013,6.4,6.6,6.0,6.2,1054000
11/12/2013,6.2,6.2,5.8,6.0,538000
11/13/2013,6.1,6.3,5.9,6.0,623500
11/14/2013,6.0,6.3,6.0,6.2,119000
11/17/2013,6.7,6.7,5.8,6.1,138000
11/18/2013,6.2,6.2,6.1,6.1,88000
11/19/2013,6.3,6.4,6.1,6.3,133000
11/20/2013,6.4,6.6,6.3,6.4,579500
11/21/2013,6.3,6.5,6.3,6.3,207500
11/24/2013,6.4,6.4,6.1,6.2,168500
11/25/2013,6.1,6.4,6.1,6.1,268500
11/26/2013,6.0,6.4,6.0,6.3,269500
11/27/2013,6.2,6.4,6.2,6.3,63000
11/28/2013,6.3,6.4,6.2,6.2,128500
12/1/2013,6.8,6.8,6.6,6.8,2941500
12/2/2013,7.4,7.4,7.0,7.1,1041500
12/3/2013,7.4,7.4,6.9,6.9,527500
12/4/2013,6.9,6.9,6.7,6.7,202500
12/5/2013,7.3,7.3,6.8,6.9,121000
12/8/2013,6.9,7.0,6.8,6.8,166000
12/9/2013,6.9,6.9,6.8,6.8,87500
12/10/2013,6.8,6.9,6.7,6.8,171000
12/11/2013,6.7,6.8,6.6,6.6,178500
12/12/2013,6.5,6.6,6.3,6.4,601000
12/15/2013,6.4,6.5,6.2,6.2,315500
12/17/2013,6.3,6.3,6.0,6.0,342500
12/18/2013,6.0,6.2,6.0,6.0,265000
12/19/2013,6.3,6.4,6.2,6.3,108500
12/22/2013,6.3,6.3,6.1,6.1,209000
12/23/2013,6.1,6.2,6.0,6.0,245500
12/24/2013,6.0,6.2,6.0,6.1,32000
12/26/2013,6.1,6.2,6.1,6.1,84500
12/29/2013,6.0,6.1,6.0,6.0,62000
12/30/2013,6.1,6.2,6.1,6.1,129000
1/1/2014,6.1,6.2,6.0,6.1,140500
1/2/2014,6.1,6.1,6.0,6.0,113000
1/6/2014,6.1,6.1,6.0,6.0,31000
1/7/2014,5.8,6.1,5.8,6.0,57500
1/8/2014,6.0,6.2,6.0,6.0,166000
1/9/2014,6.0,6.1,6.0,6.0,60500
1/12/2014,6.1,6.2,6.0,6.1,108000
1/13/2014,6.1,6.2,6.0,6.0,284000
1/15/2014,6.2,6.2,6.1,6.2,198000
1/16/2014,6.2,6.2,6.1,6.1,100000
1/19/2014,6.3,6.3,6.1,6.1,130000
1/20/2014,6.2,6.2,6.0,6.0,213000
1/21/2014,6.1,6.6,6.0,6.5,863500
1/22/2014,6.6,6.7,6.2,6.3,346000
1/23/2014,6.4,6.6,6.3,6.5,166500
1/26/2014,6.5,6.7,6.4,6.6,278000
1/27/2014,6.4,6.6,6.4,6.4,79500
1/28/2014,6.5,6.5,6.3,6.3,172000
1/29/2014,6.4,6.5,6.4,6.4,118000
1/30/2014,6.4,6.6,6.4,6.4,236500
2/2/2014,6.4,6.6,6.4,6.4,124000
2/3/2014,6.5,6.5,6.4,6.4,145000
2/4/2014,6.5,6.5,6.3,6.4,312500
2/5/2014,6.4,6.4,6.2,6.2,122500
2/6/2014,6.4,6.5,6.1,6.1,456500
2/9/2014,6.2,6.5,6.1,6.1,337500
2/10/2014,6.1,6.3,6.1,6.2,45500
2/11/2014,6.2,6.2,6.1,6.1,75500
2/12/2014,6.1,6.2,6.1,6.1,118000
2/13/2014,6.1,6.2,6.0,6.1,198000
2/16/2014,6.0,6.2,6.0,6.0,115500
2/17/2014,6.2,6.2,6.0,6.0,109000
2/18/2014,6.0,6.1,6.0,6.0,32000
2/19/2014,6.1,6.1,6.0,6.0,91000
2/20/2014,6.1,6.1,6.0,6.0,410500
2/23/2014,6.1,6.2,5.9,5.9,266000
2/24/2014,6.0,6.0,5.9,5.9,140500
2/25/2014,6.0,6.0,5.9,5.9,114500
2/26/2014,5.9,6.0,5.9,5.9,99000
2/27/2014,5.9,6.0,5.9,5.9,74500
3/2/2014,6.0,6.0,5.8,5.9,50500
3/3/2014,5.7,5.9,5.7,5.8,98500
3/4/2014,5.8,6.0,5.7,5.7,211500
3/5/2014,5.8,5.8,5.7,5.7,123500
3/6/2014,5.8,5.8,5.7,5.7,97000
3/9/2014,5.6,5.8,5.5,5.7,73000
3/10/2014,5.7,5.8,5.7,5.7,46000
3/11/2014,5.6,5.7,5.5,5.6,129500
3/12/2014,5.6,5.8,5.6,5.7,88000
3/13/2014,5.7,5.8,5.7,5.7,132000
3/16/2014,5.6,5.6,5.4,5.5,191000
3/18/2014,5.6,5.6,5.4,5.4,99500
3/19/2014,5.5,5.6,5.4,5.5,45000
3/20/2014,5.6,5.7,5.5,5.6,37500
3/23/2014,5.5,5.7,5.5,5.6,56500
3/24/2014,5.6,5.6,5.5,5.5,86500
3/25/2014,5.5,5.7,5.4,5.4,187000
3/27/2014,5.4,5.5,5.3,5.3,107000
3/30/2014,5.5,5.8,5.4,5.6,163500
3/31/2014,5.6,5.6,5.4,5.5,47000
4/1/2014,5.4,5.5,5.4,5.4,147000
4/2/2014,5.4,5.5,5.3,5.4,101000
4/3/2014,5.4,5.5,5.4,5.4,132000
4/6/2014,5.4,5.5,5.3,5.3,116000
4/7/2014,5.3,5.5,5.1,5.1,276500
4/8/2014,5.2,5.2,4.9,5.0,279000
4/9/2014,5.2,5.3,4.9,4.9,255000
4/10/2014,5.1,5.1,4.9,5.0,167000
4/13/2014,5.0,5.1,4.8,4.8,280500
4/15/2014,4.9,5.1,4.7,4.8,613500
4/17/2014,4.8,4.9,4.8,4.8,125500
4/20/2014,5.2,5.2,4.9,5.0,82500
4/21/2014,4.9,5.3,4.9,5.2,253000
4/22/2014,5.1,5.3,5.1,5.2,89500
4/23/2014,5.0,5.2,5.0,5.1,100000
4/24/2014,5.1,5.1,5.0,5.0,103500
4/27/2014,5.0,5.1,5.0,5.0,50500
4/28/2014,5.0,5.2,5.0,5.1,68500
4/29/2014,5.0,5.1,4.9,4.9,89000
4/30/2014,5.0,5.0,4.8,4.8,110000
5/4/2014,4.8,4.9,4.6,4.6,437500
5/5/2014,5.0,5.0,4.6,4.9,105500
5/6/2014,4.9,4.9,4.8,4.8,31500
5/7/2014,4.9,4.9,4.8,4.8,35500
5/8/2014,4.8,5.0,4.8,4.8,76000
5/11/2014,4.8,5.0,4.7,4.9,60000
5/12/2014,4.9,5.0,4.8,4.9,41000
5/14/2014,4.8,4.9,4.8,4.8,45500
5/15/2014,4.8,4.8,4.6,4.6,439000
5/18/2014,4.8,4.8,4.6,4.7,41500
5/19/2014,4.7,4.7,4.5,4.5,466000
5/20/2014,4.6,4.7,4.4,4.5,262500
5/21/2014,4.5,4.7,4.4,4.4,314000
5/22/2014,4.6,4.6,4.4,4.4,245000
5/25/2014,4.7,4.7,4.3,4.3,477500
5/26/2014,4.4,4.5,4.3,4.3,579500
5/27/2014,4.3,4.5,4.3,4.4,158000
5/28/2014,4.5,4.7,4.5,4.5,147500
5/29/2014,4.6,4.7,4.5,4.6,115000
6/1/2014,4.6,5.0,4.6,5.0,1418000
6/2/2014,5.4,5.5,5.3,5.5,424500
6/3/2014,5.9,6.0,5.2,5.2,659000
6/4/2014,5.3,5.4,4.9,4.9,426000
6/5/2014,5.0,5.2,4.9,5.0,201500
6/8/2014,5.0,5.0,4.9,4.9,120000
6/9/2014,4.9,4.9,4.7,4.7,1296500
6/10/2014,4.8,4.8,4.6,4.7,270500
6/11/2014,4.7,5.0,4.7,4.8,440500
6/12/2014,4.8,5.1,4.8,5.0,198000
6/15/2014,5.0,5.1,4.9,4.9,200500
6/16/2014,5.0,5.3,5.0,5.1,314000
6/17/2014,5.1,5.2,5.1,5.1,217000
6/18/2014,5.2,5.6,5.2,5.4,556000
6/19/2014,5.4,5.6,5.4,5.4,422000
6/22/2014,5.9,5.9,5.3,5.4,158500
6/23/2014,5.6,5.6,5.4,5.4,120000
6/24/2014,5.5,5.5,5.4,5.4,138000
6/25/2014,5.5,5.5,5.3,5.3,101000
6/26/2014,5.4,5.4,5.2,5.2,85000
6/29/2014,5.3,5.4,5.2,5.3,426000
6/30/2014,5.3,5.4,5.2,5.3,152500
7/2/2014,5.3,5.3,5.1,5.1,137500
7/3/2014,5.1,5.2,5.1,5.1,78500
7/6/2014,5.1,5.1,5.0,5.0,45000
7/7/2014,5.0,5.1,5.0,5.0,112000
7/8/2014,4.9,5.0,4.9,4.9,37500
7/9/2014,5.0,5.1,4.9,5.0,80000
7/10/2014,5.0,5.1,5.0,5.0,51000
7/13/2014,5.0,5.0,5.0,5.0,32500
7/14/2014,5.1,5.1,4.9,4.9,61000
7/15/2014,4.9,5.1,4.9,4.9,126000
7/16/2014,5.0,5.1,5.0,5.0,77500
7/17/2014,5.0,5.1,5.0,5.0,26000
7/20/2014,5.1,5.1,5.0,5.0,70000
7/21/2014,5.0,5.1,5.0,5.0,61500
7/22/2014,5.0,5.2,5.0,5.1,78000
7/23/2014,5.1,5.2,5.1,5.1,286000
7/24/2014,5.1,5.1,5.0,5.0,183000
8/3/2014,5.0,5.1,4.9,4.9,204500
8/4/2014,4.9,5.0,4.7,4.7,340000
8/5/2014,4.9,5.0,4.7,4.7,176500
8/6/2014,4.9,5.0,4.8,4.8,162000
8/7/2014,4.8,5.0,4.8,4.9,264500
8/10/2014,4.8,4.9,4.8,4.8,96000
8/11/2014,4.8,5.0,4.8,4.9,165500
8/12/2014,4.8,4.9,4.8,4.8,282500
8/13/2014,4.8,4.9,4.8,4.8,184500
8/14/2014,4.8,4.9,4.8,4.8,339500
8/18/2014,4.8,4.8,4.6,4.6,331000
8/19/2014,4.8,4.9,4.7,4.7,131000
8/20/2014,4.7,4.8,4.5,4.6,403500
8/21/2014,4.7,4.8,4.6,4.7,78000
8/24/2014,4.6,4.9,4.6,4.7,123000
8/25/2014,4.6,4.8,4.6,4.7,185000
8/26/2014,4.7,4.8,4.7,4.7,265500
8/27/2014,4.7,4.8,4.7,4.7,164500
8/28/2014,4.7,4.7,4.4,4.5,1001500
8/31/2014,4.6,4.7,4.3,4.3,1314000
9/1/2014,4.4,4.6,4.4,4.5,236500
9/2/2014,4.6,4.7,4.5,4.6,173500
9/3/2014,4.7,4.7,4.5,4.6,232000
9/4/2014,4.6,4.7,4.5,4.6,198000
9/7/2014,4.6,4.7,4.5,4.6,117000
9/8/2014,4.7,4.8,4.6,4.6,109000
9/9/2014,4.6,4.7,4.6,4.6,107500
9/10/2014,4.7,4.7,4.6,4.6,170000
9/11/2014,4.7,4.7,4.6,4.6,187500
9/14/2014,4.6,4.7,4.6,4.6,261000
9/15/2014,4.6,4.7,4.5,4.6,394000
9/16/2014,4.7,4.7,4.5,4.5,112000
