Date,Open,High,Low,Close,Volume
12/18/2022,13.3,13.3,13.3,13.3,5612
12/19/2022,14.6,14.6,14.6,14.6,291
12/20/2022,16.0,16.0,16.0,16.0,337
12/21/2022,17.6,17.6,17.6,17.6,1135
12/22/2022,19.3,19.3,19.3,19.3,540
12/26/2022,21.2,21.2,21.2,21.2,546
12/27/2022,23.3,23.3,23.3,23.3,891
12/28/2022,25.6,25.6,25.6,25.6,1389
12/29/2022,28.1,28.1,28.1,28.1,17122
1/1/2023,30.9,30.9,30.9,30.9,693
1/2/2023,33.9,33.9,33.9,33.9,5335
1/3/2023,37.2,37.2,37.2,37.2,19636
1/4/2023,40.9,40.9,40.9,40.9,34971
1/5/2023,44.9,44.9,44.9,44.9,46338
1/8/2023,49.3,49.3,44.5,46.2,4951404
1/9/2023,46.2,46.2,45.8,45.8,34410
1/10/2023,45.4,45.4,45.4,45.4,8367
1/11/2023,45.0,45.0,45.0,45.0,10582
1/12/2023,44.6,44.6,44.6,44.6,4224
1/15/2023,44.2,45.0,44.2,44.2,2483148
1/16/2023,43.8,44.8,43.8,43.8,565398
1/17/2023,43.4,43.4,43.4,43.4,33313
1/18/2023,43.0,43.0,43.0,43.0,22492
1/19/2023,42.6,43.0,42.6,42.6,1089626
1/22/2023,42.2,45.3,42.2,42.6,2480684
1/23/2023,42.2,43.0,42.2,42.2,869387
1/24/2023,41.8,42.4,41.8,41.9,1497705
1/25/2023,41.6,43.0,41.5,42.0,946814
1/26/2023,42.0,42.5,41.6,41.6,403027
1/29/2023,41.2,42.3,41.2,41.2,52302
1/30/2023,40.8,40.8,40.8,40.8,7515
1/31/2023,40.4,40.4,40.4,40.4,6032
2/1/2023,40.0,40.0,40.0,40.0,27561
2/2/2023,39.6,40.0,39.6,39.6,495265
2/5/2023,39.3,40.6,39.3,39.3,598394
2/6/2023,39.0,39.2,39.0,39.0,81512
2/7/2023,38.7,38.7,38.7,38.7,15565
2/8/2023,38.4,38.4,38.4,38.4,18787
2/9/2023,38.1,38.1,38.1,38.1,18588
2/12/2023,37.8,37.8,37.8,37.8,3275
2/13/2023,37.5,37.5,37.5,37.5,3657
2/14/2023,37.2,37.2,37.2,37.2,2662
2/15/2023,36.9,36.9,36.9,36.9,8148
2/16/2023,36.6,36.6,36.6,36.6,1002
2/19/2023,36.3,36.3,36.3,36.3,1560
2/20/2023,36.0,36.0,36.0,36.0,202
2/22/2023,35.7,35.7,35.7,35.7,3945
2/23/2023,35.4,35.4,35.4,35.4,3007
2/26/2023,35.1,35.1,35.1,35.1,1741
2/27/2023,34.8,34.8,34.8,34.8,1662
2/28/2023,34.5,34.8,34.5,34.5,509877
3/1/2023,34.2,34.5,34.2,34.2,366641
3/2/2023,33.9,33.9,31.0,31.8,567329
3/5/2023,31.5,33.9,31.3,33.7,492486
3/6/2023,33.7,34.8,33.6,34.0,582490
3/7/2023,34.0,34.2,32.7,32.9,527627
3/9/2023,32.9,33.2,32.1,32.3,285210
3/12/2023,32.3,32.7,30.0,30.8,374077
3/13/2023,30.8,31.6,30.3,30.9,443926
3/14/2023,30.9,32.6,30.9,31.8,428597
3/15/2023,31.9,31.9,30.5,30.7,437145
3/16/2023,30.5,30.8,29.0,29.3,691696
3/19/2023,29.4,29.6,27.5,27.8,428316
3/20/2023,27.7,28.5,27.6,28.1,369269
3/21/2023,28.0,28.7,28.0,28.6,205537
3/22/2023,28.6,28.7,27.4,27.5,311557
3/23/2023,27.6,27.8,27.2,27.6,201980
3/27/2023,27.5,27.7,26.1,26.3,379292
3/28/2023,26.3,26.9,26.0,26.3,266378
3/29/2023,26.3,27.3,26.3,27.2,321616
3/30/2023,27.3,28.6,27.2,28.3,653603
4/2/2023,28.4,28.6,27.9,28.2,470301
4/3/2023,28.2,28.4,27.5,27.7,396886
4/4/2023,27.6,27.8,26.9,27.0,397013
4/5/2023,26.6,27.0,26.3,26.5,343057
4/6/2023,26.5,27.4,26.3,26.9,298626
4/9/2023,26.9,27.1,26.6,26.9,219997
4/10/2023,26.8,26.9,26.3,26.4,262989
4/11/2023,25.9,27.0,25.9,26.4,232163
4/12/2023,26.4,26.6,26.1,26.3,209775
4/13/2023,26.3,26.4,25.9,26.2,221676
4/16/2023,26.0,26.4,25.9,26.2,142224
4/17/2023,26.0,27.6,26.0,27.3,394004
4/18/2023,27.5,27.5,26.6,26.8,292137
4/24/2023,26.6,27.6,26.4,27.5,274348
4/25/2023,27.5,27.8,26.9,27.2,441388
4/26/2023,27.0,27.3,26.9,27.1,329218
4/27/2023,27.2,27.9,26.9,27.8,514169
4/30/2023,27.6,30.1,27.6,29.1,881447
5/2/2023,29.1,29.8,29.0,29.1,618957
5/3/2023,29.0,29.5,28.5,28.6,425523
5/7/2023,28.5,29.1,28.3,28.8,425517
5/8/2023,28.6,29.0,28.4,28.5,397736
5/9/2023,28.4,28.8,28.2,28.3,370210
5/10/2023,28.3,29.3,28.1,29.1,544671
5/11/2023,29.1,32.0,29.1,31.2,2219969
5/14/2023,31.2,33.4,31.2,32.1,1139494
5/15/2023,32.0,33.8,31.9,32.4,1689376
5/16/2023,32.4,33.5,32.0,32.3,1246253
5/17/2023,32.3,35.5,31.9,35.5,2681773
5/18/2023,36.1,38.8,36.0,36.9,2274188
5/21/2023,36.7,39.7,35.1,38.6,2469968
5/22/2023,38.7,40.7,37.1,38.3,1907257
5/23/2023,38.3,42.1,37.8,41.1,2837951
5/24/2023,42.0,44.0,39.5,40.5,2355785
5/25/2023,40.4,43.5,39.8,42.9,2893133
5/28/2023,42.9,45.8,42.9,43.9,2440651
5/29/2023,44.0,44.2,41.2,41.7,2647445
5/30/2023,42.0,42.9,40.9,41.6,1561233
5/31/2023,41.6,42.8,37.6,38.8,1947617
6/1/2023,39.0,41.4,38.1,40.8,1100977
6/4/2023,40.8,41.9,39.0,39.5,1104714
6/5/2023,39.6,40.5,37.3,37.6,905029
6/6/2023,37.0,38.8,36.5,37.0,774390
6/7/2023,37.5,40.7,36.8,40.7,1784449
6/8/2023,41.7,42.0,38.7,38.9,1010127
6/11/2023,38.0,39.3,36.5,37.0,1014268
6/12/2023,35.9,37.7,35.8,36.0,672745
6/13/2023,36.0,36.9,32.5,33.1,609461
6/14/2023,33.1,35.0,33.1,33.4,710521
6/15/2023,33.1,33.2,30.1,31.7,573161
6/18/2023,31.5,32.0,31.1,31.5,272904
6/19/2023,31.5,34.6,31.5,34.6,750986
6/20/2023,35.0,36.1,33.7,34.8,870078
6/21/2023,34.5,34.9,33.7,34.6,447539
6/22/2023,35.0,36.8,35.0,35.5,872507
6/25/2023,35.5,35.8,35.0,35.4,293414
6/26/2023,35.4,36.4,34.4,35.4,466558
7/2/2023,35.5,35.8,34.5,34.8,238827
7/3/2023,34.5,34.9,33.9,34.1,318132
7/4/2023,33.8,34.7,33.3,33.5,200340
7/5/2023,33.6,34.1,33.5,33.7,345720
7/6/2023,33.1,34.4,33.1,34.1,336767
7/9/2023,34.2,35.0,33.2,33.4,502009
7/10/2023,33.7,33.7,31.4,32.2,371073
7/11/2023,32.2,33.3,31.5,33.2,436156
7/12/2023,33.2,34.0,33.2,33.5,442141
7/13/2023,33.3,33.3,31.7,32.1,427029
7/16/2023,31.9,35.3,31.7,35.3,1090842
7/17/2023,35.3,36.0,34.3,34.9,1035076
7/18/2023,34.4,35.6,34.1,34.6,807537
7/19/2023,34.6,36.3,34.6,35.8,881779
7/20/2023,35.8,37.9,35.8,36.6,1452051
7/24/2023,35.0,37.2,34.0,35.8,1249102
7/25/2023,36.0,37.9,35.7,36.0,931803
7/26/2023,35.8,36.2,34.3,36.0,657030
7/27/2023,36.7,37.7,35.7,37.0,1341426
7/30/2023,37.0,37.4,35.9,36.6,780933
7/31/2023,35.0,35.4,34.1,34.4,659935
8/1/2023,34.7,35.3,33.4,33.9,467367
8/2/2023,33.9,34.7,33.5,33.7,280192
8/3/2023,33.7,34.2,33.2,33.4,230741
8/6/2023,33.0,34.4,33.0,33.4,268024
8/7/2023,33.6,33.7,31.3,31.7,358179
8/8/2023,32.7,32.7,31.8,32.3,151946
8/9/2023,32.3,32.5,31.0,31.3,254457
8/10/2023,30.2,31.3,30.1,31.1,182248
8/13/2023,31.8,32.6,30.8,31.3,280017
8/14/2023,31.3,31.8,30.2,30.6,217732
8/16/2023,30.6,31.3,28.9,29.1,141335
8/17/2023,29.1,30.4,29.1,30.0,129000
8/20/2023,29.8,30.6,29.5,30.2,117904
8/21/2023,30.7,31.9,30.5,31.5,235059
8/22/2023,32.0,32.0,30.7,30.9,204886
8/23/2023,30.7,31.3,30.4,30.5,153614
8/24/2023,31.0,31.0,30.1,30.2,138226
8/27/2023,30.8,31.0,30.2,30.8,96700
8/28/2023,31.2,31.4,30.8,31.0,204656
8/29/2023,31.5,31.5,30.4,30.5,124576
8/30/2023,30.3,31.0,30.3,30.7,128227
8/31/2023,31.0,31.3,30.8,31.1,215518
9/3/2023,31.3,32.9,31.2,31.9,462173
9/4/2023,32.2,32.8,31.6,32.0,423862
9/5/2023,32.0,33.5,32.0,33.3,694151
9/7/2023,33.3,35.3,33.2,33.8,895634
9/10/2023,34.0,34.6,33.1,33.9,582140
9/11/2023,33.4,35.8,33.4,34.8,590891
9/12/2023,34.8,36.0,34.8,35.7,761809
9/13/2023,35.8,36.5,35.3,35.6,637143
9/14/2023,35.6,36.0,34.8,35.5,579188
9/17/2023,36.0,37.2,35.1,35.5,1639796
9/18/2023,35.5,36.3,35.0,36.1,840232
9/19/2023,36.3,38.2,36.3,37.3,1769401
9/20/2023,37.2,38.8,36.2,36.9,1064955
9/21/2023,37.1,37.9,35.8,35.9,670743
9/24/2023,35.5,36.1,33.5,34.0,543514
9/25/2023,35.3,35.3,33.9,34.4,364661
9/26/2023,34.7,35.1,33.6,33.8,334273
9/27/2023,33.8,34.0,33.1,33.5,302528
10/1/2023,33.5,34.1,31.1,31.7,492194
10/2/2023,31.6,33.8,30.5,33.6,276768
10/3/2023,33.7,33.8,32.3,32.5,512895
10/4/2023,31.6,33.0,31.6,32.5,224257
10/5/2023,32.5,32.6,32.0,32.4,187165
10/8/2023,32.0,32.4,31.0,31.3,165999
10/9/2023,30.8,31.5,30.3,30.6,149989
10/10/2023,31.0,32.0,31.0,31.9,86931
10/11/2023,31.5,32.1,31.1,31.4,121332
10/12/2023,31.3,32.5,31.3,32.3,110243
10/15/2023,32.5,32.9,31.5,32.4,166378
10/16/2023,32.1,32.7,31.5,31.6,230106
10/17/2023,31.6,31.9,31.1,31.2,125374
10/18/2023,31.2,31.9,31.2,31.6,91970
10/19/2023,31.7,32.5,31.4,32.2,171434
10/22/2023,32.2,33.2,32.2,32.5,235984
10/23/2023,32.0,32.3,31.7,31.9,107599
10/25/2023,31.6,32.2,31.5,31.6,165941
10/26/2023,31.4,31.4,30.6,30.8,179558
10/29/2023,30.5,30.5,29.9,30.1,216986
10/30/2023,30.0,30.7,29.9,30.1,101898
10/31/2023,30.1,30.9,29.9,30.8,167678
11/1/2023,30.9,32.0,30.9,31.7,280951
11/2/2023,31.5,32.8,31.5,32.6,396334
11/5/2023,32.9,33.7,32.1,33.6,444771
11/6/2023,33.6,34.1,32.7,32.7,350645
11/7/2023,33.0,34.0,32.3,32.8,615083
11/8/2023,32.5,33.8,31.8,32.0,472765
11/9/2023,31.9,32.7,31.5,32.2,200758
11/12/2023,32.0,32.6,31.8,32.0,208445
11/13/2023,31.8,32.3,31.8,32.1,282681
11/14/2023,31.9,32.8,31.9,32.4,743234
11/15/2023,32.4,33.1,31.7,31.8,412431
11/16/2023,31.8,32.8,31.6,32.7,676001
11/19/2023,32.9,33.3,32.6,32.8,877756
11/20/2023,32.6,32.9,32.0,32.1,142391
11/21/2023,32.1,32.3,31.3,31.4,307557
11/22/2023,31.4,32.0,30.9,31.5,340147
11/23/2023,31.0,31.7,30.5,30.8,221859
11/26/2023,30.8,30.9,30.1,30.3,195102
11/27/2023,30.3,30.9,30.1,30.4,161869
11/28/2023,30.3,30.8,30.2,30.5,102832
11/29/2023,30.8,31.0,30.4,30.8,126318
11/30/2023,31.2,31.5,30.8,30.9,136659
12/3/2023,30.8,31.0,30.5,30.8,106970
12/4/2023,30.8,32.1,30.8,31.3,300348
12/5/2023,31.9,31.9,30.6,31.0,160335
12/6/2023,30.7,31.2,30.7,31.1,197321
12/7/2023,31.2,31.3,30.6,31.1,191626
12/10/2023,31.3,31.3,30.8,31.0,222319
12/11/2023,31.0,32.4,30.7,32.2,463767
12/12/2023,32.2,32.2,31.4,31.9,208213
12/13/2023,32.5,33.5,31.9,32.5,992966
12/14/2023,32.4,32.4,31.4,31.5,334484
12/17/2023,31.2,32.0,31.0,31.2,339648
12/18/2023,31.2,31.8,31.0,31.3,169440
12/19/2023,31.1,31.6,31.1,31.3,156104
12/20/2023,31.2,31.4,31.0,31.1,151407
12/21/2023,31.0,31.7,31.0,31.2,194541
12/24/2023,31.2,31.3,30.8,31.2,92876
12/26/2023,31.0,31.3,30.6,30.8,378914
12/27/2023,30.5,31.2,30.5,31.1,191978
12/28/2023,30.9,31.5,30.9,31.2,336974
1/1/2024,31.3,32.0,30.9,31.9,584290
1/2/2024,32.0,33.0,31.1,31.3,844148
1/3/2024,31.6,31.6,31.1,31.2,174325
1/4/2024,31.2,31.9,30.9,31.6,336292
1/8/2024,31.9,32.5,31.7,32.1,322066
1/9/2024,32.3,32.3,31.5,31.8,386134
1/10/2024,30.0,32.2,30.0,31.8,334843
1/11/2024,31.9,32.3,31.8,31.9,458329
1/14/2024,32.1,32.7,32.1,32.4,669623
1/15/2024,32.4,32.5,31.7,32.3,460949
1/16/2024,32.3,33.0,32.1,32.2,509062
1/17/2024,32.3,32.7,31.8,32.0,479875
1/18/2024,31.9,32.3,31.6,31.7,408158
1/21/2024,31.0,31.7,30.7,31.5,266337
1/22/2024,31.9,32.8,31.6,32.6,759118
1/23/2024,32.7,32.7,32.2,32.4,463576
1/24/2024,32.4,32.7,31.6,31.7,231155
1/25/2024,31.9,32.6,31.5,32.5,487030
1/28/2024,32.7,34.6,32.7,33.3,1628435
1/29/2024,33.3,33.6,32.4,32.6,388012
1/30/2024,32.6,32.8,32.1,32.4,617407
1/31/2024,32.6,33.5,32.4,32.9,527299
2/1/2024,32.6,33.2,32.5,32.7,402343
2/4/2024,32.4,34.2,32.4,33.8,894541
2/5/2024,34.0,35.0,34.0,34.5,1302317
2/6/2024,35.0,35.0,33.6,33.8,586018
2/7/2024,33.3,34.1,32.9,33.1,778817
2/8/2024,33.1,34.0,33.0,33.2,477005
2/11/2024,33.9,33.9,32.8,33.0,410175
2/12/2024,33.5,33.6,32.5,32.7,301267
2/13/2024,33.0,33.0,32.1,32.2,248271
2/14/2024,33.0,34.5,31.7,31.9,252107
2/15/2024,31.9,32.5,31.8,32.1,139744
2/18/2024,32.3,33.4,31.8,32.6,307061
2/19/2024,33.3,33.3,31.7,31.9,233117
2/20/2024,31.9,32.3,31.6,31.7,96952
