Date,Open,High,Low,Close,Volume
10/1/2012,9.5,10.1,9.1,9.9,2945500
10/2/2012,10.3,10.8,10.3,10.8,7755500
10/3/2012,11.8,11.8,10.1,10.3,10696000
10/4/2012,10.0,11.1,9.6,10.6,3000500
10/7/2012,11.0,11.0,9.6,9.6,3087000
10/8/2012,8.9,9.5,8.7,9.0,2489500
10/9/2012,9.5,9.9,9.4,9.8,2014000
10/10/2012,10.2,10.3,9.0,9.1,1156500
10/11/2012,9.1,9.4,8.8,8.8,1039500
10/14/2012,8.9,9.3,8.5,8.6,1215000
10/15/2012,7.9,9.4,7.9,9.3,1423000
10/16/2012,9.5,9.8,8.9,9.0,1732000
10/17/2012,9.0,9.4,9.0,9.2,731000
10/18/2012,9.4,9.7,9.3,9.4,1481500
10/21/2012,9.7,9.7,9.0,9.1,743000
10/22/2012,8.8,9.4,8.8,9.3,522500
10/23/2012,9.3,9.7,9.3,9.4,1529000
10/30/2012,9.4,9.7,9.2,9.5,944500
10/31/2012,9.6,10.1,9.5,9.8,2012500
11/1/2012,10.0,10.0,9.4,9.5,1149500
11/4/2012,9.5,9.6,9.1,9.1,852500
11/5/2012,9.3,9.5,9.1,9.3,563500
11/6/2012,9.5,9.8,9.5,9.6,1262500
11/7/2012,9.9,9.9,9.4,9.5,1176500
11/8/2012,9.5,9.6,9.3,9.3,584000
11/11/2012,9.4,9.4,8.6,8.7,1305000
11/12/2012,8.9,9.2,8.4,8.4,851500
11/13/2012,8.5,8.8,8.4,8.6,489000
11/14/2012,9.4,9.4,8.4,8.5,572500
11/15/2012,8.6,9.3,8.4,9.1,965500
11/18/2012,9.5,9.5,8.9,9.0,1052500
11/19/2012,9.0,9.0,8.7,8.7,550500
11/20/2012,9.2,9.2,8.5,8.5,412500
11/21/2012,8.8,8.8,8.4,8.5,739500
11/22/2012,8.7,8.9,8.7,8.7,333500
11/26/2012,8.6,8.6,8.4,8.4,228000
11/27/2012,8.4,8.5,8.2,8.3,324500
11/28/2012,8.5,8.5,8.0,8.1,506500
11/29/2012,8.5,8.7,8.3,8.6,657000
12/2/2012,8.8,9.0,8.1,8.2,745000
12/3/2012,8.3,8.3,8.0,8.1,415000
12/4/2012,8.2,8.3,8.0,8.2,328500
12/5/2012,8.8,8.8,8.0,8.1,1195500
12/6/2012,8.1,8.1,7.9,7.9,654500
12/9/2012,7.9,7.9,7.7,7.7,227000
12/10/2012,7.8,7.8,7.5,7.5,440500
12/11/2012,7.4,8.2,7.4,8.1,757000
12/12/2012,7.9,8.4,7.8,7.9,554000
12/13/2012,8.1,8.1,7.7,7.8,362000
