Date,Open,High,Low,Close,Volume
10/1/2012,7.2,8.0,6.7,7.9,2377500
10/2/2012,8.5,8.6,8.5,8.6,3414000
10/3/2012,9.4,9.4,8.6,8.8,6705000
10/4/2012,8.4,9.1,8.1,8.9,2546000
10/7/2012,8.6,8.9,8.1,8.1,1644500
10/8/2012,7.6,8.2,7.3,7.3,1801000
10/9/2012,7.6,8.0,7.5,8.0,920000
10/10/2012,8.6,8.8,7.7,7.8,1258500
10/11/2012,8.0,8.0,7.4,7.4,749000
10/14/2012,7.5,7.7,7.0,7.0,720500
10/15/2012,7.2,7.7,6.8,7.7,825500
10/16/2012,8.0,8.3,7.5,7.6,1036000
10/17/2012,7.5,7.9,7.4,7.6,817500
10/18/2012,7.8,7.9,7.6,7.6,619500
10/21/2012,7.7,7.7,7.4,7.4,659500
10/22/2012,7.5,7.7,7.3,7.5,372000
10/23/2012,7.6,7.7,7.5,7.5,705500
10/30/2012,7.6,7.6,7.3,7.4,269500
10/31/2012,7.5,7.8,7.4,7.5,652500
11/1/2012,7.5,7.7,7.3,7.4,318000
11/4/2012,7.5,7.5,7.2,7.2,193000
11/5/2012,7.2,7.4,7.1,7.2,344000
11/6/2012,7.4,7.6,7.3,7.5,488500
11/7/2012,7.7,7.8,7.5,7.5,521500
11/8/2012,7.5,7.6,7.3,7.3,308000
11/11/2012,7.4,7.4,6.9,6.9,467000
11/12/2012,7.0,7.2,6.7,6.8,503000
11/13/2012,6.7,7.0,6.6,6.9,686500
11/14/2012,6.9,7.0,6.8,6.8,432500
11/15/2012,6.9,7.4,6.8,7.3,875000
11/18/2012,7.5,7.8,7.1,7.1,831000
11/19/2012,7.2,7.2,6.8,6.8,528500
11/20/2012,6.9,7.0,6.8,6.8,379500
11/21/2012,6.9,7.0,6.7,6.7,720000
11/22/2012,7.0,7.0,6.6,6.7,1045000
11/26/2012,6.7,6.7,6.3,6.5,542500
11/27/2012,6.6,6.6,6.2,6.4,628500
11/28/2012,6.5,6.6,6.3,6.3,615500
11/29/2012,6.7,6.9,6.5,6.7,475000
12/2/2012,7.0,7.0,6.4,6.4,741500
12/3/2012,6.4,6.5,6.3,6.3,191000
12/4/2012,6.3,6.5,6.3,6.4,176000
12/5/2012,6.5,6.5,6.3,6.4,230500
12/6/2012,6.3,6.4,6.3,6.3,186500
12/9/2012,6.2,6.3,6.0,6.0,204500
12/10/2012,6.0,6.1,5.8,5.9,236000
12/11/2012,5.9,6.4,5.8,6.3,551000
12/12/2012,6.3,6.8,6.3,6.3,744000
12/13/2012,6.3,6.4,6.2,6.3,249500
12/17/2012,6.4,6.5,6.3,6.4,231500
12/18/2012,6.4,6.4,6.2,6.2,271000
12/19/2012,6.2,6.5,6.2,6.3,723000
12/20/2012,6.4,6.4,6.2,6.2,185000
12/23/2012,6.3,6.3,6.1,6.1,132000
12/24/2012,6.2,6.4,6.1,6.2,241500
12/26/2012,6.3,6.3,6.1,6.1,402500
12/27/2012,6.3,6.3,6.1,6.2,397000
12/30/2012,6.2,6.4,6.2,6.2,183000
1/1/2013,6.2,6.3,6.1,6.1,141000
1/2/2013,6.2,6.2,6.0,6.1,449000
1/3/2013,6.3,6.7,6.2,6.6,1563500
1/6/2013,6.6,6.9,6.6,6.6,774000
1/7/2013,6.6,6.6,6.4,6.4,252000
1/8/2013,6.5,6.7,6.4,6.4,321500
1/9/2013,7.0,7.0,6.6,6.6,1531500
1/10/2013,6.6,6.6,6.3,6.3,414000
1/13/2013,6.4,6.4,6.2,6.2,222000
1/14/2013,6.2,6.3,6.2,6.2,195000
1/15/2013,6.3,6.4,6.2,6.3,147000
1/16/2013,6.3,6.4,6.2,6.3,139500
1/17/2013,6.3,6.4,6.2,6.2,279000
1/20/2013,6.2,6.3,6.2,6.2,230500
1/21/2013,6.2,6.3,6.2,6.2,118000
1/22/2013,6.2,6.2,6.1,6.1,756500
1/23/2013,6.2,6.2,6.0,6.0,426500
1/24/2013,6.1,6.1,6.0,6.0,430500
1/27/2013,6.1,6.2,6.0,6.0,311000
1/28/2013,6.0,6.1,5.9,5.9,306000
1/29/2013,6.0,6.1,5.9,6.0,573000
1/30/2013,6.0,6.1,5.9,6.0,172000
1/31/2013,6.0,6.0,5.9,5.9,263000
2/3/2013,6.0,6.1,5.9,5.9,296000
2/4/2013,5.9,6.0,5.8,5.8,416500
2/5/2013,5.8,6.0,5.8,5.9,177500
2/6/2013,6.0,6.0,5.9,5.9,381500
2/7/2013,6.0,6.1,5.9,5.9,296500
2/10/2013,5.9,6.1,5.9,5.9,595500
2/11/2013,6.1,6.1,5.9,5.9,584000
2/12/2013,6.0,6.1,5.9,5.9,329000
2/13/2013,5.9,6.0,5.8,5.8,382500
2/14/2013,5.8,5.9,5.8,5.8,607000
2/17/2013,5.9,5.9,5.7,5.7,688000
2/18/2013,5.8,5.9,5.6,5.6,401000
2/19/2013,5.6,5.7,5.4,5.5,456500
2/20/2013,5.6,5.6,5.4,5.4,363500
2/24/2013,5.4,5.4,5.2,5.2,193000
2/25/2013,5.3,5.3,5.1,5.1,228500
2/26/2013,5.2,5.3,5.1,5.1,316500
2/27/2013,5.2,5.2,5.0,5.0,407000
2/28/2013,5.0,5.1,4.9,5.0,126500
3/3/2013,4.9,5.0,4.6,4.6,519000
3/4/2013,4.7,5.0,4.7,4.9,334500
3/5/2013,4.9,5.0,4.8,4.8,205000
3/6/2013,4.9,5.0,4.8,4.8,212500
3/7/2013,4.8,4.9,4.7,4.8,188500
3/10/2013,4.8,4.9,4.7,4.7,262500
3/11/2013,4.7,4.8,4.6,4.7,339500
3/12/2013,4.7,4.9,4.6,4.8,890000
3/13/2013,4.8,4.9,4.8,4.8,138500
3/14/2013,4.8,4.8,4.7,4.7,175000
3/18/2013,4.7,4.9,4.7,4.8,269000
3/19/2013,4.8,4.8,4.7,4.7,636000
3/20/2013,4.7,4.8,4.7,4.7,328500
3/24/2013,4.7,4.7,4.6,4.6,97500
3/25/2013,4.7,4.7,4.6,4.6,252000
3/27/2013,4.6,4.6,4.5,4.5,263000
3/28/2013,4.5,4.6,4.5,4.5,217500
3/31/2013,4.5,4.5,4.4,4.4,287000
4/1/2013,4.4,4.4,4.3,4.3,154500
4/2/2013,4.4,4.5,4.3,4.4,339500
4/3/2013,4.4,4.5,4.4,4.4,169500
4/4/2013,4.4,4.5,4.4,4.4,222000
4/7/2013,4.5,4.8,4.4,4.6,662000
4/8/2013,4.6,5.0,4.6,5.0,1171000
4/9/2013,5.0,5.4,4.9,5.1,638500
4/10/2013,5.2,5.4,5.0,5.2,735500
4/11/2013,5.2,5.4,5.1,5.3,763500
4/15/2013,5.3,5.4,5.1,5.1,343500
4/16/2013,5.2,5.2,4.8,4.8,460000
4/17/2013,4.9,5.2,4.7,5.1,639000
4/18/2013,5.3,5.5,5.3,5.3,877000
4/21/2013,5.3,5.3,5.0,5.0,365000
4/22/2013,5.0,5.2,5.0,5.1,499500
4/23/2013,5.1,5.2,5.1,5.1,305500
4/24/2013,5.2,5.2,5.0,5.0,361000
4/25/2013,5.1,5.1,4.9,4.9,222000
4/28/2013,4.9,4.9,4.8,4.8,287500
4/29/2013,4.9,4.9,4.7,4.8,267500
4/30/2013,4.9,4.9,4.8,4.8,280500
5/2/2013,4.8,5.0,4.8,4.8,557500
5/5/2013,4.9,4.9,4.8,4.8,173500
5/6/2013,4.8,4.9,4.8,4.8,122500
5/7/2013,4.9,5.1,4.8,4.9,357000
