Date,Open,High,Low,Close,Volume
5/17/2018,66.0,66.0,43.1,43.6,9660473
5/20/2018,43.6,48.5,41.2,47.6,2997679
5/21/2018,47.6,50.7,45.1,45.7,5923262
5/22/2018,45.4,49.6,45.1,47.9,4004340
5/23/2018,47.9,52.6,47.9,52.4,5554866
5/24/2018,53.0,57.4,52.7,54.2,5309631
5/27/2018,54.2,56.4,53.1,53.8,5218193
5/28/2018,54.0,57.7,53.5,55.8,4639009
5/29/2018,56.3,58.6,54.1,54.6,5061284
5/30/2018,54.8,55.9,50.6,51.8,4055045
5/31/2018,52.0,54.0,51.2,52.0,2699267
6/3/2018,52.8,53.2,48.3,48.9,3567805
6/4/2018,49.1,49.8,46.1,46.7,2782368
6/5/2018,47.0,48.5,46.6,47.4,2111197
6/6/2018,47.8,48.4,43.7,44.4,2544761
6/7/2018,44.5,47.5,43.8,46.2,2453277
6/10/2018,46.8,48.4,45.6,47.6,2360969
6/11/2018,47.7,48.9,45.9,46.6,2167357
6/12/2018,46.9,47.2,45.4,45.6,1539984
6/18/2018,45.8,46.1,43.2,43.8,1523109
6/19/2018,43.8,46.4,43.8,45.1,1472064
6/20/2018,45.6,46.4,44.2,44.4,1777948
6/21/2018,44.0,46.8,44.0,45.9,2363894
6/24/2018,46.1,47.8,46.1,46.6,2126009
6/25/2018,46.9,48.9,46.1,47.8,3403639
6/26/2018,48.2,49.6,46.6,47.0,2912195
6/27/2018,47.0,47.6,45.3,45.7,2251361
6/28/2018,45.8,46.7,43.9,44.1,2357687
7/2/2018,44.4,44.9,42.0,42.9,1808831
7/3/2018,43.0,44.3,42.1,42.3,1180410
7/4/2018,42.8,43.7,42.6,43.0,1438782
7/5/2018,44.5,45.5,43.1,43.9,1942994
7/8/2018,44.0,45.4,43.8,43.9,1876126
7/9/2018,44.0,45.4,44.0,44.3,1331264
7/10/2018,45.3,46.6,44.7,45.5,2132266
7/11/2018,46.3,46.9,43.8,44.2,1631255
7/12/2018,44.8,45.2,43.4,43.6,1332348
7/15/2018,44.0,44.1,42.3,42.5,1243468
7/16/2018,43.0,43.5,41.8,41.9,1143801
7/17/2018,42.5,42.5,40.6,41.0,971990
7/18/2018,41.2,41.3,39.0,39.4,1356148
7/19/2018,40.2,41.2,39.5,40.4,1143679
7/22/2018,41.0,42.3,40.7,41.9,1239147
7/23/2018,42.1,42.7,40.3,40.6,830856
7/24/2018,40.4,41.0,39.8,40.0,665198
7/25/2018,40.4,40.8,39.6,39.7,656016
7/26/2018,39.8,40.5,39.2,39.6,629187
7/29/2018,39.4,39.6,36.2,36.4,1241353
7/30/2018,36.4,36.5,34.7,34.9,831492
7/31/2018,35.1,35.7,34.9,35.1,622323
8/1/2018,35.5,36.1,34.6,34.8,484094
8/2/2018,35.3,35.3,33.4,33.6,677051
8/5/2018,33.6,33.8,32.3,32.5,447913
8/6/2018,32.8,35.0,32.3,34.4,781177
8/7/2018,34.6,35.4,34.0,34.2,586422
8/8/2018,34.3,34.7,33.1,33.3,459141
8/9/2018,33.8,33.8,32.3,32.5,376951
8/12/2018,32.7,33.3,32.3,32.4,398196
8/13/2018,32.4,33.0,31.3,31.5,357868
8/14/2018,31.4,32.6,31.4,32.2,363382
8/16/2018,32.8,33.3,32.0,32.2,287311
8/19/2018,32.5,32.5,29.6,29.8,1013626
8/20/2018,29.6,29.8,29.1,29.4,457447
8/26/2018,29.5,29.9,29.0,29.6,444397
8/27/2018,29.7,32.5,29.7,32.2,1438100
8/28/2018,32.5,32.8,31.7,32.1,773576
8/29/2018,32.0,32.0,30.8,30.9,641557
8/30/2018,30.8,31.5,30.5,30.9,599527
9/3/2018,31.1,31.6,30.5,30.7,535080
9/4/2018,30.8,31.2,30.5,30.7,370181
9/5/2018,31.1,33.4,31.1,33.2,1943929
9/6/2018,33.5,34.1,31.7,31.9,894445
9/9/2018,32.0,32.6,31.1,31.3,854353
9/10/2018,31.5,32.4,31.4,31.6,622946
9/11/2018,31.3,32.2,30.9,31.0,479046
9/12/2018,31.5,31.9,31.0,31.2,502569
9/13/2018,31.2,31.9,31.0,31.2,828372
9/16/2018,31.2,31.6,30.3,30.6,522415
9/17/2018,30.6,30.6,29.2,29.5,442983
9/18/2018,29.6,30.1,28.8,28.9,463455
9/19/2018,29.3,29.7,28.9,29.0,319502
9/20/2018,29.6,29.9,29.1,29.2,454206
9/23/2018,29.2,29.3,27.8,28.1,405457
9/24/2018,28.5,28.5,26.7,26.9,392737
9/25/2018,26.9,27.5,26.1,26.3,301600
9/26/2018,26.3,27.7,26.3,26.9,530645
9/27/2018,27.4,28.4,26.7,27.8,694141
9/30/2018,28.0,30.5,28.0,30.5,1666177
10/1/2018,31.2,31.8,29.2,29.7,942561
10/2/2018,29.7,30.4,28.9,29.6,987248
10/3/2018,29.8,30.4,29.3,29.4,492206
10/4/2018,29.4,29.8,29.0,29.1,486947
10/7/2018,29.3,31.3,28.8,30.6,1033806
10/8/2018,30.6,31.2,29.2,29.4,595992
