Date,Open,High,Low,Close,Volume
10/1/2012,36.1,37.5,36.1,36.9,28500
10/2/2012,36.5,37.7,36.5,37.1,42500
10/3/2012,37.0,39.5,37.0,39.2,279000
10/4/2012,39.0,39.6,38.1,38.5,65000
10/7/2012,38.3,38.3,37.7,37.9,36500
10/8/2012,37.5,38.2,37.3,38.0,71500
10/9/2012,39.0,39.0,37.9,37.9,78500
10/10/2012,38.2,38.2,37.6,37.7,43500
10/11/2012,37.9,38.0,37.7,37.7,29000
10/14/2012,37.7,38.0,37.3,37.7,17500
10/15/2012,37.0,37.1,36.8,36.9,35500
10/16/2012,36.6,37.3,36.3,37.0,26500
10/17/2012,37.5,37.5,36.2,37.1,37500
10/18/2012,36.2,37.0,35.0,36.2,27500
10/21/2012,36.2,36.8,35.6,36.1,18500
10/22/2012,37.0,38.0,36.1,37.9,113000
10/23/2012,38.4,39.3,38.0,39.0,164500
10/30/2012,38.1,39.0,37.8,38.7,15000
10/31/2012,38.4,38.9,37.4,38.4,32000
11/1/2012,37.8,37.8,37.0,37.4,6500
11/4/2012,36.5,36.5,36.4,36.4,3500
11/5/2012,36.0,36.8,35.7,36.0,16000
11/6/2012,37.0,37.0,36.0,36.1,11000
11/7/2012,35.9,35.9,35.3,35.4,14500
11/8/2012,34.9,35.7,33.5,34.7,16000
11/11/2012,33.7,33.8,33.1,33.5,8500
11/12/2012,32.8,33.0,32.6,32.8,3000
11/13/2012,32.8,33.8,32.7,33.1,3000
11/14/2012,33.6,35.7,33.6,34.0,6000
11/15/2012,33.9,33.9,33.9,33.9,1000
11/18/2012,33.9,33.9,33.9,33.9,3000
11/19/2012,33.0,33.0,33.0,33.0,1500
11/20/2012,33.8,33.8,33.0,33.4,2000
11/21/2012,34.0,34.3,33.0,33.7,7500
11/22/2012,33.9,34.0,32.5,32.9,5000
11/26/2012,32.0,32.0,31.8,31.8,3000
11/27/2012,32.1,33.0,32.1,32.6,3000
11/28/2012,32.7,33.9,31.6,33.4,8500
11/29/2012,32.0,34.9,32.0,34.0,7500
12/2/2012,32.2,32.2,32.1,32.1,1000
12/4/2012,30.9,31.7,30.9,31.3,1000
12/6/2012,32.2,32.2,31.4,31.8,3500
12/9/2012,31.0,31.0,29.6,30.7,7500
12/13/2012,31.0,31.2,31.0,31.1,1000
12/17/2012,32.0,32.0,32.0,32.0,1500
12/18/2012,32.1,32.2,30.0,30.9,11000
12/19/2012,31.3,31.5,31.2,31.4,11000
12/20/2012,30.4,31.5,30.4,30.9,3000
12/23/2012,30.5,30.6,30.5,30.5,2500
12/24/2012,31.9,33.4,31.1,32.1,3500
12/26/2012,31.5,31.9,31.5,31.5,4500
12/27/2012,31.5,33.0,31.0,31.6,12500
12/30/2012,34.0,34.0,32.0,33.3,6000
1/1/2013,32.1,32.1,30.2,31.1,9000
1/2/2013,32.0,32.5,31.2,31.9,50000
1/3/2013,30.4,31.1,30.4,30.8,1500
1/6/2013,31.1,31.1,30.9,30.9,2500
1/7/2013,30.0,30.0,30.0,30.0,500
1/8/2013,30.2,30.6,30.2,30.4,1500
1/9/2013,30.7,30.7,30.7,30.7,3500
1/13/2013,31.0,31.3,31.0,31.1,4000
1/14/2013,30.7,30.7,30.7,30.7,1500
1/15/2013,30.2,31.0,30.2,30.6,1000
1/16/2013,30.9,31.0,30.5,30.9,7000
1/17/2013,31.0,31.0,30.5,30.7,5500
1/20/2013,30.4,30.6,30.2,30.3,6500
1/21/2013,30.0,30.2,30.0,30.0,5000
1/22/2013,30.8,30.8,30.8,30.8,500
1/23/2013,31.1,31.3,31.1,31.1,3000
1/24/2013,31.4,32.8,31.4,32.1,9500
1/27/2013,32.0,32.0,31.1,31.4,3500
1/28/2013,31.0,31.9,30.8,31.1,15000
1/29/2013,32.4,32.8,31.8,32.1,13500
1/30/2013,32.1,32.1,31.2,31.5,10000
1/31/2013,32.0,32.1,32.0,32.0,6000
2/3/2013,32.5,33.4,32.5,33.0,28500
2/4/2013,32.4,33.0,32.4,32.6,4500
2/5/2013,32.2,33.0,32.1,32.4,8500
2/6/2013,33.0,34.1,32.8,33.9,32500
2/7/2013,34.0,34.0,33.1,33.3,12000
2/10/2013,32.9,33.4,32.9,33.2,8500
2/11/2013,33.2,34.0,33.2,33.7,20000
2/12/2013,33.6,33.6,33.3,33.5,10500
2/13/2013,33.4,33.4,33.1,33.2,8500
2/14/2013,33.4,34.2,33.4,33.8,13500
2/17/2013,33.7,33.7,32.3,33.0,16000
2/18/2013,32.0,32.8,32.0,32.1,14500
2/19/2013,32.2,32.2,31.7,32.0,3000
2/20/2013,31.5,31.5,31.0,31.2,2000
2/24/2013,31.2,31.2,30.7,30.8,7500
2/25/2013,30.5,30.5,30.0,30.2,5000
2/26/2013,31.8,31.9,31.8,31.8,5500
2/27/2013,30.6,30.6,29.5,29.9,9000
2/28/2013,29.5,29.5,29.5,29.5,500
3/3/2013,29.6,29.6,27.5,29.0,5500
3/4/2013,29.5,30.7,29.5,29.9,1500
3/5/2013,30.0,30.0,29.5,29.6,1500
3/6/2013,29.9,30.5,28.8,30.0,6500
3/7/2013,29.5,30.5,29.5,29.8,7000
3/11/2013,29.0,30.0,29.0,29.8,5500
3/12/2013,28.1,28.1,28.1,28.1,1000
3/13/2013,29.1,30.0,29.1,29.1,8500
3/14/2013,28.8,29.5,28.8,29.2,4500
3/18/2013,28.1,29.4,28.1,28.5,8000
3/19/2013,29.5,29.8,29.5,29.5,10500
3/24/2013,28.5,28.5,28.5,28.5,3000
3/25/2013,28.6,28.6,28.0,28.3,6000
3/27/2013,27.5,27.5,27.1,27.2,2000
3/28/2013,27.3,28.5,27.3,28.0,6500
3/31/2013,28.0,28.0,28.0,28.0,500
4/1/2013,28.5,28.5,28.0,28.0,13500
4/2/2013,28.0,28.9,28.0,28.4,1000
4/3/2013,27.5,29.8,27.5,28.0,7000
4/4/2013,28.0,28.0,28.0,28.0,500
4/7/2013,27.0,28.9,27.0,28.0,13500
4/8/2013,28.3,28.3,28.3,28.3,1000
4/9/2013,28.6,28.6,28.6,28.6,1000
4/10/2013,28.0,28.5,27.7,28.0,14000
4/11/2013,28.1,28.1,27.5,27.9,7000
4/15/2013,27.8,27.8,27.6,27.7,1500
4/16/2013,27.5,27.5,27.0,27.1,5500
4/17/2013,27.2,27.3,26.6,27.1,16500
4/18/2013,26.9,26.9,26.9,26.9,500
4/21/2013,26.1,26.3,26.1,26.1,3500
4/22/2013,25.6,25.6,25.6,25.6,500
4/23/2013,25.7,26.7,25.7,26.0,8500
4/28/2013,25.0,25.0,24.4,24.8,2000
4/29/2013,24.1,24.1,24.1,24.1,1000
