Date,Open,High,Low,Close,Volume
10/1/2012,21.9,23.4,21.1,23.0,113000
10/2/2012,23.2,24.9,23.1,24.5,209000
10/3/2012,24.5,24.6,23.1,23.6,111000
10/4/2012,23.9,23.9,22.4,22.6,43500
10/7/2012,22.7,23.4,21.0,21.2,51000
10/8/2012,22.3,22.3,21.0,21.2,49500
10/9/2012,22.7,23.0,22.5,22.8,27500
10/10/2012,22.2,22.5,21.3,21.6,18000
10/11/2012,21.5,21.6,20.7,20.9,22000
10/14/2012,21.5,22.8,21.0,21.3,55000
10/15/2012,21.2,21.9,21.2,21.3,19000
10/16/2012,19.8,21.8,19.8,21.1,15000
10/17/2012,21.0,21.0,19.6,19.7,100000
10/18/2012,19.8,20.4,19.8,20.1,20000
10/21/2012,20.1,20.2,19.9,20.0,16500
10/22/2012,19.9,20.2,19.6,19.8,13000
10/23/2012,20.2,20.2,19.9,20.0,18000
10/30/2012,19.4,20.1,19.2,19.5,25500
10/31/2012,20.3,20.5,19.3,19.6,19500
11/1/2012,19.9,20.2,19.8,19.9,18000
11/4/2012,19.5,19.8,19.5,19.6,13000
11/5/2012,19.3,19.3,18.9,19.1,29500
11/6/2012,18.7,19.1,18.5,18.6,17000
11/7/2012,18.3,18.9,18.3,18.3,11000
11/8/2012,18.1,18.1,17.8,17.8,16000
11/11/2012,17.6,17.6,17.1,17.4,9500
11/12/2012,16.7,17.0,16.6,16.7,11000
11/13/2012,16.4,17.4,16.3,16.9,10500
11/14/2012,17.3,17.6,17.2,17.3,16000
11/15/2012,17.2,17.6,17.1,17.4,12000
11/18/2012,18.0,18.0,17.2,17.4,8500
11/19/2012,17.2,17.2,16.9,17.1,21000
11/20/2012,16.7,17.1,16.6,16.7,5500
11/21/2012,16.5,16.7,16.4,16.5,7000
11/22/2012,16.7,17.0,16.7,16.8,8500
11/26/2012,16.4,16.5,16.3,16.3,10500
11/27/2012,16.3,16.8,16.3,16.5,12000
11/28/2012,15.7,16.8,15.7,16.0,7000
11/29/2012,17.2,17.5,17.2,17.3,11500
12/2/2012,17.4,17.4,17.0,17.2,9500
12/3/2012,16.6,16.9,16.5,16.5,18500
12/4/2012,16.3,16.6,16.3,16.4,3500
12/5/2012,16.5,16.8,16.4,16.6,4000
12/6/2012,16.3,16.6,16.3,16.4,7500
12/9/2012,16.2,16.5,16.1,16.3,3000
12/10/2012,16.0,16.0,16.0,16.0,5500
12/11/2012,15.5,16.2,15.5,15.9,10000
12/12/2012,16.0,16.0,15.9,15.9,6000
12/13/2012,16.0,16.0,16.0,16.0,500
12/17/2012,16.5,16.8,16.4,16.5,12500
12/18/2012,17.4,17.4,16.0,16.2,14500
12/19/2012,16.2,16.5,16.2,16.3,7000
12/20/2012,17.1,17.1,16.5,16.6,10500
12/23/2012,16.2,16.7,16.2,16.3,7000
12/24/2012,16.9,17.0,16.5,16.7,9500
12/26/2012,16.6,16.6,16.6,16.6,500
12/27/2012,16.5,16.6,16.5,16.5,3500
12/30/2012,16.4,16.6,16.3,16.4,6000
1/1/2013,16.5,16.5,16.3,16.3,4500
1/2/2013,16.4,16.5,16.3,16.3,5500
1/3/2013,16.5,16.5,16.3,16.4,11000
1/6/2013,16.3,16.6,16.3,16.4,4000
1/7/2013,16.3,16.3,16.3,16.3,1000
1/8/2013,16.3,16.3,16.3,16.3,5500
1/9/2013,16.3,16.5,16.3,16.3,10500
1/10/2013,16.4,16.4,16.3,16.3,3500
1/13/2013,16.4,16.4,16.4,16.4,1500
1/14/2013,16.4,16.8,16.4,16.5,8500
1/15/2013,16.5,16.6,16.5,16.5,5000
1/16/2013,16.6,16.6,16.4,16.5,35000
1/17/2013,16.6,16.7,16.5,16.5,7500
1/20/2013,16.5,16.5,16.4,16.4,1500
1/21/2013,16.3,16.5,16.3,16.4,10000
1/22/2013,16.4,16.7,16.3,16.4,6500
1/23/2013,16.8,16.8,16.8,16.8,500
1/24/2013,16.8,17.1,16.7,16.9,13000
1/27/2013,17.0,17.0,16.8,16.8,3500
1/28/2013,16.7,16.8,16.6,16.7,21000
1/29/2013,17.0,17.9,17.0,17.6,22500
1/30/2013,18.7,18.7,17.8,17.8,35500
1/31/2013,18.0,18.7,17.9,18.4,68500
2/3/2013,18.9,18.9,18.2,18.4,43000
2/4/2013,18.6,18.6,18.2,18.3,21500
2/5/2013,18.2,18.6,18.1,18.4,16000
2/6/2013,18.3,18.6,18.3,18.4,19000
2/7/2013,18.4,18.4,18.1,18.2,10000
2/10/2013,18.2,18.5,18.1,18.2,36500
2/11/2013,18.7,18.7,18.4,18.5,34500
2/12/2013,18.5,18.6,18.3,18.4,12000
2/13/2013,18.2,18.5,18.2,18.2,15000
2/14/2013,18.8,19.0,18.4,18.8,35500
2/17/2013,19.0,19.1,18.5,18.6,19000
2/18/2013,18.5,18.9,18.5,18.7,17500
2/19/2013,18.9,19.2,18.4,18.5,26000
2/20/2013,18.6,18.7,18.3,18.3,34000
2/24/2013,17.9,18.0,17.9,17.9,12000
2/25/2013,18.4,18.4,17.5,17.5,19000
2/26/2013,17.7,18.2,17.6,17.8,8500
2/27/2013,17.9,17.9,17.2,17.5,15500
2/28/2013,17.2,17.9,17.0,17.3,3500
3/3/2013,16.3,16.3,16.0,16.1,7000
3/4/2013,16.5,16.8,16.5,16.5,4000
3/5/2013,16.5,16.5,16.2,16.3,6500
3/6/2013,16.4,16.4,16.3,16.3,3500
3/7/2013,15.5,16.4,15.5,16.0,1500
3/10/2013,16.2,16.3,16.0,16.1,6500
3/11/2013,16.1,16.2,16.0,16.1,2500
3/12/2013,16.1,16.1,15.8,15.9,6000
3/13/2013,16.0,16.7,16.0,16.2,15500
3/14/2013,16.0,16.2,16.0,16.0,1500
3/18/2013,16.2,16.2,16.2,16.2,500
3/19/2013,16.2,16.5,16.2,16.3,6000
3/20/2013,16.2,16.2,16.1,16.1,2500
3/24/2013,16.5,16.5,16.5,16.5,500
3/25/2013,15.7,15.7,15.4,15.5,2000
3/27/2013,15.1,15.2,15.0,15.0,6000
3/28/2013,15.2,15.4,15.2,15.3,8000
3/31/2013,15.1,15.1,15.0,15.0,4500
4/3/2013,14.6,14.6,14.6,14.6,1500
