Date,Open,High,Low,Close,Volume
10/1/2012,270.1,275.0,268.0,270.2,320700
10/2/2012,274.0,278.1,272.6,277.1,636000
10/3/2012,279.9,295.0,278.0,291.9,2560600
10/4/2012,295.0,304.9,291.0,294.4,1372000
10/7/2012,295.2,309.0,290.0,297.5,1310300
10/8/2012,296.0,303.0,289.6,294.7,1192400
10/9/2012,299.0,303.0,293.0,296.6,1008300
10/10/2012,301.9,310.4,300.2,306.7,1853100
10/11/2012,310.0,313.0,304.1,305.6,1118700
10/14/2012,309.4,319.9,307.3,317.4,1330100
10/15/2012,320.0,324.3,315.0,316.5,1053100
10/16/2012,318.0,319.4,312.8,314.4,695700
10/17/2012,315.0,315.0,308.7,309.3,741200
10/18/2012,310.8,321.9,309.0,320.1,930300
10/21/2012,323.9,329.1,321.7,325.3,1130500
10/22/2012,332.0,332.0,319.0,321.0,797800
10/23/2012,325.0,327.2,320.3,326.3,916200
10/30/2012,326.1,329.9,322.3,323.0,512800
10/31/2012,324.8,324.8,318.1,319.6,811600
11/1/2012,319.5,320.7,315.0,316.1,628100
11/4/2012,317.0,317.0,309.2,310.2,593900
11/5/2012,310.1,312.9,308.0,311.7,632300
11/6/2012,313.0,319.0,312.1,314.8,564800
11/7/2012,318.5,319.0,310.7,312.3,328500
11/8/2012,312.5,314.8,307.6,308.7,423200
11/11/2012,307.5,309.9,292.3,296.8,824800
11/12/2012,300.2,303.6,293.9,297.7,349700
11/13/2012,300.0,303.0,295.1,299.9,320800
11/14/2012,306.9,306.9,297.0,298.6,520500
11/15/2012,299.5,302.0,297.1,298.3,519900
11/18/2012,303.7,303.7,292.2,293.2,540800
11/19/2012,293.3,293.3,281.6,282.2,412300
11/20/2012,282.2,286.7,277.2,280.5,283000
11/21/2012,290.0,290.0,279.0,282.5,324900
11/22/2012,282.0,282.0,269.0,270.3,975300
11/26/2012,270.1,274.0,251.5,254.0,593700
11/27/2012,253.1,265.0,249.5,262.2,336100
11/28/2012,264.0,265.0,256.2,258.6,306500
11/29/2012,263.0,275.0,262.1,273.0,407500
12/2/2012,276.0,277.4,262.8,264.1,410600
12/3/2012,263.0,263.1,252.7,256.0,259200
12/4/2012,259.5,260.0,254.2,256.0,170500
12/5/2012,256.0,257.7,252.3,254.3,373000
12/9/2012,190.0,190.9,181.5,184.0,421500
12/10/2012,181.5,185.9,181.5,182.0,251200
12/11/2012,180.3,183.5,180.2,182.9,150900
12/12/2012,184.5,184.7,180.1,181.7,162300
12/13/2012,180.9,182.0,178.9,179.3,297000
12/17/2012,180.9,181.5,177.5,180.6,379800
12/18/2012,180.9,181.5,179.1,179.9,123700
12/19/2012,180.1,183.7,180.0,180.8,171400
12/20/2012,181.0,182.1,178.0,178.7,132400
12/23/2012,178.2,181.0,178.2,179.2,130800
12/24/2012,179.9,179.9,176.8,177.3,172400
12/26/2012,178.0,179.5,176.8,177.2,109100
12/27/2012,178.1,178.1,175.9,177.0,161500
12/30/2012,178.0,179.0,177.0,178.5,172300
1/1/2013,178.0,182.9,178.0,179.4,182400
1/2/2013,178.1,178.9,176.5,177.1,70400
1/3/2013,176.6,178.3,176.6,177.5,55100
1/6/2013,181.0,185.0,181.0,182.4,265300
1/7/2013,181.0,181.0,179.5,180.4,93300
1/8/2013,181.0,181.0,178.2,178.5,43800
1/9/2013,179.0,179.8,177.7,178.5,82200
1/10/2013,178.1,179.3,177.5,178.1,113300
1/13/2013,178.2,178.2,175.0,175.7,135100
1/14/2013,175.5,176.9,174.0,174.6,93200
1/15/2013,174.5,174.9,172.9,173.8,81600
1/16/2013,174.1,174.9,171.8,173.0,132400
1/17/2013,173.3,174.5,172.0,172.7,161700
1/20/2013,172.4,173.4,172.0,172.1,54900
1/21/2013,172.0,172.4,170.7,171.1,48900
1/22/2013,171.0,172.0,168.8,169.2,89700
1/23/2013,168.5,168.5,164.0,164.4,330600
1/24/2013,165.0,167.7,164.0,166.0,146900
1/27/2013,167.2,168.5,164.7,165.4,113700
1/28/2013,165.8,167.5,164.8,166.6,118600
1/29/2013,167.9,169.0,166.7,167.1,310900
1/30/2013,167.1,168.8,165.5,165.7,152100
1/31/2013,164.6,166.9,164.5,165.8,160200
2/3/2013,165.3,168.8,165.3,167.7,194800
2/4/2013,168.0,169.7,167.1,167.4,154100
2/5/2013,167.0,176.0,167.0,175.3,371400
2/6/2013,177.0,181.0,175.0,179.6,353900
2/7/2013,180.1,184.8,178.5,181.5,264400
2/10/2013,182.8,183.8,181.3,182.2,180500
2/11/2013,181.2,182.5,179.5,179.8,215900
2/12/2013,179.0,180.5,178.5,179.4,192100
2/13/2013,179.1,182.0,177.3,179.0,224400
2/14/2013,180.0,181.1,179.1,180.9,304800
2/17/2013,182.8,183.5,179.8,179.9,173900
2/18/2013,182.8,182.8,178.1,179.2,188900
2/19/2013,179.5,179.7,176.7,178.3,214400
2/20/2013,176.6,178.5,172.0,173.8,259400
2/24/2013,172.0,173.9,168.2,169.6,288900
2/25/2013,168.1,171.0,165.5,167.0,187800
2/26/2013,170.0,170.2,167.4,167.9,149800
2/27/2013,167.6,169.9,164.2,165.1,127300
2/28/2013,166.8,166.8,163.6,165.5,42200
3/3/2013,163.5,164.2,158.1,162.0,158800
3/4/2013,164.6,164.8,162.5,164.2,95800
3/5/2013,164.5,165.0,162.1,164.0,62900
3/6/2013,164.2,166.0,163.3,164.2,130000
3/7/2013,164.0,165.7,162.7,164.7,62400
3/10/2013,166.8,166.9,164.7,164.8,77100
3/11/2013,165.0,166.1,162.6,165.5,119900
3/12/2013,165.5,170.0,164.4,168.2,88000
3/13/2013,171.4,176.0,171.0,173.9,163900
3/14/2013,174.3,175.0,171.0,174.6,88600
3/18/2013,172.0,175.7,172.0,175.3,64700
3/19/2013,176.0,181.0,175.9,177.7,110400
3/20/2013,175.2,178.0,175.2,176.5,66500
3/24/2013,176.5,176.8,174.0,174.7,82100
3/25/2013,175.0,175.0,172.2,172.7,74400
3/27/2013,171.1,173.0,170.0,171.5,101400
3/28/2013,171.9,174.9,171.7,174.4,69700
3/31/2013,176.0,176.1,172.2,175.0,92600
4/1/2013,171.0,173.0,171.0,172.0,103500
4/2/2013,172.1,174.5,172.1,174.3,113200
4/3/2013,174.9,176.8,174.6,175.0,113700
4/4/2013,176.0,176.0,174.0,175.2,72900
4/7/2013,175.3,177.0,175.3,176.5,49000
4/8/2013,175.3,178.5,175.3,177.8,50800
4/9/2013,178.3,180.6,178.0,180.0,112400
4/10/2013,179.1,180.8,176.4,177.5,103900
4/11/2013,177.0,177.1,174.6,175.3,64500
4/15/2013,176.0,178.4,176.0,176.9,43300
4/16/2013,175.5,177.5,174.1,174.7,74000
4/17/2013,174.5,175.3,174.1,174.9,112100
4/18/2013,175.1,175.9,174.8,175.0,78200
4/21/2013,175.0,176.0,173.8,174.2,57400
4/22/2013,174.0,174.0,171.8,172.4,59200
4/23/2013,172.0,173.0,171.6,171.8,48700
4/24/2013,172.0,172.4,171.6,171.8,66100
4/25/2013,172.2,172.4,171.8,171.8,41300
4/28/2013,170.9,172.5,169.8,172.0,54400
4/29/2013,170.2,173.2,170.1,172.3,62100
4/30/2013,173.5,174.0,171.6,172.3,32900
5/2/2013,172.5,173.4,172.0,173.0,126000
5/5/2013,173.4,173.9,172.7,173.0,30300
5/6/2013,172.1,173.0,170.0,171.6,63100
5/7/2013,173.0,173.0,171.7,172.0,68500
5/8/2013,175.0,175.0,172.0,172.9,24600
5/9/2013,172.0,175.4,171.6,174.7,52900
