Date,Open,High,Low,Close,Volume
3/31/2022,22.0,22.0,22.0,22.0,467
4/3/2022,24.2,24.2,24.2,24.2,425
4/4/2022,26.6,26.6,26.6,26.6,884
4/5/2022,29.2,29.2,29.2,29.2,1046
4/6/2022,32.1,32.1,32.1,32.1,1022
4/7/2022,35.3,35.3,35.3,35.3,1380
4/10/2022,38.8,38.8,38.8,38.8,2571
4/11/2022,42.6,42.6,42.6,42.6,7221
4/12/2022,46.8,46.8,46.8,46.8,25603
4/13/2022,51.4,51.4,51.4,51.4,96571
4/17/2022,56.5,56.5,56.5,56.5,339562
4/18/2022,62.1,62.1,56.5,61.0,12131222
4/19/2022,61.4,67.1,60.8,67.1,2832936
4/20/2022,66.7,73.8,66.2,73.8,6144669
4/21/2022,75.7,80.7,73.7,74.5,4977569
4/24/2022,73.7,74.6,70.8,70.8,3755793
4/25/2022,67.5,68.6,67.3,67.3,1099486
4/26/2022,64.0,73.6,64.0,71.2,5977003
4/27/2022,74.1,78.3,74.1,78.3,4824431
4/28/2022,80.0,83.8,78.3,78.9,5986437
5/5/2022,79.0,86.7,76.5,86.7,3243997
5/8/2022,89.8,95.3,88.0,92.0,5845660
5/9/2022,91.5,97.0,87.4,94.7,5322066
5/10/2022,94.6,96.5,90.0,90.0,3978657
5/11/2022,87.4,90.0,85.5,85.5,5351575
5/12/2022,85.0,92.5,82.3,91.2,5115288
5/16/2022,92.6,94.4,87.7,89.4,4721547
5/17/2022,90.0,91.5,85.0,88.3,4278554
5/18/2022,89.8,90.0,83.9,83.9,3281822
5/19/2022,82.3,83.8,79.8,80.3,2903706
5/22/2022,79.0,80.5,76.3,76.3,3025530
5/23/2022,80.8,83.9,77.4,82.1,3326661
5/24/2022,82.2,83.0,78.0,78.3,3233922
5/25/2022,78.4,78.7,74.8,76.1,2361654
5/26/2022,77.1,79.5,74.8,78.8,2133124
5/29/2022,79.8,81.9,79.8,80.4,2414309
5/30/2022,80.8,80.9,78.8,78.8,2063476
5/31/2022,77.9,78.4,77.3,77.3,1534414
6/1/2022,77.4,78.7,75.8,76.7,1976493
6/2/2022,77.9,82.0,77.9,80.8,3585006
6/5/2022,81.5,81.5,79.2,79.2,1833371
6/6/2022,78.6,79.4,77.7,77.7,1989546
6/7/2022,78.2,78.3,76.2,76.5,1356262
6/8/2022,76.8,78.9,76.0,77.8,1418485
6/9/2022,78.0,78.7,76.5,76.9,1173756
6/12/2022,76.9,77.5,75.7,75.9,1164885
6/13/2022,75.0,79.9,75.0,78.3,2463383
6/14/2022,79.3,86.0,78.5,85.4,5407078
6/15/2022,86.5,86.9,83.8,84.5,3676797
6/16/2022,83.5,87.8,83.0,83.6,4045118
6/19/2022,83.6,86.6,83.3,85.9,2481453
6/20/2022,85.7,91.0,85.7,88.6,4737816
6/21/2022,89.0,89.7,86.9,86.9,2173641
6/22/2022,85.9,87.3,85.2,85.5,2113618
6/23/2022,85.6,87.2,83.8,84.0,2286036
6/26/2022,84.0,85.2,82.4,82.6,1535091
6/27/2022,81.6,85.4,81.1,85.0,1511318
6/28/2022,85.6,86.4,83.3,83.5,1652531
6/29/2022,83.8,84.0,81.9,82.1,1100042
6/30/2022,83.9,83.9,81.4,82.1,1085584
7/3/2022,83.0,83.1,80.6,81.0,1135346
7/4/2022,81.0,83.0,80.7,82.2,1080998
7/5/2022,82.2,84.4,82.2,82.9,1938846
7/6/2022,82.9,84.4,82.1,82.4,1200190
7/7/2022,82.0,82.9,81.0,81.4,1038306
7/12/2022,80.0,81.4,79.8,79.9,1139581
7/13/2022,79.2,81.6,78.6,79.5,1072988
7/14/2022,80.0,80.0,78.0,79.2,1286039
7/17/2022,77.9,79.2,77.7,77.7,975143
7/18/2022,78.0,78.0,76.2,76.2,436551
7/19/2022,74.7,74.7,74.7,74.7,83763
7/20/2022,73.3,74.7,73.3,74.2,1391866
7/21/2022,75.0,75.6,72.8,72.8,937090
7/24/2022,74.0,74.0,71.4,71.4,219021
7/25/2022,70.0,71.8,70.0,70.9,1298567
7/26/2022,72.0,74.1,70.6,71.1,1223131
7/27/2022,70.5,71.0,69.7,69.7,680532
7/28/2022,68.5,68.8,68.4,68.4,417820
7/31/2022,70.3,71.5,70.3,71.1,852146
8/1/2022,71.3,78.0,71.3,76.6,2754081
8/2/2022,76.7,77.8,75.2,76.2,1223685
8/3/2022,76.8,77.4,73.8,75.0,1642754
8/4/2022,74.9,75.8,73.0,74.7,1155858
8/7/2022,74.7,75.0,72.1,73.1,1102796
8/8/2022,71.2,75.3,71.2,72.8,957530
8/10/2022,73.0,74.0,71.3,71.8,766909
8/11/2022,71.3,72.0,70.3,70.8,1159169
8/14/2022,71.2,72.0,70.7,71.5,372324
8/16/2022,71.9,74.2,71.7,73.9,1081372
8/17/2022,74.6,76.1,74.5,74.7,1510574
8/21/2022,74.9,75.5,73.8,74.3,1260654
8/22/2022,74.9,79.0,74.5,76.9,2404551
8/23/2022,77.8,78.3,75.3,75.8,1707049
8/24/2022,75.5,76.0,73.3,74.2,1078995
8/25/2022,73.5,76.3,73.5,75.3,1233017
8/28/2022,76.7,81.4,75.0,78.2,3694788
8/29/2022,79.7,79.8,76.4,77.2,1818020
8/30/2022,77.2,78.0,75.3,75.7,1787430
8/31/2022,76.5,79.3,76.4,77.0,1843672
9/1/2022,77.3,84.7,77.3,84.7,5176004
9/4/2022,88.9,93.1,88.9,93.1,3363864
9/5/2022,95.8,101.0,88.5,90.8,9715593
9/6/2022,91.9,99.8,88.2,97.1,5182603
9/7/2022,103.5,105.8,98.4,99.6,6813771
9/8/2022,99.4,101.4,90.8,92.7,5359875
9/11/2022,93.9,99.9,91.4,95.3,3727293
9/12/2022,96.4,104.8,96.3,104.8,5198241
9/13/2022,107.9,111.8,104.1,105.1,5156887
9/14/2022,104.7,109.8,102.8,105.6,5210417
9/15/2022,105.6,116.0,105.6,115.8,5798263
9/18/2022,118.0,124.5,115.9,119.2,6633898
9/19/2022,119.2,125.3,116.4,120.6,6895303
9/20/2022,125.0,132.6,125.0,127.8,5618389
9/21/2022,126.1,137.9,125.8,132.6,5037381
