Date,Open,High,Low,Close,Volume
10/1/2012,93.0,98.0,93.0,96.0,3550
10/2/2012,98.0,99.0,91.4,93.7,5600
10/3/2012,88.2,92.4,88.2,89.8,2050
10/4/2012,86.2,94.5,86.2,91.1,1400
10/7/2012,91.1,91.1,85.2,87.3,1600
10/8/2012,85.0,87.5,85.0,85.1,3150
10/9/2012,91.0,91.0,86.5,87.5,1250
10/10/2012,88.0,88.0,84.5,84.8,650
10/11/2012,92.0,92.0,85.1,87.3,3350
10/14/2012,85.7,85.7,83.0,84.6,1650
10/15/2012,84.0,84.0,82.0,82.7,1000
10/16/2012,82.5,86.4,81.6,82.3,2000
10/17/2012,82.6,86.1,82.6,83.6,550
10/18/2012,85.0,85.0,82.6,84.0,1250
10/21/2012,82.7,84.8,78.8,81.7,2200
10/22/2012,88.0,88.0,85.0,87.1,7150
10/23/2012,88.7,88.8,83.0,84.0,5400
10/30/2012,82.8,86.6,80.0,82.1,5000
10/31/2012,82.2,82.6,82.0,82.1,1950
11/1/2012,82.3,84.9,82.3,84.1,1350
11/4/2012,84.4,86.9,84.4,86.3,4800
11/5/2012,86.9,94.9,86.9,94.8,13750
11/6/2012,95.5,95.5,90.0,91.0,3250
11/7/2012,87.5,90.0,86.3,87.5,6150
11/8/2012,86.0,90.5,85.0,86.1,4550
11/12/2012,84.0,84.0,77.5,77.6,5700
11/13/2012,80.0,83.9,79.0,80.9,700
11/14/2012,84.9,84.9,77.2,79.8,4000
11/15/2012,79.0,79.0,72.6,73.7,12150
11/18/2012,77.7,81.0,75.3,79.9,3350
11/19/2012,79.9,84.9,79.9,83.1,9600
11/20/2012,78.2,83.2,78.0,81.6,8300
11/21/2012,84.9,84.9,78.0,81.2,4050
11/22/2012,83.7,83.7,79.4,80.3,6450
11/26/2012,78.0,79.0,77.8,78.3,500
11/27/2012,78.0,78.3,77.7,78.0,750
11/28/2012,78.2,81.3,76.5,77.5,2650
11/29/2012,82.7,83.0,79.7,80.8,1850
12/2/2012,77.4,78.5,75.0,76.8,3900
12/3/2012,75.2,75.5,74.0,75.0,2250
