Date,Open,High,Low,Close,Volume
10/1/2012,33.4,37.0,33.2,35.5,88000
10/2/2012,37.0,38.8,35.3,36.6,77500
10/3/2012,35.1,36.7,33.7,34.3,78000
10/4/2012,36.8,36.8,33.6,33.9,60000
10/7/2012,34.0,34.1,32.1,32.3,34000
10/8/2012,32.7,32.9,31.0,32.0,38000
10/9/2012,32.3,34.0,32.0,32.5,33500
10/10/2012,33.5,33.5,31.5,32.0,24500
10/11/2012,33.1,33.1,31.0,31.4,56500
10/14/2012,31.4,31.9,29.0,29.7,53500
10/15/2012,31.3,31.3,29.6,29.9,34000
10/16/2012,31.0,31.4,30.0,30.1,44000
10/17/2012,31.0,31.0,29.6,30.0,15500
10/18/2012,30.0,30.5,29.6,29.7,19500
10/21/2012,30.0,30.5,29.7,30.0,25000
10/22/2012,29.4,30.2,29.3,29.9,20000
10/23/2012,29.9,30.6,29.8,30.1,30500
10/30/2012,30.0,30.0,29.6,29.9,3500
10/31/2012,29.4,29.8,28.1,28.2,42000
11/1/2012,28.1,28.3,27.9,28.1,15500
11/4/2012,27.2,28.2,27.2,27.8,15000
11/5/2012,27.8,28.0,27.0,27.3,23500
11/6/2012,27.6,27.9,27.5,27.6,6500
11/7/2012,27.0,27.3,27.0,27.1,15500
11/8/2012,26.5,27.1,26.0,26.9,22500
11/11/2012,26.1,26.3,26.0,26.0,33500
11/12/2012,26.1,26.8,26.1,26.2,12500
11/13/2012,26.8,27.8,26.5,27.2,9000
11/14/2012,27.4,27.4,27.1,27.2,5500
11/15/2012,25.1,28.3,25.1,27.6,19000
11/18/2012,27.7,27.7,26.7,27.1,8000
11/19/2012,26.5,26.7,26.0,26.2,11000
11/20/2012,28.8,28.8,26.2,26.7,15500
11/21/2012,26.1,26.5,25.5,25.9,24500
11/22/2012,25.4,25.8,25.0,25.1,45000
11/26/2012,25.0,25.0,24.5,24.7,16000
11/27/2012,25.0,25.6,24.8,25.0,5500
11/28/2012,26.0,26.0,25.0,25.6,1500
11/29/2012,25.6,27.7,25.0,27.0,30000
12/2/2012,27.0,27.0,24.4,25.3,19500
12/3/2012,25.5,25.5,23.5,23.8,45500
12/4/2012,24.2,24.5,23.9,24.1,14000
12/5/2012,23.6,24.3,23.6,24.0,4000
12/6/2012,24.2,24.2,23.6,23.9,4500
12/9/2012,23.5,24.0,23.5,23.6,8000
12/10/2012,25.4,25.4,23.3,23.7,13500
12/11/2012,24.0,24.2,23.9,24.0,11000
12/12/2012,24.0,24.0,23.8,23.9,2500
12/13/2012,23.8,23.8,23.1,23.2,28000
12/17/2012,23.6,24.5,23.6,24.2,15000
12/18/2012,24.6,24.6,23.7,23.8,6500
12/19/2012,24.1,24.4,23.9,24.1,19500
12/20/2012,24.3,24.4,23.7,24.0,15000
12/23/2012,25.6,25.6,23.4,24.0,11500
12/24/2012,23.8,23.9,23.6,23.7,19000
12/26/2012,25.2,25.2,23.6,24.5,16000
12/27/2012,24.1,24.8,24.0,24.2,20000
12/30/2012,24.8,24.8,23.9,24.0,12000
1/1/2013,23.9,24.5,23.8,24.1,11000
1/2/2013,24.1,24.2,23.8,24.0,7500
1/3/2013,23.0,24.1,23.0,23.8,21000
1/6/2013,23.5,23.7,23.3,23.4,14500
1/7/2013,23.4,23.4,23.0,23.1,8500
1/8/2013,24.0,24.0,23.1,23.2,8000
1/9/2013,23.1,23.1,22.8,22.8,16000
1/10/2013,23.0,23.7,23.0,23.4,3000
1/13/2013,23.2,23.2,23.2,23.2,500
1/14/2013,23.1,23.7,23.1,23.4,6500
1/15/2013,23.1,23.5,23.0,23.1,2500
1/16/2013,23.0,23.1,22.8,23.0,5500
1/17/2013,23.7,23.7,23.1,23.5,9500
1/20/2013,23.5,23.5,23.2,23.3,4500
1/21/2013,23.1,23.1,22.8,22.9,5500
1/22/2013,23.2,23.6,22.8,23.0,15500
1/23/2013,23.4,23.5,23.2,23.4,10000
1/24/2013,23.1,23.9,23.1,23.5,10000
1/27/2013,23.6,23.6,23.1,23.4,7500
1/28/2013,23.1,23.5,23.0,23.2,8500
1/29/2013,23.8,24.7,23.5,24.4,49000
1/30/2013,24.5,24.5,23.8,23.9,18000
1/31/2013,24.0,24.0,23.9,23.9,1500
2/3/2013,24.2,24.7,24.2,24.4,26000
2/4/2013,24.8,24.8,23.9,24.1,35000
2/5/2013,23.9,24.7,23.8,24.2,14500
2/6/2013,24.3,24.5,24.1,24.2,7000
2/7/2013,24.0,24.5,24.0,24.1,15000
2/10/2013,24.1,24.5,24.0,24.2,54000
2/11/2013,24.4,24.5,24.3,24.4,16500
2/12/2013,24.6,24.8,24.2,24.2,42000
2/13/2013,24.1,24.5,24.0,24.1,18500
2/14/2013,24.1,24.5,24.1,24.3,23500
2/17/2013,24.5,24.8,24.4,24.5,34500
2/18/2013,24.5,24.7,24.2,24.3,31500
2/19/2013,24.3,24.4,23.8,24.0,22500
2/20/2013,23.6,23.7,23.5,23.6,12500
2/24/2013,22.6,22.9,22.5,22.6,10500
2/25/2013,22.1,23.0,21.5,22.2,24000
2/26/2013,22.5,22.5,20.2,20.8,33000
2/27/2013,20.4,20.4,19.1,19.2,75500
2/28/2013,20.0,20.2,19.6,20.0,17000
3/3/2013,19.9,19.9,18.9,18.9,26000
3/4/2013,20.0,20.0,18.8,19.1,11000
3/5/2013,19.0,19.3,18.5,19.0,12500
3/6/2013,19.9,19.9,18.1,18.7,13500
3/7/2013,18.3,18.3,17.3,17.4,26000
3/10/2013,17.2,17.2,16.8,16.9,8000
3/11/2013,16.8,17.5,16.8,17.2,3500
3/12/2013,17.3,17.3,17.2,17.2,1000
3/13/2013,17.7,17.7,17.2,17.3,8000
3/14/2013,16.3,17.5,16.3,17.0,3000
3/18/2013,17.2,17.4,17.2,17.3,4000
3/20/2013,17.5,17.5,17.2,17.4,5000
3/24/2013,17.1,17.2,16.5,16.7,12500
3/25/2013,16.5,17.1,16.3,16.4,4500
3/27/2013,15.4,15.6,15.2,15.4,12500
3/28/2013,15.6,15.8,15.6,15.6,3000
3/31/2013,16.5,16.5,15.3,15.4,11000
