Date,Open,High,Low,Close,Volume
10/1/2012,56.5,56.5,54.4,55.0,422900
10/2/2012,56.0,57.2,55.1,55.4,675100
10/3/2012,55.6,57.8,55.6,56.4,940600
10/4/2012,57.9,58.2,56.0,56.1,762400
10/7/2012,56.0,56.3,54.1,54.3,558800
10/8/2012,53.8,54.9,52.5,53.1,364100
10/9/2012,54.8,55.0,53.0,53.3,533800
10/10/2012,54.5,54.5,52.0,52.2,401800
10/11/2012,53.0,53.0,51.0,51.2,380700
10/14/2012,51.0,52.0,50.7,51.0,509400
10/15/2012,52.0,52.5,51.0,52.1,432300
10/16/2012,52.0,53.0,51.8,52.2,422900
10/17/2012,52.5,52.7,51.5,51.6,252600
10/18/2012,52.0,52.0,51.1,51.6,248400
10/21/2012,50.7,52.0,50.7,50.8,174900
10/22/2012,51.0,51.3,50.5,50.9,233400
10/23/2012,51.7,54.6,51.5,53.9,684100
10/30/2012,53.8,54.1,53.1,53.2,211000
10/31/2012,53.1,55.0,52.9,54.2,715100
11/1/2012,54.5,55.6,54.0,54.6,489500
11/4/2012,54.5,55.4,54.0,54.1,556600
11/5/2012,54.7,54.7,53.2,53.6,294200
11/6/2012,54.0,54.0,52.6,52.9,297900
11/7/2012,53.0,53.4,51.3,51.5,270800
11/8/2012,51.3,51.9,50.5,50.6,404400
11/11/2012,50.6,51.0,48.5,49.2,304000
11/12/2012,49.2,50.3,48.5,49.2,194900
11/13/2012,49.9,51.1,49.3,50.8,222900
11/14/2012,50.8,51.6,50.0,51.3,423600
11/15/2012,51.9,51.9,51.0,51.5,228400
11/18/2012,50.8,51.7,50.0,50.9,356900
11/19/2012,50.1,50.8,49.7,49.8,204700
11/20/2012,49.9,49.9,48.8,48.9,170000
11/21/2012,50.5,50.5,47.8,48.1,237900
11/22/2012,49.3,49.3,48.0,48.1,183700
11/26/2012,48.3,48.9,47.2,47.4,140700
11/27/2012,48.0,48.0,46.8,46.9,126000
11/28/2012,47.5,47.6,46.5,46.6,74100
11/29/2012,47.9,50.3,47.3,49.9,229800
12/2/2012,50.4,50.4,48.0,48.7,119800
12/3/2012,48.0,48.3,47.2,47.3,104100
12/4/2012,47.1,47.6,46.7,47.2,91000
12/5/2012,47.7,47.7,47.1,47.2,123100
12/6/2012,46.8,47.4,46.6,47.2,233200
12/9/2012,46.4,47.3,46.2,46.5,160000
12/10/2012,46.7,47.0,45.8,46.1,184100
12/11/2012,45.3,46.8,45.3,46.3,116400
12/12/2012,46.8,47.2,46.4,46.4,88300
12/13/2012,46.2,47.0,46.2,46.8,94900
12/17/2012,47.0,48.3,47.0,47.8,176800
12/18/2012,47.4,48.3,46.8,46.9,90000
12/19/2012,46.7,50.1,46.7,49.5,258500
12/20/2012,50.4,50.5,48.8,48.9,270700
12/23/2012,48.6,49.8,47.2,47.5,769800
12/24/2012,47.4,48.1,47.4,47.7,105000
12/26/2012,47.7,49.4,47.7,48.8,127800
