Date,Open,High,Low,Close,Volume
11/12/2018,25.0,29.9,22.0,24.4,8391979
11/13/2018,24.1,25.0,23.1,23.7,1535520
11/14/2018,23.7,26.0,23.7,25.9,6249731
11/18/2018,25.8,25.8,25.5,25.8,344807
11/19/2018,28.3,28.3,27.2,28.3,7589871
11/20/2018,31.0,31.1,27.6,31.1,4162877
11/22/2018,31.4,33.6,30.6,32.5,4158887
11/25/2018,32.7,32.7,29.7,30.0,4540887
11/26/2018,30.0,32.5,29.7,30.2,3700121
11/27/2018,30.4,31.4,29.0,29.5,3354107
11/28/2018,29.8,31.3,28.8,29.9,3729068
11/29/2018,30.0,32.8,30.0,32.7,5463516
12/2/2018,33.5,34.6,32.0,32.5,4714932
12/3/2018,32.5,33.6,31.2,33.0,3968264
12/4/2018,33.5,34.4,32.3,32.5,3396911
12/5/2018,32.7,33.0,30.8,31.2,2800619
12/6/2018,31.3,31.9,30.6,31.0,1784228
12/9/2018,31.4,33.0,30.9,31.1,3247826
12/10/2018,31.4,32.2,28.7,29.2,2754702
12/11/2018,29.5,30.5,29.1,29.8,1746384
12/12/2018,30.3,31.0,29.5,29.7,1650641
12/13/2018,29.9,30.2,26.8,27.0,2403834
12/17/2018,27.1,27.7,24.5,24.8,1195115
12/18/2018,25.0,26.2,24.9,26.0,1129687
12/19/2018,26.3,26.7,25.5,25.6,1118317
12/20/2018,26.0,26.0,25.2,25.8,1175774
12/23/2018,26.1,26.1,25.0,25.1,668322
12/24/2018,25.1,25.5,24.8,25.2,727436
12/26/2018,25.2,25.7,24.9,25.1,472282
12/27/2018,25.4,25.5,25.0,25.3,628503
1/1/2019,25.5,27.4,25.5,27.2,1250587
1/2/2019,27.5,27.8,26.7,27.3,1658525
1/3/2019,27.5,27.7,27.1,27.5,1396779
1/6/2019,27.8,28.2,27.5,27.6,1379799
1/7/2019,27.8,28.0,26.3,26.5,1287418
1/8/2019,26.5,26.9,25.9,26.0,900513
1/9/2019,26.4,26.4,25.2,25.4,861797
1/10/2019,25.6,25.7,25.2,25.5,713734
1/13/2019,25.7,26.2,25.6,26.1,802011
1/14/2019,26.3,27.0,26.3,26.5,1106594
1/15/2019,26.6,27.5,26.2,26.5,1159768
1/16/2019,26.5,26.5,24.9,25.2,3236920
1/17/2019,25.2,25.2,24.1,24.2,1562830
1/20/2019,24.2,25.7,24.1,25.3,1650579
1/21/2019,25.5,26.6,24.9,25.1,1522860
1/22/2019,25.4,25.5,24.6,24.7,829189
1/23/2019,24.8,25.2,23.8,23.9,1468907
1/24/2019,24.0,24.8,23.9,24.2,1082404
1/27/2019,24.3,24.6,24.0,24.3,1159532
1/28/2019,24.5,24.7,23.9,24.0,1026404
1/29/2019,24.3,24.3,23.8,23.9,1002169
1/30/2019,23.9,24.2,23.3,23.4,830135
1/31/2019,23.4,23.4,23.0,23.1,905994
2/3/2019,23.2,23.4,22.4,22.5,1319155
2/4/2019,22.5,23.6,22.5,22.8,1307538
2/5/2019,22.9,23.3,22.7,22.8,913743
2/6/2019,22.9,22.9,22.2,22.3,939614
2/7/2019,22.3,22.5,22.0,22.0,888114
2/10/2019,22.1,22.2,21.2,21.3,1090013
2/11/2019,21.4,22.6,21.0,22.3,1126253
2/12/2019,22.4,23.9,22.4,23.4,2437151
2/13/2019,23.7,23.8,23.0,23.4,1694521
2/14/2019,23.4,24.1,23.4,23.9,1849830
2/17/2019,24.1,24.6,23.9,24.0,1590234
2/18/2019,24.3,24.3,23.2,23.3,1458549
2/19/2019,23.5,23.5,22.9,23.3,842997
2/20/2019,23.5,23.5,22.8,23.0,640904
2/24/2019,23.0,23.1,22.3,22.4,511316
2/25/2019,22.7,22.7,22.2,22.3,340552
2/26/2019,22.3,22.3,22.0,22.1,406523
2/27/2019,22.1,22.8,22.1,22.7,642812
3/3/2019,22.9,23.2,22.6,22.7,485907
3/4/2019,22.8,23.0,22.6,22.8,676304
3/5/2019,23.0,23.6,23.0,23.4,1855573
3/6/2019,23.5,23.9,23.2,23.6,1299105
3/7/2019,23.7,24.7,23.6,24.4,4270845
3/10/2019,24.8,25.0,24.0,24.1,1418043
3/11/2019,24.1,24.2,23.4,23.7,1482701
3/12/2019,23.8,24.0,22.7,22.9,959370
3/13/2019,22.9,23.2,22.1,22.2,933993
3/14/2019,22.2,22.6,21.7,22.2,788666
3/18/2019,22.2,22.4,21.4,21.8,691093
3/19/2019,22.0,22.4,21.7,22.2,471419
3/20/2019,22.2,22.3,21.5,21.6,649362
3/21/2019,21.6,21.8,21.2,21.4,443534
3/24/2019,21.2,21.7,21.1,21.3,432160
3/25/2019,21.2,21.8,21.2,21.4,308524
3/27/2019,21.4,22.1,21.3,21.8,543230
3/28/2019,22.0,22.2,21.6,21.8,479491
3/31/2019,21.8,22.0,21.4,21.4,357885
4/1/2019,21.3,21.6,21.2,21.3,363261
4/2/2019,21.3,21.7,21.3,21.5,341136
4/3/2019,21.5,21.6,21.0,21.1,490191
4/4/2019,21.1,21.2,20.6,20.7,514109
4/7/2019,20.7,20.9,19.8,19.9,379793
4/8/2019,20.1,20.1,19.1,19.2,310350
4/9/2019,19.2,19.3,18.1,18.4,436175
4/10/2019,18.5,18.9,18.3,18.4,363493
4/11/2019,18.7,19.0,18.5,18.8,200953
4/15/2019,18.9,19.1,18.0,18.1,343716
4/16/2019,18.1,18.2,17.3,17.6,322780
4/17/2019,17.7,17.8,17.2,17.3,424747
4/18/2019,17.5,18.3,17.3,18.1,538942
4/21/2019,18.3,18.6,18.0,18.4,465985
4/23/2019,18.2,18.3,17.1,17.3,466356
4/24/2019,17.1,17.2,16.7,16.8,366179
4/25/2019,17.0,17.3,16.6,17.0,427198
4/28/2019,16.9,17.6,16.8,17.3,637870
4/29/2019,17.6,17.7,16.9,17.2,386935
4/30/2019,17.4,18.5,17.2,18.0,1356948
5/2/2019,18.8,19.8,18.3,19.6,2315270
5/5/2019,20.0,20.8,20.0,20.7,2480469
5/6/2019,20.7,21.6,19.8,21.4,2757721
5/7/2019,21.7,21.7,20.0,20.2,2587182
5/8/2019,20.2,20.9,19.8,20.6,1487241
5/9/2019,20.9,22.4,20.9,21.6,4584278
5/12/2019,21.7,22.0,21.2,21.4,1890172
5/13/2019,21.4,21.6,20.7,20.8,1670295
5/14/2019,20.7,21.1,20.2,20.4,1111409
5/15/2019,20.6,20.8,20.2,20.3,926187
5/16/2019,20.5,20.7,20.2,20.4,767066
5/19/2019,20.2,21.1,20.2,20.9,1647091
5/20/2019,20.9,21.3,20.5,20.7,977428
5/21/2019,20.6,20.7,20.2,20.4,983578
5/22/2019,20.6,20.8,20.3,20.4,765306
5/23/2019,20.5,20.7,20.2,20.3,717910
5/26/2019,20.3,20.5,19.2,19.5,964032
5/27/2019,19.4,19.7,19.1,19.3,527395
5/28/2019,19.3,20.1,19.3,19.9,788498
5/29/2019,20.1,20.3,19.8,20.0,1275077
5/30/2019,20.1,20.2,19.8,20.0,856622
6/9/2019,20.0,20.1,19.6,19.7,337148
6/10/2019,19.9,20.5,19.9,20.3,924474
6/11/2019,20.5,20.8,20.0,20.6,1200134
6/12/2019,20.6,20.6,20.1,20.2,779046
6/13/2019,20.2,20.6,20.0,20.3,1444498
6/16/2019,20.4,21.2,19.9,20.4,2051328
6/17/2019,20.4,20.5,19.9,20.2,1243799
6/18/2019,20.2,21.8,20.2,21.4,4016795
6/19/2019,21.5,21.6,20.9,21.4,1568500
6/20/2019,21.4,21.8,21.1,21.5,2065609
6/23/2019,21.5,21.8,20.9,21.0,1174156
6/24/2019,21.0,21.3,20.8,21.2,1048858
6/25/2019,21.3,21.6,21.1,21.2,888362
6/26/2019,21.2,21.8,21.2,21.5,2455625
6/27/2019,21.7,22.8,21.5,22.3,4858583
6/30/2019,22.5,23.2,21.9,22.5,3445290
7/2/2019,22.9,23.2,22.2,22.9,3007354
7/3/2019,23.0,23.3,22.1,22.3,3092920
7/4/2019,22.4,22.7,22.0,22.1,2363190
7/7/2019,22.1,22.1,21.5,21.7,1355704
7/8/2019,21.7,22.0,21.5,21.8,1116587
7/9/2019,21.8,22.4,21.6,21.7,1427245
7/10/2019,21.9,22.0,21.1,21.2,1372746
7/11/2019,21.3,21.4,20.6,20.8,741624
7/14/2019,20.9,20.9,20.1,20.2,645359
7/15/2019,20.1,20.2,19.5,19.6,406136
7/16/2019,19.5,20.2,19.4,19.8,468834
7/17/2019,20.0,20.9,19.9,20.7,568285
7/18/2019,20.7,21.1,20.4,20.5,830817
7/21/2019,20.5,20.7,19.0,19.2,575597
7/22/2019,19.6,19.6,18.1,18.7,840744
7/23/2019,18.8,20.0,18.6,19.7,475793
7/24/2019,19.8,19.8,19.2,19.5,755486
7/25/2019,19.5,19.9,19.5,19.6,467243
7/28/2019,19.8,19.9,19.2,19.3,504978
7/29/2019,19.3,19.8,19.3,19.7,558351
7/30/2019,19.8,20.4,19.5,19.7,1100418
7/31/2019,19.8,19.9,19.2,19.4,1124177
8/1/2019,19.6,21.1,19.4,20.5,1651821
8/4/2019,20.8,22.2,20.8,21.7,3362769
8/5/2019,21.6,21.9,21.2,21.8,1182608
8/6/2019,21.7,22.3,20.9,21.3,1981284
8/7/2019,21.3,21.3,20.6,20.9,718717
8/8/2019,20.7,21.5,20.6,21.3,500953
8/18/2019,21.5,21.5,20.9,21.2,799477
8/19/2019,21.2,21.8,21.1,21.2,896395
8/20/2019,21.4,21.7,21.1,21.2,949894
8/21/2019,21.4,21.5,20.7,20.9,958702
8/22/2019,21.0,21.3,20.4,20.7,987692
