Date,Open,High,Low,Close,Volume
10/1/2012,72.6,73.8,71.2,72.1,1669500
10/2/2012,73.0,77.0,73.0,75.2,2092000
10/3/2012,76.8,77.5,75.1,75.3,1116000
10/4/2012,76.0,76.0,73.1,73.4,850000
10/7/2012,74.7,74.7,70.7,70.9,687000
10/8/2012,73.0,73.0,69.7,70.0,761000
10/9/2012,71.8,73.7,70.8,71.3,1078500
10/10/2012,71.9,72.7,68.1,69.6,695000
10/11/2012,69.9,70.2,68.1,68.4,620000
10/14/2012,69.5,69.5,65.8,66.4,866500
10/15/2012,67.8,70.0,67.1,68.2,663000
10/16/2012,69.5,70.7,68.7,68.8,740000
10/17/2012,69.1,69.3,67.4,67.7,453000
10/18/2012,68.9,69.0,66.7,67.0,455500
10/21/2012,67.2,67.5,65.1,65.5,451000
10/22/2012,65.6,68.4,65.4,67.6,283500
10/23/2012,68.0,69.4,68.0,68.7,411500
10/30/2012,68.0,68.5,66.4,66.9,184000
10/31/2012,70.0,70.0,64.1,64.8,913000
11/1/2012,65.8,65.8,62.6,62.9,557500
11/4/2012,62.7,63.4,61.2,61.9,273500
11/5/2012,62.0,62.4,61.1,61.5,447000
11/6/2012,61.5,62.5,60.0,60.2,398500
11/7/2012,60.6,61.0,59.9,60.1,209500
11/8/2012,60.1,61.4,59.8,59.9,238000
11/11/2012,59.7,59.7,57.5,58.3,278000
11/12/2012,59.9,59.9,56.9,57.2,281500
11/13/2012,57.5,60.3,57.0,59.9,275000
11/14/2012,59.5,61.0,59.3,60.4,620000
11/15/2012,61.0,62.5,60.2,61.8,341500
11/18/2012,62.0,62.3,60.2,61.4,330500
11/19/2012,60.0,60.9,57.6,58.1,247000
11/20/2012,57.7,58.7,56.5,56.9,216000
11/21/2012,58.0,58.2,56.2,56.5,233000
11/22/2012,57.0,57.5,56.5,56.7,194500
11/26/2012,57.8,57.8,55.1,55.4,149000
11/27/2012,54.7,56.1,54.1,55.9,200500
11/28/2012,56.5,56.7,53.5,54.0,225000
11/29/2012,55.7,59.4,55.0,59.0,327500
12/2/2012,60.3,61.8,58.3,58.5,402500
12/3/2012,57.8,59.1,56.9,57.0,236500
12/4/2012,56.9,57.3,55.7,56.7,122500
12/5/2012,57.7,58.3,56.5,57.7,168000
12/6/2012,56.1,58.0,56.1,57.8,386000
12/9/2012,57.0,57.9,56.0,57.2,248000
12/10/2012,56.0,57.4,56.0,56.3,200000
12/11/2012,56.1,57.3,56.1,56.8,214000
12/12/2012,57.5,58.0,56.6,56.8,131000
12/13/2012,56.9,57.9,56.9,57.3,177000
12/17/2012,58.0,60.0,57.4,59.6,378000
12/18/2012,59.0,60.0,58.1,58.4,184500
12/19/2012,58.4,60.2,57.7,59.5,246000
12/20/2012,60.7,60.7,58.8,59.4,280500
12/23/2012,59.6,59.9,57.9,58.6,267500
12/24/2012,59.0,59.5,58.6,58.7,338500
12/26/2012,59.0,59.6,58.4,58.6,198500
12/27/2012,59.2,59.2,58.4,58.9,345500
12/30/2012,59.0,59.6,58.6,59.0,530500
1/1/2013,60.0,60.0,58.0,58.2,137000
1/2/2013,58.1,58.2,57.1,57.1,168000
1/3/2013,57.2,57.7,56.8,57.3,138000
1/6/2013,57.5,58.0,57.3,57.4,89000
1/7/2013,56.5,57.8,56.5,56.7,171000
1/8/2013,57.4,57.4,56.6,56.6,90500
1/9/2013,56.6,57.5,56.6,56.8,111000
1/10/2013,56.9,57.4,56.5,56.7,140000
1/13/2013,57.0,57.0,56.5,56.6,81000
1/14/2013,57.0,57.0,56.4,56.5,77500
1/15/2013,56.6,56.7,56.0,56.4,105500
1/16/2013,56.6,56.6,56.0,56.1,99000
1/17/2013,56.4,56.7,56.2,56.3,114000
1/20/2013,56.7,56.7,55.7,55.9,89000
1/21/2013,56.0,56.1,55.7,55.8,73000
1/22/2013,55.8,56.1,55.7,55.8,98500
1/23/2013,56.0,57.2,56.0,56.7,164500
1/24/2013,57.0,58.4,57.0,58.0,214000
1/27/2013,58.7,60.3,58.7,59.0,388500
1/28/2013,59.6,61.4,58.9,60.9,549500
1/29/2013,61.5,62.5,61.3,61.4,454500
1/30/2013,61.9,62.1,60.1,60.6,399000
1/31/2013,60.5,61.2,60.5,60.7,223500
2/3/2013,59.6,63.8,59.6,63.5,753000
2/4/2013,64.9,65.7,64.0,65.2,1164000
2/5/2013,65.0,65.6,63.8,65.1,494000
2/6/2013,65.8,67.2,65.6,65.9,972500
2/7/2013,66.6,66.9,65.1,65.3,912500
2/10/2013,66.0,68.7,66.0,68.2,1063000
2/11/2013,69.4,69.4,67.5,68.0,802000
2/12/2013,68.5,69.8,67.0,67.2,773500
2/13/2013,67.9,68.1,66.8,67.0,666000
2/14/2013,67.9,68.6,67.2,68.3,731000
2/17/2013,69.0,70.0,67.7,67.9,746500
2/18/2013,68.5,68.5,66.5,66.8,593500
2/19/2013,66.0,67.0,64.9,65.1,647500
2/20/2013,66.5,66.8,63.0,63.3,484500
2/24/2013,63.0,63.5,61.5,61.6,414500
2/25/2013,62.5,63.7,60.5,60.8,368500
2/26/2013,62.5,63.4,61.3,61.7,407500
2/27/2013,62.0,62.4,58.0,58.7,544000
2/28/2013,58.9,60.0,56.8,58.5,367500
3/3/2013,56.3,56.6,52.9,54.0,362500
3/4/2013,45.0,49.8,45.0,48.6,862500
3/5/2013,49.0,49.7,47.3,47.6,439000
3/6/2013,48.7,48.7,45.5,45.9,300500
3/7/2013,47.7,47.7,44.6,44.8,275500
3/10/2013,45.7,45.7,43.2,43.5,227000
3/11/2013,42.2,43.9,41.2,43.2,337000
3/12/2013,41.2,43.8,41.2,43.0,311500
3/13/2013,43.4,44.9,42.7,43.7,379000
3/18/2013,40.0,41.7,39.5,41.5,361500
3/19/2013,42.0,43.3,42.0,43.0,331000
3/20/2013,42.8,44.3,42.8,43.3,308500
3/24/2013,42.1,42.7,41.0,41.2,156000
3/25/2013,40.9,41.7,40.3,40.5,175000
3/27/2013,40.1,40.2,39.3,40.0,182500
3/28/2013,40.6,41.2,40.3,40.5,208000
3/31/2013,40.1,40.7,39.0,39.7,250000
4/1/2013,39.0,39.3,37.0,37.3,121500
4/2/2013,37.4,39.5,37.1,38.2,114500
4/3/2013,39.1,39.1,38.3,38.3,166000
4/4/2013,38.7,38.8,37.7,38.5,273500
4/7/2013,38.3,39.3,38.3,38.7,95000
4/8/2013,38.8,39.2,38.3,39.0,177000
4/9/2013,39.0,40.6,38.9,40.0,325000
4/10/2013,41.5,41.5,39.7,39.8,362500
4/11/2013,39.5,39.9,38.7,38.9,215500
4/15/2013,40.0,40.3,39.7,39.9,143500
4/16/2013,39.5,39.6,38.0,38.2,214000
4/17/2013,38.9,38.9,37.6,38.0,173000
4/18/2013,38.0,38.3,37.0,37.2,330500
4/21/2013,37.9,37.9,36.5,36.7,169000
4/22/2013,36.5,37.0,35.7,35.8,175000
4/23/2013,36.0,36.1,35.3,35.4,171500
4/24/2013,35.5,35.5,34.6,34.7,198000
4/25/2013,34.8,34.9,33.5,33.7,120500
4/28/2013,33.5,33.8,32.7,33.2,156500
4/29/2013,32.4,33.2,32.0,33.0,276000
4/30/2013,33.2,34.0,33.0,33.4,171500
5/2/2013,33.9,34.3,32.7,34.1,343500
5/5/2013,33.4,36.3,33.4,35.5,398000
5/6/2013,34.6,35.6,34.6,34.8,151000
5/7/2013,35.2,35.9,34.9,35.5,164500
5/8/2013,35.5,36.5,34.8,34.9,254000
5/9/2013,35.9,35.9,34.8,35.2,226500
5/12/2013,34.8,36.9,34.8,36.4,540000
5/13/2013,34.5,37.2,34.5,36.0,573500
5/14/2013,36.2,38.8,35.6,38.5,518000
5/15/2013,37.8,38.9,37.0,37.1,370500
5/16/2013,36.2,39.5,36.2,39.1,450000
5/19/2013,40.4,43.0,39.5,42.9,1280000
5/20/2013,43.8,44.4,41.8,42.0,827000
5/21/2013,42.0,42.8,40.6,40.8,483000
5/22/2013,40.8,41.0,38.6,38.8,454000
