Date,Open,High,Low,Close,Volume
10/1/2012,36.1,36.8,35.1,36.5,804000
10/2/2012,36.9,38.2,36.9,37.2,992000
10/3/2012,37.9,38.0,35.9,36.2,1319500
10/4/2012,36.6,37.0,35.9,36.4,911000
10/7/2012,36.8,37.0,35.8,36.0,1571500
10/8/2012,36.5,36.5,35.6,35.9,916500
10/9/2012,37.4,37.4,35.9,36.0,766000
10/10/2012,36.5,36.5,35.5,35.8,789000
10/11/2012,35.5,36.4,35.5,35.6,675000
10/14/2012,36.0,36.4,35.3,35.6,1171500
10/15/2012,36.3,36.3,35.8,35.9,825000
10/16/2012,36.0,36.3,35.7,35.9,1105500
10/17/2012,35.9,36.1,35.8,35.9,698500
10/18/2012,36.1,37.9,36.0,37.5,1286000
10/21/2012,39.9,40.0,36.4,36.6,1381000
10/22/2012,36.6,36.9,36.0,36.6,690000
10/23/2012,37.1,37.2,36.0,36.1,867000
10/30/2012,36.6,36.6,35.5,35.6,400000
10/31/2012,35.6,35.9,35.2,35.3,489500
11/1/2012,35.6,35.6,35.1,35.2,414500
11/4/2012,35.3,35.5,34.2,34.4,711500
11/5/2012,34.6,34.8,33.9,34.1,669000
11/6/2012,34.2,35.2,34.0,34.1,656000
11/7/2012,34.5,34.5,33.8,33.8,686000
11/8/2012,33.7,34.1,33.6,33.7,555500
11/11/2012,33.0,34.0,32.8,32.9,956000
11/12/2012,32.6,33.6,32.6,32.9,460000
11/13/2012,32.8,34.5,32.8,33.9,331500
11/14/2012,34.1,34.6,33.5,33.8,566500
11/15/2012,34.0,34.5,33.9,34.3,574000
11/18/2012,34.5,34.5,33.8,33.9,412000
11/19/2012,33.4,33.8,33.0,33.2,544000
11/20/2012,34.0,34.0,32.8,32.9,601000
11/21/2012,33.3,33.5,32.7,32.8,481000
11/22/2012,32.9,33.0,32.6,32.8,439000
11/26/2012,32.7,32.9,31.4,31.5,641000
11/27/2012,31.3,31.8,30.8,31.0,684000
11/28/2012,31.4,31.7,30.3,30.7,430000
11/29/2012,32.0,33.2,31.2,33.0,606500
12/2/2012,33.4,34.0,32.6,32.7,426500
12/3/2012,32.5,32.6,32.1,32.1,439500
12/4/2012,32.0,32.2,31.5,32.1,380500
12/5/2012,32.1,33.2,31.9,32.9,587000
12/6/2012,32.5,33.0,32.0,32.4,388500
12/9/2012,32.1,32.2,31.5,31.6,595500
12/10/2012,31.7,31.9,31.4,31.5,410000
12/11/2012,31.6,32.1,31.4,32.0,323000
12/12/2012,32.0,32.3,31.8,31.8,318500
12/13/2012,32.0,33.5,31.9,33.0,412500
12/17/2012,33.1,34.1,33.0,33.8,558000
12/18/2012,33.5,33.7,33.1,33.2,303500
12/19/2012,33.4,33.7,33.4,33.5,290500
12/20/2012,33.8,34.1,33.3,33.3,281500
12/23/2012,33.1,33.2,32.8,32.8,152000
12/24/2012,32.8,33.0,32.7,32.7,267000
12/26/2012,32.8,32.9,32.7,32.7,223500
12/27/2012,32.8,33.4,32.6,32.7,394500
12/30/2012,33.0,33.2,32.8,32.9,516500
1/1/2013,33.3,33.6,33.2,33.2,453500
1/2/2013,33.1,33.2,32.7,32.8,212000
1/3/2013,33.0,33.3,32.9,33.0,223500
1/6/2013,33.0,34.2,33.0,33.8,631500
1/7/2013,33.9,35.3,33.6,35.0,1654500
1/8/2013,35.1,35.7,34.6,34.9,637000
1/9/2013,35.0,35.1,34.4,34.6,516000
1/10/2013,35.0,35.4,34.5,35.2,495500
1/13/2013,35.2,35.4,34.9,34.9,617000
1/14/2013,35.0,35.0,34.4,34.6,504500
1/15/2013,34.7,34.7,34.2,34.4,380000
1/16/2013,34.5,34.5,34.2,34.3,373500
1/17/2013,34.4,34.7,34.2,34.3,529500
1/20/2013,34.5,34.5,34.2,34.2,590500
1/21/2013,34.2,34.2,33.8,33.8,494000
1/22/2013,33.9,34.4,33.8,34.1,691500
1/23/2013,34.9,35.0,34.2,34.4,329500
1/24/2013,34.8,34.8,34.4,34.4,345000
1/27/2013,34.4,35.2,34.3,35.0,449500
1/28/2013,35.0,35.5,34.8,35.4,455000
1/29/2013,35.8,36.5,35.8,36.2,873000
1/30/2013,36.5,36.6,35.6,35.6,722000
1/31/2013,35.7,35.7,35.3,35.4,358000
