Date,Open,High,Low,Close,Volume
10/1/2012,295.4,295.4,285.4,290.4,400
10/2/2012,282.0,293.0,282.0,286.9,1600
10/3/2012,281.0,281.0,280.0,280.3,600
10/4/2012,272.0,272.0,272.0,272.0,800
10/7/2012,290.0,290.0,290.0,290.0,200
10/8/2012,267.0,267.0,267.0,267.0,200
10/9/2012,290.0,290.0,290.0,290.0,200
10/10/2012,295.0,295.0,276.2,287.6,1600
10/11/2012,268.0,269.2,268.0,268.9,1200
10/14/2012,266.0,267.1,266.0,266.5,800
10/15/2012,289.0,289.0,267.1,274.4,600
10/16/2012,288.0,288.0,288.0,288.0,200
10/17/2012,285.0,289.0,280.1,283.4,1200
10/21/2012,289.9,289.9,289.9,289.9,200
10/22/2012,280.0,285.0,277.0,279.7,800
10/23/2012,210.0,293.7,210.0,252.9,600
10/31/2012,251.0,251.0,240.5,247.1,600
11/1/2012,250.0,250.0,242.1,245.4,1200
11/4/2012,244.5,244.5,241.0,242.9,1000
11/5/2012,252.0,252.0,246.0,249.4,800
11/6/2012,251.7,251.7,251.7,251.7,400
11/7/2012,258.0,258.0,258.0,258.0,200
11/8/2012,265.0,265.0,250.0,257.5,1200
11/11/2012,242.1,253.0,242.1,245.8,600
11/13/2012,246.1,246.1,246.1,246.1,200
11/14/2012,240.5,240.5,240.2,240.3,400
11/19/2012,240.1,240.1,230.1,233.4,600
11/20/2012,220.2,220.2,220.1,220.1,400
11/21/2012,210.1,210.1,206.1,208.7,600
11/22/2012,220.0,220.0,220.0,220.0,400
11/26/2012,204.0,204.0,204.0,204.0,200
11/28/2012,201.0,202.0,201.0,201.5,400
11/29/2012,212.7,215.0,212.7,213.5,600
12/2/2012,202.3,202.3,202.3,202.3,200
12/3/2012,201.0,201.0,201.0,201.0,600
12/4/2012,214.0,214.0,214.0,214.0,200
12/5/2012,205.6,205.6,205.5,205.5,400
12/6/2012,195.0,195.0,195.0,195.0,200
12/9/2012,209.9,209.9,209.9,209.9,200
12/10/2012,210.0,210.0,210.0,210.0,800
12/19/2012,201.0,201.0,201.0,201.0,200
12/27/2012,201.0,201.0,201.0,201.0,600
12/30/2012,204.9,204.9,204.9,204.9,400
1/1/2013,204.9,206.0,204.9,205.4,400
1/8/2013,212.0,212.0,212.0,212.0,200
1/14/2013,200.0,200.0,200.0,200.0,200
1/15/2013,200.0,200.0,200.0,200.0,600
1/21/2013,199.0,199.0,199.0,199.0,4800
1/22/2013,200.0,200.0,199.0,199.1,1200
1/27/2013,200.0,200.0,200.0,200.0,200
1/29/2013,211.0,211.0,211.0,211.0,200
1/30/2013,205.0,205.0,205.0,205.0,200
1/31/2013,210.0,210.0,209.0,209.7,800
2/6/2013,210.0,210.0,210.0,210.0,200
2/7/2013,201.1,201.1,201.0,201.0,400
2/10/2013,207.9,207.9,207.9,207.9,200
2/11/2013,200.0,200.0,200.0,200.0,200
2/12/2013,201.0,201.0,199.0,200.5,800
2/13/2013,200.1,200.1,200.0,200.0,800
2/14/2013,209.0,209.0,200.2,206.7,800
2/17/2013,207.0,207.0,207.0,207.0,200
2/27/2013,200.0,200.0,200.0,200.0,400
3/7/2013,209.9,210.0,209.9,209.9,600
3/13/2013,200.0,200.0,200.0,200.0,1000
3/27/2013,190.0,190.0,190.0,190.0,200
4/1/2013,175.0,175.0,175.0,175.0,200
4/3/2013,174.0,190.0,174.0,182.0,400
4/4/2013,172.0,172.0,170.3,170.9,600
4/7/2013,170.0,170.0,170.0,170.0,400
4/9/2013,175.1,180.0,175.1,177.5,400
4/10/2013,180.0,180.0,180.0,180.0,200
4/11/2013,185.0,185.0,185.0,185.0,200
4/15/2013,195.0,195.0,185.0,188.3,600
4/16/2013,190.0,190.0,190.0,190.0,400
4/17/2013,197.9,202.5,197.9,200.2,2800
4/18/2013,205.0,205.0,200.0,203.0,1200
4/21/2013,215.0,220.0,209.0,214.6,1600
4/22/2013,205.3,209.0,205.0,206.0,800
4/23/2013,202.6,202.7,202.6,202.6,600
4/24/2013,203.3,210.0,203.3,206.6,400
4/25/2013,205.0,205.0,202.1,203.2,1200
