Date,Open,High,Low,Close,Volume
3/9/2021,40.5,40.5,40.5,40.5,421
3/10/2021,60.0,60.7,47.3,60.7,13213027
3/11/2021,60.8,61.7,54.7,54.7,3485540
3/14/2021,52.0,52.2,49.3,49.4,6362098
3/15/2021,47.9,50.4,47.5,49.5,3126788
3/16/2021,50.3,51.0,45.5,46.3,3714912
3/18/2021,46.4,46.9,42.0,43.1,3067024
3/21/2021,43.2,43.5,40.5,41.2,2313020
3/22/2021,41.7,42.3,39.2,40.6,2843785
3/23/2021,41.3,42.2,39.6,39.9,1898400
3/24/2021,39.6,39.8,36.6,36.8,2359527
3/25/2021,36.4,38.8,36.2,37.8,1427526
3/28/2021,37.8,38.1,37.2,37.7,926383
3/29/2021,37.8,39.2,37.8,38.7,1505545
3/31/2021,38.4,38.4,35.7,36.0,1683714
4/1/2021,35.9,36.1,35.0,35.5,1360331
4/4/2021,34.5,34.5,32.0,32.0,1207940
4/5/2021,32.0,33.0,31.0,32.5,853855
4/6/2021,32.9,34.7,32.7,34.2,1451186
4/7/2021,34.9,35.5,34.0,34.4,1329229
4/8/2021,32.7,33.6,32.4,32.7,1142308
4/11/2021,31.7,32.3,30.5,30.7,1069211
4/12/2021,30.8,31.7,30.7,30.8,783521
4/13/2021,30.6,32.2,29.8,31.9,1132637
4/15/2021,32.5,33.4,32.5,33.2,1070765
4/18/2021,33.2,33.5,32.2,32.7,1042902
4/19/2021,33.0,33.6,32.7,32.9,950910
4/20/2021,32.9,34.0,32.7,33.6,1576792
4/21/2021,33.7,35.5,33.7,34.8,1494057
4/22/2021,35.0,35.2,34.1,34.5,1388890
4/25/2021,34.9,36.4,34.5,35.7,1707667
4/26/2021,36.1,36.5,35.3,35.3,992654
4/27/2021,35.2,35.2,34.0,34.3,1167264
4/28/2021,34.4,35.5,34.1,35.3,1242035
4/29/2021,35.6,36.4,35.0,35.2,1316997
5/2/2021,35.5,35.6,34.6,34.7,995607
5/3/2021,34.8,35.0,33.8,34.0,931458
5/4/2021,34.2,34.4,33.1,33.2,1067124
5/5/2021,33.5,34.8,33.3,34.0,871548
5/6/2021,34.6,37.4,34.0,37.4,3823766
5/9/2021,39.0,41.1,37.9,41.1,4300964
5/11/2021,42.9,43.5,41.2,42.2,4541139
5/12/2021,42.5,44.9,41.8,43.4,4508130
5/16/2021,43.5,44.3,42.0,42.4,3307279
5/17/2021,42.5,42.8,40.5,40.9,2579353
5/18/2021,40.9,41.9,39.1,40.7,2185476
5/19/2021,40.9,42.7,40.7,41.2,2562304
5/20/2021,41.6,42.8,40.8,41.5,2903389
5/23/2021,42.0,45.6,41.2,45.2,5610361
5/24/2021,46.6,48.4,45.7,47.9,4906419
5/25/2021,47.9,48.0,45.0,45.5,4309829
5/27/2021,44.0,44.6,42.6,43.3,3504539
5/30/2021,43.3,44.4,42.9,43.2,2183393
5/31/2021,43.4,43.8,41.4,41.7,2684623
6/1/2021,42.0,42.8,41.2,41.3,2027031
6/2/2021,42.0,42.7,41.0,42.2,2032286
6/3/2021,42.8,43.7,42.6,42.9,1733445
6/6/2021,43.5,45.5,42.8,43.6,3275701
6/7/2021,44.0,47.9,44.0,47.9,9060340
6/8/2021,48.5,48.8,45.9,47.6,3575125
6/9/2021,47.9,52.3,47.9,49.0,6947573
6/10/2021,49.3,52.4,48.4,49.2,4474337
6/13/2021,50.0,53.0,48.6,51.5,5509746
6/14/2021,51.8,56.6,51.2,56.5,8499301
6/15/2021,57.1,59.7,54.5,57.2,7043652
6/16/2021,56.8,57.3,53.7,53.9,5280617
6/17/2021,54.5,54.8,50.2,50.8,4354328
6/20/2021,50.7,53.9,49.3,52.4,3954755
6/21/2021,52.8,53.5,50.4,50.8,3247190
6/22/2021,51.1,52.7,50.2,52.3,2868370
6/23/2021,52.9,53.5,49.5,49.9,2513241
6/24/2021,50.9,50.9,48.8,49.8,1509671
6/27/2021,49.5,49.8,46.2,46.6,1605377
6/28/2021,47.1,48.6,46.6,46.8,942757
6/29/2021,47.0,47.9,46.6,46.9,610206
6/30/2021,47.2,48.4,47.1,48.2,861432
7/5/2021,48.6,49.5,48.0,48.3,1318214
7/6/2021,48.5,49.2,48.0,48.1,1023515
7/7/2021,48.6,49.9,48.4,49.3,1329536
7/8/2021,49.8,51.0,49.3,49.6,1839039
7/12/2021,50.0,50.1,47.9,48.2,1298198
7/13/2021,48.5,49.1,47.5,48.1,1103365
7/14/2021,48.5,48.8,46.9,47.2,1129900
7/15/2021,47.9,48.8,47.4,48.4,1391192
7/18/2021,48.6,50.7,48.6,49.8,2038975
7/19/2021,50.0,50.2,48.5,48.9,896293
7/25/2021,49.1,49.6,48.3,48.9,853803
7/26/2021,49.4,49.5,48.1,48.3,993199
7/27/2021,48.5,48.7,47.5,47.9,988257
7/28/2021,47.9,49.4,47.9,49.1,1004458
7/29/2021,49.5,50.0,48.8,49.1,1278487
8/2/2021,49.5,51.9,49.5,51.4,2986569
8/3/2021,52.0,52.3,50.0,50.4,2272532
8/5/2021,50.7,51.3,50.2,50.7,1653270
8/9/2021,50.9,52.2,50.3,51.9,2940272
8/10/2021,52.3,53.0,50.1,50.5,1830748
8/11/2021,50.6,50.9,49.1,49.9,1618263
8/12/2021,50.8,50.8,49.6,49.8,1732397
8/16/2021,50.0,50.6,49.3,49.5,1920266
8/17/2021,49.8,49.9,49.1,49.2,1402551
8/18/2021,49.5,51.0,49.0,50.1,2070543
8/19/2021,50.2,51.0,49.8,50.1,1208759
8/22/2021,50.4,53.9,50.2,53.3,5773820
8/23/2021,54.2,54.9,52.9,53.6,3949939
