Date,Open,High,Low,Close,Volume
10/1/2012,9.6,10.0,9.6,9.8,12500
10/2/2012,9.7,10.0,9.7,10.0,106500
10/3/2012,10.0,10.6,9.9,10.0,628000
10/4/2012,10.0,10.3,9.6,10.0,34500
10/7/2012,10.0,10.3,9.8,10.1,31500
10/8/2012,9.9,9.9,9.9,9.9,4000
10/9/2012,9.8,9.8,9.7,9.7,8000
10/10/2012,10.0,10.1,8.8,9.3,32500
10/11/2012,9.6,9.6,8.9,9.0,72000
10/14/2012,9.2,9.8,9.2,9.6,3500
10/15/2012,8.7,10.1,8.7,10.0,153500
10/16/2012,9.8,9.9,9.0,9.0,66500
10/17/2012,8.7,9.0,8.7,8.8,28500
10/18/2012,8.0,9.5,8.0,9.0,51500
10/21/2012,9.4,9.4,8.9,8.9,22000
10/22/2012,8.9,8.9,8.9,8.9,15500
10/23/2012,9.0,9.0,9.0,9.0,1000
10/30/2012,8.9,8.9,8.8,8.8,18000
10/31/2012,9.0,9.1,9.0,9.0,6000
11/1/2012,8.7,9.1,8.7,8.8,3500
11/4/2012,9.0,9.0,8.9,8.9,45000
11/5/2012,9.0,9.2,8.9,9.1,86000
11/6/2012,9.1,9.3,9.0,9.2,67500
11/7/2012,9.2,9.2,9.0,9.1,153500
11/8/2012,9.4,9.4,9.0,9.0,150500
11/11/2012,9.0,9.0,8.8,8.9,83000
11/12/2012,8.9,9.0,8.8,8.8,113000
11/13/2012,9.0,9.0,8.7,8.8,18000
11/14/2012,8.9,8.9,8.5,8.7,12500
11/15/2012,8.8,9.0,8.7,8.8,20000
11/18/2012,9.0,9.0,8.9,8.9,13000
11/19/2012,8.8,8.9,8.7,8.7,96500
11/20/2012,8.5,8.8,8.5,8.5,6000
11/21/2012,8.8,9.0,8.2,8.3,55000
11/22/2012,8.6,9.1,8.6,9.0,82500
11/27/2012,8.3,8.3,8.1,8.1,26000
11/28/2012,8.2,8.8,7.4,7.8,39000
11/29/2012,8.3,8.3,8.1,8.2,7500
12/2/2012,8.4,8.4,7.9,8.2,7000
12/3/2012,8.2,8.2,7.6,7.6,11000
12/4/2012,8.1,8.1,7.5,7.7,2500
12/5/2012,7.7,8.0,7.6,7.7,6500
12/6/2012,7.9,8.1,7.6,8.0,19000
12/9/2012,8.0,8.1,8.0,8.0,1500
12/10/2012,7.4,8.0,7.4,7.7,1000
12/11/2012,8.1,8.1,7.8,7.9,25500
12/12/2012,7.7,8.2,7.7,8.0,4000
12/13/2012,8.0,8.2,8.0,8.1,4500
12/18/2012,8.7,8.7,8.0,8.3,1000
12/19/2012,8.2,8.2,8.0,8.0,5000
12/20/2012,8.0,8.4,7.6,8.1,61000
12/23/2012,8.0,8.1,8.0,8.0,3000
12/24/2012,8.1,8.6,8.1,8.3,15000
12/26/2012,8.1,9.0,8.1,8.7,27000
12/27/2012,9.2,9.5,9.1,9.4,463000
12/30/2012,9.5,10.3,9.5,10.0,440500
1/1/2013,10.0,10.0,10.0,10.0,82500
1/2/2013,9.3,9.3,9.1,9.2,2000
1/3/2013,9.2,9.4,9.1,9.3,9000
1/6/2013,9.1,9.1,8.6,8.8,10000
1/9/2013,9.2,9.2,8.9,8.9,4500
1/10/2013,9.2,9.7,8.8,8.9,20500
1/15/2013,8.4,9.0,8.4,8.7,24000
1/17/2013,9.0,9.0,8.5,8.7,2500
1/20/2013,8.6,8.6,8.5,8.5,9000
1/21/2013,8.4,8.4,8.4,8.4,13500
1/22/2013,8.4,8.4,8.1,8.1,18000
1/23/2013,8.4,8.6,8.4,8.5,2500
1/24/2013,8.6,8.8,8.6,8.7,4500
1/27/2013,8.3,8.3,8.3,8.3,500
1/28/2013,8.3,8.3,8.0,8.0,32000
1/29/2013,8.4,8.4,8.3,8.3,1500
1/30/2013,8.2,8.3,8.2,8.2,3500
1/31/2013,8.2,8.5,8.2,8.2,8500
2/3/2013,8.3,8.3,8.3,8.3,1500
2/4/2013,9.1,9.1,8.1,8.2,13000
2/5/2013,8.2,8.2,8.2,8.2,35000
2/6/2013,8.2,8.2,8.1,8.1,6000
2/7/2013,8.9,8.9,8.1,8.4,3000
2/10/2013,8.3,9.2,7.8,8.4,139000
2/11/2013,9.0,9.2,8.6,8.7,109500
2/12/2013,9.0,9.2,8.3,8.7,21000
2/13/2013,9.2,9.2,9.2,9.2,500
2/14/2013,9.1,9.8,8.7,9.2,40000
2/17/2013,9.4,9.4,9.0,9.0,7000
2/18/2013,9.4,9.4,9.4,9.4,500
2/19/2013,8.8,8.9,8.5,8.7,7500
2/20/2013,9.3,9.5,8.6,9.0,12000
2/24/2013,9.4,9.4,8.6,9.0,1000
2/25/2013,8.9,8.9,8.9,8.9,1500
2/26/2013,9.1,9.7,8.8,9.2,20000
2/27/2013,9.6,9.6,8.7,9.0,11500
2/28/2013,9.5,9.5,8.7,8.8,5000
3/3/2013,9.0,9.0,9.0,9.0,1000
3/4/2013,9.2,9.2,8.8,8.9,4500
3/5/2013,9.1,9.3,8.9,9.0,6500
3/6/2013,9.1,9.3,8.3,8.5,29500
3/7/2013,9.2,9.3,8.8,9.0,7000
3/11/2013,8.8,8.8,8.8,8.8,11000
3/12/2013,9.1,9.1,8.8,8.8,4500
3/13/2013,8.8,9.0,8.8,8.8,13500
3/14/2013,9.0,9.4,8.7,9.0,22000
3/19/2013,8.9,8.9,8.9,8.9,2000
3/20/2013,9.1,9.1,9.1,9.1,1500
3/24/2013,8.6,8.6,8.6,8.6,500
3/25/2013,8.5,8.5,8.2,8.3,28500
3/27/2013,8.8,8.8,8.8,8.8,500
3/28/2013,9.1,9.2,8.2,8.9,23000
3/31/2013,8.5,9.2,8.4,9.1,84500
4/1/2013,8.9,8.9,8.7,8.8,1000
4/2/2013,8.9,8.9,8.8,8.8,200500
4/3/2013,8.8,8.8,8.8,8.8,2000
4/4/2013,8.4,8.9,8.4,8.7,7000
4/7/2013,8.8,8.8,8.7,8.7,11000
4/8/2013,8.8,8.8,8.8,8.8,20500
4/9/2013,8.9,8.9,8.7,8.7,4500
4/10/2013,8.7,8.7,8.5,8.6,11500
4/11/2013,8.6,8.6,8.5,8.5,4500
4/15/2013,8.4,8.4,8.4,8.4,1000
4/16/2013,8.6,8.6,8.2,8.3,6500
4/17/2013,8.2,8.2,8.1,8.1,10000
4/18/2013,8.2,8.2,8.1,8.1,31500
4/21/2013,8.0,8.0,7.9,7.9,4000
4/22/2013,7.9,8.0,7.5,7.7,35500
4/23/2013,7.7,7.7,7.4,7.5,8000
4/24/2013,7.4,7.5,7.1,7.3,37000
4/25/2013,7.3,7.7,7.1,7.4,17500
