Date,Open,High,Low,Close,Volume
10/1/2012,375.1,377.9,375.0,375.5,1500
10/2/2012,397.9,407.0,376.5,397.2,9950
10/3/2012,375.0,395.0,375.0,386.2,200
10/4/2012,385.0,386.0,385.0,385.2,250
10/7/2012,376.0,378.5,375.0,376.0,3600
10/8/2012,388.0,388.0,376.2,380.7,350
10/9/2012,395.0,399.0,380.0,391.8,2200
10/10/2012,408.0,408.0,378.0,403.2,2400
10/11/2012,378.0,394.0,378.0,385.8,600
10/14/2012,385.0,385.0,375.0,379.0,200
10/15/2012,378.0,378.0,375.0,377.3,2000
10/16/2012,380.0,380.0,380.0,380.0,50
10/17/2012,380.5,383.7,380.1,381.2,200
10/18/2012,389.0,389.0,379.5,381.2,1550
10/21/2012,375.6,375.6,375.5,375.5,300
10/22/2012,375.5,376.0,375.0,375.2,1650
10/23/2012,381.0,398.0,381.0,386.6,1000
10/30/2012,385.2,390.0,385.2,387.7,200
10/31/2012,381.1,381.1,381.1,381.1,200
11/1/2012,381.0,382.0,381.0,381.4,250
11/4/2012,385.0,385.0,380.0,381.7,200
11/5/2012,380.0,384.0,379.8,381.8,2000
11/6/2012,380.0,383.1,380.0,381.6,950
11/7/2012,381.8,385.0,381.8,382.9,900
11/11/2012,386.9,386.9,370.0,377.0,1700
11/12/2012,377.2,380.0,377.0,377.2,1050
11/13/2012,377.1,384.0,377.0,380.0,900
11/14/2012,380.0,404.9,379.0,402.6,6500
11/15/2012,411.0,437.8,410.0,437.8,18200
11/18/2012,438.0,439.8,412.0,417.0,2800
11/19/2012,400.1,407.0,399.0,400.7,850
11/20/2012,399.9,399.9,380.2,385.8,2250
11/21/2012,382.2,399.5,382.2,389.4,2000
11/22/2012,389.0,399.0,380.4,382.7,2350
11/26/2012,380.6,380.7,380.1,380.3,1250
11/27/2012,380.1,390.0,380.1,387.5,4900
11/28/2012,381.5,389.9,381.5,384.3,150
11/29/2012,380.3,397.0,380.3,388.6,2500
12/2/2012,385.0,385.0,378.0,379.3,600
12/3/2012,380.1,380.2,380.1,380.1,600
12/4/2012,380.0,381.0,380.0,380.4,1100
12/5/2012,380.0,380.1,380.0,380.0,700
12/6/2012,380.0,380.0,375.0,376.6,5150
12/9/2012,375.3,375.4,375.2,375.2,450
12/10/2012,375.4,377.0,375.0,375.3,2800
12/11/2012,376.3,384.4,376.3,379.0,150
12/12/2012,376.1,376.1,376.0,376.0,350
12/13/2012,376.0,383.3,376.0,378.2,650
12/17/2012,378.6,378.6,378.0,378.2,1400
12/18/2012,378.2,378.2,378.0,378.1,850
12/19/2012,380.1,380.1,380.0,380.0,600
12/20/2012,380.6,380.6,380.1,380.4,600
12/23/2012,380.0,380.0,376.8,377.6,400
12/24/2012,380.0,380.0,380.0,380.0,150
12/26/2012,380.0,380.0,376.0,378.4,250
12/27/2012,375.1,379.0,375.1,378.2,400
12/30/2012,381.0,382.0,378.0,380.9,1750
1/1/2013,378.0,378.0,378.0,378.0,50
