Date,Open,High,Low,Close,Volume
1/28/2024,12.8,12.8,11.6,11.6,328387
1/29/2024,12.2,12.2,11.7,11.8,163979
1/30/2024,12.2,12.3,11.8,12.0,467121
1/31/2024,12.1,12.1,11.8,11.9,332064
2/1/2024,11.7,12.1,11.7,11.7,597203
2/4/2024,11.9,12.3,11.5,11.8,582591
2/5/2024,11.9,11.9,11.5,11.6,905264
2/6/2024,11.8,12.0,11.7,11.8,441538
2/7/2024,11.9,11.9,11.6,11.7,390183
2/8/2024,11.9,11.9,11.5,11.5,723924
2/11/2024,11.7,11.8,11.3,11.4,677981
2/12/2024,11.5,11.8,11.5,11.7,709223
2/13/2024,11.7,11.9,11.6,11.6,593317
2/14/2024,11.7,11.8,11.4,11.4,536679
2/15/2024,11.6,11.6,11.2,11.3,467501
2/18/2024,11.8,11.8,11.1,11.1,288309
2/19/2024,11.2,11.6,11.0,11.4,411232
2/20/2024,11.5,11.6,11.2,11.3,477619
