Date,Open,High,Low,Close,Volume
10/1/2012,7.8,8.4,7.8,8.1,472000
10/2/2012,8.9,8.9,8.3,8.5,11826000
10/3/2012,9.3,9.3,8.2,8.8,12887000
10/4/2012,9.2,9.6,8.8,9.5,1255000
10/7/2012,9.8,9.8,8.6,8.6,1902000
10/8/2012,8.0,8.5,7.8,7.9,1978000
10/9/2012,8.2,8.5,8.1,8.3,1448500
10/10/2012,8.2,8.4,7.7,7.7,928000
10/11/2012,7.8,8.0,7.3,7.4,909000
10/14/2012,8.1,8.1,7.0,7.1,1389500
10/15/2012,7.2,7.8,7.0,7.8,1141000
10/16/2012,8.0,8.3,7.6,7.7,1249000
10/17/2012,7.9,8.1,7.5,8.0,1247500
10/18/2012,8.0,8.4,8.0,8.1,1040000
10/21/2012,8.1,8.3,7.8,7.9,387000
10/22/2012,8.0,8.1,7.8,7.9,435500
10/23/2012,8.0,8.2,7.7,7.8,852000
10/30/2012,7.9,8.0,7.7,7.7,240500
10/31/2012,8.0,8.2,7.8,7.9,641000
11/1/2012,8.1,8.1,7.6,7.7,784500
11/4/2012,7.8,7.9,7.4,7.5,601500
11/5/2012,7.6,7.8,7.5,7.6,505500
11/6/2012,7.8,8.0,7.7,7.9,988500
11/7/2012,8.0,8.1,7.7,7.8,902500
11/8/2012,7.6,7.8,7.6,7.6,439500
11/11/2012,7.6,7.8,7.3,7.3,454500
11/12/2012,7.4,7.5,7.2,7.2,314000
11/13/2012,7.1,7.5,7.1,7.3,782000
11/14/2012,7.4,7.4,7.1,7.2,276000
11/15/2012,7.1,7.6,7.1,7.5,1395000
11/18/2012,7.8,7.8,7.4,7.4,888000
11/19/2012,7.4,7.5,7.2,7.2,333500
11/20/2012,7.2,7.4,7.1,7.1,415500
11/21/2012,7.4,7.4,7.2,7.2,234500
11/22/2012,7.3,7.4,7.2,7.2,589000
11/26/2012,7.2,7.2,7.0,7.0,262000
11/27/2012,7.0,7.1,6.9,6.9,129000
11/28/2012,7.0,7.1,6.8,6.9,233500
11/29/2012,7.1,7.4,7.1,7.3,570000
12/2/2012,7.3,7.4,7.0,7.0,311500
12/3/2012,7.0,7.1,6.9,7.0,236000
12/4/2012,6.4,7.1,6.4,7.0,159500
12/5/2012,6.5,7.4,6.5,6.9,145500
12/6/2012,6.9,7.0,6.8,6.8,216500
12/9/2012,6.8,6.9,6.6,6.7,147000
12/10/2012,6.6,6.6,6.5,6.5,51000
12/11/2012,6.6,7.0,6.5,6.8,328000
12/12/2012,6.9,7.0,6.7,6.7,157000
12/13/2012,6.8,6.8,6.6,6.6,137000
12/17/2012,6.9,7.0,6.8,6.8,273000
12/18/2012,6.9,6.9,6.7,6.7,145500
12/19/2012,6.8,6.9,6.7,6.7,122000
12/20/2012,6.7,6.8,6.6,6.6,384500
12/23/2012,6.6,6.7,6.5,6.6,119000
12/24/2012,6.7,6.9,6.7,6.8,295000
12/26/2012,6.8,6.8,6.6,6.6,224500
12/27/2012,6.8,7.0,6.6,6.9,513000
12/30/2012,7.0,7.0,6.9,6.9,489500
1/1/2013,6.9,7.0,6.8,6.8,248000
1/2/2013,6.8,6.8,6.7,6.7,250500
1/3/2013,6.9,7.3,6.9,7.2,1331500
1/6/2013,7.5,7.5,7.1,7.1,628500
1/7/2013,6.9,7.1,6.9,7.0,310000
1/8/2013,7.1,7.2,6.9,6.9,318000
1/9/2013,7.5,7.5,7.1,7.1,1083500
1/10/2013,7.1,7.1,6.9,6.9,226500
1/13/2013,6.8,6.9,6.7,6.8,134500
1/14/2013,6.8,6.8,6.7,6.7,60000
1/15/2013,6.7,6.9,6.7,6.8,124000
1/16/2013,6.8,6.8,6.7,6.7,128000
1/17/2013,6.8,6.9,6.7,6.7,171500
1/20/2013,6.8,6.8,6.6,6.8,331500
1/21/2013,6.8,6.8,6.7,6.7,38000
1/22/2013,6.7,6.7,6.5,6.5,621000
1/23/2013,6.5,6.6,6.5,6.5,118500
1/24/2013,6.5,6.6,6.5,6.5,233000
1/27/2013,6.6,6.6,6.5,6.5,277000
1/28/2013,6.5,6.5,6.3,6.3,291000
1/29/2013,6.4,6.5,6.3,6.4,449500
1/30/2013,6.5,6.5,6.3,6.3,341500
1/31/2013,6.3,6.4,6.2,6.3,174000
2/3/2013,6.3,6.4,6.2,6.2,217500
2/4/2013,6.4,6.4,6.3,6.3,247500
2/5/2013,6.3,6.4,6.3,6.3,380000
2/6/2013,6.4,6.5,6.3,6.3,450000
2/7/2013,6.5,6.5,6.4,6.4,323000
2/10/2013,6.5,6.7,6.4,6.5,486500
2/11/2013,6.5,6.7,6.5,6.6,380500
2/12/2013,6.6,6.9,6.6,6.6,447500
2/13/2013,6.7,6.7,6.3,6.4,465500
2/14/2013,6.6,6.6,6.3,6.3,445500
2/17/2013,6.5,6.5,6.3,6.3,321000
2/18/2013,6.4,6.4,6.2,6.2,574000
2/19/2013,6.3,6.3,6.2,6.2,408000
2/20/2013,6.3,6.4,6.1,6.2,281500
2/24/2013,6.2,6.2,6.0,6.0,104500
2/25/2013,6.2,6.2,5.8,5.8,171500
2/26/2013,6.0,6.3,6.0,6.1,386500
2/27/2013,6.2,6.2,5.9,5.9,277500
2/28/2013,5.9,6.2,5.8,6.0,183000
3/3/2013,5.9,6.0,5.5,5.8,288000
3/4/2013,5.9,6.2,5.7,5.9,168500
3/5/2013,6.0,6.0,5.8,5.9,223500
3/6/2013,5.8,5.9,5.7,5.7,196500
3/7/2013,5.7,5.9,5.6,5.8,165000
3/10/2013,5.8,5.9,5.6,5.6,74500
3/11/2013,5.6,5.7,5.5,5.6,140000
3/12/2013,5.6,5.6,5.6,5.6,10500
3/13/2013,5.6,5.8,5.6,5.6,54000
3/14/2013,5.7,5.7,5.6,5.6,13000
3/18/2013,5.6,5.6,5.5,5.5,98000
3/19/2013,5.6,5.6,5.5,5.5,153000
3/20/2013,5.6,5.6,5.4,5.4,309500
3/24/2013,5.4,5.5,5.4,5.4,142000
3/25/2013,5.4,5.4,5.3,5.3,33500
3/27/2013,5.2,5.2,5.1,5.1,41000
3/28/2013,5.2,5.3,5.1,5.1,114000
3/31/2013,5.1,5.1,5.0,5.0,88000
4/1/2013,5.0,5.0,4.8,4.8,66000
4/2/2013,5.0,5.0,4.9,4.9,34500
4/3/2013,5.0,5.0,4.9,4.9,65500
4/4/2013,4.9,5.0,4.8,4.8,63500
4/7/2013,4.9,5.1,4.9,5.0,304500
4/8/2013,5.0,5.5,5.0,5.5,687000
4/9/2013,5.4,6.0,5.4,5.7,683500
4/10/2013,5.6,6.0,5.6,5.7,277500
4/11/2013,5.8,6.1,5.8,5.8,386500
4/15/2013,5.8,5.9,5.6,5.7,335500
4/16/2013,5.8,5.8,5.5,5.5,360000
