Date,Open,High,Low,Close,Volume
10/1/2012,14.2,15.8,14.1,15.2,42000
10/2/2012,15.8,16.3,14.7,15.8,39000
10/3/2012,16.2,16.2,14.5,14.9,50500
10/4/2012,14.5,15.0,14.5,14.8,31000
10/7/2012,14.0,14.3,13.9,13.9,53000
10/8/2012,14.0,14.0,13.1,13.5,26500
10/9/2012,13.3,14.8,13.3,14.4,23500
10/10/2012,14.3,14.3,13.7,14.0,16000
10/11/2012,14.1,14.6,14.1,14.2,8500
10/14/2012,14.3,14.3,13.1,13.4,13500
10/15/2012,12.6,14.0,12.6,13.7,18000
10/16/2012,13.8,14.0,13.5,13.7,11500
10/17/2012,14.0,14.3,13.5,13.8,5500
10/18/2012,13.5,14.3,13.5,14.0,11500
10/21/2012,13.7,13.8,12.6,13.1,19500
10/22/2012,13.3,13.8,13.3,13.5,13500
10/23/2012,13.7,13.8,13.7,13.7,10000
10/30/2012,13.5,13.5,13.3,13.4,4500
10/31/2012,13.7,13.7,13.1,13.4,6000
11/1/2012,12.8,13.9,12.7,13.1,11500
11/4/2012,12.5,13.0,12.5,12.5,34000
11/5/2012,12.8,12.8,12.3,12.4,18000
11/6/2012,10.0,11.7,10.0,10.9,121500
11/7/2012,10.9,11.4,10.8,10.9,27000
11/8/2012,11.5,11.7,10.8,10.9,54500
11/11/2012,11.3,11.3,10.8,11.0,33000
11/12/2012,10.7,11.2,10.7,10.9,15500
11/13/2012,10.7,11.0,10.7,10.9,24000
11/14/2012,11.1,11.2,10.8,11.0,18000
11/15/2012,10.9,11.2,10.9,10.9,8500
11/18/2012,10.7,11.2,10.7,10.9,9000
11/19/2012,10.6,10.9,10.6,10.7,31000
11/20/2012,10.5,10.8,10.5,10.5,3500
11/21/2012,10.8,11.0,10.7,10.8,6500
11/22/2012,10.8,10.8,10.6,10.6,15000
11/26/2012,9.9,10.5,9.9,10.1,12500
11/27/2012,9.9,10.1,9.9,10.0,13500
11/28/2012,10.2,10.7,9.9,9.9,26500
11/29/2012,10.5,10.6,10.3,10.4,15500
12/2/2012,10.3,10.4,10.3,10.3,16000
12/3/2012,10.1,10.1,10.0,10.0,24000
12/4/2012,10.0,10.2,10.0,10.0,22500
12/5/2012,10.0,10.2,10.0,10.0,28500
12/9/2012,9.9,10.0,9.9,9.9,12000
12/10/2012,9.9,9.9,9.3,9.4,33500
12/11/2012,9.6,10.1,9.5,9.6,15500
12/12/2012,9.9,9.9,9.5,9.7,20000
12/13/2012,9.7,9.9,9.7,9.7,9500
12/17/2012,9.9,10.2,9.9,9.9,15000
12/18/2012,10.2,10.2,9.8,9.9,4000
12/19/2012,10.0,10.0,9.9,9.9,3000
12/20/2012,10.2,10.2,9.9,9.9,3000
12/23/2012,10.0,10.0,9.7,9.8,8500
12/24/2012,9.6,9.8,9.6,9.7,4000
12/26/2012,10.0,10.0,9.8,9.8,3000
12/27/2012,9.8,9.8,9.6,9.7,3000
12/30/2012,9.7,10.0,9.6,9.8,4500
1/1/2013,9.6,9.7,9.5,9.5,9000
1/2/2013,9.7,9.7,9.7,9.7,4500
1/3/2013,9.5,9.6,9.3,9.4,12000
1/6/2013,9.7,9.7,9.7,9.7,4000
1/7/2013,9.8,9.9,9.7,9.7,8000
1/9/2013,9.9,9.9,9.3,9.5,5000
1/10/2013,9.6,9.6,9.6,9.6,6000
1/13/2013,9.6,9.6,9.6,9.6,1000
1/14/2013,9.8,9.8,9.5,9.5,11500
1/15/2013,9.5,9.5,9.3,9.3,14000
1/16/2013,9.2,9.4,9.2,9.2,3500
1/17/2013,9.5,9.5,9.5,9.5,1500
1/20/2013,9.4,9.4,9.4,9.4,1000
1/21/2013,9.1,9.5,9.1,9.3,18000
1/22/2013,9.3,9.4,9.2,9.2,9500
1/23/2013,9.7,9.7,9.4,9.4,14500
1/24/2013,9.4,9.6,9.4,9.5,12500
1/27/2013,9.5,9.7,9.4,9.5,11500
1/28/2013,9.6,9.6,9.2,9.3,2500
1/29/2013,9.4,9.6,9.4,9.5,8500
1/30/2013,9.5,9.5,9.5,9.5,500
1/31/2013,9.6,9.6,9.2,9.3,18500
2/3/2013,9.1,9.3,9.1,9.2,17500
2/4/2013,9.1,9.3,9.1,9.1,13500
2/5/2013,9.1,9.4,9.1,9.3,5500
2/6/2013,9.3,9.3,9.1,9.1,19500
2/7/2013,9.1,9.3,9.1,9.2,3500
2/10/2013,9.2,9.3,9.1,9.2,12000
2/11/2013,9.3,9.3,9.0,9.1,51000
2/12/2013,9.2,9.3,9.1,9.2,20000
2/13/2013,9.4,9.4,9.0,9.0,48500
2/14/2013,9.2,9.3,9.0,9.2,40000
2/17/2013,9.0,9.0,9.0,9.0,2000
2/18/2013,9.2,9.2,9.1,9.1,8500
2/19/2013,9.1,9.1,9.0,9.0,29000
2/20/2013,8.9,9.0,8.9,8.9,8500
2/24/2013,8.9,9.0,8.8,8.9,15500
2/25/2013,8.8,8.9,8.8,8.8,13000
