Date,Open,High,Low,Close,Volume
10/1/2012,132.0,137.0,130.1,131.3,200900
10/2/2012,137.0,140.8,134.0,137.2,262950
10/3/2012,139.0,144.7,138.2,139.3,245050
10/4/2012,143.0,143.0,138.1,138.7,229950
10/7/2012,138.0,139.9,131.9,132.7,156850
10/8/2012,133.0,136.4,129.3,130.7,151800
10/9/2012,134.9,135.4,130.5,131.9,125950
10/10/2012,134.0,134.7,128.6,129.6,102950
10/11/2012,133.4,133.4,128.0,129.3,88350
10/14/2012,130.0,130.0,126.0,126.6,106750
10/15/2012,125.6,129.9,124.5,125.1,97250
10/16/2012,125.0,128.6,124.8,125.3,82850
10/17/2012,127.7,128.1,125.3,126.0,43200
10/18/2012,127.7,128.0,126.2,127.0,62850
10/21/2012,128.0,128.0,124.6,125.1,40700
10/22/2012,126.5,127.3,124.9,126.4,35300
10/23/2012,128.9,130.5,127.0,129.1,77450
10/30/2012,130.5,130.5,128.0,128.9,33750
10/31/2012,129.6,130.3,128.2,128.5,49700
11/1/2012,132.0,132.0,127.5,128.3,36350
11/4/2012,128.1,128.1,123.1,123.9,58450
11/5/2012,124.6,125.0,123.0,123.8,59350
11/6/2012,125.8,125.8,121.2,121.7,60950
11/7/2012,121.3,122.4,118.0,119.3,25600
11/8/2012,121.3,121.3,117.0,117.6,66750
11/11/2012,117.8,119.6,109.9,110.5,83400
11/12/2012,112.0,114.0,108.1,109.7,132250
11/13/2012,105.3,120.0,105.3,118.2,89000
11/14/2012,117.0,118.4,114.4,117.4,65250
11/15/2012,116.0,118.8,115.0,116.8,49300
11/18/2012,117.6,118.8,113.2,114.7,91150
11/19/2012,113.1,115.0,108.8,109.3,125150
11/20/2012,114.3,114.3,109.0,109.4,37250
11/21/2012,112.5,113.7,109.8,110.4,58500
11/22/2012,111.5,113.3,111.0,111.6,35800
11/26/2012,112.0,112.0,108.1,108.6,49950
11/27/2012,108.0,109.8,107.1,107.5,25600
11/28/2012,109.9,110.0,105.6,106.0,40700
11/29/2012,112.0,114.4,108.6,113.8,73500
12/2/2012,114.8,115.0,108.1,109.4,55650
12/3/2012,111.0,111.0,107.0,107.4,42450
12/4/2012,108.1,109.2,107.2,108.4,29700
12/5/2012,107.8,110.4,107.2,109.9,80500
12/6/2012,107.5,108.9,107.5,108.1,43850
12/9/2012,106.0,106.6,105.0,105.1,52400
12/10/2012,108.0,108.0,103.7,104.2,45000
12/11/2012,103.0,107.0,103.0,105.5,15500
12/12/2012,105.9,107.9,105.6,105.8,19400
12/13/2012,104.9,106.8,104.7,106.2,29350
12/17/2012,108.9,109.6,106.7,107.2,26700
12/18/2012,108.0,109.0,106.9,107.5,32400
12/19/2012,107.0,110.5,107.0,109.4,59750
12/20/2012,111.2,111.7,109.3,109.4,63800
12/23/2012,110.0,110.0,107.4,107.8,28000
12/24/2012,108.0,108.8,107.6,108.1,29300
12/26/2012,106.1,110.8,106.1,109.9,46450
12/27/2012,110.1,113.5,109.5,111.2,73300
12/30/2012,112.9,113.7,111.5,112.8,70300
1/1/2013,112.4,113.9,112.4,113.1,66350
1/2/2013,112.2,112.3,110.5,110.6,23000
1/3/2013,109.0,111.6,109.0,109.7,39850
1/6/2013,110.0,110.9,109.4,109.5,28450
1/7/2013,109.0,109.4,108.2,108.4,26400
1/8/2013,107.6,109.8,107.6,107.8,32900
1/9/2013,110.7,110.7,107.9,108.8,25450
1/10/2013,108.7,110.0,108.7,109.3,18650
1/13/2013,110.9,110.9,108.5,108.8,31100
1/14/2013,108.8,108.8,107.7,108.0,8550
1/15/2013,108.5,109.3,107.5,108.8,34150
1/16/2013,109.0,109.4,107.8,108.4,17600
1/17/2013,108.5,109.2,108.0,108.7,22600
1/20/2013,109.1,111.5,109.0,110.7,63000
1/21/2013,109.8,111.2,109.1,110.5,31550
1/22/2013,110.0,118.0,110.0,115.6,199800
1/23/2013,117.0,120.8,117.0,118.3,239350
1/24/2013,119.9,124.9,117.5,122.6,257850
