Date,Open,High,Low,Close,Volume
10/1/2012,83.4,84.4,77.3,79.2,231500
10/2/2012,81.0,81.3,79.5,80.2,499200
10/3/2012,80.3,85.4,80.0,82.3,702500
10/4/2012,82.7,84.8,82.3,82.5,608300
10/7/2012,82.0,83.4,80.6,80.8,486500
10/8/2012,79.5,81.8,78.4,78.8,417300
10/9/2012,81.6,81.7,79.5,79.9,437900
10/10/2012,81.7,81.7,78.7,79.0,607200
10/11/2012,80.0,80.3,78.4,79.5,290100
10/14/2012,74.0,82.7,74.0,80.1,538900
10/15/2012,82.0,82.0,79.6,80.0,214600
10/16/2012,80.0,80.2,79.0,79.8,168100
10/17/2012,80.0,80.0,78.5,79.5,157500
10/18/2012,78.8,80.0,78.8,79.4,122000
10/21/2012,79.9,80.0,78.7,78.9,127300
10/22/2012,78.4,79.1,78.4,78.9,61700
10/23/2012,78.1,80.5,78.1,80.0,73900
10/30/2012,79.1,81.2,79.0,79.7,109100
10/31/2012,79.0,80.3,79.0,79.8,116100
11/1/2012,79.3,80.5,79.3,79.7,69600
11/4/2012,79.0,79.5,78.2,78.4,97900
11/5/2012,77.1,78.9,77.1,77.9,107800
11/6/2012,78.0,78.9,78.0,78.0,115000
11/7/2012,76.0,78.0,76.0,76.9,107500
11/8/2012,76.1,77.5,76.1,77.0,97900
11/11/2012,76.3,77.5,76.2,77.1,218900
11/12/2012,76.3,77.4,76.3,77.0,97400
11/13/2012,76.4,78.1,76.2,77.8,111700
11/14/2012,77.0,78.2,77.0,77.9,92000
11/15/2012,78.0,78.8,77.7,77.9,107500
11/18/2012,76.6,78.5,76.6,77.8,137200
11/19/2012,76.2,77.4,75.5,75.8,93100
11/20/2012,75.5,75.7,75.2,75.3,86500
11/21/2012,74.2,76.4,74.2,75.3,56800
11/22/2012,76.0,76.0,74.4,75.2,42700
11/26/2012,74.5,75.0,74.2,74.3,78000
11/27/2012,71.0,74.0,71.0,73.6,99200
11/28/2012,72.9,74.4,72.2,72.9,85000
11/29/2012,74.0,76.2,73.1,75.6,78700
12/2/2012,76.5,76.5,75.0,75.6,76800
12/3/2012,75.0,75.3,74.1,74.4,53400
12/4/2012,74.1,75.0,74.1,74.6,54600
12/5/2012,73.2,75.3,73.2,74.5,46500
12/6/2012,73.9,75.5,73.0,74.8,82800
12/9/2012,74.8,75.0,73.6,74.9,66600
12/10/2012,73.4,75.3,73.4,74.6,117300
12/11/2012,74.0,75.5,73.9,74.9,67900
12/12/2012,75.5,75.5,74.0,74.5,40900
12/13/2012,73.6,75.1,73.6,74.8,59000
12/17/2012,74.1,75.0,74.0,74.7,26600
12/18/2012,73.8,75.0,73.8,74.1,43900
12/19/2012,73.9,78.8,73.9,75.4,73600
12/20/2012,75.0,76.1,74.7,74.8,78900
12/23/2012,74.0,75.0,74.0,74.8,27400
12/24/2012,74.3,75.0,74.1,74.8,62600
12/26/2012,74.3,75.1,74.3,74.8,43200
12/27/2012,74.6,78.4,74.6,77.8,170300
12/30/2012,78.8,80.9,78.0,79.7,178100
1/1/2013,79.0,79.7,77.2,77.2,38200
1/2/2013,76.7,77.0,75.6,75.7,47600
1/3/2013,75.6,76.9,75.4,76.3,51000
1/6/2013,75.9,77.0,75.9,76.4,34300
1/7/2013,74.7,77.0,74.7,76.3,51400
1/8/2013,76.3,77.0,75.9,76.0,44100
1/9/2013,75.5,76.6,75.5,76.1,32800
1/10/2013,75.4,77.0,75.4,76.7,44700
1/13/2013,76.8,76.9,75.5,75.6,41300
1/14/2013,75.6,75.8,75.2,75.3,15000
1/15/2013,75.0,75.5,74.8,74.9,27400
1/16/2013,74.1,75.3,74.1,74.7,43600
1/17/2013,76.0,76.0,74.7,74.9,30400
1/20/2013,75.5,75.5,74.7,75.0,30500
1/21/2013,74.7,75.2,74.4,74.7,19100
1/22/2013,74.5,78.3,74.5,77.8,99500
1/23/2013,77.8,78.5,76.6,77.7,96800
1/24/2013,77.0,79.0,77.0,78.0,80000
1/27/2013,78.0,82.5,78.0,80.9,310800
1/28/2013,80.4,85.0,80.4,84.6,450500
1/29/2013,85.3,85.9,83.1,84.9,306300
1/30/2013,85.0,86.2,83.4,85.4,397000
1/31/2013,85.7,85.8,83.8,84.4,205200
2/3/2013,84.2,86.0,83.7,85.4,216900
2/4/2013,85.4,85.8,84.2,84.7,140900
2/5/2013,84.0,85.5,83.5,84.4,132400
2/6/2013,84.0,85.2,84.0,85.1,222500
2/7/2013,85.0,85.4,83.0,83.9,244100
2/10/2013,84.0,84.9,83.6,83.9,235800
2/11/2013,84.0,84.5,83.6,83.7,169900
2/12/2013,83.2,84.0,83.0,83.0,148400
2/13/2013,83.2,83.3,82.4,82.5,170100
2/14/2013,83.1,86.7,83.1,84.9,249100
2/17/2013,84.9,85.6,83.7,83.8,159200
2/18/2013,85.0,85.0,83.6,83.9,179800
2/19/2013,83.7,84.3,82.0,82.1,220700
2/20/2013,81.8,82.9,80.3,80.7,100800
2/24/2013,80.0,80.2,76.5,77.8,99500
2/25/2013,77.3,80.1,76.6,76.9,111000
2/26/2013,78.0,79.9,77.6,79.4,76200
2/27/2013,79.0,79.1,76.2,76.8,70900
2/28/2013,77.6,77.9,76.0,77.3,62000
3/3/2013,75.0,75.8,73.2,73.9,101900
3/4/2013,74.9,75.7,74.0,74.8,51700
3/5/2013,75.5,75.5,74.5,74.7,49800
3/6/2013,75.7,75.7,74.0,74.6,67000
3/7/2013,73.5,74.8,72.7,74.5,65100
3/10/2013,73.0,74.8,73.0,74.3,82400
3/11/2013,74.7,74.7,73.1,74.4,37300
3/12/2013,73.0,74.7,73.0,74.5,38000
3/13/2013,74.7,76.9,74.6,76.6,62300
3/14/2013,75.3,76.8,75.3,76.7,49600
3/18/2013,70.1,77.0,70.1,76.7,33000
3/19/2013,75.2,76.7,75.2,75.8,34500
3/20/2013,74.6,76.0,74.6,75.5,27300
3/24/2013,73.5,75.0,71.1,72.6,39600
3/25/2013,72.2,74.3,70.1,70.4,39600
3/27/2013,69.0,70.5,60.0,68.8,105000
3/28/2013,68.8,70.6,68.8,70.2,46900
3/31/2013,69.0,70.5,66.6,69.8,52000
4/1/2013,66.1,67.8,66.1,66.8,45400
4/2/2013,68.3,68.7,66.6,68.1,26900
4/3/2013,68.4,71.0,67.8,69.6,49900
4/4/2013,68.5,70.3,68.1,69.7,102900
4/7/2013,68.9,70.2,68.9,70.0,53300
4/8/2013,69.9,70.8,68.8,70.1,55900
4/9/2013,71.2,72.7,69.8,72.3,53900
4/10/2013,74.0,75.0,71.8,72.6,48500
4/11/2013,69.8,72.0,69.8,70.9,93800
4/15/2013,70.6,72.9,70.1,72.1,62500
4/16/2013,71.4,72.0,70.2,70.9,92100
4/18/2013,67.0,68.4,65.8,65.9,121500
4/21/2013,66.0,66.0,63.5,65.2,50100
4/22/2013,63.6,64.9,63.6,64.0,42200
4/23/2013,63.9,65.5,63.5,63.7,22100
4/24/2013,63.2,65.9,63.2,64.8,53300
4/25/2013,64.2,67.5,64.0,66.5,64300
4/28/2013,64.7,66.8,64.6,66.2,52000
4/29/2013,66.5,66.5,65.1,65.7,34500
4/30/2013,66.0,67.0,64.9,65.4,59900
5/2/2013,65.1,65.9,65.1,65.5,29600
5/5/2013,62.0,65.6,62.0,65.0,36700
5/6/2013,65.5,70.0,63.9,64.0,53200
5/7/2013,64.2,65.0,63.5,64.6,26400
5/8/2013,66.8,66.8,64.5,64.6,39300
5/9/2013,64.6,65.7,64.0,65.2,55000
5/12/2013,66.0,69.8,65.7,69.1,120100
5/13/2013,68.1,69.2,68.0,68.9,120800
5/14/2013,72.9,72.9,69.5,72.3,125100
5/15/2013,73.0,73.8,71.0,71.2,148900
5/16/2013,71.0,75.6,71.0,74.9,146400
5/19/2013,75.0,80.0,74.0,78.6,218200
5/20/2013,78.1,79.1,76.2,76.2,146400
5/21/2013,76.9,77.0,74.2,75.7,150900
5/22/2013,74.1,76.0,73.6,73.8,70100
5/26/2013,72.0,73.0,72.0,72.4,46800
5/27/2013,71.8,73.8,71.8,73.1,39800
5/28/2013,72.9,75.2,72.9,73.7,43400
5/29/2013,73.1,75.4,73.1,74.2,77000
5/30/2013,75.3,76.4,73.9,74.0,103300
6/2/2013,76.5,76.5,74.6,75.0,50600
6/3/2013,74.5,78.9,74.5,77.5,158900
6/4/2013,75.6,79.3,75.6,77.4,124400
6/5/2013,77.0,80.8,76.8,79.8,322100
6/6/2013,78.5,79.9,76.8,77.7,220200
6/9/2013,77.0,77.8,75.4,75.6,98000
6/10/2013,74.5,79.7,74.5,79.1,198400
6/11/2013,79.0,81.0,78.9,79.8,537100
6/12/2013,79.8,81.7,79.1,79.3,261900
6/13/2013,79.9,80.0,77.4,77.5,112800
6/16/2013,77.1,79.4,77.1,78.7,220600
6/17/2013,79.9,80.7,78.0,78.1,172200
6/18/2013,77.6,78.5,77.4,77.9,184200
6/19/2013,78.2,85.0,78.2,82.6,567000
6/20/2013,80.3,83.5,79.8,80.3,154400
6/23/2013,79.2,80.4,77.5,77.9,204600
6/24/2013,78.0,78.1,75.5,77.3,141100
6/26/2013,79.8,82.0,78.8,79.1,235500
6/27/2013,79.4,81.5,78.4,78.8,167000
6/30/2013,77.5,80.9,77.3,77.7,133800
7/2/2013,79.8,81.0,77.5,80.3,227400
7/3/2013,81.0,81.8,79.8,80.2,234600
7/4/2013,80.3,82.0,79.5,80.0,215000
7/7/2013,80.0,82.0,79.2,79.7,176800
7/8/2013,79.9,83.4,78.5,80.5,406200
7/9/2013,82.0,85.9,80.9,85.1,809200
7/10/2013,86.4,86.5,83.0,83.9,408100
7/11/2013,82.0,84.9,78.9,79.5,219000
7/14/2013,79.7,80.6,77.1,77.9,155000
7/15/2013,78.5,80.9,78.2,79.3,278700
7/16/2013,80.3,81.5,78.3,80.4,382500
7/17/2013,80.0,80.7,78.6,80.0,235700
7/18/2013,78.2,79.8,76.4,76.6,210100
7/21/2013,78.9,78.9,73.8,73.9,119500
7/22/2013,75.0,75.0,73.9,73.9,143100
7/23/2013,74.0,74.3,70.2,71.0,79700
7/24/2013,71.1,73.9,70.8,73.5,76100
7/25/2013,73.3,73.6,71.0,72.7,94300
7/28/2013,74.0,74.0,70.5,70.9,69700
7/29/2013,70.5,72.7,70.5,72.2,33300
7/30/2013,72.5,73.0,71.1,71.2,51100
7/31/2013,71.5,72.6,70.8,71.2,31000
8/1/2013,70.5,71.5,70.5,70.9,48400
8/4/2013,70.1,71.3,70.0,70.6,50600
8/5/2013,71.0,71.0,70.6,70.7,73500
8/12/2013,71.0,71.5,70.1,71.4,47300
8/13/2013,71.0,73.2,71.0,72.8,46600
8/14/2013,72.1,72.6,71.2,72.1,61900
8/18/2013,73.0,73.0,71.6,72.7,70500
8/19/2013,72.2,73.6,72.2,73.4,44400
8/20/2013,73.1,75.0,73.0,74.1,98000
8/21/2013,74.0,77.1,74.0,75.5,154200
8/22/2013,75.4,77.3,75.0,77.1,109900
8/25/2013,77.8,78.0,76.0,76.4,134500
8/26/2013,76.0,76.5,75.2,75.3,97000
8/27/2013,74.5,75.8,74.2,74.7,57100
8/29/2013,74.8,75.3,74.1,74.4,103800
9/1/2013,73.7,78.0,73.7,75.4,68300
9/2/2013,76.9,77.0,75.1,75.4,76200
9/3/2013,74.3,76.4,74.3,74.9,61000
9/4/2013,75.9,75.9,74.6,74.7,79400
9/5/2013,75.0,75.0,74.0,74.6,74800
9/8/2013,74.5,74.5,72.6,73.4,48900
9/9/2013,74.9,74.9,73.0,73.5,61000
9/10/2013,73.0,74.8,72.5,73.0,60200
9/11/2013,72.3,73.3,72.3,72.5,40600
9/12/2013,72.2,73.0,72.2,72.4,52400
9/15/2013,72.5,73.9,71.7,72.6,67200
9/16/2013,73.0,74.0,72.7,73.1,68900
9/17/2013,71.2,74.0,71.2,72.9,65300
9/18/2013,72.5,73.5,72.5,72.6,134200
9/19/2013,72.2,73.5,71.5,72.1,73100
9/22/2013,72.0,72.4,71.6,71.7,50800
9/23/2013,71.2,71.8,70.5,70.5,119400
9/24/2013,70.5,71.7,70.0,70.4,101700
9/25/2013,70.4,71.0,70.0,70.4,49800
9/26/2013,70.8,70.9,70.0,70.1,61500
9/29/2013,70.1,70.4,69.5,69.8,65700
9/30/2013,70.0,70.4,69.1,69.9,73000
10/1/2013,69.2,70.7,69.2,70.0,31500
10/2/2013,68.1,70.1,68.1,69.5,42900
10/3/2013,69.6,72.0,69.6,71.2,37400
10/6/2013,70.0,71.3,69.0,69.8,40000
10/7/2013,68.0,70.0,68.0,69.8,32700
10/8/2013,68.5,70.0,68.5,69.3,62500
10/9/2013,69.4,70.3,69.4,69.9,26700
10/10/2013,69.6,70.3,69.6,70.1,167600
10/20/2013,68.0,70.9,68.0,69.8,37100
10/21/2013,68.5,70.0,68.0,69.8,48200
10/22/2013,69.7,70.3,69.2,69.3,43500
10/23/2013,69.5,69.6,69.0,69.2,27800
10/24/2013,68.1,69.5,68.1,68.9,38500
10/27/2013,70.0,70.0,69.0,69.6,17000
10/28/2013,70.0,70.9,69.6,69.8,39900
10/29/2013,69.1,70.0,69.0,69.6,14900
10/30/2013,69.8,70.0,69.5,69.9,22100
10/31/2013,68.9,70.0,68.9,69.8,25100
11/3/2013,69.1,72.0,69.1,71.0,31100
11/4/2013,72.0,72.9,71.0,72.0,90100
11/5/2013,72.2,73.3,72.0,72.1,70300
11/6/2013,72.0,72.0,71.0,71.1,32400
11/7/2013,70.7,73.4,70.7,72.6,26100
11/10/2013,72.1,72.5,71.6,72.0,47800
11/11/2013,71.1,72.7,71.1,71.7,51300
11/12/2013,71.8,71.8,71.1,71.1,37500
11/13/2013,71.2,72.0,71.1,71.3,17400
11/14/2013,72.4,74.7,71.0,74.3,111000
11/17/2013,75.0,75.6,74.0,75.5,246500
11/18/2013,75.7,76.4,75.0,75.8,171900
11/19/2013,76.4,79.6,74.1,78.5,644800
11/20/2013,79.5,79.8,76.0,76.4,215500
11/21/2013,75.4,77.5,75.4,76.2,120600
11/24/2013,76.7,76.9,74.0,74.8,122800
11/25/2013,74.0,77.0,74.0,75.0,240900
11/26/2013,74.8,75.3,73.7,74.0,73500
11/27/2013,72.6,74.2,72.6,73.3,96700
11/28/2013,73.3,73.6,72.8,73.0,77900
12/1/2013,72.2,72.7,72.2,72.4,51000
12/2/2013,72.3,73.5,72.2,72.5,42200
12/3/2013,72.8,75.5,72.8,74.9,96400
12/4/2013,74.2,75.6,74.2,75.0,146200
12/5/2013,74.5,76.0,74.0,75.6,111000
12/8/2013,74.7,76.0,74.7,75.7,69000
12/9/2013,75.7,76.3,75.4,75.6,91800
12/10/2013,76.0,76.2,75.1,75.9,167500
12/11/2013,74.7,77.8,74.7,76.1,421400
12/12/2013,76.5,77.4,75.1,75.3,96900
12/15/2013,76.0,76.9,75.5,75.6,88300
12/17/2013,75.3,75.3,73.8,74.1,74600
12/18/2013,74.0,74.8,74.0,74.0,100900
12/19/2013,74.0,74.4,73.0,73.9,53800
12/22/2013,73.3,74.6,73.0,73.2,81600
12/23/2013,72.8,74.5,72.8,74.0,61700
12/24/2013,72.6,73.9,72.6,73.2,33000
12/26/2013,72.3,75.3,72.0,74.6,71000
12/29/2013,73.4,75.4,73.4,75.2,70600
12/30/2013,74.7,76.0,73.6,75.1,90200
1/1/2014,74.2,75.0,74.0,74.2,32900
1/2/2014,74.6,75.0,73.7,74.4,23400
1/6/2014,74.2,74.9,73.0,73.2,56400
1/7/2014,73.2,74.3,73.1,73.7,56800
1/8/2014,74.0,74.7,74.0,74.2,41800
1/9/2014,74.2,76.4,74.2,76.0,99800
1/12/2014,75.4,79.7,75.4,78.9,230000
1/13/2014,79.0,79.1,77.4,77.8,199700
1/15/2014,78.5,79.4,78.1,78.9,183000
1/16/2014,79.7,79.7,77.8,78.6,165000
1/19/2014,79.5,83.0,78.3,82.7,502700
1/20/2014,82.9,83.0,80.2,80.4,311900
1/21/2014,80.1,82.9,80.0,82.5,275800
1/22/2014,83.0,87.5,83.0,84.4,659200
1/23/2014,85.0,86.0,83.7,85.1,307300
1/26/2014,85.9,87.0,82.5,82.8,334200
1/27/2014,84.0,84.0,81.5,81.7,293500
1/28/2014,82.0,82.5,80.8,81.0,116300
1/29/2014,80.1,82.5,80.0,80.9,171300
1/30/2014,81.9,81.9,80.0,80.2,223100
2/2/2014,78.2,80.7,78.2,79.1,116900
2/3/2014,80.0,81.9,79.2,81.3,99800
2/4/2014,81.0,81.9,80.3,80.4,84900
2/5/2014,79.3,81.3,79.3,79.6,92800
2/6/2014,79.6,81.0,79.6,79.7,125100
2/9/2014,79.7,81.8,79.4,80.5,208800
2/10/2014,80.7,81.5,80.6,80.8,157300
2/11/2014,79.3,81.0,79.3,80.0,98100
2/12/2014,81.4,81.4,79.7,79.9,121700
2/13/2014,79.5,79.8,77.6,77.9,335100
2/16/2014,77.5,79.2,77.5,77.8,58900
2/17/2014,77.8,78.7,77.3,77.5,68200
2/18/2014,77.2,78.0,77.2,77.4,53000
2/19/2014,77.1,79.5,77.1,78.0,57100
2/20/2014,78.5,79.0,77.9,78.3,99000
2/23/2014,78.0,78.2,77.6,77.7,39200
2/24/2014,77.0,78.5,77.0,77.7,58900
2/25/2014,77.0,78.0,77.0,77.2,53900
2/26/2014,77.0,77.5,77.0,77.1,73700
2/27/2014,76.8,77.4,76.8,77.0,51100
3/2/2014,77.1,77.4,76.8,76.9,68700
3/3/2014,76.0,76.8,76.0,76.0,58400
3/4/2014,76.0,76.6,75.6,75.9,55000
3/5/2014,75.9,75.9,74.5,75.1,35200
3/6/2014,75.0,75.0,73.0,73.4,61800
3/9/2014,73.0,74.0,73.0,73.6,44000
3/10/2014,73.2,75.0,73.2,74.4,42200
3/11/2014,73.0,74.8,73.0,74.3,36400
3/12/2014,74.1,74.7,74.1,74.4,29000
