Date,Open,High,Low,Close,Volume
9/17/2018,10.0,31.9,10.0,24.2,6137425
9/18/2018,24.2,24.5,22.2,22.6,1236195
9/19/2018,22.5,22.5,20.6,20.8,2860469
9/20/2018,20.9,22.8,20.9,22.8,1364762
9/23/2018,23.2,23.5,20.8,20.9,1811094
9/24/2018,21.0,21.6,20.2,20.4,1265290
9/25/2018,20.7,20.9,19.2,19.5,1029015
9/26/2018,19.7,21.1,19.4,19.9,1295655
9/27/2018,19.9,21.0,19.9,20.6,1209987
9/30/2018,20.9,22.4,20.9,22.0,2162321
10/1/2018,22.4,23.0,20.6,20.7,1274841
10/2/2018,20.7,22.3,20.3,21.8,1564155
10/3/2018,21.9,23.7,21.7,23.5,2633507
10/4/2018,23.5,24.5,22.7,24.1,1933369
10/7/2018,24.3,26.5,23.6,26.5,2943591
10/8/2018,26.6,27.2,24.2,24.6,2057890
10/9/2018,24.8,26.2,24.2,26.0,1651384
10/10/2018,26.3,26.4,24.7,24.9,1250697
10/11/2018,24.9,25.7,24.5,25.4,885404
10/14/2018,25.9,26.6,25.4,25.6,1657748
10/15/2018,25.6,25.9,24.3,24.6,867316
10/16/2018,24.9,25.6,24.2,25.3,1172223
10/17/2018,25.6,25.8,24.5,24.6,795663
10/18/2018,24.7,25.1,24.5,24.9,670388
10/21/2018,25.0,25.5,24.7,25.1,717391
10/22/2018,25.1,26.7,25.0,25.3,1099171
10/23/2018,25.7,27.2,25.3,26.9,1062273
10/24/2018,27.1,28.4,26.0,27.9,1815997
10/25/2018,28.2,28.6,27.0,28.0,1265848
10/28/2018,28.6,28.6,25.6,26.1,2018901
10/29/2018,26.0,27.7,25.4,27.1,1215890
10/30/2018,27.7,29.8,27.7,29.8,1855789
10/31/2018,30.6,32.7,29.8,32.7,1593176
11/1/2018,33.4,35.2,32.6,33.1,2671050
11/4/2018,33.3,36.4,33.0,36.2,1231246
11/5/2018,36.6,36.7,33.5,34.0,1395533
11/6/2018,34.0,36.7,33.0,36.1,1417136
11/7/2018,36.1,39.7,36.1,39.7,1402757
11/8/2018,41.2,43.6,40.8,43.6,1442785
11/11/2018,44.0,44.7,40.7,41.0,1269771
11/12/2018,41.0,45.1,41.0,45.1,977287
11/13/2018,46.0,48.2,41.6,42.0,1257415
11/14/2018,42.4,46.2,42.3,44.1,1838335
11/15/2018,44.6,45.5,41.6,42.1,919675
11/18/2018,42.5,44.5,41.6,43.6,1010809
11/19/2018,44.0,47.0,43.4,44.8,1484778
11/20/2018,45.7,46.5,43.1,45.5,2307619
11/25/2018,39.1,40.9,36.8,37.7,1614240
11/26/2018,38.9,41.4,38.0,41.4,786454
11/27/2018,43.5,45.5,43.5,45.5,982434
11/28/2018,49.0,50.0,46.9,50.0,1084602
11/29/2018,54.8,55.0,52.0,55.0,690087
12/2/2018,59.8,59.8,52.7,53.9,1262700
12/3/2018,54.5,56.0,53.4,54.7,1915747
12/4/2018,55.8,57.8,51.3,52.4,2578707
12/5/2018,52.5,52.7,47.2,47.2,3300102
12/6/2018,46.4,47.5,42.5,45.6,3534492
12/9/2018,45.6,48.0,43.6,44.2,1307050
12/10/2018,44.2,44.5,39.8,39.8,2330527
12/11/2018,39.8,41.1,37.6,39.1,1356653
12/12/2018,39.4,41.9,38.6,39.6,2120060
12/13/2018,39.7,40.3,35.8,36.2,1505761
12/17/2018,36.2,36.2,32.6,32.8,1165341
12/18/2018,32.6,34.4,32.2,34.0,891384
12/19/2018,34.2,35.4,31.8,32.8,1176152
12/20/2018,31.7,33.8,31.7,32.8,905283
12/23/2018,31.0,33.2,30.9,31.2,785083
12/24/2018,31.0,31.7,30.5,30.7,617001
12/26/2018,31.0,31.3,29.9,30.3,510370
12/27/2018,30.4,30.8,28.4,29.7,2075710
1/1/2019,30.2,32.6,30.0,32.6,1302097
1/2/2019,33.2,34.9,32.5,34.5,2657542
1/3/2019,34.5,35.5,33.8,34.7,2032142
1/6/2019,34.7,35.3,33.0,33.4,2275978
1/7/2019,33.5,34.4,32.5,32.7,1618864
1/8/2019,32.8,33.5,32.5,32.7,965619
1/9/2019,32.7,33.2,31.3,31.7,1310382
1/10/2019,32.1,32.4,31.3,32.1,569595
1/13/2019,32.3,34.7,31.6,34.4,1623079
1/14/2019,34.7,37.8,34.6,37.0,3484269
1/15/2019,37.1,39.7,37.0,38.0,2602016
1/16/2019,38.0,38.2,34.8,35.1,1849740
1/17/2019,35.8,35.8,34.0,35.2,1011751
1/20/2019,35.2,38.7,35.2,38.7,2131484
1/21/2019,39.0,39.7,36.5,36.9,1660167
1/22/2019,37.0,38.7,36.3,37.4,1216811
1/23/2019,38.2,38.3,36.8,37.9,859217
1/24/2019,37.8,39.7,37.6,38.7,1971700
1/27/2019,38.0,41.6,38.0,40.7,1505613
1/28/2019,41.0,41.5,40.0,40.1,1170730
1/29/2019,40.2,40.5,38.7,39.7,1129221
1/30/2019,39.0,40.3,38.6,39.8,911543
1/31/2019,39.5,40.6,39.1,39.5,996626
2/3/2019,39.6,40.8,39.5,40.0,718437
2/4/2019,39.5,40.4,39.5,39.6,706087
2/5/2019,38.0,39.6,38.0,38.2,694814
2/6/2019,39.0,41.0,38.3,39.6,1421320
2/7/2019,39.5,41.6,39.5,40.8,943035
2/10/2019,41.0,41.5,39.4,39.6,589997
2/11/2019,40.0,40.0,38.7,39.1,568134
2/12/2019,39.8,40.6,39.1,39.3,1308174
2/13/2019,40.3,40.3,38.1,38.5,720273
2/14/2019,38.6,39.2,38.0,38.5,1093236
2/17/2019,38.9,40.5,38.0,38.4,2134550
2/18/2019,39.0,39.4,38.4,38.9,3657244
2/19/2019,38.9,39.2,37.8,38.0,855476
2/20/2019,38.0,38.0,35.4,35.9,1246555
2/24/2019,36.0,36.1,34.0,34.4,606628
2/25/2019,34.6,35.0,33.5,33.8,520515
2/26/2019,33.9,34.0,32.5,32.7,362261
2/27/2019,32.5,35.0,32.0,34.5,666742
3/3/2019,34.5,35.5,34.1,34.2,421990
3/4/2019,34.3,34.5,33.6,33.7,319963
3/5/2019,33.3,35.0,33.3,34.2,363085
3/6/2019,34.1,36.1,34.1,35.7,914444
3/7/2019,35.7,36.6,35.3,35.4,475504
3/10/2019,35.4,35.4,34.0,34.3,298182
3/11/2019,33.8,35.3,33.8,35.1,577175
3/12/2019,34.8,35.4,33.6,34.8,979484
3/13/2019,35.4,35.8,34.8,34.9,919856
3/14/2019,35.0,36.0,34.8,35.7,761682
3/18/2019,35.7,35.7,35.1,35.4,386562
3/19/2019,35.5,36.1,35.1,35.9,587801
3/20/2019,35.9,35.9,35.0,35.1,616535
3/21/2019,34.9,35.3,34.7,34.9,220102
3/24/2019,34.6,35.5,34.6,35.2,128268
3/25/2019,35.0,36.1,35.0,35.5,284742
3/27/2019,35.4,36.1,35.3,35.5,267153
3/28/2019,35.0,35.9,35.0,35.4,130023
3/31/2019,35.0,35.5,35.0,35.2,224125
4/1/2019,35.4,35.7,35.2,35.3,130317
4/2/2019,35.3,35.6,35.2,35.3,174875
4/3/2019,35.2,35.4,34.6,34.9,435080
4/4/2019,35.3,35.3,34.5,34.7,130115
4/7/2019,34.5,35.0,33.7,33.9,127232
4/8/2019,33.4,33.6,32.7,32.8,95719
4/9/2019,32.1,32.9,30.5,30.6,262351
4/10/2019,31.1,31.1,30.0,30.1,79096
4/11/2019,30.9,33.1,30.4,32.5,188659
4/15/2019,33.2,35.2,32.2,32.7,85572
4/16/2019,32.7,34.4,32.1,33.1,142979
4/17/2019,33.5,34.2,32.8,32.8,91972
4/18/2019,33.8,34.5,32.7,34.3,136887
4/21/2019,34.0,35.0,33.9,34.0,101096
4/23/2019,33.7,34.9,32.4,32.5,132960
4/24/2019,32.9,33.5,32.7,32.9,87252
4/25/2019,32.8,34.3,32.8,33.8,89916
4/28/2019,33.8,34.5,33.8,33.8,137232
4/29/2019,33.8,34.5,33.8,34.0,113118
4/30/2019,34.0,35.3,33.9,34.3,167570
5/2/2019,34.8,37.5,34.8,36.9,425796
5/5/2019,36.9,37.5,36.2,36.4,200133
5/6/2019,36.0,36.7,34.5,34.8,396311
5/7/2019,34.3,35.4,33.3,33.8,417031
5/8/2019,33.8,34.5,33.5,33.7,62597
5/9/2019,34.5,36.0,34.5,35.4,683029
5/12/2019,35.4,36.0,35.2,35.6,196556
5/13/2019,35.6,36.0,34.5,34.9,302736
5/14/2019,34.2,36.1,34.2,35.9,776758
5/15/2019,36.1,36.1,35.1,35.2,156096
5/16/2019,35.0,35.7,34.8,34.9,70365
5/19/2019,34.8,35.4,34.8,35.1,97591
5/20/2019,35.1,35.5,34.4,34.5,96779
5/21/2019,34.0,34.7,34.0,34.5,112698
5/22/2019,34.1,34.8,34.0,34.2,56118
5/23/2019,34.2,34.2,33.3,33.5,97864
5/26/2019,33.6,33.6,32.0,32.5,132491
