Date,Open,High,Low,Close,Volume
10/1/2012,45.0,47.0,44.0,46.4,82350
10/2/2012,46.3,47.6,44.1,44.9,123600
10/3/2012,46.0,46.0,43.0,43.2,87100
10/4/2012,46.0,46.0,42.8,43.2,31600
10/7/2012,45.3,45.3,40.7,41.0,26250
10/8/2012,42.3,42.7,39.6,41.2,51650
10/9/2012,41.6,44.9,41.6,42.9,40050
10/10/2012,43.2,43.2,40.1,41.1,44250
10/11/2012,41.2,41.9,40.5,41.1,23700
10/14/2012,40.4,41.9,40.4,40.6,37050
10/15/2012,40.9,41.3,40.6,40.9,33250
10/16/2012,41.5,41.5,40.2,40.3,21650
10/17/2012,40.3,40.5,39.2,39.5,34900
10/18/2012,39.5,40.5,39.2,39.3,16350
10/21/2012,39.6,40.0,38.3,39.1,24150
10/22/2012,39.4,40.5,39.4,40.4,27950
10/23/2012,42.2,42.3,40.0,40.3,15100
10/30/2012,40.0,41.0,39.6,39.8,12550
10/31/2012,40.0,40.3,39.5,39.6,11650
11/1/2012,39.6,40.0,39.0,39.6,19900
11/4/2012,40.0,40.0,38.8,39.1,24450
11/5/2012,38.6,39.5,38.6,39.2,2350
11/6/2012,39.0,39.0,38.1,38.2,13300
11/7/2012,39.2,39.2,37.5,38.1,12550
11/8/2012,38.5,38.9,38.0,38.2,17950
11/11/2012,38.0,38.2,36.6,36.9,27250
11/12/2012,36.7,36.8,34.9,35.0,29500
11/13/2012,30.0,31.0,29.1,30.8,87700
11/14/2012,29.9,31.8,29.9,30.7,30600
11/15/2012,31.5,32.1,30.0,31.8,33550
11/18/2012,32.5,32.5,30.0,30.3,36550
11/19/2012,30.3,30.4,28.9,29.0,35100
11/20/2012,29.6,29.6,28.1,28.5,29850
11/21/2012,30.0,30.0,28.1,28.4,17300
11/22/2012,29.0,29.4,28.5,28.5,23750
11/26/2012,28.0,29.0,27.6,27.8,20750
11/28/2012,27.2,28.2,27.0,27.5,17450
11/29/2012,27.9,29.5,27.9,29.3,20800
12/2/2012,30.5,30.5,28.1,28.3,15050
12/3/2012,28.1,28.1,27.3,27.8,9650
