Date,Open,High,Low,Close,Volume
10/1/2012,234.0,234.3,227.5,230.8,397500
10/2/2012,234.0,237.9,234.0,236.3,342600
10/3/2012,239.9,248.6,238.2,241.9,1183500
10/4/2012,245.0,252.5,242.1,243.8,961900
10/7/2012,244.5,249.9,241.0,242.1,662300
10/8/2012,243.6,246.5,237.0,239.3,486200
10/9/2012,242.9,244.6,239.2,240.2,651500
10/10/2012,243.0,247.8,242.0,242.7,962100
10/11/2012,246.9,248.3,244.5,245.5,981100
10/14/2012,248.0,256.5,246.2,252.8,1293800
10/15/2012,255.0,258.4,251.5,253.6,1196800
10/16/2012,254.5,255.0,247.5,248.8,778800
10/17/2012,248.0,249.0,243.6,244.5,421800
10/18/2012,245.0,250.5,244.1,249.8,468100
10/21/2012,252.8,254.9,248.9,251.5,565100
10/22/2012,253.0,253.0,246.4,247.6,356000
10/23/2012,247.5,252.3,245.5,247.4,334400
10/30/2012,247.0,250.3,246.7,247.7,248700
10/31/2012,247.0,248.5,245.6,246.1,203700
11/1/2012,247.0,247.6,242.3,242.9,189400
11/4/2012,243.6,244.0,238.0,239.8,158200
11/5/2012,240.0,241.4,237.2,240.4,231100
11/6/2012,240.4,245.9,240.4,243.3,343800
11/7/2012,243.9,244.7,239.0,240.3,202100
11/8/2012,241.0,241.1,238.0,238.8,163200
11/11/2012,237.0,238.5,226.5,233.8,521500
11/12/2012,235.0,236.0,227.7,233.2,237000
11/13/2012,230.1,238.0,230.1,236.6,142300
11/14/2012,237.7,239.0,234.3,236.6,532800
11/15/2012,237.5,239.5,235.5,237.1,181400
11/18/2012,238.0,239.9,232.0,235.2,252600
11/19/2012,232.2,235.0,231.1,232.5,190500
11/20/2012,230.5,235.6,230.0,232.6,225700
11/21/2012,235.9,235.9,230.5,231.9,163300
11/22/2012,230.0,231.7,224.1,225.2,349700
11/26/2012,234.9,240.0,218.3,220.8,389000
11/27/2012,220.0,225.7,218.1,223.3,229200
11/28/2012,225.0,226.0,219.3,221.2,203900
11/29/2012,225.0,233.9,223.2,231.6,213900
12/2/2012,232.0,234.0,224.5,225.5,166000
12/3/2012,225.4,225.7,221.2,222.0,74400
12/4/2012,223.5,225.7,220.4,224.5,53300
12/5/2012,226.9,226.9,221.0,221.4,91100
12/6/2012,218.3,222.2,218.0,220.1,113900
12/9/2012,217.0,218.8,216.1,216.3,81800
12/10/2012,216.5,216.5,212.0,213.2,111600
12/11/2012,213.5,215.0,212.3,213.6,59900
12/12/2012,216.0,216.0,212.1,212.2,73300
12/13/2012,214.2,214.2,210.8,211.0,71200
12/17/2012,210.5,213.5,210.4,212.3,139500
12/18/2012,213.0,213.0,211.0,211.5,149600
12/19/2012,213.0,213.7,211.5,212.4,181600
12/20/2012,213.8,213.8,210.3,210.8,155600
12/23/2012,211.8,211.8,207.4,208.1,296200
12/26/2012,157.0,157.0,153.0,155.1,141800
12/27/2012,155.3,156.5,154.2,154.9,113300
12/30/2012,155.1,161.0,154.6,158.5,160600
1/1/2013,159.6,164.5,158.7,158.9,133500
1/2/2013,158.0,158.2,156.5,156.6,58600
1/3/2013,157.0,159.5,156.3,157.9,51700
1/6/2013,164.8,167.0,163.0,163.6,287000
1/7/2013,163.2,163.2,160.5,161.1,137000
1/8/2013,161.9,162.3,159.1,159.5,53700
1/9/2013,160.0,160.0,157.8,158.3,100700
1/10/2013,158.3,159.0,156.9,158.3,111900
1/13/2013,157.9,158.0,157.1,157.1,32800
1/14/2013,157.0,157.5,155.5,156.9,43400
1/15/2013,155.5,157.0,155.5,156.5,36600
1/16/2013,156.0,157.4,155.8,156.7,58000
1/17/2013,158.4,158.5,156.5,157.3,49200
1/20/2013,157.0,158.4,156.9,157.2,47900
1/21/2013,156.7,157.4,156.0,156.0,47100
1/22/2013,156.6,157.6,155.7,156.3,34000
1/23/2013,157.0,157.4,155.5,155.9,56200
1/24/2013,156.0,158.3,156.0,156.2,45900
1/27/2013,155.7,159.0,155.7,156.9,41300
1/28/2013,157.5,161.0,156.3,159.0,72100
1/29/2013,161.0,164.8,161.0,162.8,141800
1/30/2013,162.9,163.3,160.9,162.4,118200
1/31/2013,162.8,164.7,161.0,163.1,138100
2/3/2013,155.0,166.4,155.0,165.6,325000
2/4/2013,165.1,168.5,165.1,166.8,132900
2/5/2013,165.5,175.2,164.8,173.7,348500
2/6/2013,173.0,178.9,172.6,176.5,327200
2/7/2013,177.7,180.5,175.0,176.9,268600
2/10/2013,177.7,179.0,174.6,175.8,247500
2/11/2013,175.2,176.9,173.6,173.9,262700
2/12/2013,173.3,178.0,173.3,175.1,127600
2/13/2013,175.0,176.8,173.7,174.0,138000
2/14/2013,175.0,178.0,174.5,177.2,171800
2/17/2013,176.0,179.0,176.0,176.5,180700
2/18/2013,176.0,176.9,174.6,176.2,133400
2/19/2013,175.1,176.4,174.0,175.1,155900
2/20/2013,174.0,175.4,172.5,173.6,193400
2/24/2013,173.0,173.0,168.0,168.4,170300
2/25/2013,165.3,169.0,162.0,162.3,189100
2/26/2013,163.8,166.8,163.5,165.7,68300
2/27/2013,165.5,165.9,162.6,162.9,82000
2/28/2013,162.5,164.9,162.0,162.8,25300
3/3/2013,158.3,163.7,156.1,162.0,139600
3/4/2013,157.2,166.0,157.2,164.5,84200
3/5/2013,166.4,166.4,163.0,164.1,52100
3/6/2013,164.1,166.8,162.0,163.8,64000
3/7/2013,161.8,165.6,161.6,164.2,74800
