Date,Open,High,Low,Close,Volume
10/1/2012,24.2,25.9,24.1,25.5,296500
10/2/2012,26.6,27.7,26.5,27.2,421000
10/3/2012,26.5,27.4,26.1,26.3,487000
10/4/2012,26.7,26.7,25.7,26.2,132500
10/7/2012,26.4,27.0,25.1,25.2,204000
10/8/2012,25.6,26.4,25.0,25.1,219500
10/9/2012,26.0,26.8,25.1,25.4,179500
10/10/2012,25.9,26.0,24.9,25.0,305000
10/11/2012,25.2,25.2,24.7,24.8,114500
10/14/2012,25.0,25.3,24.6,24.7,89000
10/15/2012,25.0,25.0,24.5,24.5,136500
10/16/2012,25.3,25.4,24.0,24.1,169500
10/17/2012,24.2,24.3,23.6,23.7,598000
10/18/2012,24.1,24.1,23.8,23.9,107500
10/21/2012,24.0,24.6,24.0,24.3,210500
10/22/2012,24.5,25.2,24.5,24.9,195000
10/23/2012,25.0,25.6,25.0,25.2,147000
10/30/2012,25.5,25.5,23.9,24.8,127000
10/31/2012,24.3,25.1,23.6,23.6,326000
11/1/2012,23.6,23.6,23.1,23.3,193500
11/4/2012,24.0,24.0,22.5,22.6,109000
11/5/2012,22.7,23.2,22.6,22.7,28000
11/6/2012,22.7,23.0,22.6,22.8,49500
11/7/2012,22.7,22.8,22.4,22.5,55500
11/8/2012,22.7,22.8,21.3,21.7,124500
11/11/2012,22.0,22.0,21.3,21.3,103500
11/12/2012,21.4,21.7,21.2,21.3,36000
11/13/2012,21.5,21.9,21.3,21.7,65500
11/14/2012,22.0,22.3,21.5,21.9,86000
11/15/2012,21.7,22.0,21.5,21.6,93000
11/18/2012,21.7,21.8,21.6,21.7,70000
11/19/2012,21.5,21.7,21.2,21.3,52500
11/20/2012,21.4,21.4,21.1,21.2,39000
11/21/2012,21.0,21.4,20.6,20.7,37500
11/22/2012,20.6,21.0,20.4,20.5,61500
11/26/2012,21.0,21.0,20.0,20.1,75000
11/27/2012,20.2,20.2,20.0,20.0,31500
11/28/2012,20.1,20.1,20.0,20.0,46000
11/29/2012,20.4,21.8,20.4,21.5,155000
12/2/2012,22.0,22.0,20.7,20.8,63500
12/3/2012,21.0,21.0,20.7,20.8,104000
12/4/2012,20.8,20.9,20.6,20.7,92500
12/5/2012,20.9,21.0,20.4,20.9,103500
12/6/2012,20.9,21.0,20.4,20.9,97500
12/9/2012,21.0,21.0,19.7,20.3,16000
12/10/2012,20.5,20.9,20.5,20.6,16000
12/11/2012,20.8,21.8,20.8,21.4,110500
12/12/2012,21.7,22.4,21.5,21.7,96000
12/13/2012,21.2,22.6,21.2,22.2,106500
12/17/2012,22.5,23.5,22.5,22.8,214500
12/18/2012,22.8,22.8,22.0,22.5,54000
12/19/2012,22.6,22.9,22.2,22.6,41000
12/20/2012,22.7,22.7,21.9,22.0,55000
12/23/2012,22.1,22.1,21.5,21.8,85500
12/24/2012,22.0,22.1,21.7,21.7,53000
12/26/2012,21.8,22.0,21.7,21.8,49000
12/27/2012,22.0,22.0,21.5,21.8,102000
12/30/2012,22.3,22.3,21.9,21.9,114000
1/1/2013,22.4,22.6,21.6,21.7,92000
1/2/2013,21.7,21.9,21.6,21.7,16000
1/3/2013,21.5,21.9,21.4,21.6,22500
1/6/2013,21.3,21.9,21.3,21.6,35000
1/7/2013,22.4,22.4,21.2,21.3,24500
1/8/2013,21.0,22.0,21.0,21.1,90000
1/9/2013,21.2,21.7,21.1,21.5,38500
1/10/2013,21.5,21.8,21.3,21.4,59500
1/13/2013,21.4,21.5,21.2,21.3,33000
1/14/2013,21.3,21.5,21.3,21.4,73000
1/15/2013,21.5,21.5,21.3,21.3,132000
1/16/2013,21.2,21.4,21.2,21.2,75000
1/17/2013,21.5,21.6,21.3,21.5,72000
1/20/2013,21.5,21.5,21.3,21.3,35500
1/21/2013,21.2,21.3,21.1,21.1,70500
1/22/2013,21.2,21.3,21.0,21.1,42500
1/23/2013,21.2,21.3,21.1,21.1,17000
