Date,Open,High,Low,Close,Volume
12/24/2017,100.0,120.0,80.0,81.6,4942230
12/26/2017,81.6,85.0,76.1,81.5,1064767
12/27/2017,82.5,84.5,76.4,77.4,1571605
12/28/2017,78.0,78.2,72.9,73.4,1388061
1/1/2018,73.1,76.4,72.8,73.1,818631
1/2/2018,73.3,74.7,73.3,73.6,185330
1/3/2018,71.8,73.9,71.6,73.4,764357
1/4/2018,73.6,74.9,72.6,73.0,896749
1/7/2018,73.4,74.0,71.2,71.5,608557
1/8/2018,72.0,72.0,68.6,69.1,849647
1/9/2018,69.5,70.4,67.6,67.9,660439
1/10/2018,68.0,68.7,65.7,65.9,719334
1/11/2018,66.2,67.4,65.4,65.9,759291
1/14/2018,66.0,66.3,63.6,63.9,732858
1/15/2018,63.9,66.5,63.9,64.9,833330
1/16/2018,65.2,66.2,64.1,64.5,521819
1/17/2018,64.5,64.8,62.0,62.5,555851
1/18/2018,62.6,62.7,59.2,60.0,730957
1/21/2018,60.2,61.8,59.6,60.0,393792
1/22/2018,60.0,63.5,60.0,62.9,1077730
1/23/2018,63.4,63.7,60.9,61.3,914420
1/24/2018,61.4,62.2,60.4,60.5,460184
1/25/2018,60.6,61.7,60.0,60.4,520989
1/28/2018,60.4,60.9,58.1,58.5,385297
1/29/2018,58.5,64.3,58.5,64.3,1744012
1/30/2018,65.2,65.2,61.1,61.7,1360653
1/31/2018,61.5,61.7,59.1,59.6,582268
2/1/2018,60.0,61.8,59.7,60.0,412818
2/4/2018,60.4,60.5,57.7,58.0,327374
2/5/2018,58.4,59.6,57.3,58.0,423807
2/6/2018,58.8,59.5,58.0,58.6,254846
2/7/2018,58.6,58.7,56.4,56.7,395566
2/8/2018,56.7,57.3,54.3,54.6,404076
2/11/2018,55.3,57.1,54.9,56.2,451965
2/12/2018,56.7,57.7,55.7,56.2,449490
2/13/2018,56.2,56.7,54.8,55.1,500773
2/14/2018,55.2,56.3,54.9,55.2,453501
2/15/2018,55.9,56.2,54.8,55.0,338297
2/18/2018,55.2,55.3,52.5,52.9,374473
2/19/2018,53.5,53.9,51.2,51.5,296553
2/20/2018,52.1,53.0,50.1,50.5,306298
2/22/2018,51.0,51.7,50.1,50.2,257205
2/25/2018,50.5,50.7,48.7,48.8,242796
2/26/2018,49.1,49.2,47.4,47.7,410407
2/27/2018,48.6,48.7,47.5,47.9,293382
2/28/2018,47.9,51.5,46.5,49.6,1541731
3/1/2018,49.6,50.8,49.0,49.8,589722
3/4/2018,50.0,52.0,49.8,50.9,1148857
3/5/2018,51.7,53.7,51.2,52.3,1303452
3/6/2018,52.3,56.7,51.2,55.6,1610363
3/7/2018,55.6,57.1,54.8,55.9,1454231
3/8/2018,55.6,55.9,54.3,54.6,913663
3/11/2018,54.8,55.3,52.1,52.6,663471
3/12/2018,52.4,53.0,50.4,50.8,602560
3/13/2018,51.1,51.5,49.2,49.9,551768
3/14/2018,48.1,51.6,48.1,51.1,869876
3/15/2018,51.6,52.9,51.0,52.0,976204
3/18/2018,52.1,52.8,51.2,51.7,696308
3/19/2018,51.5,52.3,50.5,50.7,573546
3/20/2018,50.7,51.6,49.1,49.9,587542
3/21/2018,49.8,50.3,48.0,48.2,670047
3/22/2018,48.9,49.3,47.1,48.4,534752
3/25/2018,49.4,49.6,48.0,48.4,579591
3/27/2018,48.7,48.7,46.3,46.6,560199
