Date,Open,High,Low,Close,Volume
10/1/2012,306.0,306.0,293.1,295.5,6750
10/2/2012,300.0,304.0,295.0,300.7,13950
10/3/2012,301.2,303.8,300.4,300.9,10650
10/4/2012,300.0,304.0,296.4,303.7,11050
10/7/2012,303.0,303.0,295.5,296.3,6150
10/8/2012,293.6,296.0,293.0,293.5,5400
10/9/2012,293.0,295.5,290.5,291.8,8800
10/10/2012,303.8,303.8,290.7,292.3,3100
10/11/2012,292.0,292.0,281.0,282.2,4350
10/14/2012,282.3,294.0,280.0,281.4,5300
10/15/2012,281.0,292.0,281.0,286.1,2350
10/16/2012,284.0,285.0,283.0,283.6,4050
10/17/2012,286.0,290.0,284.0,287.0,1600
10/18/2012,283.0,291.3,283.0,289.7,3750
10/21/2012,285.0,290.0,285.0,288.2,4000
10/22/2012,288.0,288.0,283.0,284.9,2200
10/23/2012,289.0,293.2,289.0,292.1,1100
10/30/2012,295.0,295.0,287.0,290.2,1900
10/31/2012,283.6,290.0,283.5,287.5,3950
11/1/2012,288.5,288.5,284.2,284.7,9950
11/4/2012,276.0,283.0,276.0,282.4,3500
11/5/2012,283.0,283.0,282.3,282.7,3350
11/6/2012,282.0,283.7,281.6,282.5,3000
11/7/2012,280.1,280.9,280.1,280.4,2350
11/8/2012,275.0,282.0,275.0,279.8,2350
11/11/2012,276.1,279.0,276.1,276.2,5150
11/12/2012,274.0,282.6,273.5,282.0,5400
11/13/2012,282.7,300.0,282.7,291.1,42500
11/14/2012,295.0,297.0,291.1,295.3,9300
11/15/2012,295.8,306.5,295.8,306.0,22400
11/18/2012,306.0,310.0,304.6,304.6,34800
11/19/2012,300.0,300.0,294.3,294.9,6450
11/20/2012,293.0,299.0,293.0,293.1,1600
11/21/2012,288.0,293.0,287.5,290.8,2300
11/22/2012,297.8,305.0,290.0,298.3,11600
11/26/2012,290.0,290.5,286.5,289.5,2400
11/27/2012,290.0,290.0,287.5,288.8,1050
11/28/2012,284.1,289.9,282.0,287.8,7950
11/29/2012,288.1,299.0,287.4,296.8,9100
12/2/2012,295.2,296.1,287.2,292.9,6850
12/3/2012,290.0,290.0,285.4,287.3,200
12/4/2012,286.0,287.5,286.0,287.0,800
12/5/2012,281.1,286.0,281.1,283.7,1950
12/6/2012,284.5,286.0,284.0,284.3,6850
12/9/2012,283.5,284.0,280.6,282.7,450
12/10/2012,283.7,283.8,280.7,282.7,800
12/11/2012,288.0,300.0,283.1,286.1,76200
12/12/2012,286.1,288.0,285.6,286.4,6500
12/13/2012,282.0,282.0,282.0,282.0,150
12/17/2012,290.0,292.0,285.1,285.5,4400
12/18/2012,287.2,292.0,287.2,290.6,3350
12/19/2012,294.0,294.5,290.1,290.9,5050
12/20/2012,290.0,290.0,286.5,286.7,2550
12/23/2012,288.0,298.0,288.0,295.7,3400
12/24/2012,295.1,297.0,295.0,295.5,1400
12/26/2012,295.0,297.6,295.0,297.2,7250
12/27/2012,296.5,303.0,296.4,300.1,13650
12/30/2012,303.5,310.0,298.5,302.7,21650
1/1/2013,302.0,302.5,299.3,299.7,2650
1/2/2013,295.1,300.9,291.0,298.0,1800
1/3/2013,297.5,298.0,294.0,295.3,1500
1/6/2013,296.0,299.8,295.0,295.2,2100
1/7/2013,296.0,297.0,296.0,296.3,1600
1/8/2013,297.5,297.5,294.8,295.3,1000
1/9/2013,295.1,297.9,295.1,296.4,3050
1/10/2013,295.0,297.0,294.5,295.5,350
1/13/2013,298.8,299.0,295.5,298.2,2950
1/14/2013,299.5,300.0,299.0,299.5,5400
1/15/2013,299.8,301.0,299.8,300.3,3150
1/16/2013,301.5,309.5,301.5,304.7,2050
1/17/2013,305.0,305.0,301.5,302.1,4150
1/20/2013,300.0,300.0,298.7,299.0,1100
