Date,Open,High,Low,Close,Volume
10/1/2012,46.5,47.0,45.1,45.9,38500
10/2/2012,48.0,48.0,46.0,46.1,48500
10/3/2012,47.6,47.6,45.1,45.3,36000
10/4/2012,47.0,47.0,45.1,45.3,30500
10/7/2012,46.5,46.9,43.6,44.0,53500
10/8/2012,44.0,44.2,42.6,43.2,32500
10/9/2012,45.9,45.9,43.3,43.5,48500
10/10/2012,43.5,43.6,42.4,42.7,30500
10/11/2012,43.0,43.0,42.0,42.5,26500
10/14/2012,41.0,42.8,40.3,40.4,81000
10/15/2012,40.4,42.0,40.1,41.5,27500
10/16/2012,42.0,42.0,41.3,41.4,12000
10/17/2012,42.0,42.0,41.2,41.3,13000
10/18/2012,41.8,41.8,40.5,41.1,12000
10/21/2012,40.5,40.8,40.5,40.5,6500
10/22/2012,40.6,41.6,40.5,40.8,11500
10/23/2012,41.6,41.9,40.9,41.4,14000
10/30/2012,41.2,41.6,40.7,41.1,12500
10/31/2012,41.5,41.5,38.5,38.8,49000
11/1/2012,38.4,39.5,37.9,38.0,39000
11/4/2012,37.4,38.3,37.4,37.9,27000
11/5/2012,37.6,39.0,36.8,38.4,19500
11/6/2012,38.3,38.3,37.0,37.1,17500
11/7/2012,37.0,37.0,36.3,36.6,9500
11/8/2012,38.2,38.2,36.0,36.5,9500
11/11/2012,36.2,36.5,35.4,35.9,14000
11/12/2012,35.5,35.5,33.5,33.7,24500
11/13/2012,34.7,35.9,34.7,35.2,12000
11/14/2012,35.5,35.6,35.4,35.4,4500
11/15/2012,34.3,36.4,34.3,36.1,13500
11/18/2012,36.6,37.7,36.3,37.3,18500
11/19/2012,35.1,36.8,35.1,35.9,6000
11/20/2012,36.0,36.3,35.0,35.4,8500
11/22/2012,35.0,36.0,34.8,35.3,7500
11/26/2012,34.6,34.6,34.0,34.2,4500
11/27/2012,34.0,34.2,33.1,33.5,13500
11/28/2012,33.8,34.0,32.9,33.3,4000
11/29/2012,35.0,36.5,34.7,36.2,18500
12/2/2012,37.4,37.4,35.8,36.4,31500
12/3/2012,37.0,37.2,35.4,35.9,16000
12/4/2012,36.1,36.1,36.1,36.1,1500
12/5/2012,35.6,37.5,35.6,36.5,10000
12/6/2012,36.8,37.0,35.0,35.9,18000
12/9/2012,35.0,35.0,34.6,34.6,5000
12/10/2012,35.0,35.0,34.2,34.8,6500
12/11/2012,34.0,35.0,34.0,34.4,4500
12/12/2012,35.0,35.1,34.3,34.9,14000
12/13/2012,36.0,36.1,36.0,36.0,4500
12/17/2012,37.6,38.0,37.0,37.5,18000
12/18/2012,36.9,36.9,36.1,36.5,11500
12/19/2012,36.8,37.0,36.1,36.5,13500
12/20/2012,36.6,36.7,36.3,36.5,4500
12/23/2012,35.5,35.6,35.4,35.4,4000
12/24/2012,37.2,38.8,36.6,38.4,37000
12/26/2012,39.6,41.7,39.6,40.4,42000
12/27/2012,40.1,40.1,38.6,38.8,15000
12/30/2012,37.3,38.2,37.3,37.5,4500
1/1/2013,38.6,38.7,37.9,38.2,6500
1/2/2013,37.2,37.2,36.8,37.0,10500
1/3/2013,38.8,38.8,37.0,37.6,6000
1/6/2013,41.0,41.0,38.0,38.7,8000
1/7/2013,40.9,40.9,37.6,38.2,10000
1/8/2013,37.8,37.8,36.7,37.2,7000
1/9/2013,37.6,37.6,37.1,37.3,2500
1/10/2013,37.3,37.3,37.3,37.3,1500
1/13/2013,36.8,36.8,36.7,36.7,3000
1/14/2013,36.5,36.5,36.4,36.4,5500
1/15/2013,36.2,36.2,36.1,36.1,5000
1/16/2013,38.0,38.3,37.1,37.6,37500
1/17/2013,38.0,38.0,36.9,37.6,12500
1/20/2013,36.6,36.8,36.6,36.7,1000
1/21/2013,40.0,40.0,37.0,38.2,8000
1/22/2013,37.2,37.8,36.8,37.2,13000
1/23/2013,37.2,37.8,37.0,37.2,13000
1/24/2013,37.3,38.5,37.3,38.0,18500
1/27/2013,38.7,40.9,38.7,40.5,88500
1/28/2013,41.0,42.9,40.4,42.3,174500
1/29/2013,42.2,43.0,41.9,42.1,90500
1/30/2013,42.0,42.5,41.1,42.0,34500
1/31/2013,41.6,43.9,41.5,43.3,53000
2/3/2013,43.0,44.8,43.0,44.5,154500
2/4/2013,45.5,45.5,43.9,44.2,90500
2/5/2013,44.9,45.3,43.5,45.1,67500
2/6/2013,45.2,46.3,45.0,45.9,102500
2/7/2013,45.5,46.0,45.3,45.5,95500
2/10/2013,46.7,46.7,45.9,46.5,136000
2/11/2013,46.7,47.4,45.9,46.6,146000
2/12/2013,47.0,48.8,47.0,47.2,289000
2/13/2013,48.4,51.9,48.4,51.8,445000
2/14/2013,52.0,54.6,51.0,52.6,222000
2/17/2013,54.5,55.0,51.8,51.8,296500
2/18/2013,52.1,52.7,50.2,51.4,244000
2/19/2013,53.0,54.5,51.3,53.6,467500
2/20/2013,54.1,54.9,52.8,53.4,356000
2/24/2013,53.2,53.6,50.9,51.2,130500
2/25/2013,52.2,53.0,47.3,48.2,164500
2/26/2013,51.8,53.0,48.3,52.7,212500
2/27/2013,53.2,54.5,50.1,51.0,272500
2/28/2013,50.4,52.5,48.5,51.4,130500
3/3/2013,48.6,49.9,46.3,46.8,91500
3/4/2013,47.5,50.0,47.5,49.0,44000
3/5/2013,50.7,50.7,46.4,47.0,46500
3/6/2013,47.7,48.8,47.0,47.8,98500
3/7/2013,47.2,48.4,46.8,47.3,72500
3/10/2013,48.8,48.8,42.8,43.9,51000
3/11/2013,42.5,43.9,40.9,43.2,43500
3/12/2013,42.6,43.9,42.1,42.6,19000
3/13/2013,43.0,44.5,42.1,42.4,47000
3/14/2013,42.2,43.4,41.9,42.2,7500
3/18/2013,41.9,42.9,41.0,42.2,26500
3/19/2013,42.8,43.2,41.9,42.3,33000
3/20/2013,42.0,43.2,41.3,42.3,74000
3/24/2013,41.7,42.0,41.2,41.6,38500
3/25/2013,43.7,43.7,41.1,41.6,68500
3/27/2013,41.1,41.1,40.0,40.1,17500
3/28/2013,41.4,41.4,37.6,37.9,103500
3/31/2013,38.0,38.3,35.1,35.4,34500
4/1/2013,33.1,33.7,31.9,31.9,41000
4/2/2013,31.9,32.6,29.2,29.7,54000
4/3/2013,30.2,30.7,28.5,28.7,71000
4/4/2013,28.3,28.7,26.5,26.9,102000
4/7/2013,27.5,27.8,27.0,27.3,51000
4/8/2013,27.3,27.9,27.3,27.8,39000
4/9/2013,29.0,30.5,28.5,30.5,121500
4/10/2013,32.0,32.5,29.8,30.0,77500
4/11/2013,30.8,30.8,29.0,29.8,42500
4/15/2013,32.0,32.0,30.4,31.0,64500
4/16/2013,30.9,31.0,29.2,29.3,67500
4/17/2013,30.0,30.0,28.2,29.6,69500
4/18/2013,29.7,29.7,28.4,28.6,83000
4/21/2013,28.6,28.6,26.2,26.6,111000
4/22/2013,26.3,26.7,26.0,26.1,145500
4/23/2013,26.5,27.4,26.0,27.1,225500
4/25/2013,21.9,23.5,21.9,23.2,181000
4/28/2013,22.1,22.1,20.1,20.6,51500
4/29/2013,20.8,21.6,20.8,21.1,28000
4/30/2013,21.0,21.6,20.7,21.1,28500
5/2/2013,20.0,21.5,20.0,21.2,35500
5/5/2013,22.0,22.4,21.8,21.9,64500
5/6/2013,21.5,22.5,21.1,22.0,36500
5/7/2013,21.6,23.1,21.5,22.8,68000
5/8/2013,23.5,23.5,22.7,22.9,93000
5/12/2013,23.8,23.9,23.6,23.9,174000
5/13/2013,26.0,26.0,24.9,25.7,171000
5/14/2013,26.2,26.4,25.7,26.0,131500
5/15/2013,25.6,25.6,23.8,24.2,135000
5/16/2013,24.0,25.2,23.7,25.0,88000
5/19/2013,24.7,27.0,24.7,26.2,185500
5/20/2013,26.8,27.0,25.2,25.4,140500
5/21/2013,25.8,25.8,24.5,24.9,57000
5/22/2013,24.7,24.7,23.5,23.8,60000
5/26/2013,23.8,23.8,22.6,22.9,27000
5/27/2013,23.5,24.0,23.4,23.6,31500
5/28/2013,23.7,24.0,23.5,23.8,30000
5/29/2013,23.8,25.0,23.8,24.5,59500
5/30/2013,24.9,25.2,24.1,24.2,60000
6/2/2013,24.9,25.9,24.2,25.6,107500
6/3/2013,26.4,26.4,25.2,25.9,118500
6/4/2013,25.8,25.8,24.5,24.8,90500
6/5/2013,25.5,25.5,24.6,24.7,60000
6/6/2013,24.9,25.0,24.1,24.2,67000
6/9/2013,24.0,26.6,24.0,26.6,583000
6/10/2013,28.0,29.2,27.4,29.2,211500
6/11/2013,32.1,32.1,31.9,32.1,124500
6/12/2013,35.0,35.3,33.8,35.2,686500
6/13/2013,36.0,37.6,33.5,34.6,435500
6/16/2013,35.0,35.0,33.7,34.1,200500
6/17/2013,35.0,35.0,31.6,31.8,263500
6/18/2013,31.1,34.4,31.1,33.7,186500
6/19/2013,36.5,36.5,32.0,32.2,209500
6/20/2013,35.0,35.0,31.7,31.9,131500
6/23/2013,33.0,33.0,29.7,30.0,129000
6/24/2013,30.0,30.0,28.3,28.6,63500
6/26/2013,29.6,31.4,29.6,31.4,111500
6/27/2013,33.0,34.4,32.0,33.2,265000
6/30/2013,32.5,32.5,29.9,29.9,215000
7/2/2013,29.8,31.6,28.8,30.1,201000
7/3/2013,30.0,32.9,29.4,30.6,377500
7/4/2013,28.5,31.3,28.5,29.9,345500
7/7/2013,30.4,31.0,29.1,29.4,241500
7/8/2013,29.1,29.3,28.2,28.4,264000
7/9/2013,28.9,29.3,26.6,27.4,327500
7/10/2013,27.6,30.0,27.5,27.9,196500
7/11/2013,28.7,28.7,26.5,26.8,182000
7/14/2013,27.1,27.3,25.8,26.3,109000
7/15/2013,27.1,27.1,25.5,25.8,101000
7/16/2013,26.1,28.1,25.5,27.3,359500
7/17/2013,27.0,29.6,27.0,28.7,345000
7/18/2013,29.3,31.3,29.2,30.6,639500
7/21/2013,31.2,33.0,30.1,30.7,538500
7/22/2013,30.6,31.8,30.0,30.5,304000
7/23/2013,30.7,31.5,28.0,28.9,266500
7/24/2013,29.0,30.8,28.8,30.0,162000
7/25/2013,31.3,31.9,29.5,29.8,205000
7/28/2013,31.4,32.5,30.1,30.3,427500
7/29/2013,30.7,31.0,28.7,29.0,190000
7/30/2013,29.3,29.5,27.9,28.0,112000
7/31/2013,28.0,28.1,27.1,27.3,129500
8/1/2013,27.0,29.0,26.8,27.9,144500
8/4/2013,28.0,28.0,26.9,27.1,112500
8/5/2013,27.1,28.0,27.1,27.8,77500
8/12/2013,27.0,28.3,27.0,27.8,62000
8/13/2013,28.4,30.4,27.9,29.4,275000
8/14/2013,30.0,30.0,28.4,28.9,187500
8/18/2013,29.0,29.3,28.6,28.8,107000
8/19/2013,28.5,28.9,28.1,28.4,213500
8/20/2013,28.5,29.5,28.0,28.1,223000
8/21/2013,29.2,29.5,28.0,28.2,242500
8/22/2013,29.0,29.0,28.1,28.6,209500
8/25/2013,29.8,31.4,29.5,30.9,852000
8/26/2013,31.1,32.3,30.5,31.0,335000
8/27/2013,31.0,31.2,28.0,29.2,242500
8/29/2013,29.9,29.9,28.2,28.4,245500
9/1/2013,29.1,29.9,29.0,29.0,141500
9/2/2013,29.3,29.3,28.5,28.7,150500
9/3/2013,29.2,29.2,28.2,28.3,155000
9/4/2013,29.0,30.0,28.4,28.7,227500
9/5/2013,29.1,29.2,28.6,28.6,114000
9/8/2013,27.9,29.4,27.9,28.1,103500
9/9/2013,28.7,28.8,28.0,28.2,140500
9/10/2013,28.9,29.2,28.3,28.6,319500
9/11/2013,28.6,29.3,28.0,28.2,229500
9/12/2013,28.5,28.9,28.0,28.6,251000
9/15/2013,29.2,31.4,29.0,31.3,809000
9/16/2013,31.9,32.5,30.4,30.9,518500
9/17/2013,31.2,31.4,29.2,30.6,434000
9/18/2013,31.3,32.4,30.1,30.6,581000
9/19/2013,30.8,31.0,29.9,30.2,291500
9/22/2013,30.6,30.6,28.8,29.0,255500
9/23/2013,29.6,30.0,28.6,29.1,210000
9/24/2013,29.4,31.3,29.4,30.1,328500
9/25/2013,30.3,31.8,30.2,31.2,582500
9/26/2013,31.3,31.7,30.3,30.5,295500
9/29/2013,30.7,30.7,29.1,29.2,120000
9/30/2013,29.0,29.5,28.5,28.8,185500
10/1/2013,28.7,29.5,28.4,28.9,160000
10/2/2013,29.0,31.0,28.7,30.1,205000
10/3/2013,30.2,30.7,29.5,29.8,169500
10/6/2013,29.9,29.9,28.7,28.9,175000
10/7/2013,29.9,29.9,28.7,29.6,98000
10/8/2013,29.8,29.9,28.8,29.0,174000
10/9/2013,29.0,29.6,29.0,29.1,136500
10/10/2013,28.9,28.9,28.0,28.2,302000
10/20/2013,27.6,28.3,27.0,27.7,115500
10/21/2013,27.1,28.8,27.1,28.1,98500
10/22/2013,27.9,29.4,27.8,28.7,229500
10/23/2013,28.8,29.0,28.0,28.1,131500
10/24/2013,28.0,28.5,27.2,27.5,152000
10/27/2013,28.0,28.7,27.7,28.3,61000
10/28/2013,29.0,29.5,28.5,28.6,170500
10/29/2013,27.9,29.4,27.9,28.9,215500
10/30/2013,31.0,31.4,28.4,28.8,356500
10/31/2013,28.8,29.8,28.8,29.6,219000
11/3/2013,29.7,30.5,29.1,30.0,234000
11/4/2013,30.1,31.3,30.1,31.0,281000
11/5/2013,31.3,31.3,29.3,29.5,248000
11/6/2013,29.5,30.1,29.1,29.4,133000
11/7/2013,30.0,31.4,30.0,31.1,396000
11/10/2013,31.1,31.5,30.1,30.5,394000
11/11/2013,31.1,33.3,30.8,31.1,589000
11/12/2013,31.6,31.9,30.4,30.8,232500
11/13/2013,31.1,31.9,30.8,30.9,295500
11/14/2013,31.1,31.3,30.2,30.4,349000
11/17/2013,31.2,31.2,30.6,30.8,240500
11/18/2013,31.2,32.1,31.0,31.8,407500
11/19/2013,32.0,32.8,31.9,32.4,436000
11/20/2013,32.7,33.4,32.3,32.5,494000
11/21/2013,32.0,32.4,31.4,31.4,333000
11/24/2013,31.2,31.8,30.1,30.3,372500
