Date,Open,High,Low,Close,Volume
1/24/2013,18.0,18.0,18.0,18.0,400
2/6/2013,18.9,18.9,18.9,18.9,200
2/7/2013,19.9,19.9,19.9,19.9,200
3/25/2013,18.7,18.7,18.7,18.7,200
6/10/2013,16.9,16.9,16.9,16.9,200
6/19/2013,18.0,18.0,18.0,18.0,200
9/4/2013,16.2,16.2,16.2,16.2,200
9/15/2013,17.8,17.8,17.8,17.8,200
9/16/2013,19.5,19.5,19.5,19.5,200
9/22/2013,21.4,21.4,21.4,21.4,200
9/23/2013,23.5,23.5,23.5,23.5,200
9/24/2013,25.8,25.8,25.8,25.8,200
9/25/2013,28.3,28.3,28.3,28.3,4800
9/26/2013,31.1,31.1,31.1,31.1,7200
9/29/2013,34.2,34.2,34.2,34.2,1000
9/30/2013,34.2,37.6,34.2,37.2,4800
10/1/2013,40.9,40.9,40.9,40.9,2200
10/3/2013,37.0,39.0,37.0,37.5,1200
10/10/2013,37.5,38.0,34.3,35.6,1200
10/20/2013,37.5,37.5,33.0,34.8,600
10/21/2013,31.5,32.0,31.4,31.6,2800
10/23/2013,31.6,31.6,29.6,30.6,400
10/24/2013,29.0,29.0,27.6,28.7,1600
10/27/2013,26.3,26.3,26.2,26.2,600
10/28/2013,24.0,26.0,24.0,25.5,800
10/29/2013,26.0,26.0,26.0,26.0,200
10/31/2013,24.0,24.0,23.5,23.6,800
11/4/2013,25.9,25.9,25.9,25.9,800
11/5/2013,24.0,24.0,24.0,24.0,600
11/7/2013,24.0,24.0,24.0,24.0,200
11/10/2013,26.0,26.4,26.0,26.2,600
11/11/2013,28.6,28.8,28.6,28.7,600
11/12/2013,31.0,31.0,31.0,31.0,400
11/14/2013,31.0,31.0,31.0,31.0,1000
11/17/2013,30.0,30.0,30.0,30.0,200
11/18/2013,29.1,29.1,27.5,28.5,1000
11/20/2013,25.8,25.8,25.8,25.8,400
11/21/2013,26.5,26.5,26.5,26.5,600
11/26/2013,29.1,29.1,29.1,29.1,1200
11/27/2013,31.9,31.9,31.9,31.9,800
12/1/2013,29.3,30.1,29.3,29.9,4400
12/2/2013,32.0,32.8,32.0,32.6,1400
12/4/2013,30.4,30.4,30.4,30.4,1000
12/5/2013,32.0,32.0,32.0,32.0,200
12/8/2013,29.3,35.2,29.3,33.2,1000
12/9/2013,36.5,36.5,36.5,36.5,600
12/11/2013,40.0,40.1,40.0,40.0,12200
12/12/2013,43.0,44.0,41.0,41.8,9400
12/15/2013,45.9,45.9,45.9,45.9,800
12/17/2013,50.3,50.4,50.3,50.3,3800
12/18/2013,55.3,55.3,55.3,55.3,2600
12/19/2013,55.3,60.5,55.3,60.0,2600
12/24/2013,54.0,54.0,54.0,54.0,400
12/26/2013,59.4,59.4,55.2,58.7,1200
1/1/2014,60.0,60.2,60.0,60.1,2000
1/2/2014,60.2,64.0,60.2,62.2,3000
1/7/2014,62.2,62.2,62.2,62.2,200
1/8/2014,62.2,65.0,62.2,62.4,3800
1/9/2014,62.4,68.6,62.4,65.5,400
1/12/2014,72.0,72.0,72.0,72.0,200
1/27/2014,72.0,72.0,72.0,72.0,2000
1/30/2014,72.0,72.0,72.0,72.0,200
2/10/2014,72.0,72.0,70.0,71.0,400
3/6/2014,64.0,64.0,64.0,64.0,400
3/9/2014,57.6,57.6,57.6,57.6,600
3/16/2014,63.3,63.3,63.3,63.3,400
3/23/2014,68.0,69.6,68.0,68.8,400
3/24/2014,75.4,75.6,75.0,75.4,1200
3/25/2014,82.0,82.9,82.0,82.6,800
3/27/2014,90.0,90.8,90.0,90.6,1000
3/30/2014,99.6,99.6,99.6,99.6,400
3/31/2014,109.5,109.5,109.5,109.5,2200
4/1/2014,120.1,120.1,120.1,120.1,1000
4/8/2014,109.0,109.0,109.0,109.0,200
4/9/2014,99.0,99.0,99.0,99.0,200
4/10/2014,90.0,90.0,90.0,90.0,200
4/13/2014,99.0,99.0,92.0,96.6,600
4/21/2014,98.0,106.0,98.0,102.0,400
4/23/2014,112.2,112.2,112.2,112.2,200
4/24/2014,123.0,123.4,120.0,122.3,1400
4/27/2014,134.5,134.5,134.5,134.5,200
4/29/2014,147.0,147.9,147.0,147.4,400
5/14/2014,145.0,145.0,145.0,145.0,200
5/20/2014,135.0,135.0,135.0,135.0,400
5/22/2014,122.0,122.0,122.0,122.0,200
5/25/2014,101.6667,101.6667,101.6667,101.6667,0
6/9/2014,123.0,123.0,123.0,123.0,200
6/19/2014,130.0,130.0,130.0,130.0,400
8/19/2014,143.0,143.0,143.0,143.0,200
9/2/2014,143.0,143.0,143.0,143.0,200
9/18/2014,145.0,145.0,145.0,145.0,200
9/28/2014,120.8333,120.8333,120.8333,120.8333,0
9/29/2014,120.8333,120.8333,120.8333,120.8333,0
9/30/2014,120.8333,120.8333,120.8333,120.8333,0
10/1/2014,120.8333,120.8333,120.8333,120.8333,0
10/2/2014,120.8333,120.8333,120.8333,120.8333,0
10/29/2014,135.0,250.0,135.0,151.0,11000
10/30/2014,166.1,166.1,160.0,162.2,1200
11/2/2014,170.0,170.0,170.0,170.0,200
11/3/2014,184.5,184.5,184.5,184.5,1200
11/5/2014,180.0,184.5,180.0,181.1,800
11/12/2014,198.5,198.5,198.5,198.5,200
11/13/2014,216.0,216.0,216.0,216.0,400
11/16/2014,234.9,234.9,234.9,234.9,1600
11/17/2014,255.4,255.4,255.4,255.4,2200
11/18/2014,277.4,277.4,260.0,276.1,3000
11/20/2014,285.0,285.0,285.0,285.0,200
11/23/2014,286.0,286.0,286.0,286.0,200
12/1/2014,265.0,265.0,265.0,265.0,200
12/2/2014,243.0,243.0,242.0,242.5,400
12/3/2014,221.3,221.3,221.3,221.3,600
12/4/2014,239.0,239.0,239.0,239.0,200
12/11/2014,259.9,259.9,259.9,259.9,11
12/14/2014,260.0,277.0,260.0,269.5,190
12/15/2014,289.0,289.0,289.0,289.0,1
12/17/2014,289.0,299.0,275.0,280.6,530
12/18/2014,299.0,299.0,299.0,299.0,1
12/21/2014,320.0,320.0,317.0,319.0,3
12/22/2014,344.0,344.0,330.0,336.3,12
12/23/2014,364.0,364.0,339.0,340.4,55
12/24/2014,315.0,315.0,315.0,315.0,6
12/28/2014,301.0,301.0,300.0,300.2,6
12/30/2014,275.0,275.0,275.0,275.0,1
1/1/2015,280.0,280.0,280.0,280.0,1
1/5/2015,304.5,304.5,260.0,290.3,2087
1/6/2015,266.0,266.0,265.0,265.3,291
1/7/2015,244.0,245.0,242.1,243.3,3670
1/8/2015,241.0,250.0,222.0,232.6,6901
1/11/2015,230.0,252.9,230.0,249.0,3060
1/12/2015,249.0,270.8,249.0,269.7,1832
1/13/2015,292.0,293.3,285.0,293.3,6013
1/14/2015,270.0,312.9,267.7,285.8,3564
1/15/2015,290.0,298.7,276.0,281.2,2099
1/18/2015,281.0,283.0,274.0,277.7,1843
1/19/2015,280.0,284.9,257.0,264.9,930
1/20/2015,262.0,262.0,241.7,243.4,1736
1/21/2015,245.0,246.1,245.0,245.1,649
1/22/2015,250.0,263.0,247.1,262.0,1905
1/25/2015,265.0,279.9,265.0,278.3,6464
1/26/2015,289.0,289.0,253.9,254.0,4402
1/27/2015,273.0,273.0,242.0,247.6,2704
1/28/2015,245.0,255.0,243.0,252.8,1313
1/29/2015,243.0,254.0,242.0,251.9,1138
2/1/2015,252.0,252.0,237.6,239.4,970
2/2/2015,230.1,239.0,223.0,227.3,1287
2/3/2015,222.0,239.0,222.0,229.8,535
2/4/2015,230.0,233.9,224.2,225.8,862
2/5/2015,220.0,229.9,212.0,216.4,1070
2/8/2015,230.0,230.0,210.0,212.7,2160
2/9/2015,220.0,224.9,216.0,219.7,545
2/10/2015,225.9,225.9,217.0,220.2,112
2/11/2015,220.0,220.0,212.1,216.0,583
2/12/2015,211.1,215.1,210.0,210.0,3277
2/15/2015,222.3,222.3,211.1,212.7,283
2/16/2015,224.0,224.0,214.5,215.0,1138
2/17/2015,219.0,219.0,212.9,216.6,380
2/18/2015,221.8,221.8,204.1,207.1,1334
2/19/2015,204.0,207.8,197.0,202.1,1054
2/22/2015,200.0,200.1,200.0,200.0,412
2/23/2015,200.0,209.0,200.0,204.4,3537
2/24/2015,211.0,212.0,203.0,207.2,1181
2/25/2015,202.0,203.0,195.7,196.5,972
2/26/2015,198.0,200.0,197.0,197.8,546
3/1/2015,203.0,208.1,196.0,200.4,2585
3/2/2015,201.0,201.0,196.6,198.0,970
3/3/2015,198.0,198.0,195.0,196.2,195
3/4/2015,199.0,200.0,197.0,198.3,545
3/5/2015,192.1,192.1,191.0,191.8,100
3/8/2015,191.0,191.0,189.0,190.3,290
3/9/2015,190.0,195.0,190.0,190.7,192
3/10/2015,176.0,195.0,176.0,190.7,1538
3/11/2015,201.0,208.2,201.0,208.2,8764
3/12/2015,225.0,226.4,215.0,226.4,8807
3/15/2015,227.1,240.0,221.0,227.6,13413
3/16/2015,221.1,221.1,210.0,217.5,2490
3/18/2015,203.0,219.0,202.0,206.8,446
3/19/2015,212.0,212.0,211.0,211.5,150
3/22/2015,216.0,216.0,206.3,208.0,2975
3/23/2015,205.0,209.0,200.1,204.0,1181
3/24/2015,201.2,201.2,200.0,200.3,1205
3/25/2015,208.0,208.8,203.0,207.3,1393
3/29/2015,206.1,206.1,201.1,202.8,2553
3/30/2015,202.8,203.0,201.0,201.6,595
3/31/2015,214.9,214.9,200.5,200.6,401
4/1/2015,204.9,204.9,204.9,204.9,5
4/2/2015,197.1,197.5,197.0,197.1,374
4/5/2015,197.0,197.0,181.0,182.6,2137
4/6/2015,190.0,195.0,179.0,181.9,913
4/7/2015,182.1,182.1,178.0,178.3,71
4/8/2015,186.8,186.8,178.2,180.5,1536
4/9/2015,178.1,180.2,178.1,179.4,290
4/12/2015,179.0,179.0,175.0,176.3,590
4/13/2015,182.0,182.0,182.0,182.0,300
4/15/2015,198.0,199.4,190.0,198.6,3483
4/16/2015,210.0,216.1,201.0,216.0,15991
4/19/2015,217.0,219.9,202.0,219.1,13524
4/20/2015,210.0,213.0,205.0,207.5,3304
4/21/2015,215.0,215.0,207.0,210.6,8356
4/22/2015,218.0,218.0,214.1,215.3,5701
4/23/2015,221.9,221.9,213.1,215.5,3661
4/26/2015,227.0,227.0,210.0,211.4,1150
4/27/2015,228.0,228.0,205.0,214.5,3408
4/30/2015,220.0,220.0,209.0,210.0,1716
5/4/2015,210.0,210.0,200.0,202.5,1610
5/5/2015,206.0,206.0,194.0,199.6,2055
5/6/2015,200.0,204.5,196.1,203.7,1834
5/7/2015,200.0,200.0,188.0,192.1,1628
