Date,Open,High,Low,Close,Volume
10/1/2012,58.0,62.0,58.0,60.9,5800
10/2/2012,58.0,62.7,57.7,58.4,22400
10/3/2012,57.1,60.0,57.1,57.8,10900
10/4/2012,57.6,59.5,57.3,57.6,7100
10/7/2012,58.0,58.0,56.9,57.0,6000
10/8/2012,56.7,56.7,55.0,55.2,8500
10/9/2012,55.2,58.0,55.1,56.3,8400
10/10/2012,56.3,56.3,55.0,55.6,4700
10/11/2012,55.0,58.0,54.6,55.6,4500
10/14/2012,55.1,55.2,54.1,54.3,12900
10/15/2012,55.0,57.2,53.8,55.7,12100
10/16/2012,55.7,57.0,55.3,55.9,8000
10/17/2012,55.2,56.0,53.5,54.3,5200
10/18/2012,54.1,55.3,54.1,54.9,1600
10/21/2012,55.0,56.0,54.3,54.7,1500
10/22/2012,55.7,56.5,55.0,56.2,6200
10/23/2012,56.5,57.4,56.5,57.0,9800
10/30/2012,58.7,58.7,57.1,57.9,7100
10/31/2012,58.5,58.7,58.0,58.4,39900
11/1/2012,59.0,59.5,57.0,59.0,37800
11/4/2012,55.9,58.0,55.9,56.8,47100
11/5/2012,55.0,59.0,55.0,58.3,29800
11/6/2012,58.3,58.5,57.0,58.0,30200
11/7/2012,56.5,58.0,56.5,57.1,9700
11/8/2012,57.5,62.6,57.0,59.8,68600
11/11/2012,57.3,57.4,56.2,56.7,17000
11/12/2012,56.2,56.2,54.0,54.1,10600
11/13/2012,59.0,59.0,53.1,54.8,8000
11/14/2012,55.1,55.1,50.0,51.1,47100
11/15/2012,50.0,53.0,50.0,51.8,9100
11/18/2012,52.0,52.2,50.0,50.3,7000
11/19/2012,50.0,50.0,48.5,49.0,6300
11/21/2012,46.1,48.0,46.1,47.7,9600
11/22/2012,45.1,46.5,45.1,46.1,8100
11/26/2012,47.3,47.3,45.6,45.9,2100
11/27/2012,45.6,45.6,45.6,45.6,200
11/28/2012,47.0,48.8,44.0,46.2,3100
11/29/2012,46.9,47.6,46.9,47.1,5000
12/2/2012,46.5,46.5,46.0,46.2,1000
12/3/2012,47.0,47.0,43.7,44.0,5100
12/4/2012,43.5,45.2,43.5,44.0,4200
12/5/2012,44.0,44.2,43.8,43.9,3100
12/6/2012,44.1,44.1,43.5,43.9,5300
12/9/2012,42.7,44.0,42.7,42.8,1400
12/10/2012,43.0,43.0,42.3,42.4,1600
12/11/2012,41.2,41.7,40.0,41.4,2800
12/12/2012,42.0,43.0,41.5,42.0,6400
12/13/2012,42.7,42.8,42.0,42.1,5100
12/17/2012,44.7,44.9,43.5,43.8,7100
12/18/2012,43.0,43.2,43.0,43.0,2200
12/19/2012,42.6,43.7,42.4,42.6,5200
12/20/2012,43.0,43.0,43.0,43.0,1000
12/23/2012,43.1,43.8,42.4,42.7,5900
12/24/2012,42.7,42.7,42.7,42.7,2400
12/26/2012,42.7,42.7,42.0,42.1,6400
12/27/2012,42.1,43.0,41.8,41.8,8300
12/30/2012,41.8,42.0,41.7,41.8,8000
1/1/2013,42.0,42.2,41.7,41.8,7100
1/2/2013,41.7,41.8,41.1,41.4,5800
1/3/2013,41.4,42.0,41.0,41.1,17500
1/6/2013,41.1,41.3,41.1,41.1,800
1/7/2013,41.0,41.0,41.0,41.0,1600
1/8/2013,41.1,41.2,40.5,40.9,4500
1/9/2013,41.0,41.0,40.7,40.8,6500
1/10/2013,41.0,41.0,40.3,40.5,8100
1/13/2013,40.4,40.7,40.4,40.5,1200
1/14/2013,40.0,41.0,39.8,40.0,4700
1/15/2013,40.5,40.5,40.0,40.0,8000
1/16/2013,40.1,40.5,39.9,40.0,6200
1/17/2013,40.5,40.5,39.9,40.0,3800
1/20/2013,40.2,40.2,39.8,39.9,800
1/21/2013,40.0,40.0,39.7,39.9,800
1/22/2013,40.0,40.6,40.0,40.2,3200
1/23/2013,40.5,40.5,40.5,40.5,1300
1/24/2013,41.0,41.3,40.6,41.0,2800
1/27/2013,41.9,42.0,41.2,41.6,4000
1/28/2013,41.5,41.7,41.1,41.5,5100
1/29/2013,42.2,45.0,41.5,44.6,20500
1/30/2013,43.1,43.2,42.5,42.7,2200
1/31/2013,42.5,42.8,42.1,42.5,3800
2/3/2013,42.5,42.9,42.5,42.5,3700
2/4/2013,42.1,42.6,41.8,41.9,9300
2/5/2013,42.0,42.8,42.0,42.6,2700
2/6/2013,42.5,43.7,42.5,42.8,11600
2/7/2013,42.7,43.0,42.7,42.8,7900
2/10/2013,42.9,43.0,42.8,42.9,11100
2/11/2013,42.9,43.8,42.9,43.3,17100
2/12/2013,42.9,43.7,42.9,43.2,3500
2/13/2013,43.0,43.0,42.6,42.9,2900
2/14/2013,43.1,43.9,43.0,43.2,7300
2/17/2013,43.1,43.3,43.0,43.1,6700
2/18/2013,42.0,43.5,42.0,42.7,22400
2/19/2013,42.4,42.7,42.4,42.5,18500
2/20/2013,42.0,42.6,42.0,42.4,14100
2/24/2013,41.5,41.9,41.4,41.6,9600
2/25/2013,41.5,42.4,41.2,41.5,4500
2/26/2013,41.0,41.4,41.0,41.1,15000
2/27/2013,40.7,40.8,40.1,40.1,17400
2/28/2013,40.3,43.9,40.3,43.3,10200
3/3/2013,41.1,41.4,40.7,40.8,6200
3/4/2013,40.8,42.7,40.7,42.0,4400
3/5/2013,41.0,42.0,41.0,41.0,6300
3/6/2013,41.0,41.1,40.2,40.8,1900
3/7/2013,40.0,40.8,39.9,40.2,8500
3/10/2013,40.0,41.0,40.0,40.4,500
3/11/2013,40.0,40.8,40.0,40.3,2600
3/12/2013,40.1,44.0,40.0,42.8,8700
3/13/2013,41.2,42.7,41.2,42.0,2100
3/14/2013,42.4,42.4,40.2,40.3,9600
3/19/2013,40.5,40.7,40.3,40.5,5400
3/20/2013,41.2,41.2,40.1,40.7,600
3/24/2013,39.9,40.0,39.2,39.3,15300
3/25/2013,39.2,39.4,39.1,39.1,16500
3/27/2013,38.6,39.6,36.0,38.3,12300
3/28/2013,38.5,39.7,38.4,38.5,2600
4/1/2013,37.5,38.9,36.0,36.5,13800
4/2/2013,38.8,38.8,37.2,37.6,400
4/3/2013,38.1,38.1,38.0,38.0,1300
4/4/2013,38.0,38.7,38.0,38.2,48900
4/7/2013,38.5,38.5,38.5,38.5,2100
4/8/2013,38.1,38.1,37.8,37.9,1100
4/9/2013,38.0,38.0,37.5,37.7,1400
4/10/2013,39.0,39.0,37.7,37.9,2600
4/11/2013,39.3,39.3,39.0,39.2,400
4/15/2013,39.0,40.7,38.0,38.9,7600
4/16/2013,38.5,38.7,38.5,38.5,500
4/17/2013,40.0,40.0,39.1,39.2,5700
4/18/2013,39.2,43.0,39.2,40.9,51100
4/21/2013,42.4,44.9,42.4,44.9,60300
4/22/2013,44.0,49.1,44.0,48.4,62800
4/23/2013,48.5,48.7,46.1,46.4,36000
4/24/2013,46.0,46.0,43.0,44.2,34800
4/25/2013,45.0,45.0,42.0,42.3,11700
4/28/2013,41.2,42.7,40.4,41.6,13400
4/29/2013,42.2,42.8,42.0,42.3,5800
4/30/2013,43.3,43.5,42.0,42.5,10700
5/2/2013,42.0,44.3,42.0,44.1,12800
5/5/2013,44.2,44.2,42.5,42.7,8800
5/6/2013,43.0,43.5,42.6,42.8,13200
5/7/2013,44.0,46.1,44.0,45.5,71000
5/8/2013,47.0,47.9,44.5,44.8,32500
5/9/2013,45.8,45.8,44.2,45.2,14800
5/12/2013,46.4,46.4,44.5,44.6,31700
5/13/2013,44.4,44.8,44.0,44.2,26000
5/14/2013,44.5,45.8,44.0,45.5,29000
5/15/2013,46.0,46.0,44.7,45.0,14300
5/16/2013,45.0,45.6,45.0,45.0,19300
5/19/2013,45.3,45.3,44.3,44.9,19600
5/20/2013,45.0,45.6,44.9,45.0,44200
5/21/2013,44.9,44.9,44.5,44.5,6300
5/22/2013,44.1,44.6,44.1,44.4,6500
5/26/2013,44.2,44.2,42.7,42.9,5700
5/27/2013,43.0,44.0,43.0,43.8,6300
5/28/2013,44.0,46.0,44.0,45.7,12800
5/29/2013,46.8,46.8,44.6,45.6,19300
5/30/2013,46.1,46.6,44.9,45.6,12500
6/2/2013,45.9,46.3,45.8,46.0,24600
6/3/2013,46.5,47.8,46.0,47.3,47300
6/4/2013,48.8,50.8,48.7,49.8,49800
6/5/2013,48.4,50.7,48.4,49.0,34800
6/6/2013,48.5,49.3,46.8,48.5,26600
6/9/2013,48.9,48.9,46.2,46.7,11600
6/10/2013,46.1,47.4,46.1,47.2,10200
6/11/2013,47.0,49.6,47.0,48.9,20800
6/12/2013,49.9,50.5,49.1,49.7,31200
6/13/2013,49.0,51.0,48.5,50.4,39900
6/16/2013,51.0,51.2,49.5,50.8,31100
6/17/2013,51.0,51.1,50.1,50.5,38100
6/18/2013,50.0,50.1,50.0,50.0,13400
6/19/2013,50.1,51.5,50.1,50.9,30200
6/20/2013,50.0,51.9,50.0,50.2,27700
6/23/2013,49.6,51.0,49.6,49.8,27000
6/24/2013,49.0,49.0,47.1,48.5,13900
6/26/2013,49.0,52.5,48.9,52.0,53600
6/27/2013,54.9,54.9,52.0,52.0,26700
6/30/2013,50.0,50.3,49.2,49.8,11400
7/2/2013,52.2,54.7,50.4,52.9,29300
7/3/2013,52.0,52.0,51.0,51.3,6000
7/4/2013,51.1,55.0,51.0,51.5,29000
7/7/2013,53.9,54.6,52.2,52.9,16000
7/8/2013,54.0,58.1,54.0,58.1,113500
7/9/2013,62.0,63.9,62.0,63.9,82000
7/10/2013,70.1,70.2,70.1,70.2,148500
7/11/2013,77.0,77.2,73.8,76.3,306300
7/14/2013,82.0,82.0,68.7,73.7,99700
7/15/2013,68.5,79.9,68.5,74.9,99900
7/16/2013,79.0,82.3,78.0,82.2,214500
7/17/2013,81.0,85.5,78.0,79.6,86900
7/18/2013,78.4,78.4,72.1,72.8,114100
7/21/2013,75.0,75.0,65.6,67.1,51100
7/22/2013,70.0,70.0,62.2,65.2,34600
7/23/2013,65.9,67.2,59.5,60.1,30400
7/24/2013,59.0,66.1,59.0,66.0,72600
7/25/2013,68.0,69.8,60.0,61.8,23400
7/28/2013,61.1,61.1,55.7,56.6,13700
7/29/2013,59.1,62.2,58.2,62.2,42800
7/30/2013,65.0,66.2,62.0,63.6,41600
7/31/2013,64.7,64.9,62.0,62.9,15800
8/1/2013,62.4,62.4,58.5,59.5,25900
8/4/2013,55.7,59.9,55.6,58.9,20700
8/5/2013,59.8,61.5,58.3,60.3,9700
8/12/2013,59.6,64.3,59.5,63.9,35100
8/13/2013,65.5,68.0,65.0,67.5,44300
8/14/2013,65.2,67.6,65.2,66.0,31500
8/18/2013,67.0,67.5,66.0,66.0,20400
8/19/2013,66.2,70.0,65.1,67.4,46300
8/20/2013,68.8,70.1,67.7,68.0,70400
8/21/2013,69.8,70.2,66.6,68.1,50000
8/22/2013,68.1,74.9,68.1,74.8,166000
8/25/2013,81.8,82.0,77.1,77.8,166500
8/26/2013,76.0,77.9,75.0,75.3,67700
8/27/2013,76.0,76.2,68.1,70.8,106400
8/29/2013,71.9,76.2,70.1,75.1,85800
9/1/2013,78.7,79.9,73.7,74.5,32900
9/2/2013,75.8,76.0,71.6,72.0,39200
9/3/2013,73.8,74.8,71.5,73.2,34800
9/4/2013,75.0,76.5,72.0,72.8,34200
9/5/2013,74.8,74.8,70.8,71.4,20500
9/8/2013,70.0,71.4,68.2,68.8,24400
9/9/2013,71.9,74.8,70.0,74.2,74000
9/10/2013,76.0,81.6,76.0,81.6,500700
9/11/2013,88.0,89.7,84.3,89.6,431900
9/12/2013,90.1,98.4,86.0,97.4,314100
9/15/2013,98.0,101.9,92.1,93.8,253500
9/16/2013,95.0,95.0,88.0,91.5,208700
9/17/2013,92.0,92.9,88.2,89.6,168900
9/18/2013,91.0,92.9,83.4,85.4,110100
9/19/2013,85.9,86.7,80.0,81.1,137000
9/22/2013,82.0,84.2,80.0,81.1,53400
9/23/2013,83.4,83.8,81.0,81.5,106400
9/24/2013,83.5,86.5,82.2,82.4,109500
9/25/2013,80.0,81.5,76.0,76.3,94900
9/26/2013,78.0,79.9,76.4,77.7,49800
9/29/2013,80.0,80.7,72.3,72.9,61500
9/30/2013,73.0,73.0,70.1,70.6,55400
10/1/2013,70.1,73.6,70.1,70.9,38900
10/2/2013,72.9,73.4,71.5,72.0,24500
10/3/2013,73.4,76.8,73.4,74.8,48700
10/6/2013,72.5,75.5,72.0,72.4,30200
10/7/2013,72.9,72.9,70.6,71.5,17500
10/8/2013,72.1,72.1,68.7,69.0,51500
10/9/2013,70.0,71.1,67.1,69.1,29800
10/10/2013,71.0,71.0,69.5,69.9,16200
10/20/2013,64.5,68.5,64.0,68.2,13000
10/21/2013,65.2,65.6,61.5,65.0,26400
10/22/2013,67.3,69.0,66.6,67.8,33800
10/23/2013,69.6,70.5,67.2,67.5,19700
10/24/2013,67.8,67.9,64.0,64.9,15200
10/27/2013,64.4,66.0,64.1,65.3,17100
10/28/2013,65.5,66.8,64.2,64.6,46500
10/29/2013,64.0,64.8,63.8,63.9,62400
10/30/2013,64.2,64.3,62.6,63.7,34300
10/31/2013,66.7,66.7,63.9,64.0,19500
11/3/2013,65.3,67.0,64.5,66.4,44000
11/4/2013,70.0,72.0,67.2,71.7,124000
11/5/2013,74.0,75.9,71.0,72.1,59600
11/6/2013,71.2,72.7,69.0,69.5,48800
11/7/2013,69.8,71.0,69.7,69.8,67800
11/10/2013,74.7,75.0,69.8,70.0,154800
11/11/2013,70.0,70.0,68.0,68.0,101500
11/12/2013,68.5,70.3,68.5,69.8,55000
