Date,Open,High,Low,Close,Volume
11/6/2017,82.0,120.0,79.0,114.2,6120424
11/7/2017,115.2,117.0,110.0,111.5,883361
11/8/2017,110.5,114.9,105.5,106.2,2250504
11/9/2017,106.3,109.6,96.8,98.1,1661262
11/12/2017,100.5,100.5,89.8,91.0,1659430
11/13/2017,91.0,94.9,87.8,91.2,1102323
11/14/2017,92.8,94.9,85.0,86.5,1191464
11/15/2017,86.2,87.0,80.5,81.5,1383878
11/16/2017,84.5,84.8,81.7,83.8,652590
11/19/2017,84.8,89.8,84.3,89.0,1206661
11/20/2017,89.3,91.6,83.3,84.1,1122382
11/21/2017,84.0,84.9,79.6,80.1,1056016
11/22/2017,80.6,81.5,75.3,75.7,738209
11/23/2017,76.9,76.9,73.0,73.9,800038
11/27/2017,68.2,73.7,68.2,69.7,912560
11/28/2017,70.2,70.9,67.7,68.0,487330
11/29/2017,68.1,68.6,65.2,65.5,507501
11/30/2017,66.0,70.8,66.0,69.7,740635
12/3/2017,70.3,70.7,67.3,67.5,380980
12/4/2017,68.0,68.0,66.4,66.6,338112
12/5/2017,67.0,68.1,66.3,66.5,291393
12/6/2017,67.4,67.4,64.9,65.0,406304
12/7/2017,65.2,67.0,65.2,65.4,332868
12/10/2017,65.8,65.9,64.0,64.1,263560
12/11/2017,64.5,66.8,64.5,66.3,522017
12/12/2017,67.0,69.5,66.6,67.6,684955
12/13/2017,67.7,71.4,67.6,70.3,959804
12/14/2017,70.3,72.7,70.3,70.9,627298
12/17/2017,70.9,71.9,69.1,69.7,460599
12/18/2017,70.5,71.8,68.3,68.8,640615
12/19/2017,67.0,72.0,67.0,71.3,771837
12/20/2017,71.5,73.0,70.4,70.8,509593
12/21/2017,70.2,70.8,68.5,68.8,287526
12/24/2017,69.8,69.9,65.1,65.5,368705
12/26/2017,65.5,66.2,64.7,65.6,266769
12/27/2017,64.7,66.5,64.7,65.1,236076
12/28/2017,65.0,65.8,64.7,65.2,248884
1/1/2018,65.3,66.4,64.9,65.1,126583
1/2/2018,65.2,65.3,64.7,64.8,44640
1/3/2018,63.7,65.4,63.7,64.8,196542
1/4/2018,65.1,66.7,65.1,66.2,366576
1/7/2018,66.2,67.9,66.2,66.6,223975
1/8/2018,66.2,67.0,65.2,65.5,131882
1/9/2018,65.2,66.2,64.5,64.7,145988
1/10/2018,64.7,65.5,63.6,63.9,161906
1/11/2018,63.9,64.5,63.4,63.7,182512
1/14/2018,63.0,64.2,62.9,63.1,142596
1/15/2018,63.3,64.1,62.9,63.5,186467
1/16/2018,63.6,63.8,61.5,62.5,550705
1/17/2018,62.0,62.0,60.0,60.6,719301
1/18/2018,61.9,61.9,57.2,57.9,429309
1/21/2018,57.9,58.0,54.9,55.5,417554
1/22/2018,55.5,57.9,55.1,57.4,430298
1/23/2018,57.6,58.4,55.5,55.9,308602
1/24/2018,55.5,56.1,53.7,54.2,341930
1/25/2018,54.3,54.4,53.1,53.3,232915
1/28/2018,53.2,53.3,51.8,52.0,269334
1/29/2018,52.0,56.0,51.7,54.9,369842
1/30/2018,55.0,55.0,51.3,51.6,388715
1/31/2018,51.3,51.3,49.0,49.5,379088
2/1/2018,50.0,50.8,49.0,49.3,273031
2/4/2018,49.3,49.3,46.3,46.5,268397
2/5/2018,47.0,48.5,45.5,46.1,296281
2/6/2018,46.1,47.3,46.1,46.4,171686
2/7/2018,46.4,46.4,43.5,43.7,774392
2/8/2018,44.0,44.0,42.7,43.5,340067
2/11/2018,43.5,46.2,43.5,45.4,472819
2/12/2018,45.5,46.0,44.3,44.5,435207
2/13/2018,44.0,44.7,43.7,43.9,289606
2/14/2018,44.5,45.4,44.2,44.4,346421
2/15/2018,44.5,46.0,44.2,44.9,403437
2/18/2018,44.9,45.8,44.3,44.4,314875
2/19/2018,45.0,45.3,43.5,43.7,291509
2/20/2018,43.7,44.9,42.2,42.6,278107
2/22/2018,42.8,43.6,40.9,41.5,340347
2/25/2018,41.5,42.1,40.2,40.3,274187
2/26/2018,40.6,40.9,39.3,39.6,322144
2/27/2018,40.4,40.9,39.7,40.0,354093
2/28/2018,40.2,43.8,40.0,42.6,902813
3/1/2018,42.8,43.3,42.0,42.4,400718
3/4/2018,43.0,44.5,42.7,44.0,609350
3/5/2018,44.3,46.2,44.3,45.7,907105
3/6/2018,45.7,48.1,45.1,47.6,964669
3/7/2018,47.6,49.6,47.4,48.1,856155
3/8/2018,48.1,48.2,47.1,47.5,438659
3/11/2018,47.5,47.7,45.0,45.3,346367
3/12/2018,45.5,45.5,43.5,44.1,291830
3/13/2018,44.4,44.7,41.5,42.4,329288
3/14/2018,42.8,44.0,42.3,43.6,406063
3/15/2018,43.5,44.3,43.0,43.9,271056
3/18/2018,44.1,44.9,43.3,44.4,409414
3/19/2018,44.6,45.2,43.5,43.7,329569
3/20/2018,43.5,43.8,42.5,42.7,250776
3/21/2018,42.7,43.0,41.1,41.4,241365
3/22/2018,41.6,42.3,40.5,41.4,238742
3/25/2018,42.1,42.3,40.4,40.8,204299
3/27/2018,40.8,40.8,39.1,39.3,323739
3/28/2018,39.6,40.6,39.3,39.8,190357
3/29/2018,40.4,42.5,40.2,42.1,367450
4/1/2018,42.8,43.4,42.5,42.9,249596
4/2/2018,43.3,43.8,42.3,43.0,385043
4/3/2018,43.3,43.8,42.6,42.9,348553
4/4/2018,43.1,43.9,42.8,43.4,452376
4/8/2018,43.9,46.5,43.8,46.0,757404
4/9/2018,46.2,47.3,45.8,45.9,567926
4/10/2018,45.9,45.9,44.0,44.3,441365
4/11/2018,44.3,44.6,42.7,43.0,264454
4/12/2018,43.0,44.8,42.2,43.9,393137
4/15/2018,44.2,44.8,42.9,43.1,154509
4/16/2018,43.1,43.4,42.2,43.0,200319
4/17/2018,43.2,43.7,42.5,42.8,300011
4/18/2018,42.7,43.5,42.2,42.4,191422
4/19/2018,42.4,43.4,42.0,42.6,168210
4/22/2018,42.4,42.7,41.7,42.0,109477
4/23/2018,42.3,42.3,40.8,41.4,159734
