Date,Open,High,Low,Close,Volume
3/20/2013,82.0,91.0,74.9,75.2,6080400
3/24/2013,75.0,75.0,63.8,63.9,2764300
3/25/2013,62.6,69.8,62.2,68.3,1035700
3/27/2013,68.0,69.0,65.5,67.6,1155000
3/28/2013,66.7,73.9,66.7,73.0,2180000
3/31/2013,73.6,75.0,70.4,72.6,1728900
4/1/2013,71.1,71.4,68.0,68.3,1097500
4/2/2013,68.5,72.5,68.0,71.8,1375200
4/3/2013,71.6,73.9,69.3,70.4,1411900
4/4/2013,68.2,69.9,67.8,68.6,909800
4/7/2013,69.3,70.8,68.5,69.0,1087500
4/8/2013,68.5,70.6,68.1,69.2,882700
4/9/2013,69.9,72.7,69.2,71.8,1634000
4/10/2013,72.9,74.0,69.9,70.6,1520100
4/11/2013,70.1,72.0,69.8,70.6,991400
4/15/2013,72.5,77.3,71.5,75.9,2609300
4/16/2013,77.0,77.3,71.6,71.9,1980300
4/17/2013,72.0,73.3,71.1,72.0,1053200
4/18/2013,72.1,73.4,70.4,70.6,1367200
4/21/2013,71.1,71.6,68.5,68.7,1453000
4/22/2013,69.0,69.9,68.5,68.8,632600
4/23/2013,69.5,70.8,68.3,68.8,601800
4/24/2013,69.2,69.5,67.5,67.7,785800
4/25/2013,67.9,68.5,66.7,66.9,578000
4/28/2013,66.5,66.6,64.1,64.4,677700
4/29/2013,64.5,66.7,63.6,66.3,637000
4/30/2013,67.5,68.0,64.3,64.8,487400
5/2/2013,64.0,66.3,63.8,65.9,573500
5/5/2013,66.0,66.2,63.9,64.2,489900
5/6/2013,64.2,64.5,63.2,63.9,338200
5/7/2013,64.0,65.3,64.0,64.4,462600
5/8/2013,65.5,66.7,64.0,64.2,657000
5/9/2013,64.2,65.5,63.8,65.0,478000
5/12/2013,66.0,70.3,65.3,69.7,1504900
5/13/2013,71.0,71.0,67.3,69.3,2154200
5/14/2013,70.8,74.6,70.7,73.3,2743200
5/15/2013,77.0,79.5,75.4,76.6,4291700
5/16/2013,77.0,80.6,76.2,79.9,2528600
5/19/2013,80.0,84.4,80.0,83.9,3813600
5/20/2013,84.4,85.0,82.5,82.7,3359100
5/21/2013,81.5,83.0,79.5,80.1,3201100
5/22/2013,80.4,80.5,76.9,77.1,3879500
5/27/2013,65.0,66.8,62.5,66.1,2830300
5/28/2013,67.0,68.3,65.8,66.9,2082500
5/29/2013,67.9,68.0,66.0,67.0,1947800
5/30/2013,68.0,68.1,66.3,66.6,2127600
6/2/2013,66.5,67.0,64.5,66.2,3513700
6/3/2013,67.2,67.4,65.1,65.5,1800300
6/4/2013,66.0,67.0,65.4,65.8,1776700
6/5/2013,67.0,67.0,64.4,64.6,2533300
6/6/2013,65.7,65.7,63.6,63.9,1691600
6/9/2013,64.2,64.5,60.8,61.0,1422000
6/10/2013,60.7,64.2,60.7,63.9,919900
6/11/2013,64.5,64.9,63.1,63.3,1195200
6/12/2013,64.0,67.1,63.6,65.7,3294800
6/16/2013,67.8,72.2,67.0,72.0,5178400
6/17/2013,74.0,74.9,69.9,70.4,3438300
6/18/2013,71.0,77.3,69.5,76.8,3096700
6/19/2013,78.0,79.5,73.8,74.2,2810300
6/20/2013,74.0,75.0,72.4,73.1,2180700
6/23/2013,74.0,74.5,69.4,69.9,2116100
6/24/2013,70.0,71.1,68.5,70.7,1154900
6/26/2013,72.3,73.8,70.7,71.2,1509200
6/27/2013,72.0,72.8,68.8,69.0,1304900
6/30/2013,70.0,70.0,67.5,68.5,1209900
7/2/2013,69.8,73.3,69.8,72.3,1521000
7/3/2013,73.8,73.9,71.2,71.8,2139200
7/4/2013,71.7,75.8,71.7,74.7,3337800
7/7/2013,76.9,78.8,75.8,77.1,3103000
7/8/2013,78.0,78.0,74.6,74.8,2219200
7/9/2013,75.5,82.1,74.7,80.8,4505200
7/10/2013,80.0,83.2,78.1,79.9,5352500
7/11/2013,79.2,80.4,75.3,75.8,2173600
7/14/2013,76.0,76.9,73.0,73.4,1300400
7/15/2013,74.2,75.8,71.4,73.2,2441600
7/16/2013,75.0,76.8,72.0,73.0,1767700
7/17/2013,73.4,74.3,71.6,72.1,2003200
7/18/2013,72.8,75.6,72.3,73.2,1816400
7/21/2013,73.2,75.1,70.3,70.9,1157800
7/22/2013,72.9,72.9,69.3,70.3,1103000
7/23/2013,70.5,71.0,66.0,66.5,919600
7/24/2013,66.6,70.7,66.2,68.9,1030600
7/25/2013,71.5,71.8,65.1,65.6,1203000
7/28/2013,65.6,66.0,63.7,64.7,361000
7/29/2013,66.4,67.0,65.0,66.1,519300
7/30/2013,67.0,67.1,64.3,64.7,354400
7/31/2013,64.0,64.7,62.1,62.8,624600
8/1/2013,63.0,64.7,62.1,63.8,606500
8/4/2013,62.8,64.0,62.4,63.0,610500
8/5/2013,62.7,63.9,62.7,63.6,292000
8/12/2013,64.5,64.5,63.0,63.9,177000
8/13/2013,64.3,65.8,64.0,64.9,406400
8/14/2013,65.0,66.2,64.4,65.8,584900
8/18/2013,66.5,66.9,65.6,66.5,552800
8/19/2013,66.7,69.4,66.1,67.8,1094600
8/20/2013,68.9,69.8,67.0,67.4,551800
8/21/2013,68.6,68.6,66.5,66.7,535400
8/22/2013,66.5,67.6,65.5,66.8,722900
8/25/2013,66.9,69.0,66.6,67.0,901300
8/26/2013,66.9,68.5,66.1,66.2,648000
8/27/2013,66.9,67.2,64.0,64.3,758700
8/29/2013,64.9,65.0,63.5,64.0,606600
9/1/2013,64.3,65.4,64.0,64.1,459100
9/2/2013,64.0,64.9,63.6,63.8,433200
9/3/2013,63.9,64.7,63.3,63.9,524000
9/4/2013,64.8,66.9,64.4,65.8,1035600
9/5/2013,66.4,66.8,64.7,65.0,406300
9/8/2013,65.6,65.7,64.2,64.4,420000
9/9/2013,65.0,65.0,63.7,64.0,459100
9/10/2013,64.7,65.0,63.7,63.7,505600
9/11/2013,63.9,64.4,63.5,63.6,621400
9/12/2013,63.6,64.2,63.3,63.4,683400
9/15/2013,64.4,66.2,63.7,65.7,1054700
9/16/2013,66.0,67.5,65.6,66.0,1107900
9/17/2013,66.1,66.7,64.7,64.8,646900
9/18/2013,64.5,67.0,64.5,65.0,1074600
9/19/2013,64.5,66.6,64.5,64.8,566100
9/22/2013,65.4,65.4,63.7,63.8,592100
9/23/2013,64.0,64.0,63.1,63.2,612400
9/24/2013,63.5,63.8,62.9,63.0,409900
9/25/2013,63.1,63.4,62.2,62.3,383300
9/26/2013,63.0,63.0,61.8,62.1,661100
9/29/2013,62.5,63.1,62.0,62.1,264900
9/30/2013,61.9,62.1,61.0,61.1,289100
10/1/2013,61.9,61.9,60.6,60.7,284000
10/2/2013,61.0,63.1,60.7,62.4,402500
10/3/2013,62.7,63.5,62.2,62.6,356100
10/6/2013,62.6,64.6,62.3,63.3,1146300
10/7/2013,63.0,63.9,62.6,62.7,541700
10/8/2013,62.5,63.1,61.1,61.4,348900
10/9/2013,61.2,62.4,61.1,61.5,236700
10/10/2013,61.9,62.3,61.3,61.4,421800
10/20/2013,61.2,61.4,57.6,58.1,331100
10/21/2013,58.0,58.0,53.8,54.4,742900
10/22/2013,54.0,55.8,52.5,54.4,672200
10/23/2013,54.4,55.2,53.8,54.3,749800
10/24/2013,53.8,54.0,52.6,52.8,324400
10/27/2013,52.5,54.8,51.9,53.6,486800
10/28/2013,53.8,55.5,53.2,53.6,392100
10/29/2013,53.2,57.7,52.8,56.7,1115200
10/30/2013,57.7,59.4,56.6,57.4,530800
10/31/2013,58.2,58.7,55.7,56.1,389200
11/3/2013,54.9,54.9,53.1,53.6,608000
11/4/2013,54.2,55.5,54.1,54.9,429400
11/5/2013,55.8,55.8,54.6,54.7,463900
11/6/2013,54.4,54.7,53.3,53.6,722800
11/7/2013,53.8,54.2,53.0,53.3,1197200
11/10/2013,54.6,54.9,53.3,53.7,787900
11/11/2013,53.5,54.6,53.5,54.3,798000
11/12/2013,54.6,56.6,54.5,56.4,1233400
11/13/2013,56.5,58.9,56.4,57.9,1248400
11/14/2013,58.7,58.7,56.6,56.8,715400
11/17/2013,56.4,58.5,56.0,58.1,1113400
11/18/2013,58.5,59.6,58.0,58.1,770800
11/19/2013,58.0,59.5,58.0,58.4,1573300
11/20/2013,59.0,62.0,58.7,61.2,1860700
11/21/2013,61.8,61.8,59.0,59.6,1116400
11/24/2013,60.5,60.8,57.9,58.3,932800
11/25/2013,59.7,61.9,59.0,60.9,2162100
11/26/2013,60.4,66.9,60.1,65.4,5171300
11/27/2013,66.8,67.7,64.0,65.1,2180800
11/28/2013,64.7,65.2,61.7,62.4,1509400
12/1/2013,62.0,62.0,59.7,60.0,1002600
12/2/2013,60.2,61.8,59.6,61.2,857200
12/3/2013,62.0,62.7,61.3,62.3,1087800
12/4/2013,62.0,63.5,60.8,61.0,1103000
12/5/2013,61.0,61.7,60.4,60.8,1065300
12/8/2013,61.1,62.9,61.1,61.8,1093100
12/9/2013,62.4,64.7,61.9,63.1,2178400
12/10/2013,63.9,64.4,62.8,63.0,1845000
12/11/2013,63.4,64.1,62.0,62.2,1266400
12/12/2013,62.9,63.4,61.3,61.5,978200
12/15/2013,62.0,62.8,60.9,61.2,887600
12/17/2013,61.2,62.5,61.0,61.1,778800
12/18/2013,61.5,61.9,60.4,60.7,910000
12/19/2013,60.6,61.4,60.5,60.9,562200
12/22/2013,61.2,62.3,61.0,61.1,1055100
12/23/2013,61.7,62.0,60.5,60.6,551700
