Date,Open,High,Low,Close,Volume
1/28/2024,19.6,19.9,18.8,19.3,1307895
1/29/2024,19.6,19.6,18.7,19.2,724004
1/30/2024,19.3,21.1,19.3,20.8,870575
1/31/2024,21.5,21.9,19.6,20.4,1222858
2/1/2024,20.7,20.7,19.7,20.2,2036213
2/4/2024,19.9,21.5,19.7,20.0,957599
2/5/2024,20.6,20.6,18.6,19.5,783385
2/6/2024,19.7,20.5,19.5,19.8,1536275
2/7/2024,20.5,20.5,19.4,19.8,1136483
2/8/2024,20.5,20.5,19.1,19.5,1015345
2/11/2024,19.6,19.7,18.1,18.3,1105689
2/12/2024,19.4,20.1,19.0,20.1,1630349
2/13/2024,21.7,21.7,19.3,20.0,1756232
2/14/2024,20.9,20.9,19.9,20.1,607636
2/15/2024,20.3,21.0,19.9,20.0,520394
2/18/2024,20.3,21.2,20.0,20.5,436946
2/19/2024,20.7,21.0,19.9,20.1,549917
2/20/2024,20.4,22.1,20.4,21.6,1351359
