Date,Open,High,Low,Close,Volume
10/1/2012,284.2,294.8,284.2,288.8,99200
10/2/2012,299.4,302.0,293.9,298.1,114400
10/3/2012,301.9,314.0,299.2,306.8,283100
10/4/2012,310.0,318.0,304.1,306.1,223200
10/7/2012,306.1,313.8,303.0,304.9,140400
10/8/2012,304.2,309.5,296.0,298.7,102000
10/9/2012,305.0,305.0,295.3,296.0,139700
10/10/2012,302.5,307.0,296.2,297.6,109800
10/11/2012,303.0,305.9,291.2,294.9,120400
10/14/2012,299.3,304.9,296.9,300.9,149100
10/15/2012,301.0,305.0,294.8,295.9,101600
10/16/2012,301.5,301.5,295.0,295.2,99100
10/17/2012,299.0,299.0,292.5,293.7,52300
10/18/2012,295.0,300.0,293.0,297.3,70900
10/21/2012,301.0,303.8,297.0,300.4,62900
10/22/2012,302.9,302.9,296.7,298.0,78800
10/23/2012,298.9,300.0,298.0,299.0,56200
10/30/2012,297.2,300.0,297.2,297.5,34600
10/31/2012,298.0,298.0,295.3,295.8,45300
11/1/2012,295.0,297.9,292.5,293.0,54000
11/4/2012,293.6,293.6,287.5,287.8,30100
11/5/2012,291.6,291.6,286.1,287.9,31600
11/6/2012,294.7,308.9,293.7,305.4,303200
11/7/2012,309.4,311.0,301.0,301.9,185600
11/8/2012,304.0,305.0,288.1,291.6,89300
11/11/2012,290.0,291.0,278.0,279.1,131600
11/12/2012,290.0,294.9,286.0,287.5,186500
11/13/2012,291.9,299.5,282.2,293.2,156200
11/14/2012,296.2,297.9,290.8,293.1,74300
11/15/2012,296.4,296.4,289.0,290.2,110300
11/18/2012,291.9,292.0,285.0,286.5,115200
11/19/2012,284.3,286.0,280.0,280.4,111500
11/20/2012,281.1,283.5,277.1,277.6,63900
11/21/2012,282.9,283.0,276.5,277.5,64400
11/22/2012,275.0,281.0,275.0,276.8,46500
11/26/2012,277.2,279.9,266.2,268.4,59700
11/27/2012,268.5,268.5,262.6,263.6,79600
11/28/2012,268.0,268.0,263.0,263.9,30800
11/29/2012,269.0,274.5,267.7,273.9,53000
12/2/2012,277.0,278.4,267.0,268.3,63500
12/3/2012,269.0,270.5,268.0,268.5,25600
12/4/2012,269.0,269.8,267.2,268.6,32000
12/5/2012,274.5,274.5,267.3,269.2,17200
12/6/2012,268.0,269.6,267.0,268.5,51300
12/9/2012,268.6,268.8,266.2,268.2,44400
12/10/2012,269.5,269.5,264.7,266.3,32200
12/11/2012,263.3,267.8,263.3,266.7,20400
12/12/2012,267.0,269.0,265.2,265.6,25100
12/13/2012,266.8,267.9,265.1,266.4,28300
