Date,Open,High,Low,Close,Volume
6/13/2021,17.6,17.6,17.6,17.6,1
6/14/2021,19.3,19.3,19.3,19.3,1
6/15/2021,21.2,21.2,21.2,21.2,1
6/16/2021,23.3,23.3,23.3,23.3,66
6/17/2021,25.6,25.6,25.6,25.6,1
6/20/2021,28.1,28.1,28.1,28.1,11
6/21/2021,30.9,30.9,30.9,30.9,101
6/22/2021,33.9,33.9,33.9,33.9,1
6/23/2021,37.2,37.2,37.2,37.2,1
6/24/2021,40.9,40.9,40.9,40.9,921
6/27/2021,44.9,44.9,44.9,44.9,580
6/28/2021,49.3,49.3,49.3,49.3,21
6/29/2021,54.2,54.2,54.2,54.2,1020
6/30/2021,59.6,59.6,59.6,59.6,540
7/5/2021,65.5,65.5,65.5,65.5,383
7/6/2021,72.0,72.0,72.0,72.0,1171
7/7/2021,79.2,79.2,79.2,79.2,2734
7/8/2021,87.1,87.1,87.1,87.1,700
7/12/2021,95.8,95.8,95.8,95.8,1286
7/13/2021,105.3,105.3,105.3,105.3,17863
7/14/2021,115.8,115.8,115.8,115.8,30157
7/15/2021,127.3,127.3,125.0,127.3,486294
7/18/2021,136.8,136.8,121.1,129.7,90122
7/19/2021,133.7,133.7,129.9,130.2,56232
7/25/2021,130.0,130.0,124.6,128.0,136819
7/26/2021,130.0,130.0,125.7,128.6,61774
7/27/2021,128.9,128.9,124.0,125.1,38195
7/28/2021,128.5,128.5,121.1,122.0,53191
7/29/2021,122.0,125.8,121.1,121.4,78324
8/2/2021,126.0,127.8,118.0,125.8,94168
8/3/2021,127.0,138.3,127.0,138.3,116647
8/5/2021,152.1,152.1,152.1,152.1,131701
8/9/2021,166.0,167.3,155.3,164.7,258714
8/10/2021,168.9,179.7,153.6,155.3,155422
8/11/2021,150.0,170.8,145.1,170.8,159655
8/12/2021,183.4,184.5,161.0,162.9,176664
8/16/2021,162.9,165.8,154.0,156.2,103501
8/17/2021,160.0,163.9,155.0,158.3,57084
8/18/2021,163.7,168.3,162.7,165.2,67409
8/19/2021,171.5,174.8,166.2,172.6,79836
8/22/2021,175.0,181.0,172.8,173.6,101064
8/23/2021,174.0,179.3,172.0,173.9,101534
8/24/2021,176.4,182.7,173.5,180.3,193751
8/25/2021,185.0,196.8,185.0,193.5,160563
8/26/2021,199.9,204.7,178.0,186.0,97976
8/29/2021,190.0,190.0,180.0,180.4,61474
8/31/2021,188.0,189.8,180.0,181.7,55693
9/1/2021,188.9,189.1,180.6,187.3,99461
9/2/2021,193.2,204.7,193.2,199.9,153840
9/5/2021,214.9,219.8,202.2,219.8,178115
9/6/2021,229.0,234.9,215.2,221.5,126932
9/7/2021,227.0,240.7,223.0,233.5,153540
9/8/2021,239.5,247.0,229.0,234.6,126634
9/9/2021,230.0,240.0,223.1,235.3,100603
9/12/2021,237.0,246.0,214.8,216.5,202924
9/13/2021,220.0,225.0,214.0,215.9,86714
9/14/2021,205.5,213.0,197.1,198.3,183620
9/15/2021,198.0,218.1,198.0,218.0,116007
9/16/2021,232.0,232.0,221.0,225.3,89397
9/19/2021,216.0,216.0,205.6,205.6,61914
9/20/2021,187.7,199.0,187.7,187.8,243587
9/21/2021,181.6,195.0,178.0,179.7,94047
9/22/2021,179.7,183.5,163.6,172.2,146795
9/23/2021,175.1,189.4,175.0,184.4,74762
9/26/2021,183.3,187.9,176.0,180.2,47013
9/27/2021,175.0,180.6,175.0,175.3,38341
9/28/2021,172.5,176.7,171.0,172.2,30889
9/29/2021,178.0,178.0,163.1,165.4,48772
9/30/2021,165.4,173.0,165.4,170.2,93180
10/3/2021,174.8,179.5,174.5,177.9,72961
10/4/2021,179.2,182.0,174.9,175.9,44191
10/5/2021,178.6,178.6,166.2,167.9,48142
10/6/2021,168.1,172.9,156.6,158.4,41638
10/7/2021,156.0,164.0,150.2,156.8,27461
10/10/2021,158.0,164.6,156.5,163.0,37502
10/11/2021,167.9,171.0,160.5,160.9,50925
10/12/2021,165.6,165.6,154.0,155.8,30587
10/13/2021,156.0,165.0,154.2,156.4,19983
10/14/2021,161.9,161.9,154.5,157.0,24503
10/17/2021,152.9,159.1,142.5,144.4,54047
10/18/2021,144.4,144.5,132.5,134.9,45261
10/19/2021,140.1,141.3,132.2,134.3,20270
10/21/2021,136.0,136.0,127.3,134.8,29454
10/24/2021,134.8,139.4,132.0,133.9,27241
10/25/2021,139.5,139.6,133.0,138.6,25362
10/26/2021,142.0,152.4,142.0,152.3,112771
10/27/2021,159.8,161.9,154.0,155.8,57060
10/28/2021,156.9,171.3,156.9,168.7,122537
10/31/2021,166.5,173.8,165.0,165.5,84685
11/1/2021,168.5,168.5,160.2,167.8,22861
11/2/2021,168.0,176.0,166.2,171.5,68856
11/3/2021,176.5,179.9,169.1,170.6,62051
11/4/2021,166.3,175.0,165.2,166.0,23244
11/7/2021,166.1,169.0,161.0,165.1,18804
11/8/2021,167.1,174.8,151.0,153.6,46199
11/9/2021,153.5,155.0,145.0,148.0,53181
11/10/2021,150.0,157.9,147.0,148.8,31608
11/11/2021,154.9,155.9,150.0,151.9,35825
11/14/2021,146.0,156.5,142.0,152.2,37672
11/15/2021,152.2,158.8,151.5,151.9,21669
11/16/2021,154.9,155.0,144.0,147.2,31395
11/17/2021,145.2,149.8,144.0,146.1,21039
11/18/2021,150.0,150.0,143.0,143.4,43396
11/21/2021,143.5,143.5,130.0,131.2,48531
11/22/2021,140.0,140.0,129.5,130.7,35388
11/23/2021,131.0,134.5,129.1,131.6,17222
11/24/2021,133.6,135.0,128.5,128.8,40965
11/25/2021,133.1,133.1,125.8,128.1,23667
11/28/2021,127.5,132.0,127.0,127.8,8617
11/29/2021,128.5,134.9,128.1,133.1,68074
