Date,Open,High,Low,Close,Volume
10/1/2012,29.2,31.2,29.2,31.0,31400
10/2/2012,32.0,32.2,30.6,31.3,62600
10/3/2012,32.0,32.5,31.0,31.2,145800
10/4/2012,30.9,32.2,30.9,30.9,53300
10/7/2012,31.6,31.6,29.5,30.0,62400
10/8/2012,29.9,30.8,28.4,28.9,85200
10/9/2012,29.1,30.0,28.4,28.7,63900
10/10/2012,29.5,29.5,27.7,28.3,38200
10/11/2012,28.3,28.7,27.7,28.1,28000
10/14/2012,28.1,28.1,27.2,27.3,50000
10/15/2012,27.2,27.7,26.9,27.1,54400
10/16/2012,27.9,29.7,27.5,28.4,58200
10/17/2012,29.8,29.9,28.8,29.7,37500
10/18/2012,29.4,29.9,29.0,29.0,37700
10/21/2012,29.2,29.6,28.9,29.0,27000
10/22/2012,29.5,30.0,29.0,29.8,67200
10/23/2012,30.8,30.8,29.3,29.7,14700
10/30/2012,28.8,29.8,28.4,28.4,8400
10/31/2012,29.3,29.3,28.7,29.1,18900
11/1/2012,30.0,30.3,28.7,28.8,40800
11/4/2012,28.5,28.7,28.1,28.2,17300
11/5/2012,28.2,28.5,28.0,28.2,15400
11/6/2012,28.3,28.5,27.6,27.8,19900
11/7/2012,27.9,28.1,27.6,27.9,19600
11/8/2012,27.7,28.4,27.3,27.6,29400
11/11/2012,27.5,27.6,26.7,26.8,19300
11/12/2012,27.4,27.4,26.6,26.7,12300
11/13/2012,26.5,27.4,26.5,27.1,5200
11/14/2012,26.2,27.1,26.2,26.9,11100
11/15/2012,26.5,27.5,26.5,26.9,21700
11/18/2012,27.0,27.3,27.0,27.0,13400
11/19/2012,26.8,27.2,26.5,26.6,24500
11/20/2012,27.0,27.0,26.4,26.6,17100
11/21/2012,26.7,26.8,26.2,26.3,16000
11/22/2012,26.0,26.8,25.9,26.3,31400
11/26/2012,26.1,26.1,25.4,25.5,13500
11/27/2012,24.7,25.3,24.7,25.0,8300
11/28/2012,24.9,25.7,24.9,24.9,13800
11/29/2012,25.5,26.7,25.5,26.4,23100
12/2/2012,27.0,27.0,25.6,26.1,7400
12/3/2012,25.5,25.5,25.1,25.1,6600
12/4/2012,25.0,25.8,24.9,25.3,8000
12/5/2012,25.5,25.8,25.2,25.3,4900
12/6/2012,25.9,25.9,25.4,25.6,6300
12/9/2012,25.6,25.6,25.3,25.3,5700
12/10/2012,25.0,25.3,24.5,24.9,13800
12/11/2012,26.0,26.0,25.1,25.6,3300
12/12/2012,25.4,25.4,25.0,25.1,6900
12/13/2012,25.0,25.6,25.0,25.0,4500
12/17/2012,25.6,26.0,25.6,25.8,25400
12/18/2012,25.7,26.0,25.6,25.6,9200
12/19/2012,25.3,26.5,25.3,26.2,19600
12/20/2012,25.7,26.5,25.7,26.1,16900
12/23/2012,25.2,26.5,25.2,25.8,12500
12/24/2012,25.5,26.0,25.5,25.7,10700
12/26/2012,26.1,26.8,25.8,26.5,16000
12/27/2012,26.5,27.9,26.5,27.5,62400
12/30/2012,27.3,27.7,27.2,27.5,18000
1/1/2013,27.6,27.6,27.0,27.1,30000
1/2/2013,26.8,27.4,26.6,26.9,14200
1/3/2013,26.4,27.4,26.4,27.0,8600
