Date,Open,High,Low,Close,Volume
10/1/2012,9.3,10.0,8.7,10.0,2644500
10/2/2012,10.8,11.0,10.8,11.0,903000
10/3/2012,12.1,12.1,10.1,10.7,3087500
10/4/2012,10.6,11.6,9.7,11.3,2579000
10/7/2012,12.1,12.4,10.2,10.2,1303000
10/8/2012,9.4,10.6,9.2,9.5,1170500
10/9/2012,10.0,10.4,9.9,10.4,910500
10/10/2012,10.7,10.7,9.4,9.4,1085500
10/11/2012,10.1,10.1,9.0,9.2,848500
10/14/2012,9.6,9.9,8.9,9.0,469000
10/15/2012,9.4,9.9,9.0,9.8,761500
10/16/2012,9.6,10.3,9.2,9.4,490000
10/17/2012,9.6,9.8,9.1,9.3,481500
10/18/2012,9.6,9.9,9.3,9.4,573500
10/21/2012,9.6,9.6,8.9,9.0,348500
10/22/2012,9.6,9.6,8.7,9.0,280000
10/23/2012,9.3,9.5,8.8,8.9,766000
10/30/2012,8.8,9.2,8.8,8.9,69500
10/31/2012,9.1,9.5,9.0,9.1,359500
11/1/2012,9.3,9.4,9.0,9.0,400500
11/4/2012,8.9,9.0,8.7,8.7,337500
11/5/2012,8.8,8.8,8.5,8.6,295500
11/6/2012,8.7,9.2,8.7,9.0,248500
11/7/2012,9.2,9.2,8.8,8.8,468000
11/8/2012,8.7,8.9,8.6,8.6,314000
11/11/2012,8.7,8.7,7.9,8.0,321500
11/12/2012,8.3,8.3,7.9,8.0,221500
11/13/2012,8.0,8.2,7.8,8.0,283000
11/14/2012,8.0,8.1,7.8,7.8,355500
11/15/2012,7.9,8.5,7.9,8.5,532000
11/18/2012,9.0,9.2,8.8,8.8,736500
11/19/2012,8.5,8.8,8.3,8.3,185000
11/20/2012,8.4,8.5,8.0,8.0,291000
11/21/2012,8.3,8.4,8.0,8.2,239500
11/22/2012,8.3,8.6,8.3,8.3,202000
11/26/2012,8.3,8.4,8.1,8.1,92000
11/27/2012,8.0,8.2,8.0,8.0,134000
11/28/2012,8.2,8.4,7.8,8.1,215500
11/29/2012,8.4,8.6,8.3,8.5,359500
12/2/2012,8.5,8.6,8.0,8.0,197000
12/3/2012,8.1,8.1,7.8,7.8,203500
12/4/2012,7.9,8.0,7.8,7.9,82500
12/5/2012,8.0,8.1,7.8,7.8,195500
12/6/2012,7.8,7.9,7.7,7.7,228500
12/9/2012,7.7,7.7,7.3,7.4,340000
12/10/2012,7.4,7.5,7.1,7.1,153000
12/11/2012,7.2,7.7,7.1,7.6,408500
12/12/2012,7.8,8.0,7.5,7.5,175500
12/13/2012,7.6,7.6,7.4,7.4,127500
12/17/2012,7.4,7.6,7.4,7.5,134000
12/18/2012,7.5,7.6,7.4,7.4,151500
12/19/2012,7.4,7.5,7.3,7.3,107500
12/20/2012,7.4,7.5,7.3,7.3,107500
12/23/2012,7.3,7.3,7.1,7.1,147000
12/24/2012,7.2,7.6,7.1,7.4,213000
12/26/2012,7.4,7.5,7.3,7.3,254500
12/27/2012,7.4,7.6,7.3,7.5,187000
12/30/2012,7.7,7.7,7.3,7.3,97500
1/1/2013,7.2,7.5,7.2,7.2,136500
1/2/2013,7.2,7.3,7.2,7.2,52000
1/3/2013,7.9,7.9,7.6,7.9,519500
1/6/2013,7.9,8.0,7.7,7.7,229500
1/7/2013,7.8,7.8,7.6,7.7,75500
1/8/2013,7.8,7.9,7.4,7.4,212500
1/9/2013,8.1,8.1,7.5,7.5,696500
1/10/2013,7.6,7.6,7.3,7.3,151500
1/13/2013,7.3,7.3,7.0,7.0,532500
1/14/2013,7.0,7.1,7.0,7.0,181000
1/15/2013,7.2,7.3,7.0,7.0,129000
1/16/2013,7.1,7.1,6.9,7.0,284000
1/17/2013,7.1,7.1,6.8,6.8,283000
1/20/2013,6.8,7.0,6.8,6.8,178000
1/21/2013,6.9,6.9,6.7,6.7,72000
1/22/2013,6.8,6.8,6.6,6.6,370500
1/23/2013,6.6,6.8,6.5,6.5,461500
1/24/2013,6.6,6.7,6.5,6.5,246500
1/27/2013,6.6,6.6,6.4,6.4,140500
1/28/2013,6.4,6.4,6.1,6.1,278500
1/29/2013,6.2,6.4,6.2,6.3,360500
1/30/2013,6.5,6.5,6.2,6.3,159000
1/31/2013,6.3,6.4,6.2,6.2,169000
2/3/2013,6.2,6.3,6.2,6.2,122000
2/4/2013,6.3,6.3,6.2,6.2,163500
2/5/2013,6.2,6.4,6.2,6.4,193000
2/6/2013,6.4,6.5,6.3,6.4,207500
2/7/2013,6.5,6.6,6.4,6.5,331000
2/10/2013,6.5,6.8,6.5,6.6,430000
2/11/2013,6.7,6.8,6.6,6.7,228500
2/12/2013,6.7,6.7,6.5,6.5,294000
2/13/2013,6.7,6.7,6.4,6.4,176500
2/14/2013,6.5,6.5,6.3,6.4,582000
2/17/2013,6.3,6.5,6.3,6.3,159500
2/18/2013,6.4,6.4,6.2,6.2,167000
2/19/2013,6.3,6.3,6.0,6.1,363500
2/20/2013,6.2,6.2,6.1,6.1,91000
2/24/2013,6.0,6.1,5.7,5.7,299500
2/25/2013,6.0,6.0,5.4,5.5,359500
2/26/2013,5.8,5.9,5.6,5.7,178500
2/27/2013,5.8,5.8,5.6,5.6,130000
2/28/2013,5.7,5.8,5.6,5.7,130000
3/3/2013,5.5,5.5,5.2,5.3,196500
3/4/2013,5.4,5.6,5.3,5.3,76500
3/5/2013,5.5,5.5,5.3,5.3,91000
3/6/2013,5.3,5.4,5.2,5.2,298500
3/7/2013,5.2,5.4,5.2,5.3,111500
3/10/2013,5.4,5.4,5.2,5.2,62000
3/11/2013,5.3,5.3,5.1,5.2,172500
3/12/2013,5.1,5.3,5.0,5.1,140000
3/13/2013,5.2,5.3,5.2,5.2,71500
3/14/2013,5.2,5.3,5.2,5.2,63000
3/18/2013,5.3,5.3,5.1,5.1,99000
3/19/2013,5.2,5.3,5.2,5.2,22000
3/20/2013,5.2,5.2,5.1,5.1,138000
3/24/2013,5.1,5.1,5.0,5.0,210000
3/25/2013,5.0,5.1,5.0,5.0,91000
3/27/2013,5.0,5.1,4.9,5.0,210000
3/28/2013,5.1,5.1,4.9,4.9,32000
3/31/2013,4.9,5.0,4.9,4.9,53500
4/1/2013,4.8,4.9,4.7,4.8,83500
4/2/2013,4.8,4.9,4.8,4.8,136000
4/3/2013,4.9,5.1,4.9,4.9,250500
4/4/2013,4.9,5.0,4.9,4.9,252000
4/7/2013,5.0,5.3,5.0,5.2,430000
4/8/2013,5.1,5.7,5.1,5.7,511500
4/9/2013,6.0,6.2,5.9,6.1,913000
4/10/2013,6.2,6.7,5.8,6.4,1122500
4/11/2013,6.5,6.7,6.4,6.5,576000
4/15/2013,6.6,6.6,6.0,6.1,363500
4/16/2013,6.0,6.2,5.5,5.5,943000
4/17/2013,5.5,6.0,5.3,6.0,504500
4/18/2013,6.4,6.6,6.3,6.5,1552000
4/21/2013,6.4,6.4,6.0,6.0,392000
4/22/2013,6.0,6.5,6.0,6.2,325500
4/23/2013,6.4,6.6,6.4,6.4,377000
4/24/2013,6.4,6.5,6.3,6.3,291000
4/25/2013,6.4,6.4,6.0,6.0,292000
4/28/2013,6.3,6.3,5.8,5.8,416500
4/29/2013,5.8,6.0,5.7,5.8,121500
4/30/2013,5.9,6.0,5.8,5.8,184500
5/2/2013,5.7,5.9,5.7,5.8,207500
5/5/2013,5.7,6.0,5.7,5.7,320000
5/6/2013,5.7,5.8,5.7,5.7,117500
5/7/2013,5.8,6.2,5.8,6.1,373500
5/8/2013,6.4,6.6,6.0,6.1,473000
5/9/2013,6.1,6.4,6.1,6.2,684000
5/12/2013,6.4,6.5,6.3,6.4,600500
5/13/2013,6.4,6.7,6.3,6.6,530000
5/14/2013,6.8,7.2,6.7,7.1,1443500
5/15/2013,7.1,7.2,6.7,7.0,949000
5/16/2013,7.0,7.7,7.0,7.6,740000
5/19/2013,7.7,7.8,7.3,7.4,824500
5/20/2013,7.5,7.6,7.2,7.2,837000
5/21/2013,7.3,7.4,6.9,7.0,494000
5/22/2013,7.1,7.3,6.9,7.1,451500
5/26/2013,7.5,7.5,6.9,6.9,317500
5/27/2013,7.0,7.4,7.0,7.2,421500
5/28/2013,7.3,7.6,7.3,7.4,569500
5/29/2013,7.5,7.7,7.3,7.4,557000
5/30/2013,7.6,7.6,7.4,7.4,480000
6/2/2013,7.7,7.8,7.6,7.6,764500
6/3/2013,7.9,7.9,7.5,7.5,542000
6/4/2013,7.5,7.6,7.1,7.1,598500
6/5/2013,7.1,7.5,7.0,7.3,654000
6/6/2013,7.6,7.8,7.4,7.5,775500
6/9/2013,7.8,8.0,7.3,7.4,1195500
6/10/2013,7.6,7.8,7.5,7.7,594500
6/11/2013,7.8,7.9,7.3,7.4,501500
6/12/2013,7.6,7.6,7.2,7.2,573500
6/13/2013,7.3,7.4,7.1,7.3,416000
6/16/2013,7.5,7.6,7.2,7.3,477500
6/17/2013,7.7,7.7,7.1,7.2,688500
6/18/2013,7.4,7.8,7.3,7.5,1385500
6/19/2013,7.9,7.9,7.3,7.3,518500
6/20/2013,7.5,7.5,7.2,7.2,427500
6/23/2013,7.2,7.3,6.8,6.8,649500
6/24/2013,6.9,7.0,6.7,6.9,254500
6/26/2013,7.2,7.2,6.6,6.7,707500
6/27/2013,6.8,6.9,6.6,6.6,309500
