Date,Open,High,Low,Close,Volume
10/1/2012,54.9,57.5,54.2,56.5,236000
10/2/2012,58.3,59.3,57.5,58.9,428000
10/3/2012,61.0,62.4,59.6,60.1,933500
10/4/2012,61.5,62.5,58.8,59.2,384000
10/7/2012,58.5,59.8,55.3,55.7,203500
10/8/2012,57.8,57.8,54.0,54.8,227500
10/9/2012,55.8,58.8,55.3,56.4,155000
10/10/2012,57.0,57.3,54.9,55.2,131000
10/11/2012,56.0,56.0,53.1,53.7,168000
10/14/2012,54.1,54.9,52.6,53.1,246500
10/15/2012,53.1,55.9,53.0,54.3,386000
10/16/2012,55.0,56.0,53.6,54.0,268500
10/17/2012,54.2,54.8,53.8,54.0,134000
10/18/2012,54.5,54.8,53.6,54.2,74500
10/21/2012,54.2,54.2,53.2,53.6,93000
10/22/2012,53.4,54.0,53.2,53.9,83500
10/23/2012,55.0,55.0,53.7,54.0,160000
10/30/2012,54.1,54.3,52.8,53.1,94000
10/31/2012,53.0,53.5,50.3,51.6,101000
11/1/2012,53.9,54.0,50.6,51.7,238000
11/4/2012,51.5,52.0,49.9,50.2,175000
11/5/2012,50.4,51.0,49.8,50.2,117500
11/6/2012,50.2,51.0,48.6,49.4,150500
11/7/2012,50.0,50.1,48.2,48.6,79500
11/8/2012,49.9,49.9,48.2,48.4,59500
11/11/2012,47.5,47.5,46.2,47.1,81000
11/12/2012,46.5,47.9,45.5,46.3,74500
11/13/2012,45.9,49.4,45.5,48.2,75500
11/14/2012,47.3,49.5,47.3,48.2,57500
11/15/2012,48.6,50.0,47.3,49.3,129500
11/18/2012,50.0,50.0,47.1,47.6,74000
11/19/2012,47.1,47.5,45.9,46.1,91500
11/20/2012,45.9,46.8,45.0,45.2,92500
11/21/2012,46.9,47.0,44.0,45.1,89000
11/22/2012,44.6,46.2,44.6,45.2,80500
11/26/2012,46.4,46.4,43.7,44.1,135500
11/27/2012,42.9,44.2,42.9,43.5,50500
11/28/2012,44.5,44.5,42.4,42.7,130000
11/29/2012,45.0,46.8,43.8,46.2,197000
12/2/2012,47.8,47.8,44.5,44.9,195500
12/3/2012,44.9,45.5,43.3,43.6,78500
12/4/2012,43.7,44.4,43.0,43.6,83000
12/5/2012,43.6,44.7,43.0,44.5,196000
12/6/2012,43.4,44.4,43.3,43.6,66000
12/9/2012,43.1,43.7,42.5,42.6,67000
12/10/2012,42.2,42.8,42.1,42.3,52500
12/11/2012,42.3,43.4,41.8,42.8,40000
12/12/2012,43.3,44.3,42.6,42.7,85500
12/13/2012,43.3,44.2,43.0,43.8,81500
12/17/2012,44.1,46.8,44.1,46.5,150500
12/18/2012,45.8,46.0,45.2,45.5,140500
12/19/2012,45.8,47.6,45.6,46.2,128000
12/20/2012,46.4,46.8,45.6,46.1,88000
12/23/2012,45.9,46.0,44.9,45.2,71000
12/24/2012,46.2,47.1,45.4,45.7,167500
12/26/2012,46.2,46.6,45.1,45.4,144000
12/27/2012,45.9,45.9,45.0,45.3,97500
12/30/2012,45.5,45.5,44.3,44.6,134500
1/1/2013,45.5,46.0,45.1,45.4,198000
1/2/2013,45.0,45.5,44.6,45.3,164500
1/3/2013,44.7,45.5,44.7,45.3,53000
1/6/2013,45.6,46.0,45.0,45.4,107000
1/7/2013,45.3,45.5,44.8,44.9,68000
1/8/2013,44.8,44.9,44.4,44.6,44000
1/9/2013,44.9,45.3,43.5,43.7,160500
1/10/2013,43.8,43.8,42.9,43.0,182500
1/13/2013,43.1,43.2,42.4,42.6,117000
1/14/2013,42.9,43.0,42.4,42.7,74500
1/15/2013,42.0,43.5,42.0,43.2,53000
1/16/2013,43.1,43.4,42.8,42.9,99500
1/17/2013,43.4,43.4,42.6,43.2,68500
1/20/2013,43.2,43.2,42.6,42.7,52500
1/21/2013,42.6,42.6,42.1,42.2,46000
