Date,Open,High,Low,Close,Volume
10/1/2012,88.6,88.6,81.0,83.2,50000
10/2/2012,85.0,86.9,84.4,84.6,33500
10/3/2012,87.7,87.7,84.3,84.9,61500
10/4/2012,87.5,87.5,82.5,84.7,37000
10/7/2012,88.4,88.4,83.0,83.9,22000
10/8/2012,85.0,85.0,83.6,83.7,52500
10/9/2012,86.5,86.5,83.1,84.1,31500
10/10/2012,84.0,84.0,80.0,80.8,82000
10/11/2012,80.9,83.0,78.4,79.9,95500
10/14/2012,81.2,83.4,81.0,82.3,29000
10/15/2012,84.9,84.9,82.1,83.4,21500
10/16/2012,84.6,85.0,82.4,83.0,54500
10/17/2012,84.7,84.7,82.1,82.3,39000
10/18/2012,84.6,84.9,82.0,82.5,109000
10/21/2012,84.7,84.7,80.1,80.7,13000
10/22/2012,82.9,83.0,80.0,80.2,34000
10/23/2012,83.3,83.3,80.4,80.8,18000
10/30/2012,80.9,81.0,80.5,80.9,12500
10/31/2012,75.8,78.9,75.5,77.3,299500
11/1/2012,77.5,80.0,77.5,79.6,51500
11/4/2012,82.2,82.2,78.6,79.3,17000
11/5/2012,78.1,79.9,77.6,78.5,13500
11/6/2012,79.9,79.9,76.6,77.4,7500
11/7/2012,77.0,77.5,76.7,76.9,21000
11/8/2012,77.1,77.1,75.5,76.0,8500
11/11/2012,77.0,77.5,75.0,75.9,13000
11/12/2012,75.1,75.2,75.0,75.0,9000
11/13/2012,75.7,78.0,75.7,77.0,2500
11/14/2012,79.7,79.7,76.8,77.2,76500
11/15/2012,78.8,78.8,77.3,77.6,39500
11/18/2012,78.1,79.2,76.7,77.4,28000
11/19/2012,74.0,77.0,74.0,75.2,18500
11/20/2012,74.4,74.5,73.1,73.8,21000
11/21/2012,75.0,75.0,73.6,74.0,14500
11/22/2012,74.5,74.9,73.9,74.1,35000
11/26/2012,73.2,73.2,73.0,73.1,2500
11/27/2012,73.1,73.1,72.6,72.8,19000
11/28/2012,72.6,72.6,72.0,72.4,13000
11/29/2012,74.5,76.0,74.0,75.3,34000
12/2/2012,75.0,75.0,75.0,75.0,10000
12/3/2012,73.5,73.5,73.5,73.5,500
12/4/2012,73.6,73.6,73.0,73.3,11000
12/5/2012,73.5,75.0,70.0,71.0,13500
12/6/2012,69.7,74.7,69.7,72.1,4500
12/9/2012,71.5,73.8,71.0,73.0,14500
12/10/2012,71.0,71.0,70.0,70.3,2500
12/11/2012,70.0,72.5,69.1,72.1,20000
12/12/2012,70.5,70.6,68.2,70.0,22000
12/13/2012,70.8,70.8,70.0,70.7,5500
12/17/2012,72.9,72.9,71.2,72.0,14500
12/18/2012,73.0,73.0,71.5,72.1,17000
12/19/2012,70.0,72.5,70.0,72.0,7500
12/20/2012,72.1,72.1,71.8,72.0,10500
12/23/2012,70.8,71.7,70.7,71.6,11000
12/24/2012,72.5,72.5,71.0,71.5,22500
12/26/2012,71.0,72.8,71.0,71.6,24500
12/27/2012,71.9,73.5,71.9,72.5,19500
12/30/2012,74.0,75.4,72.0,73.0,34000
1/1/2013,74.2,75.0,73.2,74.2,8000
1/2/2013,73.2,73.2,72.1,72.5,19500
1/3/2013,73.5,73.5,72.2,72.5,18500
1/6/2013,72.5,72.5,71.7,72.2,7500
1/7/2013,73.0,74.1,73.0,74.0,11000
1/8/2013,74.2,74.2,71.7,72.1,30000
1/9/2013,73.1,73.1,72.1,73.0,11000
1/10/2013,73.0,73.0,72.0,72.1,3000
1/13/2013,71.7,71.7,71.7,71.7,1000
1/14/2013,71.7,72.5,71.0,72.2,13000
1/15/2013,72.2,73.5,72.2,72.7,5500
1/16/2013,71.1,73.5,71.1,71.9,3500
1/17/2013,72.0,73.0,72.0,72.6,7500
1/21/2013,72.7,73.0,72.3,72.6,2500
1/22/2013,71.3,73.0,71.3,72.6,3500
1/23/2013,74.0,75.0,73.6,74.5,38000
1/24/2013,74.6,75.5,74.3,75.1,51500
1/27/2013,75.5,76.1,75.0,75.4,27500
1/28/2013,74.6,76.8,74.6,76.1,37500
1/29/2013,76.5,79.6,76.5,78.9,89000
1/30/2013,79.0,80.5,78.0,78.5,39000
1/31/2013,80.0,80.0,78.1,79.1,64500
2/3/2013,82.0,82.0,80.6,80.9,16000
2/4/2013,83.0,83.0,78.0,78.6,36500
2/5/2013,78.0,79.0,78.0,78.1,14000
2/6/2013,81.0,81.0,78.6,79.0,13500
2/7/2013,78.3,78.3,77.9,78.0,19000
2/10/2013,80.5,80.5,77.9,78.3,24500
2/11/2013,79.0,79.0,77.4,77.9,94000
2/12/2013,79.0,80.5,79.0,79.6,102500
2/13/2013,80.5,84.8,80.5,82.6,144500
2/14/2013,83.1,83.7,82.0,82.9,51000
2/17/2013,83.5,83.5,80.0,80.3,46000
2/18/2013,80.5,81.3,80.0,80.4,62500
2/19/2013,83.7,83.7,78.1,78.4,35000
2/20/2013,78.5,80.2,78.2,79.4,15000
2/24/2013,79.5,79.5,75.1,77.5,11500
2/25/2013,77.5,78.0,76.2,76.6,30000
2/26/2013,77.5,79.8,77.4,78.3,21000
2/27/2013,77.5,77.5,74.3,76.5,8500
2/28/2013,75.0,78.0,74.0,75.5,18000
3/3/2013,72.5,72.9,71.0,71.9,13000
3/4/2013,76.5,76.5,75.5,75.6,13000
3/5/2013,73.1,73.1,73.0,73.0,5000
3/6/2013,73.5,75.3,72.3,74.0,7500
3/7/2013,72.3,73.7,72.3,72.6,12500
3/10/2013,72.0,72.5,72.0,72.0,3000
3/11/2013,72.0,75.4,70.0,71.6,11500
3/12/2013,71.9,72.0,71.0,71.7,4500
3/13/2013,73.7,73.7,72.2,72.7,6500
3/14/2013,70.6,73.3,70.1,72.5,20000
3/18/2013,72.9,72.9,71.9,72.1,4500
3/19/2013,72.3,72.3,72.2,72.2,3500
3/20/2013,71.0,73.2,70.4,71.7,2500
3/24/2013,69.3,69.7,68.6,69.3,10500
3/25/2013,68.4,69.0,67.7,68.3,6000
3/27/2013,66.3,66.3,66.2,66.2,7000
3/28/2013,69.9,69.9,66.6,68.1,2000
3/31/2013,67.5,68.5,65.1,68.2,23000
4/1/2013,71.5,71.5,67.9,69.2,8500
4/2/2013,66.3,69.7,66.3,69.1,14000
4/3/2013,67.3,68.3,67.3,68.0,5000
4/4/2013,70.8,70.8,67.8,68.7,4500
4/7/2013,68.8,68.8,66.2,68.1,30000
4/8/2013,67.9,67.9,66.3,66.5,20000
4/9/2013,68.5,69.1,66.6,67.7,26000
4/10/2013,68.0,69.6,68.0,68.4,13500
4/11/2013,66.2,68.4,66.2,67.5,15000
4/15/2013,69.4,71.0,68.7,70.2,23500
4/16/2013,68.0,68.0,67.5,67.7,11000
4/17/2013,68.6,68.6,66.2,67.4,11000
4/18/2013,68.0,70.0,66.7,68.5,7500
4/21/2013,68.2,68.3,68.2,68.2,4500
4/22/2013,68.7,68.7,68.7,68.7,4000
4/23/2013,66.8,66.8,66.5,66.7,2000
4/24/2013,66.0,66.0,65.9,65.9,6500
4/25/2013,66.8,67.3,65.6,66.6,15000
4/28/2013,69.9,69.9,66.1,67.0,5500
4/29/2013,67.7,67.7,66.0,66.3,2500
4/30/2013,67.7,68.0,65.2,66.0,25000
5/2/2013,67.0,67.7,66.6,67.0,17500
5/5/2013,70.5,70.5,67.4,67.8,8500
5/6/2013,67.5,67.5,66.9,67.1,10000
5/7/2013,67.6,67.9,67.4,67.7,2000
5/8/2013,67.0,68.1,67.0,67.6,8000
5/9/2013,67.8,69.9,67.0,67.3,93000
5/12/2013,69.0,73.9,69.0,71.1,67000
5/13/2013,71.1,72.5,70.5,71.1,68000
5/14/2013,71.2,74.5,71.1,74.0,184000
5/16/2013,62.1,67.5,60.1,67.2,150000
5/19/2013,67.9,71.9,67.9,70.2,275500
5/20/2013,71.0,73.6,70.7,71.4,236500
5/21/2013,71.1,72.2,68.3,70.6,223500
5/22/2013,71.0,75.0,69.0,71.4,289000
5/26/2013,71.9,73.0,66.7,67.5,161000
5/27/2013,69.4,70.6,68.6,69.2,92000
5/28/2013,72.8,72.8,68.4,69.0,26500
5/29/2013,70.5,70.8,68.7,70.4,82500
5/30/2013,71.5,71.5,68.6,68.9,35000
6/2/2013,73.8,73.8,69.5,71.1,223000
6/3/2013,72.5,74.0,70.6,72.2,326500
6/4/2013,72.1,74.8,70.7,71.1,207000
6/5/2013,72.0,72.0,69.5,70.2,201000
6/6/2013,70.1,70.1,68.0,68.3,95000
6/9/2013,68.7,69.0,65.5,67.1,57000
