Date,Open,High,Low,Close,Volume
10/1/2012,8.0,8.6,7.5,8.4,3702000
10/2/2012,8.6,9.2,8.5,9.1,10774000
10/3/2012,10.0,10.0,8.6,8.8,7983000
10/4/2012,9.0,9.3,8.2,9.0,4050500
10/7/2012,9.0,9.3,8.1,8.1,3198500
10/8/2012,7.7,8.4,7.3,7.5,3039000
10/9/2012,8.0,8.2,7.8,8.2,1919500
10/10/2012,8.5,8.8,7.8,7.9,1331000
10/11/2012,8.0,8.1,7.6,7.7,1098000
10/14/2012,8.0,8.0,7.6,7.6,1408000
10/15/2012,7.7,8.3,7.4,8.2,2314000
10/16/2012,8.4,8.6,7.9,8.0,1573500
10/17/2012,8.0,8.3,7.9,8.0,898000
10/18/2012,8.1,8.3,8.0,8.0,997000
10/21/2012,8.1,8.1,7.8,7.8,727500
10/22/2012,7.8,8.0,7.7,7.8,583500
10/23/2012,7.8,8.2,7.8,7.9,980500
10/30/2012,8.1,8.1,7.8,7.9,436500
10/31/2012,7.8,8.2,7.8,7.9,1028500
11/1/2012,8.0,8.1,7.8,7.8,472500
11/4/2012,7.6,7.9,7.6,7.6,524500
11/5/2012,7.7,7.9,7.5,7.7,763500
11/6/2012,7.8,8.2,7.8,8.0,2185500
11/7/2012,8.2,8.4,8.0,8.0,1139000
11/8/2012,7.9,8.0,7.8,7.8,850000
11/11/2012,7.9,7.9,7.3,7.5,1553500
11/12/2012,7.6,7.7,7.1,7.2,900500
11/13/2012,7.4,7.5,7.1,7.3,829500
11/14/2012,7.5,7.5,7.2,7.2,971000
11/15/2012,7.3,7.9,7.1,7.7,1421000
11/18/2012,8.0,8.2,7.5,7.6,919000
11/19/2012,7.5,7.7,7.3,7.3,630000
11/20/2012,7.3,7.6,7.3,7.3,690500
11/21/2012,7.3,7.7,7.3,7.3,493000
11/22/2012,7.5,7.5,7.3,7.3,1185500
11/26/2012,7.4,7.4,7.1,7.2,885000
11/27/2012,7.2,7.4,7.1,7.2,536500
11/28/2012,7.3,7.4,7.0,7.0,597500
11/29/2012,7.4,7.7,7.2,7.6,1554000
12/2/2012,7.8,7.9,7.4,7.4,1222000
12/3/2012,7.5,7.5,7.2,7.2,959500
12/4/2012,7.2,7.3,7.1,7.2,546000
12/5/2012,7.4,7.4,7.0,7.1,1039000
12/6/2012,7.1,7.2,7.0,7.0,443500
12/9/2012,6.9,7.0,6.9,6.9,343500
12/10/2012,6.9,6.9,6.8,6.8,347000
12/11/2012,6.8,7.3,6.7,7.1,680500
12/12/2012,7.1,7.3,7.0,7.0,961500
12/13/2012,7.0,7.1,6.9,7.0,689500
12/17/2012,7.1,7.3,7.1,7.2,471000
12/18/2012,7.3,7.3,7.0,7.0,481000
12/19/2012,7.0,7.1,7.0,7.0,347000
12/20/2012,7.2,7.2,7.0,7.0,404000
12/23/2012,7.1,7.1,6.8,6.9,1051500
12/24/2012,6.8,7.3,6.8,7.1,1106500
12/26/2012,7.2,7.3,7.0,7.1,513000
12/27/2012,6.9,7.2,6.9,7.1,647500
12/30/2012,7.1,7.3,7.1,7.2,1044500
1/1/2013,7.2,7.3,7.1,7.1,1049500
1/2/2013,7.1,7.2,7.0,7.1,918000
1/3/2013,7.3,7.8,7.3,7.8,6301500
1/6/2013,8.0,8.2,7.6,7.6,2007000
1/7/2013,7.6,7.6,7.3,7.5,1227500
1/8/2013,7.6,7.7,7.3,7.4,1230500
1/9/2013,8.0,8.0,7.4,7.4,4068500
1/10/2013,7.4,7.4,7.1,7.1,1548500
1/13/2013,7.0,7.1,6.9,6.9,2594500
1/14/2013,7.0,7.1,6.9,7.0,781000
1/15/2013,7.1,7.1,6.9,7.0,1227000
1/16/2013,7.0,7.1,7.0,7.0,479500
1/17/2013,7.1,7.1,7.0,7.0,913000
1/20/2013,7.1,7.1,6.9,6.9,713500
1/21/2013,7.0,7.0,6.9,6.9,531500
1/22/2013,6.9,7.0,6.7,6.7,2791000
1/23/2013,6.8,6.9,6.7,6.7,694500
1/24/2013,6.8,6.8,6.7,6.7,1620500
1/27/2013,6.7,6.8,6.6,6.6,657000
1/28/2013,6.8,6.8,6.6,6.7,937500
1/29/2013,6.7,6.9,6.7,6.8,1408000
1/30/2013,6.9,7.0,6.7,6.7,771000
1/31/2013,6.9,6.9,6.7,6.7,619000
2/3/2013,6.7,6.8,6.6,6.6,1071000
2/4/2013,6.7,6.8,6.6,6.6,872500
2/5/2013,6.8,6.8,6.6,6.7,333500
2/6/2013,6.7,6.9,6.7,6.8,620500
2/7/2013,6.8,6.9,6.8,6.8,937500
2/10/2013,7.0,7.0,6.8,6.9,541000
2/11/2013,7.0,7.1,6.9,6.9,867000
2/12/2013,7.0,7.1,6.9,6.9,1749000
2/13/2013,6.8,6.9,6.7,6.7,495000
2/14/2013,6.7,6.9,6.7,6.7,1028500
2/17/2013,6.8,6.8,6.6,6.6,925500
2/18/2013,6.7,6.7,6.6,6.6,965500
2/19/2013,6.6,6.6,6.5,6.5,1003500
2/20/2013,6.5,6.6,6.5,6.5,296500
2/24/2013,6.6,6.6,6.4,6.4,339500
2/25/2013,6.4,6.5,6.2,6.2,435000
2/26/2013,6.5,6.5,6.1,6.1,856000
2/27/2013,6.2,6.2,5.9,5.9,862000
2/28/2013,6.1,6.1,5.9,5.9,292500
3/3/2013,5.8,6.0,5.5,5.6,449500
3/4/2013,5.6,5.8,5.6,5.7,269000
3/5/2013,5.8,5.9,5.6,5.6,735500
3/6/2013,5.7,5.7,5.5,5.5,496000
3/7/2013,5.5,5.6,5.4,5.5,801500
3/10/2013,5.5,5.6,5.4,5.4,1130500
3/11/2013,5.4,5.4,5.2,5.3,682500
3/12/2013,5.3,5.4,5.2,5.3,459000
3/13/2013,5.4,5.5,5.4,5.4,473000
3/14/2013,5.5,5.5,5.3,5.3,381500
3/18/2013,5.3,5.5,5.3,5.3,282000
3/19/2013,5.4,5.5,5.4,5.4,72000
3/20/2013,5.4,5.5,5.3,5.3,473000
3/24/2013,5.3,5.3,5.2,5.2,170000
3/25/2013,5.2,5.3,5.1,5.1,358500
3/27/2013,5.1,5.1,5.0,5.0,265500
3/28/2013,5.0,5.1,5.0,5.0,95500
3/31/2013,5.1,5.1,5.0,5.0,333500
4/1/2013,5.0,5.0,4.8,4.8,482500
4/2/2013,5.0,5.0,4.8,4.9,83500
4/3/2013,4.9,5.0,4.8,4.9,396000
4/4/2013,4.9,5.0,4.9,4.9,494000
4/7/2013,4.9,5.3,4.9,5.2,1894000
4/8/2013,5.2,5.7,5.1,5.7,2519000
4/9/2013,5.7,6.1,5.6,5.6,1687500
4/10/2013,5.5,6.1,5.5,6.0,2662500
4/11/2013,6.0,6.3,5.9,5.9,1972500
4/15/2013,6.0,6.1,5.8,5.8,1349500
4/16/2013,5.8,5.8,5.5,5.5,1047000
4/17/2013,5.6,6.0,5.4,5.8,1467000
4/18/2013,6.0,6.3,6.0,6.2,5053500
4/21/2013,6.3,6.5,5.9,6.0,1199500
4/22/2013,5.9,6.3,5.8,6.0,1765500
4/23/2013,6.1,6.3,6.0,6.1,2079000
4/24/2013,6.2,6.2,5.9,6.0,737000
4/25/2013,6.2,6.5,5.9,5.9,1392500
4/28/2013,6.0,6.0,5.7,5.7,692500
4/29/2013,5.8,5.9,5.6,5.8,700500
4/30/2013,5.8,5.9,5.7,5.8,1008000
5/2/2013,5.8,5.9,5.7,5.8,1086000
5/5/2013,5.8,5.9,5.7,5.7,1223000
5/6/2013,5.8,5.8,5.7,5.7,334000
5/7/2013,5.8,6.0,5.7,5.8,1529500
5/8/2013,6.1,6.3,5.9,6.0,2122500
5/9/2013,6.0,6.2,6.0,6.1,1469000
5/12/2013,6.2,6.5,6.2,6.4,2022500
5/13/2013,6.5,6.5,6.2,6.4,1933500
5/14/2013,6.5,7.0,6.5,6.9,4787000
5/15/2013,6.9,7.0,6.5,6.6,2979000
5/16/2013,6.7,7.2,6.7,7.1,4732000
5/19/2013,7.2,7.5,7.1,7.2,3218000
5/20/2013,7.2,7.4,7.0,7.2,4742000
5/21/2013,7.4,7.4,7.0,7.1,4426000
5/22/2013,7.1,7.5,7.0,7.2,4547000
5/26/2013,7.3,7.4,6.9,6.9,2699500
5/27/2013,7.0,7.3,7.0,7.2,1753000
5/28/2013,7.4,7.7,7.3,7.5,5764000
5/29/2013,7.6,7.8,7.4,7.6,3872500
5/30/2013,7.8,7.9,7.6,7.8,4812000
6/2/2013,8.0,8.2,7.9,8.0,5412500
6/3/2013,8.2,8.2,7.9,7.9,5569500
6/4/2013,8.0,8.1,7.6,7.6,3556000
6/5/2013,7.6,8.1,7.6,7.8,2959000
6/6/2013,8.1,8.1,7.8,7.8,3374000
6/9/2013,8.1,8.5,7.7,7.7,6337000
6/10/2013,7.8,8.3,7.8,8.2,3998500
6/11/2013,8.3,8.5,8.1,8.1,3918000
6/12/2013,8.1,8.3,7.8,7.8,4046500
6/13/2013,8.0,8.3,7.8,8.1,4069000
6/16/2013,8.0,8.2,7.9,7.9,3874000
6/17/2013,8.2,8.2,7.9,7.9,3477500
6/18/2013,8.2,8.6,8.0,8.4,7064000
6/19/2013,8.5,8.7,8.1,8.1,4722500
6/20/2013,8.1,8.4,7.9,7.9,2388000
6/23/2013,8.0,8.1,7.7,7.7,1844000
6/24/2013,7.7,7.9,7.6,7.7,1694500
6/26/2013,7.7,8.0,7.6,7.6,1580000
6/27/2013,7.7,7.8,7.5,7.5,1639000
6/30/2013,7.7,7.7,7.3,7.3,1060000
7/2/2013,7.5,7.9,7.5,7.8,1935500
7/3/2013,7.8,8.0,7.4,7.5,2255500
7/4/2013,7.6,7.7,7.5,7.5,2183500
7/7/2013,7.8,8.0,7.7,7.9,2127500
7/8/2013,8.0,8.1,7.7,7.8,1600500
7/9/2013,7.9,7.9,7.5,7.5,2450000
7/10/2013,7.6,7.8,7.5,7.5,2839000
7/11/2013,7.8,7.8,7.3,7.4,2089000
7/14/2013,7.7,7.7,7.2,7.2,1181500
7/15/2013,7.3,7.4,6.8,6.9,1560500
7/16/2013,7.2,7.5,7.1,7.3,1447000
7/17/2013,7.4,7.4,7.0,7.1,585000
7/18/2013,7.2,7.4,6.9,7.0,2035500
7/21/2013,7.1,7.2,6.9,7.0,731500
7/22/2013,7.1,7.2,6.9,7.0,1414000
7/23/2013,7.2,7.3,6.8,6.9,1180000
7/24/2013,7.0,7.5,6.8,7.5,2096000
7/25/2013,8.0,8.0,7.0,7.1,3315500
7/28/2013,7.1,7.2,6.8,6.8,689500
7/29/2013,6.9,7.1,6.9,6.9,494000
7/30/2013,7.0,7.0,6.7,6.7,991000
7/31/2013,6.7,6.8,6.3,6.4,801500
8/1/2013,6.4,6.4,6.2,6.3,661000
8/4/2013,6.3,6.5,6.2,6.4,944000
8/5/2013,6.5,6.6,6.4,6.5,477500
8/12/2013,6.3,6.3,6.1,6.2,392500
8/13/2013,6.3,6.6,6.2,6.4,789500
8/14/2013,6.4,6.4,6.1,6.2,1679500
8/18/2013,6.2,6.3,6.1,6.2,967500
8/19/2013,6.2,6.4,6.1,6.3,985500
8/20/2013,6.3,6.4,6.1,6.1,675500
8/21/2013,6.1,6.2,6.0,6.1,731500
8/22/2013,6.1,6.4,6.0,6.2,1123000
