Date,Open,High,Low,Close,Volume
10/1/2012,75.0,75.0,71.0,72.0,7500
10/2/2012,73.0,73.9,71.1,71.9,19500
10/3/2012,73.9,74.0,71.6,72.0,24100
10/4/2012,72.0,72.0,71.5,71.5,18400
10/7/2012,70.4,70.5,70.1,70.3,4100
10/8/2012,70.1,70.8,69.9,70.3,16500
10/9/2012,75.1,75.1,66.1,69.7,23500
10/10/2012,76.0,76.0,69.5,70.0,9900
10/11/2012,74.0,74.0,67.7,68.7,15000
10/14/2012,68.5,68.5,68.5,68.5,5000
10/15/2012,70.5,70.5,67.5,67.7,2700
10/16/2012,68.0,70.0,67.6,68.1,8000
10/17/2012,68.3,68.3,68.0,68.0,14600
10/18/2012,72.0,72.0,68.0,68.1,8400
10/21/2012,66.1,69.0,66.1,66.5,1000
10/22/2012,70.0,70.0,68.0,69.4,8100
10/23/2012,73.5,73.5,69.4,69.9,3000
10/30/2012,69.0,70.5,68.6,68.8,10100
10/31/2012,69.0,69.0,67.4,68.0,2500
11/1/2012,68.2,68.2,66.5,68.0,10300
11/4/2012,67.5,67.5,67.0,67.0,9400
11/5/2012,69.8,69.8,66.3,67.6,1900
11/6/2012,69.4,69.4,67.0,67.0,3900
11/7/2012,67.0,67.0,67.0,67.0,100
11/8/2012,65.0,65.0,63.0,63.3,1900
11/11/2012,63.9,63.9,62.6,62.7,3200
11/12/2012,62.5,62.8,62.5,62.6,200
11/13/2012,61.0,63.0,60.5,61.3,1500
11/14/2012,61.1,61.5,61.0,61.1,7100
11/19/2012,62.0,62.0,60.5,60.9,1300
11/20/2012,60.1,60.1,60.0,60.0,500
11/21/2012,60.0,60.0,59.0,59.5,1400
11/22/2012,60.0,60.0,57.0,57.6,21500
11/26/2012,55.5,57.0,55.3,56.0,1200
11/27/2012,57.0,57.0,55.4,56.2,1000
11/28/2012,54.5,56.1,54.0,54.4,1800
11/29/2012,56.5,58.0,56.5,57.8,3400
12/2/2012,56.6,56.6,55.0,55.7,2400
12/3/2012,55.1,55.1,53.3,54.2,900
12/4/2012,54.0,55.9,54.0,55.1,1600
12/5/2012,55.0,55.1,54.0,54.4,1300
12/6/2012,54.9,54.9,54.9,54.9,800
12/9/2012,53.0,53.0,52.3,52.6,900
12/10/2012,50.6,51.9,50.5,50.9,4200
12/11/2012,50.2,50.2,50.2,50.2,200
12/13/2012,52.0,52.0,52.0,52.0,500
12/17/2012,55.6,55.8,55.0,55.4,2700
12/18/2012,53.5,53.5,53.5,53.5,100
12/19/2012,54.0,54.5,53.0,53.3,15300
12/23/2012,52.7,52.7,52.7,52.7,300
12/24/2012,52.8,52.8,52.8,52.8,400
12/26/2012,53.1,55.0,53.1,54.2,1600
12/27/2012,53.2,58.5,53.2,57.1,5300
12/30/2012,59.5,62.8,58.5,62.4,25100
1/1/2013,58.1,59.2,58.1,58.8,500
1/2/2013,57.0,60.0,57.0,58.8,2200
1/3/2013,61.0,61.0,58.3,60.2,3300
1/6/2013,59.3,59.3,58.3,58.8,200
1/7/2013,58.8,58.8,57.3,58.4,2000
1/8/2013,57.2,57.3,57.2,57.2,8000
1/9/2013,56.5,57.2,56.5,57.1,3000
1/10/2013,57.2,57.2,56.4,57.1,6900
1/13/2013,57.3,61.7,57.3,57.6,6100
1/15/2013,56.1,56.3,56.0,56.1,800
1/16/2013,57.0,57.0,57.0,57.0,300
1/17/2013,57.4,57.5,57.4,57.4,600
1/20/2013,57.6,57.6,57.5,57.5,300
1/21/2013,56.0,56.0,55.5,55.7,1000
1/23/2013,59.8,59.9,57.8,58.4,1500
1/24/2013,58.0,58.9,58.0,58.3,11400
1/27/2013,60.0,60.0,58.0,58.5,10300
1/28/2013,60.0,60.0,58.0,58.0,4200
1/29/2013,58.3,59.5,58.3,58.9,9800
1/30/2013,59.2,59.3,58.9,59.1,6400
1/31/2013,58.9,61.9,58.9,61.6,6600
2/3/2013,62.0,66.0,62.0,63.4,8600
2/4/2013,63.5,63.6,62.5,63.0,8200
2/5/2013,63.9,63.9,62.6,62.9,7300
2/6/2013,62.5,62.5,62.1,62.3,8000
2/7/2013,61.5,62.4,61.5,61.5,3200
2/10/2013,62.0,63.0,62.0,62.1,6400
2/11/2013,62.9,63.2,62.2,62.9,6900
2/12/2013,63.0,65.0,63.0,63.9,16100
2/13/2013,63.9,64.0,63.1,63.3,4300
2/14/2013,64.5,65.4,63.5,64.9,20600
2/17/2013,64.5,65.5,64.5,64.8,8000
2/18/2013,65.9,65.9,64.0,64.9,3600
2/19/2013,64.5,66.0,63.2,65.9,21600
2/20/2013,66.0,67.2,63.5,64.8,14600
2/24/2013,66.7,66.7,63.1,63.9,800
2/25/2013,63.0,63.0,59.0,60.2,1400
2/26/2013,60.1,62.9,60.1,62.1,2700
2/27/2013,63.0,64.0,61.6,63.2,11000
2/28/2013,62.0,62.5,61.2,61.9,4700
3/3/2013,56.0,56.2,56.0,56.0,500
3/4/2013,60.0,60.0,57.0,58.6,1400
3/5/2013,59.0,59.0,59.0,59.0,5100
3/6/2013,59.0,59.0,55.4,56.2,2800
3/7/2013,54.1,61.0,54.1,59.0,10500
3/10/2013,60.0,60.0,57.4,58.0,400
3/11/2013,58.0,58.0,57.0,57.8,600
3/12/2013,55.0,57.0,55.0,55.9,3000
3/13/2013,58.8,59.3,57.1,58.0,9900
3/14/2013,58.1,60.0,58.1,58.5,9700
3/19/2013,56.8,56.8,56.8,56.8,400
3/20/2013,60.0,60.0,56.6,57.9,600
3/24/2013,54.3,59.0,54.3,55.6,700
3/25/2013,55.0,56.0,53.7,55.7,4300
3/28/2013,53.6,53.6,53.5,53.5,500
3/31/2013,54.9,54.9,54.9,54.9,100
4/1/2013,53.5,53.5,52.0,52.2,600
4/2/2013,51.0,51.3,51.0,51.0,3800
4/3/2013,50.7,51.0,50.5,50.7,1400
4/4/2013,51.0,51.0,49.2,49.6,700
4/7/2013,49.0,50.1,49.0,49.9,2800
4/8/2013,50.8,50.8,49.5,49.7,1100
4/9/2013,52.5,52.5,51.6,51.6,4200
4/10/2013,52.3,53.3,51.5,52.1,7600
4/11/2013,52.9,52.9,51.6,52.5,4200
4/15/2013,52.0,52.0,50.5,50.6,20100
4/16/2013,52.0,52.0,49.0,50.5,5500
4/17/2013,52.0,52.2,51.3,51.9,16700
4/18/2013,52.0,53.0,52.0,52.8,6700
4/21/2013,52.0,52.0,50.1,51.0,700
4/22/2013,51.4,52.0,51.0,51.0,14900
4/23/2013,51.0,51.3,49.7,49.9,25200
4/25/2013,42.8,43.1,42.1,42.6,3100
4/28/2013,41.0,42.4,41.0,42.0,58700
4/29/2013,42.3,42.3,41.7,41.9,22500
4/30/2013,45.0,45.0,42.5,42.9,27400
5/2/2013,42.0,43.5,40.6,41.9,22200
5/5/2013,42.2,42.2,41.5,41.8,5900
5/6/2013,41.5,41.8,41.5,41.6,500
5/7/2013,42.0,42.0,41.7,41.8,14400
5/8/2013,43.9,43.9,42.0,42.0,6800
5/9/2013,43.1,43.1,42.5,42.5,12400
5/12/2013,44.4,44.4,43.0,43.3,11200
5/13/2013,44.5,44.6,43.2,43.2,12000
5/14/2013,44.4,47.5,44.4,47.5,47300
5/15/2013,52.0,52.2,49.0,52.2,73400
5/16/2013,53.7,57.4,53.7,57.3,53200
5/19/2013,58.0,58.0,54.2,57.3,47200
5/20/2013,56.5,57.2,55.5,56.3,31400
5/21/2013,56.0,57.1,55.0,55.4,34000
5/22/2013,55.1,55.1,53.5,54.2,5000
5/26/2013,53.5,53.6,53.5,53.5,4400
5/27/2013,56.9,57.0,54.3,56.7,2100
5/28/2013,56.1,56.1,55.5,55.8,14000
5/29/2013,61.1,61.1,55.8,56.3,6900
5/30/2013,57.6,57.6,56.5,56.6,8600
6/2/2013,56.7,59.0,56.7,58.0,3500
6/3/2013,58.0,59.1,58.0,58.0,6400
6/4/2013,59.0,59.5,58.5,58.7,13500
6/5/2013,58.2,59.9,58.2,59.5,16200
6/6/2013,60.0,61.0,57.3,58.9,48700
6/9/2013,56.1,56.1,56.0,56.0,3600
6/10/2013,58.0,58.8,56.8,57.9,13400
6/11/2013,58.1,59.0,58.0,58.8,13600
6/12/2013,58.5,60.0,58.5,59.0,27200
6/13/2013,59.3,61.3,59.3,60.1,18400
6/16/2013,61.0,62.0,61.0,61.0,5000
6/17/2013,61.9,61.9,60.2,61.4,19300
6/18/2013,61.0,61.0,58.6,59.0,22500
6/19/2013,60.0,61.9,60.0,61.3,39500
6/20/2013,60.0,62.0,60.0,60.4,34500
6/23/2013,63.0,63.0,60.5,60.5,23400
6/24/2013,60.6,62.3,59.2,60.0,16200
6/26/2013,60.2,61.1,60.2,60.5,8900
6/27/2013,60.9,61.0,58.0,58.3,64600
6/30/2013,59.9,59.9,58.0,58.6,300
7/2/2013,58.8,59.9,57.0,58.8,45700
7/3/2013,59.0,59.5,57.8,58.0,61700
7/4/2013,60.0,61.6,60.0,61.4,82800
7/7/2013,61.0,62.0,59.8,59.8,10300
7/8/2013,61.0,61.0,56.0,56.5,84500
7/9/2013,58.2,60.8,58.1,59.5,71900
7/10/2013,61.8,61.8,58.0,59.3,31400
7/11/2013,59.0,59.8,58.5,58.8,23700
7/14/2013,59.0,59.5,59.0,59.2,26000
7/15/2013,59.9,62.0,59.7,60.6,38000
7/16/2013,62.0,65.8,60.3,62.2,71400
7/17/2013,64.4,68.4,62.2,68.1,209900
7/18/2013,70.0,72.0,66.1,67.0,104400
7/21/2013,66.1,69.0,63.2,63.7,52800
7/22/2013,60.7,65.0,60.7,62.0,26200
7/23/2013,61.1,62.9,60.0,60.3,48800
7/24/2013,63.0,63.0,59.0,61.1,30500
7/25/2013,59.0,59.5,58.0,58.0,76600
7/28/2013,58.0,58.0,55.1,56.6,3900
7/29/2013,57.9,59.0,57.2,58.0,6500
7/30/2013,55.7,58.0,55.6,56.3,16000
7/31/2013,56.4,57.7,56.0,56.2,20900
8/1/2013,56.0,56.3,55.6,55.7,3700
8/4/2013,55.5,56.0,54.5,55.0,19400
8/5/2013,57.0,57.0,56.0,56.1,5500
8/12/2013,56.0,56.0,55.0,55.2,800
8/13/2013,56.2,58.7,56.2,57.8,7700
8/14/2013,56.5,56.5,56.5,56.5,17100
8/18/2013,58.4,58.4,58.1,58.3,15800
8/19/2013,58.2,59.0,57.0,57.2,17400
8/20/2013,58.2,58.2,56.6,57.2,33800
8/21/2013,56.0,57.5,56.0,56.9,28000
8/22/2013,56.9,58.0,56.6,57.3,18500
8/25/2013,59.0,61.0,57.7,60.7,88800
8/26/2013,61.5,61.8,60.2,60.6,23900
8/27/2013,62.0,62.0,59.6,60.1,21000
8/29/2013,61.8,61.8,58.3,59.2,39100
9/1/2013,58.2,61.5,58.2,58.5,19400
9/2/2013,58.4,59.0,58.2,58.3,10400
9/3/2013,58.3,58.7,58.0,58.0,6100
9/4/2013,58.3,58.9,57.5,58.3,18000
9/5/2013,57.5,58.9,56.6,57.2,33300
9/8/2013,56.1,60.0,56.1,58.1,3400
9/9/2013,60.0,60.4,58.0,58.4,3400
9/10/2013,60.0,60.5,58.5,58.6,4600
9/11/2013,60.2,60.5,58.9,59.7,15200
9/12/2013,60.0,62.9,59.8,60.5,52000
9/15/2013,63.7,63.8,60.0,62.3,48200
9/16/2013,62.0,65.8,61.1,63.3,102400
9/17/2013,63.0,67.0,60.7,60.9,59400
9/18/2013,61.5,61.5,59.1,60.0,25700
9/19/2013,59.0,60.0,59.0,59.5,19400
9/22/2013,59.2,60.1,58.2,58.7,16600
9/23/2013,58.0,60.5,58.0,60.0,55200
9/24/2013,60.4,63.8,58.6,59.7,65300
9/25/2013,61.9,62.0,58.7,59.2,4400
9/26/2013,58.6,59.5,58.0,58.3,19800
9/29/2013,58.9,58.9,56.8,57.9,7100
9/30/2013,55.8,56.4,55.7,55.9,21300
10/1/2013,56.0,60.6,55.8,57.3,27400
10/2/2013,57.0,59.5,56.7,57.6,14700
10/3/2013,57.6,57.9,56.6,56.8,22700
10/6/2013,55.0,56.5,55.0,56.0,34600
10/7/2013,55.1,55.3,55.0,55.0,12100
10/8/2013,55.2,55.2,54.0,54.4,26400
10/9/2013,54.9,55.1,54.7,55.0,11300
10/10/2013,55.1,55.1,54.5,54.6,14900
10/20/2013,53.0,53.6,53.0,53.0,4900
10/21/2013,52.0,54.8,51.8,52.7,5900
10/22/2013,54.4,54.4,52.7,52.9,9400
10/23/2013,53.9,53.9,53.0,53.1,11400
10/24/2013,52.6,53.9,52.6,53.0,6000
10/27/2013,54.0,54.8,53.6,54.2,6100
10/28/2013,54.9,55.9,54.9,55.1,41900
10/29/2013,55.0,56.4,54.6,55.5,33300
10/30/2013,55.1,55.1,54.5,54.5,4200
10/31/2013,55.1,59.0,53.2,58.5,66700
11/3/2013,63.3,63.3,58.3,61.9,61400
11/4/2013,59.6,60.9,59.0,60.2,13300
11/5/2013,59.3,61.7,57.1,58.2,208100
11/6/2013,60.7,60.7,57.0,57.5,35400
11/7/2013,59.6,59.7,59.0,59.3,10700
11/10/2013,59.7,61.7,59.2,59.5,24600
11/11/2013,60.0,60.0,58.9,58.9,39700
11/12/2013,59.7,59.7,57.8,57.8,16500
11/13/2013,58.3,58.3,57.5,57.6,11400
11/14/2013,57.7,57.9,57.6,57.8,15800
11/17/2013,58.0,60.2,58.0,59.8,29300
11/18/2013,60.0,60.5,60.0,60.3,49500
11/19/2013,60.2,61.0,59.8,60.6,23600
11/20/2013,61.3,62.8,60.6,61.5,68500
11/21/2013,62.0,62.0,60.0,60.6,26900
11/24/2013,60.6,61.1,59.9,60.0,27100
11/25/2013,59.9,60.5,59.0,59.1,28500
11/26/2013,59.1,60.0,58.5,59.0,6300
11/27/2013,58.2,58.3,57.0,57.7,3700
12/1/2013,56.5,56.5,56.4,56.4,1100
12/2/2013,57.6,59.0,57.2,57.6,5500
12/3/2013,57.0,59.5,56.0,58.8,15600
12/4/2013,58.6,58.7,58.5,58.5,1400
12/5/2013,58.0,58.0,57.0,57.0,8000
12/8/2013,56.2,58.7,56.2,57.6,14300
12/9/2013,57.5,58.6,57.5,57.7,6000
12/10/2013,57.7,58.7,57.1,58.0,16500
12/11/2013,58.0,59.6,56.9,57.0,87000
12/12/2013,58.0,61.0,57.0,58.4,277100
12/15/2013,59.0,59.0,57.0,57.2,18400
12/17/2013,57.2,57.4,55.1,56.0,37100
12/18/2013,57.5,57.5,54.1,54.5,77400
12/19/2013,54.6,56.3,54.6,56.1,15900
12/22/2013,55.6,56.8,54.5,54.7,69700
12/23/2013,56.0,56.0,54.0,54.2,193700
12/24/2013,55.9,56.0,53.3,53.3,275600
12/26/2013,55.2,55.2,53.3,53.4,35300
12/29/2013,53.4,54.2,52.5,52.6,98900
12/30/2013,54.2,54.2,53.2,53.8,43900
1/1/2014,54.0,54.8,53.6,53.7,27700
1/2/2014,53.7,54.0,53.0,53.0,75900
1/6/2014,54.9,54.9,52.9,53.2,42900
1/7/2014,54.2,54.2,53.0,53.4,24100
1/8/2014,54.0,54.3,53.6,53.8,37400
1/9/2014,54.1,55.3,53.7,54.7,59500
1/12/2014,55.1,57.3,55.1,55.6,125700
