Date,Open,High,Low,Close,Volume
3/3/2013,81.3,106.0,81.3,103.5,4817600
3/4/2013,105.0,118.0,105.0,115.0,1463400
3/5/2013,122.0,124.6,108.1,109.8,581000
3/6/2013,108.0,116.8,105.1,111.0,2579600
3/7/2013,108.0,111.7,105.2,106.7,943800
3/10/2013,106.8,109.3,96.1,96.3,952200
3/11/2013,94.0,97.0,86.7,91.5,1170000
3/12/2013,86.7,91.6,84.2,87.0,501200
3/13/2013,89.8,92.8,87.2,87.7,594800
3/14/2013,89.0,90.0,79.3,80.8,932400
3/18/2013,82.0,86.8,81.1,85.2,482800
3/19/2013,86.0,86.3,83.7,85.1,540400
3/20/2013,84.9,84.9,80.0,80.3,458800
3/24/2013,80.4,81.6,74.2,74.9,446400
3/25/2013,74.9,76.9,70.1,71.8,452400
3/27/2013,71.0,71.0,65.4,67.5,592800
3/28/2013,68.0,73.9,68.0,73.5,425400
3/31/2013,73.0,77.8,70.7,75.6,740000
4/1/2013,73.0,75.0,72.2,74.4,688000
4/2/2013,74.0,81.8,74.0,81.1,746400
4/3/2013,82.5,85.9,81.1,82.8,958600
4/4/2013,81.5,85.4,80.6,84.9,961400
4/7/2013,85.0,88.1,83.4,86.9,856000
4/8/2013,85.0,87.0,83.1,84.3,752800
4/9/2013,84.0,90.4,83.0,89.1,1156200
4/10/2013,91.0,91.5,85.6,87.0,649200
4/11/2013,86.0,93.1,85.8,90.4,928400
4/15/2013,91.4,94.5,91.4,92.5,863400
4/16/2013,91.0,92.3,86.5,87.5,715400
4/17/2013,87.2,90.4,86.1,87.5,461200
4/18/2013,87.0,88.8,85.0,85.9,491800
4/21/2013,83.0,87.8,83.0,83.6,470000
4/22/2013,82.0,84.5,82.0,82.5,199600
4/23/2013,82.9,85.9,82.9,84.3,272000
4/24/2013,85.6,86.8,84.6,85.2,247600
4/25/2013,85.8,86.0,84.4,85.0,191200
4/28/2013,86.6,86.6,81.8,82.2,154200
4/29/2013,83.5,84.8,80.5,84.3,256600
4/30/2013,84.3,85.0,82.2,82.6,135200
5/2/2013,84.0,87.5,81.6,86.5,417000
5/5/2013,85.0,86.0,84.4,84.7,183600
5/6/2013,84.0,84.6,82.7,83.7,107800
5/7/2013,84.4,85.3,84.0,84.7,157600
5/8/2013,83.2,87.8,83.2,85.7,231800
5/9/2013,87.0,87.8,84.4,87.2,317400
5/12/2013,89.9,89.9,87.5,88.1,204600
5/13/2013,89.8,89.9,86.8,87.4,304200
5/14/2013,88.8,91.0,88.1,89.4,697600
5/15/2013,91.0,91.0,88.0,88.4,333800
5/16/2013,88.4,90.0,88.4,89.7,474400
5/19/2013,91.0,95.3,91.0,94.3,816600
5/20/2013,95.0,95.7,91.0,91.3,469400
5/21/2013,91.3,92.6,89.5,90.2,355600
5/22/2013,91.9,91.9,88.1,88.3,357200
5/26/2013,88.5,89.8,87.3,87.8,112800
5/27/2013,85.0,89.2,85.0,88.7,97200
5/28/2013,89.1,91.2,88.1,89.7,212400
5/29/2013,90.0,92.7,90.0,92.2,253200
5/30/2013,92.5,93.0,89.7,90.8,283000
6/2/2013,92.7,92.9,91.7,91.9,381800
6/3/2013,92.2,96.0,92.1,95.7,1131400
6/4/2013,97.0,99.4,96.6,97.6,1354000
6/5/2013,99.0,102.4,97.1,99.1,1024000
6/6/2013,101.9,102.2,97.7,99.0,1266200
6/9/2013,98.9,98.9,95.0,95.5,720400
6/10/2013,95.5,105.0,95.2,104.2,786000
6/11/2013,104.7,105.0,102.1,104.0,734000
6/12/2013,104.0,109.0,102.2,103.1,506400
6/13/2013,102.3,104.7,100.2,101.7,586200
6/16/2013,103.9,105.2,102.3,103.8,552400
6/17/2013,106.0,109.4,106.0,107.0,960400
6/18/2013,103.1,117.7,103.1,115.4,1056800
6/19/2013,116.0,120.0,115.1,116.2,594600
6/20/2013,114.5,116.5,110.6,111.1,573800
6/23/2013,111.3,113.9,106.2,106.5,463200
6/24/2013,108.9,108.9,104.0,106.4,266800
6/26/2013,110.9,113.0,108.6,111.5,709400
6/27/2013,116.0,116.0,107.6,108.9,522400
6/30/2013,106.7,110.2,106.7,109.9,582000
7/2/2013,110.0,118.6,106.0,116.2,1160800
7/3/2013,117.0,127.7,113.3,125.4,1410800
7/4/2013,127.2,134.0,127.2,129.9,1318000
7/7/2013,131.0,132.4,125.2,126.9,948600
7/8/2013,126.3,139.4,125.3,139.1,1903000
7/9/2013,141.0,152.1,137.5,149.3,1231400
7/10/2013,151.0,151.0,139.1,141.4,642800
7/11/2013,141.0,146.0,127.5,132.4,1102000
7/14/2013,130.0,137.0,127.1,132.6,723000
7/15/2013,133.0,145.6,133.0,142.1,856800
7/16/2013,149.9,150.0,135.0,138.0,808600
