Date,Open,High,Low,Close,Volume
10/1/2012,34.0,35.0,33.9,34.5,521750
10/2/2012,36.0,36.0,34.7,34.7,922250
10/3/2012,35.9,35.9,34.1,34.5,325000
10/4/2012,34.4,34.8,34.4,34.4,168750
10/7/2012,35.0,35.0,33.9,33.9,435750
10/8/2012,35.0,35.0,33.6,33.7,388500
10/9/2012,35.0,35.0,34.0,34.3,431500
10/10/2012,34.7,34.7,33.5,33.8,487500
10/11/2012,34.5,34.5,33.3,33.4,292750
10/14/2012,34.4,34.4,32.8,32.8,271250
10/15/2012,33.7,33.7,32.5,32.6,106500
10/16/2012,33.4,34.1,32.9,33.6,158750
10/17/2012,34.5,34.5,32.9,33.1,153500
10/18/2012,34.0,34.0,32.8,33.1,223750
10/21/2012,33.1,33.9,33.0,33.3,52500
10/22/2012,34.0,34.8,33.7,34.7,193000
10/23/2012,34.9,35.1,34.8,34.9,167000
10/30/2012,34.3,34.8,34.2,34.4,117250
10/31/2012,34.6,34.6,34.1,34.1,96500
11/1/2012,34.0,35.0,34.0,34.2,104250
11/4/2012,32.6,33.6,32.5,33.4,110750
11/5/2012,33.7,33.7,33.3,33.4,144500
11/6/2012,34.6,34.6,33.0,33.4,260500
11/7/2012,33.4,33.6,33.0,33.5,177000
11/8/2012,33.2,34.3,33.0,34.1,406250
11/11/2012,33.5,33.5,33.1,33.2,39250
11/12/2012,33.3,33.3,32.7,32.7,105000
11/13/2012,32.6,33.0,32.4,32.8,139250
11/14/2012,33.0,33.9,32.9,33.2,38500
11/15/2012,33.7,33.7,33.0,33.0,44000
11/18/2012,32.7,33.4,32.6,33.0,142500
11/19/2012,32.7,33.1,32.6,32.6,53250
11/20/2012,32.8,33.0,32.3,32.3,42500
11/21/2012,32.3,32.6,31.9,31.9,43750
11/22/2012,32.0,32.0,31.3,31.3,178250
11/26/2012,31.0,31.1,30.8,30.8,88000
11/27/2012,33.0,33.0,30.0,30.2,597000
11/28/2012,30.0,31.3,29.1,29.4,568500
11/29/2012,30.0,32.0,29.0,31.8,465250
12/2/2012,31.8,32.5,31.3,31.3,264500
12/3/2012,30.7,31.2,30.6,31.0,198750
12/4/2012,30.2,30.5,29.9,30.4,57000
12/5/2012,29.8,30.5,29.8,30.4,38750
12/6/2012,29.5,30.3,29.5,30.1,164500
12/9/2012,29.9,30.0,29.7,29.8,27500
12/10/2012,29.6,31.9,29.6,31.5,489750
12/11/2012,30.7,34.0,30.7,33.5,519000
12/12/2012,34.0,35.6,34.0,34.5,688250
12/13/2012,34.5,35.2,34.3,34.6,676000
12/17/2012,34.6,36.0,34.6,34.8,596750
12/18/2012,34.5,35.2,34.5,35.0,398750
12/19/2012,35.0,36.3,35.0,35.8,433500
12/20/2012,36.1,36.5,35.3,35.5,328750
12/23/2012,34.5,35.9,34.5,35.4,187000
12/24/2012,35.3,35.9,35.0,35.7,163750
12/26/2012,35.9,36.0,35.7,35.7,238000
12/27/2012,35.5,36.9,35.5,36.5,544250
12/30/2012,37.1,37.4,36.7,37.0,1649250
1/1/2013,38.0,38.5,37.1,37.3,885000
1/2/2013,37.3,37.3,36.1,36.6,151000
1/3/2013,37.0,38.1,36.8,38.0,753000
1/6/2013,37.8,38.4,37.8,38.0,572500
1/7/2013,37.7,37.7,36.7,36.8,124500
1/8/2013,37.0,37.0,35.3,35.6,378000
1/9/2013,36.1,36.1,35.2,35.5,246500
1/10/2013,35.6,36.5,35.5,36.2,250500
1/13/2013,36.1,36.3,35.9,35.9,113250
1/14/2013,35.7,36.3,35.7,36.2,128250
1/15/2013,36.0,36.6,36.0,36.4,310500
1/16/2013,36.1,37.3,36.1,37.1,794000
1/17/2013,36.6,37.6,36.6,37.5,512500
1/20/2013,37.5,37.5,37.0,37.1,59000
1/21/2013,37.2,37.3,36.9,37.2,657750
1/22/2013,37.0,37.9,37.0,37.6,364500
1/23/2013,37.8,37.9,37.4,37.6,429250
1/24/2013,37.6,37.6,37.1,37.1,43000
1/27/2013,37.4,37.4,36.8,36.9,80750
1/28/2013,37.0,37.5,37.0,37.3,224500
1/29/2013,37.6,37.6,37.1,37.3,321000
1/30/2013,37.6,37.6,36.7,36.7,194750
1/31/2013,37.0,37.0,36.6,36.9,105500
2/3/2013,36.8,37.4,36.8,36.9,190750
2/4/2013,37.0,37.4,36.6,36.8,191250
2/5/2013,37.5,37.5,36.6,36.8,112000
2/6/2013,37.1,37.1,36.8,36.9,100750
2/7/2013,36.9,36.9,36.8,36.8,110250
2/10/2013,36.9,36.9,36.5,36.7,93000
2/11/2013,37.0,37.2,36.9,37.0,318750
2/12/2013,37.2,37.2,36.9,36.9,265500
2/13/2013,37.1,37.1,36.7,36.8,171250
2/14/2013,37.0,37.0,36.6,36.9,304500
2/17/2013,38.0,38.0,37.2,37.8,682250
2/18/2013,38.0,38.4,37.8,38.2,1379500
2/19/2013,38.1,38.1,37.2,37.4,471750
2/20/2013,36.9,36.9,36.0,36.1,249000
2/24/2013,36.1,36.1,34.7,34.9,261750
2/25/2013,34.7,35.0,33.7,33.8,196000
2/26/2013,34.0,34.0,33.0,33.1,176000
2/27/2013,33.0,33.0,31.8,32.0,285000
2/28/2013,32.6,34.0,31.8,32.4,239250
3/3/2013,32.5,33.0,30.1,30.2,263500
3/4/2013,30.6,32.9,30.6,32.3,159000
3/5/2013,33.0,34.2,32.8,33.9,257750
3/6/2013,34.0,34.7,33.3,34.4,625500
3/7/2013,34.0,34.5,33.1,34.1,143000
3/10/2013,34.4,34.6,34.0,34.3,291750
3/11/2013,34.4,34.4,33.6,33.9,491500
3/13/2013,29.9,31.0,29.9,30.7,675250
3/14/2013,30.7,32.3,30.6,31.9,713500
3/18/2013,31.5,33.4,31.5,33.0,560750
3/19/2013,32.8,33.5,32.6,33.2,653000
3/20/2013,33.2,34.0,33.0,33.7,1052250
3/24/2013,32.5,34.0,32.5,33.3,410750
3/25/2013,33.0,33.7,33.0,33.5,974250
3/27/2013,33.6,33.7,32.8,33.5,1163250
3/28/2013,33.7,33.7,33.1,33.4,460750
3/31/2013,32.4,32.5,31.1,31.3,139000
4/1/2013,30.5,30.7,30.1,30.1,124500
4/2/2013,30.1,30.3,29.2,29.7,288750
4/3/2013,29.8,29.9,28.4,28.4,147750
4/4/2013,27.3,29.0,27.3,27.8,326750
4/7/2013,27.6,27.7,27.0,27.1,247500
4/8/2013,27.0,28.8,27.0,28.6,441000
4/9/2013,28.0,29.2,28.0,28.9,325750
4/10/2013,29.5,29.7,28.9,29.4,291000
4/11/2013,28.9,29.3,28.8,29.2,140750
4/15/2013,29.1,29.5,29.1,29.3,232500
4/16/2013,29.1,29.9,29.0,29.7,323500
4/17/2013,29.5,30.7,29.5,30.4,682500
4/18/2013,30.1,31.3,30.1,31.2,327500
4/21/2013,30.2,30.2,29.5,29.5,67500
4/22/2013,29.7,30.5,29.4,30.4,285500
4/23/2013,29.8,31.2,29.8,31.1,360500
4/24/2013,31.0,31.3,29.9,30.3,258000
4/25/2013,30.1,30.3,29.8,30.1,77750
4/28/2013,30.9,30.9,29.6,29.8,27750
