Date,Open,High,Low,Close,Volume
10/1/2012,109.5,112.0,109.5,110.9,2000
10/2/2012,110.2,112.0,110.2,111.3,15000
10/3/2012,116.8,116.8,111.5,112.5,13000
10/4/2012,113.0,114.6,111.0,112.5,10500
10/7/2012,110.0,110.0,109.5,109.7,8500
10/8/2012,110.0,110.0,109.0,109.5,13500
10/9/2012,110.5,114.8,110.5,113.6,12000
10/10/2012,112.1,113.0,110.0,112.0,14000
10/11/2012,111.1,111.1,110.1,110.7,3000
10/14/2012,110.3,112.9,108.0,109.9,18500
10/15/2012,110.1,111.0,109.1,109.8,17500
10/16/2012,111.0,111.0,111.0,111.0,1500
10/17/2012,111.1,112.0,111.1,111.8,17500
10/18/2012,112.2,113.7,112.0,112.4,7500
10/21/2012,110.0,110.0,110.0,110.0,1500
10/22/2012,109.0,109.1,109.0,109.0,1500
10/23/2012,110.3,111.1,110.3,110.6,2000
10/31/2012,113.0,113.5,113.0,113.2,1000
11/1/2012,112.0,114.9,112.0,112.4,6500
11/4/2012,110.1,112.5,109.0,109.5,6500
11/5/2012,108.2,110.0,108.0,108.7,11500
11/6/2012,118.0,118.0,109.2,110.2,5500
11/7/2012,109.1,109.1,109.1,109.1,500
11/8/2012,109.1,109.1,109.0,109.0,4000
11/11/2012,108.0,112.0,107.0,108.4,4500
11/13/2012,110.0,119.2,110.0,117.1,19000
11/14/2012,119.0,119.9,116.0,117.1,23000
11/15/2012,118.5,118.5,111.3,117.4,7000
11/18/2012,117.4,120.0,117.4,119.1,7000
11/19/2012,113.0,113.0,112.7,112.7,8000
11/20/2012,114.5,115.1,113.0,114.8,10500
11/21/2012,114.2,116.8,114.2,115.0,9000
11/22/2012,115.5,115.5,115.5,115.5,2000
11/26/2012,115.5,115.5,115.5,115.5,500
11/27/2012,115.0,115.3,114.1,114.7,5000
11/28/2012,125.9,125.9,115.0,124.9,5500
12/2/2012,114.6,116.8,114.6,115.8,3000
12/3/2012,126.0,126.0,116.8,119.1,2000
12/6/2012,120.0,120.0,114.2,116.4,2000
12/10/2012,112.0,112.0,112.0,112.0,500
12/12/2012,113.3,113.3,112.1,113.1,12500
12/13/2012,112.7,113.0,112.7,112.9,2500
12/18/2012,113.0,113.0,113.0,113.0,500
12/24/2012,113.0,113.0,112.0,112.6,1500
12/30/2012,117.0,117.0,115.1,116.0,1000
1/1/2013,115.5,115.5,115.5,115.5,500
1/2/2013,114.2,114.2,114.2,114.2,500
1/3/2013,114.2,122.8,114.2,118.5,1000
1/8/2013,115.1,115.1,115.1,115.1,2000
1/10/2013,114.5,119.0,114.5,117.6,3500
1/14/2013,116.5,121.4,116.5,118.9,1000
1/16/2013,118.9,119.0,118.9,118.9,1000
1/20/2013,115.2,115.2,115.2,115.2,500
1/22/2013,117.5,117.5,117.5,117.5,500
1/23/2013,118.2,119.0,118.2,118.6,1000
1/24/2013,118.5,118.5,118.2,118.4,1500
1/27/2013,122.9,124.0,119.1,122.9,4500
1/30/2013,120.0,120.0,120.0,120.0,500
2/3/2013,121.5,122.0,121.5,121.7,1000
2/4/2013,122.0,123.6,122.0,122.3,2500
2/5/2013,128.0,128.0,122.3,125.1,1000
2/6/2013,126.0,130.0,126.0,128.5,6500
2/7/2013,129.4,130.0,129.4,129.6,2000
2/10/2013,130.0,130.5,128.1,129.5,2500
2/11/2013,129.0,132.5,128.1,128.9,7500
2/12/2013,129.0,129.0,128.0,128.3,5000
2/14/2013,136.0,136.0,136.0,136.0,1000
2/18/2013,130.0,137.0,130.0,133.0,1500
2/19/2013,134.0,134.0,130.2,131.4,1500
2/20/2013,127.1,128.1,127.0,127.3,6000
2/24/2013,125.5,125.5,125.0,125.1,1500
2/26/2013,123.0,123.0,123.0,123.0,500
2/27/2013,122.0,122.0,119.0,119.7,5000
3/3/2013,117.1,117.1,117.1,117.1,500
3/4/2013,115.0,115.0,115.0,115.0,500
3/5/2013,113.0,113.3,113.0,113.1,1000
3/6/2013,114.1,114.1,114.1,114.1,500
3/7/2013,119.0,120.0,114.1,117.7,1500
3/10/2013,116.0,116.0,116.0,116.0,500
3/12/2013,115.1,117.0,115.0,115.4,3500
3/13/2013,115.5,115.5,115.5,115.5,1500
3/14/2013,117.0,117.0,117.0,117.0,1000
3/18/2013,117.1,117.1,117.1,117.1,1000
3/19/2013,117.2,117.2,117.2,117.2,500
3/20/2013,117.1,117.1,117.1,117.1,1000
3/24/2013,117.2,117.2,115.2,115.9,1500
3/25/2013,116.2,120.0,115.2,117.1,1500
3/27/2013,116.1,116.1,116.1,116.1,500
3/28/2013,115.5,115.5,115.5,115.5,500
3/31/2013,113.1,113.1,113.1,113.1,500
4/2/2013,115.1,115.2,113.3,114.3,4500
4/3/2013,111.1,111.1,111.1,111.1,1500
4/7/2013,109.5,109.5,109.5,109.5,500
4/8/2013,108.5,108.5,108.5,108.5,500
4/11/2013,112.0,112.0,112.0,112.0,500
4/22/2013,105.0,117.0,105.0,110.0,1500
4/23/2013,106.4,106.4,106.4,106.4,500
4/24/2013,105.2,105.2,105.0,105.1,1500
4/30/2013,112.0,112.0,112.0,112.0,500
5/7/2013,110.0,110.0,105.1,105.7,4000
5/8/2013,111.0,111.0,108.1,109.7,1500
5/9/2013,114.0,114.0,114.0,114.0,500
5/13/2013,107.3,107.7,107.3,107.5,1500
5/14/2013,110.2,118.0,110.2,116.1,4000
5/15/2013,112.0,112.0,110.0,111.0,1000
5/19/2013,115.0,119.0,114.0,116.7,2000
5/20/2013,119.7,119.9,115.0,117.1,4000
5/21/2013,118.0,118.0,115.0,116.3,1500
5/22/2013,117.0,117.0,112.1,115.5,9000
5/27/2013,112.0,112.0,112.0,112.0,500
5/28/2013,117.0,117.0,115.9,116.4,1000
5/29/2013,121.5,122.0,116.3,119.2,3500
6/2/2013,124.7,124.7,118.0,122.4,1500
6/3/2013,114.0,114.0,111.0,112.1,5000
6/4/2013,116.0,116.0,110.0,110.6,8500
6/5/2013,111.5,112.0,108.8,110.5,10000
6/6/2013,109.2,109.2,109.2,109.2,500
6/9/2013,110.0,110.0,110.0,110.0,500
6/10/2013,110.0,110.0,110.0,110.0,500
6/11/2013,109.0,109.0,109.0,109.0,2000
6/12/2013,110.0,114.0,110.0,112.3,4500
6/13/2013,108.0,114.0,107.1,111.0,5000
6/16/2013,115.0,117.9,115.0,116.4,1000
6/17/2013,113.0,113.0,112.0,112.5,1000
6/19/2013,114.0,115.5,114.0,115.0,3000
6/20/2013,116.5,117.0,111.2,115.2,7500
6/23/2013,112.1,121.2,112.1,118.1,1500
6/26/2013,118.0,118.0,110.6,113.2,2500
6/27/2013,107.1,107.1,107.0,107.0,1000
6/30/2013,107.1,108.1,107.1,107.3,2500
7/2/2013,115.0,118.0,114.9,116.7,20000
7/3/2013,118.0,118.0,114.0,115.3,3000
7/4/2013,111.0,116.0,110.0,112.6,13500
7/7/2013,113.0,114.7,113.0,114.1,9500
7/8/2013,119.0,119.0,115.0,116.0,7500
