Date,Open,High,Low,Close,Volume
10/1/2012,23.5,26.7,23.3,25.8,124000
10/2/2012,26.5,28.2,26.2,26.7,295500
10/3/2012,27.6,27.6,25.1,25.5,133000
10/4/2012,25.5,26.0,24.5,24.8,99000
10/7/2012,24.3,25.2,23.2,23.4,106500
10/8/2012,24.2,24.3,22.2,23.2,78000
10/9/2012,24.0,25.0,24.0,24.6,93500
10/10/2012,24.2,24.9,23.1,23.3,77500
10/11/2012,23.2,23.5,23.0,23.2,74500
10/14/2012,22.6,23.2,22.4,22.5,68500
10/15/2012,22.0,22.8,22.0,22.5,24000
10/16/2012,22.3,22.9,22.0,22.2,78000
10/17/2012,22.7,22.7,21.9,22.0,39500
10/18/2012,22.2,22.3,21.6,21.7,46000
10/21/2012,21.4,22.6,21.4,21.7,37000
10/22/2012,22.0,22.3,21.5,21.9,54000
10/23/2012,22.3,22.8,22.1,22.3,29000
10/30/2012,22.0,22.0,21.8,21.8,11000
10/31/2012,22.0,22.0,20.7,21.0,35000
11/1/2012,21.4,21.6,20.5,21.0,42500
11/4/2012,21.0,21.0,20.0,20.3,63500
11/5/2012,20.7,21.3,20.2,20.9,31500
11/6/2012,21.4,21.8,20.8,21.0,35000
11/7/2012,21.0,21.1,20.1,20.2,35000
11/8/2012,20.0,20.2,19.5,19.6,57000
11/11/2012,19.4,19.4,18.6,19.0,58000
11/12/2012,20.0,20.5,19.8,19.9,118500
11/13/2012,20.5,21.8,19.8,21.7,147500
11/14/2012,22.7,22.9,21.9,22.3,159500
11/15/2012,22.4,22.5,21.5,21.6,54000
11/18/2012,21.0,21.6,20.9,21.0,105500
11/19/2012,21.0,21.4,20.5,20.6,52000
11/20/2012,20.7,21.3,20.2,20.4,51500
11/21/2012,20.8,21.0,20.1,20.7,81000
11/22/2012,20.6,21.7,20.6,21.3,153500
11/26/2012,21.4,21.4,20.6,20.8,42000
11/27/2012,20.5,21.6,20.5,21.0,121500
11/28/2012,21.6,21.8,20.3,20.5,115500
12/2/2012,20.1,21.2,19.1,19.2,240000
12/3/2012,20.3,20.3,18.7,18.8,43000
12/4/2012,19.0,19.0,18.5,18.5,70500
12/5/2012,18.5,18.7,17.7,17.9,67500
12/6/2012,17.7,18.7,17.7,18.4,95500
12/9/2012,18.2,18.3,18.0,18.0,87500
12/10/2012,18.3,18.3,17.5,17.6,70000
12/11/2012,17.9,18.2,17.5,17.6,55500
12/12/2012,17.8,18.1,17.6,17.7,19000
12/13/2012,17.7,17.7,17.3,17.4,30000
12/17/2012,17.6,18.0,17.5,17.6,31500
12/18/2012,17.6,17.8,17.3,17.3,32500
12/19/2012,17.3,18.1,17.3,17.5,112500
