Date,Open,High,Low,Close,Volume
10/1/2012,701.0,701.0,700.0,700.0,1100
10/2/2012,701.0,701.0,701.0,701.0,100
10/3/2012,702.0,702.2,702.0,702.0,200
10/4/2012,701.0,710.0,701.0,704.2,200
10/8/2012,704.1,705.0,704.1,704.7,150
10/9/2012,720.0,720.0,720.0,720.0,50
10/10/2012,705.2,756.0,705.0,720.4,1550
10/14/2012,702.0,702.5,702.0,702.3,900
10/16/2012,707.0,707.0,707.0,707.0,50
10/17/2012,705.0,705.0,705.0,705.0,50
10/18/2012,710.0,710.0,710.0,710.0,50
10/21/2012,710.0,710.0,710.0,710.0,300
10/22/2012,719.0,719.0,719.0,719.0,50
10/23/2012,720.0,720.0,720.0,720.0,100
10/30/2012,720.0,720.0,720.0,720.0,100
11/1/2012,725.0,738.0,725.0,734.1,400
11/5/2012,749.0,770.0,749.0,759.2,200
11/6/2012,765.0,765.5,765.0,765.4,250
11/8/2012,764.9,775.0,764.9,768.6,400
11/11/2012,725.0,735.0,725.0,727.7,5850
11/12/2012,732.5,732.5,720.0,727.5,3150
11/13/2012,725.0,729.0,725.0,727.6,700
11/14/2012,780.0,780.0,735.0,775.9,1500
11/15/2012,780.0,820.0,780.0,799.3,2850
11/20/2012,783.9,783.9,755.0,759.1,400
11/21/2012,770.0,770.0,740.0,749.7,3600
11/22/2012,752.1,752.1,730.0,743.9,2950
11/26/2012,745.0,745.0,739.0,740.7,1500
11/27/2012,706.0,735.0,706.0,725.3,500
11/28/2012,720.0,720.0,705.0,715.0,150
11/29/2012,760.0,760.0,757.0,758.3,550
12/2/2012,792.0,792.0,792.0,792.0,100
12/5/2012,748.1,750.0,748.0,748.8,250
12/6/2012,745.0,745.0,745.0,745.0,100
12/9/2012,792.0,792.0,792.0,792.0,50
12/11/2012,740.0,740.0,740.0,740.0,50
12/12/2012,767.0,767.0,740.0,746.7,200
12/13/2012,742.5,742.5,742.5,742.5,300
12/17/2012,730.0,730.0,730.0,730.0,100
12/20/2012,735.0,736.0,735.0,735.0,1450
12/23/2012,740.0,750.0,740.0,746.6,150
12/27/2012,730.0,730.0,730.0,730.0,50
12/30/2012,720.1,720.3,720.1,720.2,100
1/1/2013,730.0,735.0,730.0,730.4,550
1/2/2013,732.0,750.0,732.0,739.1,1200
1/3/2013,739.0,750.0,739.0,748.4,450
1/8/2013,730.0,745.0,730.0,737.2,200
1/13/2013,740.0,741.0,740.0,740.1,350
1/14/2013,741.0,741.0,741.0,741.0,150
1/15/2013,745.0,745.0,745.0,745.0,200
1/16/2013,759.0,760.0,759.0,759.3,150
1/20/2013,756.0,756.0,756.0,756.0,100
1/21/2013,726.0,726.0,726.0,726.0,50
1/24/2013,728.0,728.0,727.0,727.8,250
1/27/2013,735.0,768.8,735.0,751.9,200
1/29/2013,731.0,731.0,731.0,731.0,50
1/30/2013,749.0,755.0,749.0,751.0,200
2/7/2013,730.0,736.0,722.0,728.5,900
2/10/2013,730.0,730.0,730.0,730.0,50
2/11/2013,750.0,750.0,730.0,732.8,350
2/12/2013,725.0,725.0,725.0,725.0,500
2/14/2013,730.0,730.0,730.0,730.0,50
