Date,Open,High,Low,Close,Volume
10/1/2012,83.1,85.0,82.1,84.0,6000
10/2/2012,89.0,90.5,85.6,88.8,29000
10/3/2012,85.0,85.5,84.1,84.9,19500
10/4/2012,85.5,88.0,85.2,87.4,27000
10/7/2012,89.0,89.0,81.0,83.8,15000
10/8/2012,87.0,87.0,81.0,82.8,9000
10/9/2012,86.8,86.8,82.5,83.0,20000
10/10/2012,85.0,88.0,80.0,82.6,13000
10/11/2012,80.2,80.2,79.1,79.9,7000
10/14/2012,86.9,86.9,79.5,81.9,2500
10/16/2012,82.9,83.5,82.9,83.3,3000
10/17/2012,82.5,82.5,82.5,82.5,1000
10/18/2012,81.8,82.0,81.8,81.8,2500
10/22/2012,81.7,81.9,80.1,81.3,3000
10/23/2012,81.5,83.8,81.5,82.0,4000
10/30/2012,80.1,80.1,79.1,80.0,9000
10/31/2012,80.0,80.0,80.0,80.0,1000
11/1/2012,80.0,80.0,78.0,79.3,3000
11/4/2012,75.1,75.1,75.1,75.1,500
11/5/2012,75.5,75.5,75.2,75.3,1000
11/7/2012,74.0,74.0,73.7,73.7,3000
11/11/2012,74.1,74.1,74.0,74.0,5000
11/12/2012,75.3,75.3,74.0,74.7,2500
11/13/2012,75.0,75.0,75.0,75.0,2500
11/18/2012,78.0,79.9,76.9,77.6,11500
11/19/2012,76.0,76.0,76.0,76.0,1000
11/20/2012,75.0,75.0,73.1,74.3,1500
11/21/2012,73.0,73.0,72.0,72.7,6000
11/22/2012,76.7,76.7,73.0,74.7,4500
11/26/2012,71.2,73.0,71.1,72.0,3500
11/27/2012,76.6,76.6,75.8,76.4,2000
11/28/2012,75.8,78.0,72.0,75.7,15500
11/29/2012,77.9,80.0,77.2,78.8,6000
12/3/2012,77.2,77.2,73.0,74.5,3500
12/4/2012,72.1,76.4,72.1,74.2,1000
12/5/2012,74.0,74.0,74.0,74.0,1500
12/6/2012,76.0,77.3,74.0,75.5,8500
12/9/2012,75.5,75.5,72.2,74.2,1500
12/10/2012,73.0,73.0,72.6,72.7,4000
12/11/2012,76.0,76.0,71.1,73.1,12000
12/12/2012,71.7,71.8,71.5,71.6,3000
12/13/2012,74.0,74.0,71.2,71.9,4000
12/17/2012,74.2,74.2,73.5,74.0,3000
12/18/2012,75.9,75.9,75.9,75.9,500
12/19/2012,72.8,72.8,72.8,72.8,500
12/20/2012,73.5,74.5,72.6,73.7,5500
12/23/2012,74.9,78.8,74.0,75.5,5500
12/24/2012,76.9,81.9,76.9,78.2,10500
12/26/2012,80.9,85.0,79.5,82.0,16500
12/27/2012,79.0,89.9,77.3,86.6,37500
12/30/2012,86.0,95.2,86.0,94.8,105500
1/1/2013,93.0,93.0,90.0,91.3,8500
1/2/2013,85.9,85.9,84.6,85.2,5500
1/3/2013,85.0,85.0,83.1,83.6,9000
1/6/2013,82.0,82.0,81.0,81.4,15500
1/7/2013,80.5,83.0,80.5,81.4,2500
1/8/2013,83.5,83.5,83.5,83.5,8000
1/9/2013,82.0,82.0,82.0,82.0,1000
1/10/2013,83.5,83.5,83.5,83.5,500
1/13/2013,83.0,85.0,83.0,84.0,1000
1/15/2013,84.0,84.0,84.0,84.0,1000
1/17/2013,84.4,84.4,84.4,84.4,500
1/20/2013,83.0,83.0,83.0,83.0,4000
1/21/2013,83.0,83.0,81.5,81.8,4500
1/23/2013,83.9,83.9,83.9,83.9,500
1/24/2013,83.1,83.6,82.3,82.8,7500
1/27/2013,83.1,83.1,83.1,83.1,4000
1/29/2013,86.0,91.3,86.0,89.7,6500
1/30/2013,86.0,88.9,85.6,87.3,2000
1/31/2013,85.5,88.0,85.5,87.5,2500
2/3/2013,90.0,90.0,87.0,88.4,5000
2/4/2013,94.9,94.9,86.2,89.1,1500
2/6/2013,83.5,85.0,83.5,84.2,1000
2/7/2013,83.5,83.5,81.4,81.9,22500
2/11/2013,87.8,87.8,87.8,87.8,500
2/12/2013,82.2,84.5,82.2,83.7,1500
2/13/2013,84.9,86.8,84.5,85.0,26500
2/14/2013,85.9,87.7,85.8,86.7,8000
2/17/2013,90.0,90.0,87.3,89.1,1500
2/18/2013,86.8,86.8,86.7,86.7,1500
2/19/2013,85.4,85.4,82.1,83.1,12500
2/20/2013,83.0,83.0,81.8,82.3,1500
2/24/2013,81.3,81.3,81.1,81.2,4500
2/25/2013,81.2,81.2,80.4,81.0,2000
2/26/2013,81.0,81.2,81.0,81.0,3500
2/27/2013,81.0,81.0,78.0,79.7,4500
2/28/2013,79.0,79.0,79.0,79.0,1000
3/3/2013,76.0,76.0,72.5,73.6,7500
3/4/2013,74.2,74.2,74.2,74.2,4500
3/5/2013,74.2,74.2,74.2,74.2,500
3/6/2013,73.0,73.0,73.0,73.0,1500
3/7/2013,78.0,78.9,78.0,78.4,1000
3/10/2013,81.8,81.8,81.8,81.8,500
3/11/2013,75.2,75.2,75.0,75.1,1500
3/12/2013,75.0,75.0,74.0,74.2,2500
3/13/2013,74.0,74.0,74.0,74.0,500
3/14/2013,74.0,78.9,74.0,77.5,4000
3/19/2013,75.6,75.6,75.5,75.5,2000
3/24/2013,73.0,73.0,71.5,72.0,8000
3/25/2013,70.6,70.6,70.5,70.5,3000
3/27/2013,65.3,65.3,65.3,65.3,500
3/28/2013,68.0,68.0,68.0,68.0,1000
3/31/2013,68.1,70.0,67.0,68.3,1500
4/2/2013,70.6,70.6,70.6,70.6,1000
4/4/2013,60.1,60.1,60.1,60.1,500
4/9/2013,58.5,60.0,58.0,59.5,6000
4/10/2013,61.2,61.2,61.2,61.2,2500
4/16/2013,60.0,60.0,58.0,58.5,2000
4/17/2013,60.0,60.0,59.0,59.6,1500
4/18/2013,61.9,61.9,61.9,61.9,2500
4/21/2013,60.7,61.0,60.7,60.8,7000
4/22/2013,60.5,60.5,60.5,60.5,500
4/23/2013,60.0,60.0,60.0,60.0,2000
4/25/2013,58.0,58.0,58.0,58.0,1000
4/28/2013,58.0,58.0,58.0,58.0,2000
4/29/2013,57.3,57.3,57.3,57.3,500
4/30/2013,58.1,58.1,58.0,58.0,3500
5/5/2013,59.5,59.5,58.8,59.1,2000
5/6/2013,57.1,57.1,57.0,57.0,1500
5/7/2013,57.3,57.3,57.0,57.1,5000
5/8/2013,56.2,56.3,56.2,56.2,2500
5/9/2013,58.0,58.0,57.0,57.6,1500
5/12/2013,59.1,61.3,59.1,60.0,5500
5/13/2013,61.9,62.0,60.5,61.6,6000
5/14/2013,64.9,67.7,63.2,66.7,20500
5/15/2013,65.0,68.8,65.0,68.3,22000
5/16/2013,68.8,69.0,68.0,68.7,12500
5/19/2013,67.2,71.9,67.2,71.4,17000
5/20/2013,70.5,70.5,70.0,70.1,29000
5/21/2013,70.5,70.5,67.2,69.5,11000
5/22/2013,69.5,72.0,68.0,70.3,9000
5/26/2013,70.0,70.0,67.0,68.5,1000
5/27/2013,67.0,68.0,67.0,67.5,1500
5/28/2013,66.0,70.0,66.0,68.7,3500
5/29/2013,69.0,69.0,69.0,69.0,500
5/30/2013,66.8,68.0,66.8,67.4,1000
6/2/2013,67.1,67.1,65.4,66.2,12500
6/3/2013,68.9,69.0,68.9,68.9,2500
6/4/2013,71.2,71.2,70.3,70.6,1500
6/5/2013,70.0,70.0,68.0,68.0,12000
6/6/2013,67.6,67.7,67.3,67.5,15500
6/9/2013,65.3,65.3,65.0,65.1,2000
6/10/2013,65.1,65.6,65.0,65.2,11500
6/11/2013,65.6,68.0,65.3,65.3,43000
6/12/2013,66.4,66.5,66.3,66.3,6000
6/13/2013,69.9,70.0,68.7,69.5,14500
6/16/2013,70.1,71.4,70.0,70.2,38000
6/17/2013,72.0,72.3,70.0,70.0,70500
6/18/2013,70.0,70.9,68.5,69.3,8500
6/19/2013,72.0,72.0,70.5,71.6,16500
6/20/2013,71.8,72.0,70.5,71.2,13500
6/23/2013,71.2,71.3,71.2,71.2,20500
6/24/2013,70.1,71.1,70.1,70.5,18500
6/26/2013,71.0,71.5,70.5,70.8,18500
6/27/2013,71.4,71.5,71.0,71.3,7000
6/30/2013,71.0,72.0,70.1,70.8,5000
7/2/2013,77.0,77.0,71.1,76.6,41500
7/3/2013,74.3,76.7,74.3,75.5,13000
7/4/2013,73.0,77.0,73.0,76.3,4000
7/7/2013,82.0,82.0,74.1,75.2,15000
7/8/2013,73.5,74.3,72.1,73.6,20500
7/9/2013,75.0,80.8,75.0,80.6,137000
7/10/2013,82.5,82.5,77.0,78.8,11000
7/11/2013,75.0,76.0,75.0,75.1,11000
7/14/2013,72.1,72.1,72.1,72.1,500
7/15/2013,75.1,77.0,73.8,75.9,5500
7/16/2013,79.9,79.9,76.7,77.8,17000
7/17/2013,81.1,85.4,81.1,84.0,72000
7/18/2013,85.0,85.2,85.0,85.0,24000
7/21/2013,85.0,85.0,77.0,81.8,4500
7/22/2013,80.0,83.0,77.1,81.3,9500
7/23/2013,76.0,82.0,74.0,76.5,7000
7/24/2013,80.0,80.0,78.0,79.1,2500
7/25/2013,81.0,81.0,75.2,75.7,7000
7/28/2013,72.0,73.0,72.0,72.8,3000
7/29/2013,73.0,80.0,72.0,74.4,8500
7/30/2013,81.0,81.0,73.2,74.1,5000
7/31/2013,72.0,72.0,72.0,72.0,1000
8/1/2013,72.5,73.0,72.0,72.3,6000
8/4/2013,70.1,72.5,70.0,70.8,1500
8/13/2013,77.0,77.0,72.0,74.7,9000
8/14/2013,72.0,72.0,72.0,72.0,1000
8/18/2013,72.0,72.5,72.0,72.1,9000
8/19/2013,72.4,78.5,72.4,77.4,6500
8/20/2013,81.4,81.4,75.5,77.8,4500
8/21/2013,75.1,75.1,73.0,74.2,3000
8/22/2013,71.0,76.4,70.2,71.6,24000
8/25/2013,75.0,78.6,73.5,76.8,40500
8/26/2013,75.1,76.9,75.1,76.6,11500
8/27/2013,75.0,83.9,72.3,76.6,16000
8/29/2013,73.7,74.1,73.7,74.0,4500
9/1/2013,77.0,78.0,74.2,75.5,4000
9/2/2013,74.5,74.5,73.6,74.2,4500
