Date,Open,High,Low,Close,Volume
10/1/2012,57.0,60.2,56.7,58.5,198500
10/2/2012,59.7,62.5,59.7,61.5,231000
10/3/2012,61.5,64.6,60.4,60.7,393500
10/4/2012,62.0,62.5,59.5,60.3,163500
10/7/2012,61.0,61.1,57.5,57.7,143000
10/8/2012,60.5,60.5,57.3,58.7,68000
10/9/2012,61.9,62.0,59.0,59.4,214500
10/10/2012,60.0,60.1,58.5,59.0,156500
10/11/2012,58.0,59.6,58.0,58.5,91000
10/14/2012,60.0,60.5,57.0,57.5,169500
10/15/2012,58.9,59.0,56.8,57.3,156500
10/16/2012,57.7,59.3,57.7,58.6,124500
10/17/2012,60.0,61.3,59.0,59.5,205500
10/18/2012,60.7,60.7,57.6,58.0,107500
10/21/2012,58.4,58.5,56.3,56.7,68000
10/22/2012,55.0,58.3,55.0,57.9,51500
10/23/2012,58.8,58.8,57.1,58.1,60000
10/30/2012,57.3,58.2,56.8,57.3,10500
10/31/2012,59.0,59.4,53.2,54.1,173500
11/1/2012,53.5,54.8,53.5,54.6,38500
11/4/2012,53.1,54.6,53.1,53.4,18500
11/5/2012,52.5,56.3,52.5,54.6,25000
11/6/2012,55.0,55.0,53.6,53.8,48000
11/7/2012,53.1,53.1,53.1,53.1,30500
11/8/2012,52.1,53.0,51.5,52.3,19500
11/11/2012,50.2,50.5,48.8,49.6,15000
11/12/2012,48.0,49.7,46.4,47.4,19000
11/13/2012,47.5,50.8,47.4,50.2,22000
11/14/2012,50.0,50.0,48.8,49.6,12000
11/15/2012,49.1,51.0,49.1,49.6,21000
11/18/2012,49.2,50.0,49.0,49.3,39000
11/19/2012,48.0,48.3,47.1,47.4,12500
11/20/2012,46.2,46.3,44.4,44.8,21000
11/21/2012,45.0,45.1,43.5,44.4,26500
11/22/2012,45.5,46.6,44.5,45.2,58000
11/26/2012,45.3,45.3,44.0,44.4,5000
11/27/2012,44.8,44.8,43.1,43.9,30000
11/28/2012,43.5,43.5,43.0,43.1,20000
11/29/2012,44.8,46.5,44.5,45.7,97000
12/2/2012,45.0,45.3,44.4,44.9,22000
12/3/2012,43.5,43.5,42.9,43.2,7500
12/4/2012,42.0,43.8,41.8,43.3,22000
12/5/2012,43.4,43.9,42.0,43.1,56500
12/6/2012,43.4,43.4,42.1,42.2,21000
12/9/2012,41.0,42.0,40.8,41.5,5000
12/10/2012,41.4,41.4,40.3,40.5,39000
12/11/2012,40.3,42.5,40.3,40.9,14500
12/12/2012,41.7,41.7,41.1,41.4,10500
