Date,Open,High,Low,Close,Volume
12/12/2019,15.0,15.0,15.0,15.0,12021692
12/15/2019,19.5,21.9,13.2,13.4,20363166
12/17/2019,13.0,13.5,12.1,12.3,12429064
12/18/2019,12.5,13.10000038,12.19999981,12.80000019,6445397
12/19/2019,12.89999962,13.0,12.10000038,12.19999981,6725224
12/22/2019,12.4,12.4,11.0,11.1,8524449
12/23/2019,11.1,11.5,10.9,11.3,5514572
12/24/2019,11.4,11.6,11.1,11.2,4229872
12/26/2019,11.2,11.4,10.7,10.9,5268670
12/29/2019,10.9,11.0,10.2,10.3,6436434
12/30/2019,10.3,10.6,10.2,10.3,3095941
1/1/2020,10.3,10.5,10.1,10.1,2562995
1/2/2020,10.1,10.8,10.1,10.5,5535217
1/5/2020,10.5,10.6,10.2,10.2,2836680
1/6/2020,10.3,10.3,9.5,9.6,6127344
1/7/2020,9.7,10.0,9.1,9.2,3810952
1/8/2020,9.3,9.4,8.9,9.0,4200437
1/9/2020,9.1,9.2,8.9,9.0,3671245
1/12/2020,9.1,9.2,8.8,8.9,3387944
1/13/2020,8.6,9.0,8.1,8.1,11949357
1/14/2020,8.1,8.1,7.7,7.8,8438075
1/15/2020,7.9,8.2,7.9,7.9,4093348
1/16/2020,7.9,8.0,7.3,7.4,7728600
1/19/2020,7.5,8.0,7.5,7.8,8410800
1/20/2020,7.9,8.0,7.4,7.5,7106703
1/21/2020,7.5,7.6,7.0,7.0,8996006
1/22/2020,7.0,7.6,6.9,7.4,8913285
1/23/2020,7.4,7.5,7.2,7.4,4724664
1/26/2020,7.5,7.8,7.4,7.6,9387922
1/27/2020,7.7,7.7,7.3,7.5,4641396
1/28/2020,7.4,7.6,7.2,7.3,5444371
1/29/2020,7.4,7.8,7.2,7.7,8979332
1/30/2020,7.7,7.7,7.4,7.5,6085987
2/2/2020,7.6,8.2,7.5,8.2,9514142
2/3/2020,8.5,9.0,8.4,8.5,15468898
2/4/2020,8.5,8.6,8.1,8.2,7784515
2/5/2020,8.3,8.3,7.9,8.0,6309914
2/6/2020,8.0,8.2,7.9,8.1,3926288
2/9/2020,8.1,8.4,8.1,8.2,6510778
2/10/2020,8.2,8.3,8.0,8.0,3148235
2/11/2020,8.2,8.3,8.0,8.0,4824683
2/12/2020,8.1,8.3,8.0,8.0,5605942
2/13/2020,8.1,8.3,8.0,8.1,5870267
2/16/2020,8.2,8.7,8.1,8.4,9561780
2/17/2020,8.5,8.6,8.3,8.4,6183536
2/18/2020,8.5,8.7,8.4,8.5,7735084
2/19/2020,8.4,8.6,8.2,8.3,4382958
2/20/2020,8.3,8.4,8.0,8.1,5167758
2/23/2020,8.1,8.2,7.9,7.9,5386229
2/24/2020,8.0,8.1,7.9,7.9,2604402
2/25/2020,8.0,8.1,7.8,7.9,3179483
2/26/2020,8.0,8.5,7.9,8.3,7815434
2/27/2020,8.3,8.5,8.0,8.1,5279806
3/1/2020,8.1,8.1,7.5,7.7,4645049
3/2/2020,7.7,8.0,7.7,7.9,3940269
3/3/2020,7.9,8.5,7.8,8.3,11063848
3/4/2020,8.3,8.5,8.0,8.1,5757570
3/5/2020,8.1,8.1,7.9,7.9,4011726
3/8/2020,7.9,8.0,7.5,7.5,4035793
3/9/2020,7.5,7.5,6.8,6.8,6045642
3/10/2020,6.9,7.3,6.9,7.2,3695032
3/11/2020,7.3,7.4,7.1,7.2,2546235
3/12/2020,7.2,7.2,6.8,6.9,3074787
3/15/2020,6.9,6.9,6.3,6.4,3850798
3/16/2020,6.5,6.6,5.9,6.0,4150078
3/18/2020,6.2,6.4,5.6,5.6,3330698
3/19/2020,6.5,6.5,6.5,6.5,94236
3/22/2020,6.4,6.5,6.4,6.4,83551
3/23/2020,6.4,6.4,6.4,6.4,351671
3/24/2020,6.4,6.4,6.4,6.4,101085
5/31/2020,6.4,6.4,6.4,6.4,8940
6/1/2020,6.4,6.4,6.4,6.4,7415
6/2/2020,6.4,6.4,6.4,6.4,47971
6/3/2020,6.4,6.4,6.4,6.4,121555
6/4/2020,6.4,6.4,6.4,6.4,9970
6/7/2020,6.4,6.4,6.4,6.4,2905
6/8/2020,6.4,6.4,6.4,6.4,844887
6/9/2020,6.4,6.4,6.4,6.4,37117
6/10/2020,6.4,6.4,6.4,6.4,17250
6/11/2020,6.4,6.4,6.4,6.4,7501
6/14/2020,6.4,6.4,6.4,6.4,20
6/15/2020,6.4,6.4,6.4,6.4,21239
6/16/2020,6.4,6.4,6.4,6.4,7627
6/17/2020,6.4,6.4,6.4,6.4,5445
6/18/2020,6.4,6.4,6.4,6.4,45253
6/21/2020,6.4,6.4,6.4,6.4,50800
6/22/2020,6.4,6.4,6.4,6.4,5430
6/23/2020,6.4,6.4,6.4,6.4,7825
6/24/2020,6.4,6.4,6.4,6.4,1091
6/25/2020,6.4,6.4,6.4,6.4,8218
6/28/2020,6.4,6.4,6.4,6.4,9357
6/29/2020,6.4,6.4,6.4,6.4,2361
6/30/2020,6.4,6.4,6.4,6.4,802
7/2/2020,6.4,6.4,6.4,6.4,5262
7/5/2020,6.4,6.4,6.4,6.4,11156
7/6/2020,6.4,6.4,6.4,6.4,1050
7/7/2020,6.4,6.4,6.4,6.4,10087
7/8/2020,6.4,6.4,6.4,6.4,5054
7/9/2020,6.4,6.4,6.4,6.4,37820
7/12/2020,6.4,6.4,6.4,6.4,14940
7/13/2020,6.4,6.4,6.4,6.4,2631
7/14/2020,6.4,6.4,6.4,6.4,1416
7/15/2020,6.4,6.4,6.4,6.4,86575
7/16/2020,6.4,6.4,6.4,6.4,1169
7/19/2020,6.4,6.4,6.4,6.4,50255
7/20/2020,6.4,6.4,6.4,6.4,16665
7/21/2020,6.4,6.4,6.4,6.4,70904
7/22/2020,6.4,6.4,6.4,6.4,24845
7/23/2020,6.4,6.4,6.4,6.4,55809
7/26/2020,6.4,6.4,6.4,6.4,30005
7/27/2020,6.4,6.4,6.4,6.4,5397
7/28/2020,6.4,6.4,6.4,6.4,10925
7/29/2020,6.4,6.4,6.4,6.4,2581
7/30/2020,6.4,6.4,6.4,6.4,169337
8/3/2020,6.4,6.6,6.4,6.5,5942990
8/4/2020,6.5,6.5,6.4,6.4,3288460
8/5/2020,6.4,6.5,6.4,6.4,1359900
8/6/2020,6.4,6.5,6.4,6.4,2585720
