Date,Open,High,Low,Close,Volume
10/1/2012,41.6,44.8,40.8,44.0,7335000
10/2/2012,45.4,46.5,43.1,43.5,6525250
10/3/2012,44.0,44.6,41.5,41.7,5913000
10/4/2012,42.9,43.2,41.0,41.4,3587000
10/7/2012,41.9,42.0,38.0,38.2,5325250
10/8/2012,40.0,40.4,36.9,38.5,4031000
10/9/2012,40.0,42.0,39.4,41.6,4381750
10/10/2012,42.5,42.9,38.9,39.3,4703000
10/11/2012,36.5,41.6,36.5,41.0,7078750
10/14/2012,42.0,43.2,41.7,42.2,7991500
10/15/2012,42.8,42.9,41.6,41.7,3686000
10/16/2012,41.6,42.2,40.0,40.2,3952000
10/17/2012,41.0,41.2,39.2,39.5,2546000
10/18/2012,39.7,40.6,38.8,39.1,2026000
10/21/2012,40.3,40.3,37.3,37.5,2145750
10/22/2012,37.1,39.6,37.1,39.1,1420750
10/23/2012,40.0,40.6,39.5,39.8,1730500
10/30/2012,39.5,40.0,39.0,39.2,853750
10/31/2012,39.4,39.4,38.6,38.9,1128250
11/1/2012,40.5,41.7,39.6,41.0,5183500
11/4/2012,41.2,41.8,39.1,39.5,2622750
11/5/2012,40.2,40.8,39.2,40.2,2020750
11/6/2012,40.8,41.0,39.7,40.0,2422750
11/7/2012,40.7,40.7,39.1,39.3,1756250
11/8/2012,37.1,39.5,37.0,38.0,1702250
11/11/2012,38.0,38.3,36.4,36.8,2312500
11/12/2012,37.0,37.4,35.1,35.5,1924750
11/13/2012,35.9,39.0,35.0,38.5,2071250
11/14/2012,38.8,39.3,37.5,37.9,1968750
11/15/2012,37.8,38.6,37.5,38.2,1759500
11/18/2012,38.4,40.0,38.2,38.7,2837750
11/19/2012,38.2,38.7,36.9,37.0,2179250
11/20/2012,37.1,37.9,36.4,36.6,1508750
11/21/2012,37.5,38.4,36.9,37.3,1676750
11/22/2012,38.3,38.9,37.7,38.3,2352000
11/26/2012,38.3,38.4,36.8,36.9,1720750
11/27/2012,37.0,37.4,36.3,36.4,2088750
11/28/2012,37.1,37.4,35.9,36.1,1511750
11/29/2012,38.0,38.7,37.1,38.4,2239500
12/2/2012,39.0,39.0,36.6,36.9,2143250
12/3/2012,36.9,37.1,36.1,36.2,1158250
12/4/2012,38.0,38.0,36.0,36.4,1033000
12/5/2012,36.8,37.0,36.1,36.4,1303250
12/6/2012,36.2,37.4,36.0,36.1,2216750
12/9/2012,36.2,36.3,34.8,34.9,1673750
12/10/2012,34.5,35.2,33.8,34.0,1341250
12/11/2012,33.9,34.4,33.3,34.1,949750
12/12/2012,34.4,34.8,33.7,33.9,983000
12/13/2012,33.9,34.2,33.6,33.8,643250
12/17/2012,34.3,34.8,34.0,34.6,1140000
12/18/2012,34.8,35.2,34.3,34.4,944000
12/19/2012,34.4,35.5,34.4,35.3,1579750
12/20/2012,35.5,36.4,35.3,35.3,1379500
12/23/2012,36.0,36.0,34.6,34.8,943750
12/24/2012,35.1,35.2,34.5,34.6,732500
12/26/2012,34.9,34.9,33.9,34.1,1740500
12/27/2012,34.5,34.5,33.9,34.1,1595750
12/30/2012,34.5,34.6,34.0,34.1,1183250
1/1/2013,34.4,34.6,34.0,34.0,867750
1/2/2013,34.0,34.2,33.8,33.9,863500
1/3/2013,33.8,34.1,33.6,33.8,903500
1/6/2013,33.9,34.4,33.7,34.0,1366250
1/7/2013,33.8,34.1,33.7,33.7,499500
1/8/2013,34.0,35.1,33.9,34.2,2411000
1/9/2013,34.2,36.2,33.7,35.8,4253000
1/10/2013,36.0,36.3,35.4,36.0,2532750
1/13/2013,36.0,36.2,35.2,35.3,1244250
1/14/2013,35.0,35.5,35.0,35.2,1240000
1/15/2013,35.8,35.8,35.0,35.4,1039250
1/16/2013,35.7,36.3,35.5,36.0,3336000
1/17/2013,36.0,36.1,35.6,35.7,1301000
1/20/2013,35.8,35.8,35.3,35.3,845750
1/21/2013,35.2,35.4,34.8,34.8,959500
1/22/2013,35.0,35.1,34.8,34.9,837750
1/23/2013,35.3,35.4,35.0,35.0,576250
1/24/2013,35.3,35.9,35.2,35.5,1380750
1/27/2013,35.9,36.2,35.7,35.8,1391250
1/28/2013,35.6,36.0,35.6,35.8,1202000
1/29/2013,36.0,37.0,35.8,36.7,2392250
1/30/2013,36.8,37.3,36.4,36.6,1747750
1/31/2013,36.5,37.6,36.5,37.0,2314000
2/3/2013,36.7,38.2,36.7,37.9,2737500
2/4/2013,38.0,38.4,37.2,37.4,1549500
2/5/2013,37.8,38.0,36.9,37.6,1216000
2/6/2013,38.0,38.0,37.0,37.2,1486500
2/7/2013,37.6,37.7,36.8,37.0,1662750
2/10/2013,37.5,38.5,37.2,38.0,3196500
2/11/2013,38.5,39.7,38.5,39.5,4287000
2/12/2013,40.0,40.2,39.0,39.2,4526250
2/13/2013,39.5,41.3,38.9,40.5,4242250
2/14/2013,41.5,42.8,40.9,42.5,6958250
2/17/2013,43.0,43.0,41.4,41.5,3905750
2/18/2013,41.6,42.7,41.4,41.6,3979750
2/19/2013,42.2,42.5,41.0,41.1,5919500
2/20/2013,41.7,42.1,40.7,41.5,5421750
2/24/2013,42.0,42.1,41.5,41.8,262000
2/25/2013,41.8,41.8,37.9,38.3,4970500
2/26/2013,39.0,39.9,37.5,39.1,3299750
2/27/2013,39.5,39.5,37.2,37.4,2535500
2/28/2013,37.2,38.5,36.7,37.7,1405250
3/3/2013,36.3,36.6,34.1,34.6,1841250
3/4/2013,35.1,37.7,34.8,37.3,1942500
3/6/2013,37.3,37.4,35.7,36.0,1918000
3/7/2013,35.6,36.4,35.2,35.8,896750
3/10/2013,36.2,37.0,35.6,35.7,1304750
3/11/2013,35.6,36.0,34.3,35.1,1153750
3/12/2013,34.5,35.4,34.4,34.8,659500
3/13/2013,35.4,36.0,35.1,35.6,971750
3/14/2013,35.8,36.0,35.2,35.4,826500
3/18/2013,35.5,35.9,35.0,35.4,840500
3/19/2013,35.7,35.8,35.4,35.5,975250
3/20/2013,35.6,35.6,34.6,34.8,959000
3/24/2013,35.3,35.3,33.1,33.3,1078750
3/25/2013,33.2,33.5,31.9,32.1,1534250
3/27/2013,32.1,32.1,30.5,30.7,1172000
3/28/2013,30.5,32.0,30.5,31.6,1177250
3/31/2013,32.2,32.3,30.6,30.8,1021250
4/1/2013,30.7,30.7,28.5,28.7,1665000
4/2/2013,28.6,29.5,28.4,29.1,1075750
4/3/2013,30.2,30.2,29.2,29.8,962750
4/4/2013,29.9,30.0,28.6,28.8,1122000
4/7/2013,29.2,29.2,28.6,28.7,364750
4/8/2013,28.7,29.7,28.4,29.3,736000
4/9/2013,29.4,32.0,29.3,31.8,1893000
4/10/2013,32.1,33.4,31.0,31.6,2229500
4/11/2013,31.4,31.8,31.0,31.2,1282250
4/15/2013,31.9,32.8,31.5,32.6,1939500
4/16/2013,32.8,32.8,31.0,31.1,1416500
4/17/2013,31.4,31.9,31.0,31.1,1109500
4/18/2013,31.3,31.9,31.1,31.2,1278750
4/21/2013,31.2,31.7,30.1,30.3,929250
4/22/2013,30.3,33.2,30.3,32.5,3377250
4/23/2013,32.6,33.4,32.1,32.2,1882000
4/24/2013,32.5,32.6,31.2,31.3,1832250
4/25/2013,31.8,31.8,30.1,30.3,1569500
4/28/2013,30.0,30.0,28.6,29.2,1730500
4/29/2013,29.1,29.2,27.8,28.2,2813500
4/30/2013,27.5,27.5,26.4,26.8,3705750
5/2/2013,26.7,28.3,26.6,28.0,1709000
5/5/2013,28.0,28.0,27.1,27.2,959750
5/6/2013,27.4,27.4,26.4,26.6,928250
5/7/2013,27.2,27.5,27.0,27.2,1533750
5/8/2013,27.8,27.8,26.9,27.0,1707750
5/9/2013,27.1,27.6,26.7,27.3,1452250
5/12/2013,27.6,28.8,27.6,28.6,2380250
5/13/2013,29.0,29.1,28.3,28.7,1848500
5/14/2013,29.0,30.5,29.0,30.2,2508000
5/15/2013,30.5,30.5,29.2,29.5,2334750
5/16/2013,29.3,31.4,29.2,31.1,2311250
5/19/2013,31.7,32.0,31.2,31.5,3273500
5/20/2013,31.9,32.0,30.2,30.4,3223750
5/21/2013,30.5,30.8,29.2,29.4,2543250
5/22/2013,28.9,29.8,28.8,28.9,1815750
5/26/2013,28.8,29.4,28.3,28.5,959750
5/27/2013,29.9,29.9,28.4,29.6,704500
5/28/2013,29.7,30.1,28.9,29.3,1340250
5/29/2013,29.2,30.3,29.2,30.1,2008500
5/30/2013,30.7,31.2,30.4,30.6,2558500
