Date,Open,High,Low,Close,Volume
12/24/2020,15.0,15.0,15.0,15.0,117162
12/27/2020,22.5,22.5,22.5,22.5,4937851
12/28/2020,24.7,24.7,24.7,24.7,2042167
12/29/2020,27.1,27.1,27.1,27.1,452877
12/30/2020,29.8,29.8,29.8,29.8,1529504
1/3/2021,32.7,32.7,32.7,32.7,510394
1/4/2021,35.9,35.9,35.9,35.9,788413
1/5/2021,39.4,39.4,37.1,39.4,65498764
1/6/2021,43.3,43.3,42.7,43.3,20521924
1/7/2021,47.6,47.6,47.6,47.6,12995020
1/10/2021,52.3,52.3,52.3,52.3,3626489
1/11/2021,57.5,57.5,57.5,57.5,3422936
1/12/2021,63.2,63.2,63.2,63.2,1308729
1/13/2021,69.5,69.5,60.0,63.8,66258795
1/14/2021,70.1,70.1,69.0,70.1,13904636
1/17/2021,77.1,77.1,63.1,64.5,39994623
1/18/2021,64.8,64.8,58.1,58.5,37909877
1/19/2021,57.0,58.9,53.0,57.4,26366172
1/20/2021,59.9,63.1,58.0,63.1,21489496
1/21/2021,64.6,65.8,61.1,61.7,24289349
1/24/2021,60.9,60.9,56.7,57.6,18630136
1/25/2021,57.6,57.6,53.5,54.7,16276123
1/26/2021,54.5,54.5,49.5,50.4,19860551
1/27/2021,50.5,53.1,50.1,51.1,12755015
1/28/2021,53.0,54.6,52.5,53.1,12125755
1/31/2021,54.0,54.4,52.2,52.4,10310683
2/1/2021,53.0,53.8,51.2,51.5,7686194
2/2/2021,52.2,52.2,50.6,50.7,8720774
2/3/2021,51.0,51.3,46.0,46.8,15003023
2/4/2021,46.2,47.0,44.1,44.9,13002930
2/7/2021,44.5,45.0,41.1,41.5,11275158
2/8/2021,41.7,42.6,39.1,39.9,12505082
2/9/2021,40.5,43.8,39.8,43.8,9621816
2/10/2021,45.0,48.0,44.6,46.5,15493183
2/11/2021,46.5,46.8,44.3,44.8,11612050
2/14/2021,44.9,44.9,41.7,42.0,8292128
2/15/2021,41.9,46.2,40.7,46.0,10417398
2/16/2021,40.5,42.9,39.0,41.8,20481282
2/17/2021,42.1,42.8,41.0,41.2,9167803
2/18/2021,41.3,41.4,39.1,39.3,11008917
2/22/2021,39.0,39.1,36.1,36.8,9508788
2/23/2021,37.4,39.2,36.9,38.2,7130641
2/24/2021,39.2,42.0,39.0,42.0,11757499
2/25/2021,43.1,45.3,42.4,43.7,13350205
2/28/2021,43.8,46.3,43.6,43.9,12789030
3/1/2021,44.1,45.5,43.6,45.3,9206187
3/2/2021,46.1,47.3,45.8,46.8,11712206
3/3/2021,47.2,49.9,47.2,49.2,14494554
3/4/2021,49.8,50.9,47.6,48.0,10992215
3/7/2021,47.9,50.3,47.3,50.0,12551810
3/9/2021,52.1,53.5,51.0,52.4,24585723
3/10/2021,52.7,53.1,50.2,50.4,11412125
3/11/2021,50.5,51.0,48.2,48.5,12975314
3/14/2021,48.5,48.7,46.4,46.6,7650035
3/15/2021,46.6,49.3,46.4,49.0,6831621
3/16/2021,50.0,50.8,48.0,48.2,7659778
3/18/2021,48.0,48.2,45.9,46.6,7759855
