Date,Open,High,Low,Close,Volume
9/22/2014,70.0,80.0,67.1,77.3,9918200
9/23/2014,77.3,80.8,72.8,74.8,3098400
9/24/2014,74.8,87.0,74.8,86.1,6214600
9/25/2014,88.0,91.9,82.5,84.9,4695600
9/28/2014,84.9,84.9,76.0,78.0,3462600
9/29/2014,78.0,80.8,75.2,77.4,2259800
9/30/2014,76.0,82.0,76.0,78.5,2422400
10/1/2014,80.9,81.0,74.0,74.8,1645200
10/2/2014,75.7,78.2,72.8,77.2,1366600
10/12/2014,77.3,78.5,74.0,74.6,1041600
10/13/2014,75.5,80.2,74.7,79.3,1789200
10/14/2014,79.0,81.2,78.4,78.8,1911200
10/15/2014,80.0,80.3,76.6,77.0,1554400
10/16/2014,79.7,79.7,75.0,75.4,1195400
10/19/2014,77.5,77.5,74.0,74.6,697800
10/20/2014,74.2,79.2,74.1,77.9,1323200
10/21/2014,78.9,84.4,77.6,82.2,3070000
10/22/2014,85.0,88.0,82.5,84.1,4928600
10/23/2014,85.8,85.8,79.3,80.1,2520600
10/26/2014,82.0,82.0,78.3,79.0,1294600
10/27/2014,79.0,79.5,77.3,78.1,1173200
10/28/2014,78.2,80.0,78.2,78.8,823800
10/29/2014,81.0,81.5,78.7,78.9,1496200
10/30/2014,80.4,83.0,79.7,81.7,1760800
11/2/2014,82.5,82.6,78.2,79.0,1162800
11/3/2014,78.2,80.6,75.5,76.3,1232000
11/5/2014,77.3,80.7,76.0,79.8,1310400
11/9/2014,73.1,73.1,68.3,70.1,3122000
11/10/2014,71.9,71.9,66.1,66.4,988000
11/11/2014,66.6,70.0,66.6,67.3,1422000
11/12/2014,69.9,74.0,69.0,74.0,4092000
11/13/2014,76.9,77.5,71.5,72.0,2302200
11/16/2014,72.0,74.0,69.8,71.0,2597400
11/17/2014,72.7,73.5,70.8,70.9,1450200
11/18/2014,70.5,71.9,68.7,68.9,1111600
11/19/2014,70.0,70.6,67.7,67.9,1219600
11/20/2014,69.7,70.0,67.9,69.2,848000
