Date,Open,High,Low,Close,Volume
10/1/2012,56.2,57.7,53.6,57.0,239200
10/2/2012,59.0,60.0,58.1,59.5,377800
10/3/2012,60.9,62.0,58.0,58.6,842400
10/4/2012,59.9,60.7,57.6,58.8,223800
10/7/2012,58.6,58.8,55.5,56.1,217300
10/8/2012,57.4,58.0,53.4,54.9,221300
10/9/2012,56.4,58.0,56.2,56.5,183000
10/10/2012,56.9,57.5,54.6,55.0,134200
10/11/2012,54.5,55.9,53.1,54.0,317700
10/14/2012,54.3,55.5,54.0,54.3,336600
10/15/2012,55.1,57.5,55.1,56.3,237400
10/16/2012,56.9,58.0,56.3,57.1,339600
10/17/2012,58.2,61.1,58.0,59.2,1203100
10/18/2012,59.2,60.5,58.0,58.3,292100
10/21/2012,60.3,60.3,56.2,56.7,120100
10/22/2012,56.0,57.9,55.9,56.7,272400
10/23/2012,56.8,57.7,56.5,56.8,184400
10/30/2012,56.5,56.9,55.8,56.0,126500
10/31/2012,55.5,56.2,54.4,54.7,272100
11/1/2012,56.4,56.4,54.6,54.9,74500
11/4/2012,57.8,57.8,52.2,53.7,86400
11/5/2012,56.7,56.7,52.1,53.0,105100
11/6/2012,53.2,53.4,51.1,51.6,203100
11/7/2012,52.0,52.0,49.9,50.2,92500
11/8/2012,51.5,51.5,49.4,49.5,73700
11/11/2012,49.0,51.4,47.6,47.8,98700
11/12/2012,48.0,49.5,47.5,48.0,87000
11/13/2012,48.4,50.0,47.7,49.5,89200
11/14/2012,49.9,49.9,48.4,49.3,28400
11/15/2012,48.7,51.2,48.5,50.4,79800
11/18/2012,50.8,52.0,50.5,51.0,146900
11/19/2012,49.1,50.4,48.2,48.6,90700
11/20/2012,49.0,49.1,47.3,47.4,88200
11/21/2012,48.0,48.9,46.2,46.8,94100
11/22/2012,48.1,48.6,46.0,46.5,74600
11/26/2012,46.8,47.3,44.4,44.8,66900
11/27/2012,43.0,44.6,43.0,43.6,31900
11/28/2012,45.4,45.9,43.2,43.3,47500
11/29/2012,45.3,47.6,45.0,47.2,126000
12/2/2012,46.1,48.3,45.0,45.6,55300
12/3/2012,45.4,45.4,44.2,44.3,31700
12/4/2012,44.0,44.8,43.3,44.1,23200
12/5/2012,45.0,45.0,43.9,44.1,83600
12/6/2012,43.8,45.0,43.6,44.1,39600
12/9/2012,44.0,44.1,43.4,43.7,33800
12/10/2012,43.5,43.7,42.1,42.3,38000
12/11/2012,42.5,43.8,42.0,43.1,36700
12/12/2012,43.8,44.0,42.8,43.2,22400
12/13/2012,43.2,44.0,42.5,43.5,36700
12/17/2012,44.6,45.6,44.6,45.2,99000
12/18/2012,45.0,45.1,44.0,44.1,44500
12/19/2012,44.5,45.3,44.5,44.9,67800
12/20/2012,45.5,46.7,45.2,45.8,126400
12/23/2012,45.5,45.7,44.5,44.6,37300
12/24/2012,46.4,46.4,44.3,45.0,53400
12/26/2012,45.0,46.0,44.5,45.3,42500
12/27/2012,45.9,46.0,45.4,45.7,102600
12/30/2012,46.3,46.5,45.6,45.9,87800
1/1/2013,46.2,46.2,45.3,45.4,50900
1/2/2013,43.5,45.4,43.5,44.4,32700
1/3/2013,44.0,44.9,44.0,44.6,66300
1/6/2013,45.4,45.4,44.6,44.8,35500
1/7/2013,44.0,44.4,43.9,44.1,25200
1/8/2013,44.4,44.5,43.8,43.9,29800
1/9/2013,44.1,44.1,43.0,43.5,20500
1/10/2013,43.3,44.7,43.1,44.2,35900
1/13/2013,43.5,45.0,43.3,43.3,32100
1/14/2013,43.5,43.7,43.0,43.2,54400
1/15/2013,43.1,44.0,43.0,43.9,24500
1/16/2013,44.0,45.2,43.9,44.7,97800
1/17/2013,45.0,46.9,44.9,46.6,237300
1/20/2013,46.8,46.8,45.3,45.8,78300
1/21/2013,45.5,46.1,45.4,45.7,32000
1/22/2013,45.2,46.5,45.2,46.3,88000
1/23/2013,47.0,48.8,46.9,48.2,292300
1/24/2013,48.6,49.2,48.0,48.8,195400
1/27/2013,48.2,49.4,48.2,48.9,123600
1/28/2013,48.8,50.7,48.7,49.7,158800
1/29/2013,50.2,51.3,50.1,50.6,337000
1/30/2013,51.1,51.7,50.6,51.2,370000
1/31/2013,51.1,53.2,50.9,52.8,236200
2/3/2013,52.7,54.6,52.7,54.2,284600
2/4/2013,55.2,55.2,52.5,52.8,161600
2/5/2013,51.9,53.2,51.9,52.8,124500
2/6/2013,53.3,53.5,52.0,52.1,144800
2/7/2013,53.3,53.3,51.2,51.4,136900
2/10/2013,52.0,52.6,51.6,51.9,284500
2/11/2013,52.1,53.8,52.0,53.0,315200
2/12/2013,53.7,54.3,52.4,52.6,188800
2/13/2013,52.7,53.4,52.0,52.4,223700
2/14/2013,53.3,54.5,52.8,54.0,327200
2/17/2013,55.2,55.2,52.6,53.5,288000
2/18/2013,53.5,53.8,51.9,52.1,175200
2/19/2013,52.9,53.0,50.5,51.0,308700
2/20/2013,51.7,52.1,49.9,50.2,178800
2/24/2013,51.4,51.4,47.6,48.0,164900
2/25/2013,49.3,49.3,46.5,46.6,120100
2/26/2013,47.7,49.0,46.2,48.8,107800
2/27/2013,48.6,49.0,45.6,46.5,243500
2/28/2013,46.0,47.7,45.3,46.9,131500
3/3/2013,45.6,45.6,42.6,43.2,81500
3/4/2013,43.5,45.5,43.1,44.9,50800
3/5/2013,45.5,46.3,44.6,44.7,51100
3/6/2013,44.1,45.4,43.7,44.0,46700
3/7/2013,44.0,44.7,43.4,44.3,40600
3/10/2013,43.9,44.4,43.1,43.3,37300
3/11/2013,42.8,43.8,40.3,42.6,73800
3/12/2013,41.4,42.8,41.3,42.0,55800
3/13/2013,42.8,44.0,42.3,43.1,120600
3/14/2013,44.0,44.7,43.4,43.7,228000
3/18/2013,47.5,47.5,44.0,44.0,63400
3/19/2013,44.5,44.7,44.0,44.1,77300
3/20/2013,44.0,44.3,43.2,43.5,88200
3/24/2013,42.8,43.8,40.6,41.0,80300
3/25/2013,41.6,41.6,38.2,38.9,91000
3/27/2013,37.5,39.7,37.2,37.5,163100
3/31/2013,30.1,31.1,30.0,30.1,157000
4/1/2013,29.5,29.5,28.0,28.3,70500
4/2/2013,30.0,30.0,28.7,29.5,44000
4/3/2013,29.5,30.7,29.5,29.8,72600
4/4/2013,29.0,29.9,28.7,29.5,71100
4/7/2013,29.0,30.6,29.0,29.9,50000
4/8/2013,30.0,30.8,30.0,30.5,40900
4/9/2013,30.5,31.9,30.5,31.6,87600
4/10/2013,32.5,32.9,31.6,31.8,118500
4/11/2013,32.9,33.0,31.6,31.9,63500
4/15/2013,32.7,34.7,32.0,34.0,149400
4/16/2013,33.3,33.8,32.7,32.7,79500
4/17/2013,33.5,34.0,32.6,33.0,70800
4/18/2013,32.7,33.3,32.5,32.6,48700
4/21/2013,32.5,32.6,31.5,31.8,40100
4/22/2013,31.7,32.0,31.2,31.6,48600
4/23/2013,32.0,32.5,31.3,31.4,27000
4/24/2013,31.5,31.5,30.6,30.9,52500
4/25/2013,30.9,31.6,30.5,30.8,31500
4/28/2013,30.0,30.3,29.7,30.0,33900
4/29/2013,30.5,30.7,29.8,30.4,41700
4/30/2013,30.2,31.9,30.2,30.9,42900
5/2/2013,30.7,32.0,30.7,31.7,99100
5/5/2013,32.0,32.7,31.9,32.4,103500
5/6/2013,32.4,32.4,31.5,31.6,32100
5/7/2013,32.0,32.5,31.7,32.1,46300
5/8/2013,32.5,32.7,31.5,31.8,57200
5/9/2013,32.0,32.2,31.6,32.0,82000
5/12/2013,33.9,34.9,32.7,34.6,222900
5/13/2013,34.0,36.0,34.0,35.5,196900
5/14/2013,34.5,38.4,34.5,37.8,355300
5/15/2013,37.5,38.3,35.8,36.0,161200
5/16/2013,36.1,38.5,35.5,37.8,232100
5/19/2013,37.4,38.2,37.0,37.8,240600
5/20/2013,38.0,38.3,36.5,36.8,161400
5/21/2013,36.5,37.0,34.8,35.3,131200
5/22/2013,35.4,36.0,34.0,34.9,159100
5/26/2013,35.0,35.0,33.3,33.3,87800
5/27/2013,34.0,34.8,33.7,34.0,62900
5/28/2013,35.0,35.6,33.9,34.2,50600
5/29/2013,35.0,35.8,35.0,35.3,201500
5/30/2013,36.4,36.4,35.0,35.3,114200
6/2/2013,35.6,36.3,35.0,36.0,174300
6/3/2013,36.5,36.5,35.2,35.4,155200
6/4/2013,35.8,35.8,34.4,34.6,300600
6/5/2013,34.5,35.7,34.5,35.0,103900
6/6/2013,35.7,36.3,34.9,34.9,271600
6/9/2013,35.0,35.1,33.3,33.5,122300
6/10/2013,33.6,35.0,33.6,34.9,154900
6/11/2013,35.1,35.8,34.8,35.6,255400
6/12/2013,35.7,37.7,35.6,37.1,557800
6/13/2013,37.9,40.3,36.9,38.8,856800
6/16/2013,40.0,40.0,38.5,38.8,249300
6/17/2013,39.0,39.5,37.1,37.4,374400
6/18/2013,37.3,37.9,36.1,36.4,323200
6/19/2013,37.9,37.9,36.5,36.7,222800
6/20/2013,37.0,37.3,34.7,35.4,176900
6/23/2013,36.9,36.9,34.0,34.3,304400
6/24/2013,33.9,35.0,33.9,34.9,115800
6/26/2013,37.8,37.8,34.5,34.6,262400
6/27/2013,34.7,35.0,34.0,34.1,170000
6/30/2013,33.6,34.2,33.5,33.7,120400
7/2/2013,35.1,35.6,34.2,34.7,164500
7/3/2013,35.5,35.5,34.6,34.7,166800
7/4/2013,35.2,37.5,34.9,37.0,415000
7/7/2013,37.0,38.7,36.7,36.9,327600
7/8/2013,37.5,37.5,35.5,35.7,163500
7/9/2013,36.1,38.5,35.0,36.5,451700
7/10/2013,37.3,37.5,35.7,36.0,240100
7/11/2013,36.8,36.8,34.9,35.0,190000
7/14/2013,34.2,35.3,33.6,33.9,160200
7/15/2013,34.6,35.4,34.0,34.4,200900
7/16/2013,35.5,37.1,34.8,35.3,282900
7/17/2013,35.5,38.0,35.5,37.2,827600
7/18/2013,37.2,37.6,36.0,36.4,209000
7/21/2013,37.4,37.4,34.2,34.6,270600
7/22/2013,35.0,35.0,33.5,33.9,149100
7/23/2013,34.0,34.6,32.9,33.0,114600
7/24/2013,33.2,34.6,33.2,34.2,106000
7/25/2013,34.4,34.6,32.9,33.1,84400
7/28/2013,33.0,34.0,31.5,32.1,49600
7/29/2013,32.5,33.6,32.5,32.9,55700
7/30/2013,33.5,33.5,32.2,32.2,69600
7/31/2013,33.3,33.3,31.1,32.1,171100
8/1/2013,31.7,32.3,31.7,32.2,24400
8/4/2013,31.2,32.3,31.2,31.9,18700
8/5/2013,32.7,32.7,31.5,32.2,69000
8/12/2013,32.2,32.8,31.8,32.6,16200
8/13/2013,32.7,32.9,32.2,32.4,61800
8/14/2013,32.1,32.6,32.1,32.4,87200
8/18/2013,32.9,33.2,32.7,32.9,106000
8/19/2013,32.6,33.0,32.5,32.5,108900
8/20/2013,33.0,33.4,32.5,32.5,106500
8/21/2013,32.9,33.0,32.2,32.3,73800
8/22/2013,32.5,33.4,32.4,33.0,147100
8/25/2013,33.8,34.7,33.1,34.2,338900
8/26/2013,34.8,35.4,33.5,33.6,240000
8/27/2013,33.7,34.1,32.8,33.0,137900
8/29/2013,33.0,33.2,32.1,32.4,172300
9/1/2013,31.6,33.1,31.6,32.1,108100
9/2/2013,32.3,32.9,32.0,32.1,126100
9/3/2013,32.0,32.5,32.0,32.1,54800
9/4/2013,32.4,32.7,31.9,32.0,144100
9/5/2013,32.5,32.6,31.7,31.9,128100
9/8/2013,31.9,32.0,31.5,31.7,65100
9/9/2013,32.0,32.2,31.3,31.8,112500
9/10/2013,32.0,32.3,31.7,31.7,95900
9/11/2013,31.8,33.4,31.6,32.4,190900
9/12/2013,32.5,33.6,32.4,33.2,211400
9/15/2013,33.6,35.6,33.5,35.2,502900
9/16/2013,35.2,35.6,34.1,34.5,164800
9/17/2013,34.0,34.9,33.4,33.5,99800
9/18/2013,33.9,34.5,33.1,33.2,81800
9/19/2013,33.5,33.8,32.7,33.2,74300
9/22/2013,32.8,33.5,32.4,32.5,89600
9/23/2013,32.4,33.6,32.0,33.2,226000
9/24/2013,33.9,35.4,33.9,34.1,387100
9/25/2013,33.5,35.8,30.9,34.3,297000
9/26/2013,34.7,34.8,33.5,33.7,67300
9/29/2013,33.8,34.5,33.3,33.5,117100
9/30/2013,33.3,33.3,32.5,32.6,32700
10/1/2013,33.5,34.3,32.6,33.4,119800
10/2/2013,33.9,34.7,33.0,33.3,299900
10/3/2013,33.7,33.7,32.8,32.9,137000
10/6/2013,32.7,33.0,32.3,32.4,55100
10/7/2013,32.6,32.7,31.8,31.9,50400
10/8/2013,31.7,32.2,30.9,31.1,186200
10/9/2013,31.4,32.1,31.0,31.3,90000
10/10/2013,31.4,31.7,31.2,31.5,30900
10/20/2013,31.9,31.9,30.5,30.6,50000
10/21/2013,30.2,31.5,29.9,31.0,72200
10/22/2013,31.2,31.6,30.5,31.3,55600
10/23/2013,31.4,31.6,30.6,31.1,61200
10/24/2013,31.0,31.3,30.6,30.6,80000
10/27/2013,31.0,32.0,30.8,31.6,41500
10/28/2013,31.9,32.3,31.3,31.3,58900
10/29/2013,31.6,32.0,31.2,31.2,130700
10/30/2013,31.9,32.3,31.3,31.8,138800
10/31/2013,31.6,32.9,31.6,32.7,97300
11/3/2013,32.6,32.8,32.2,32.5,93100
11/4/2013,32.3,32.7,32.0,32.2,110700
11/5/2013,32.5,33.5,32.5,32.6,157200
11/6/2013,32.7,32.9,32.5,32.6,66600
11/7/2013,32.4,34.5,32.3,34.3,332400
11/10/2013,34.7,35.8,34.0,35.6,588700
11/11/2013,35.5,37.0,34.8,35.0,359200
11/12/2013,34.5,35.1,34.1,34.2,106000
11/13/2013,34.1,35.2,33.9,34.1,158200
11/14/2013,35.8,35.8,33.9,34.0,172500
11/17/2013,34.5,34.9,34.0,34.2,142500
11/18/2013,34.5,35.4,34.2,34.6,150900
11/19/2013,34.9,35.0,34.4,34.6,248000
11/20/2013,34.7,35.8,34.7,35.6,338800
11/21/2013,34.9,35.6,34.6,34.7,214400
11/24/2013,34.0,35.6,34.0,34.5,145700
11/25/2013,34.5,35.0,34.4,34.5,160400
11/26/2013,34.5,34.8,33.9,34.0,145700
11/27/2013,34.0,34.3,33.5,33.6,109200
11/28/2013,34.2,34.2,33.3,33.8,49800
12/1/2013,33.2,33.8,33.0,33.0,51900
12/2/2013,33.5,33.6,32.5,32.9,68100
12/3/2013,33.5,34.5,33.5,34.2,117300
12/4/2013,34.9,34.9,33.7,33.9,38100
12/5/2013,33.5,34.1,33.2,33.3,63800
12/8/2013,33.6,34.0,33.5,33.7,80700
12/9/2013,34.4,34.4,33.2,33.4,139600
12/10/2013,33.4,34.3,33.4,33.8,179400
12/11/2013,34.0,34.5,33.7,34.3,180800
12/12/2013,34.3,36.0,34.0,34.7,253900
12/15/2013,35.0,35.3,34.6,34.8,256200
12/17/2013,35.2,35.2,34.3,34.3,153300
12/18/2013,35.3,35.3,34.2,34.4,94000
12/19/2013,34.8,34.8,33.7,34.0,121500
12/22/2013,34.2,34.5,34.0,34.1,138500
12/23/2013,34.3,34.7,33.9,34.1,75200
12/24/2013,34.2,34.5,33.6,33.7,71000
12/26/2013,33.9,34.5,33.2,33.3,43800
12/29/2013,33.7,33.7,32.9,33.2,91600
12/30/2013,34.0,34.2,33.6,33.6,40200
1/1/2014,34.3,34.3,33.8,34.0,55500
1/2/2014,34.0,34.0,33.7,33.8,96900
1/6/2014,33.8,33.8,33.4,33.5,37100
1/7/2014,33.5,34.5,33.5,34.2,111900
1/8/2014,34.4,34.9,34.4,34.5,158500
1/9/2014,35.0,35.0,34.4,34.6,164000
1/12/2014,34.5,35.5,34.4,34.5,188900
1/13/2014,34.6,35.0,34.4,34.5,77600
1/15/2014,34.9,35.0,34.4,34.5,186000
1/16/2014,34.6,35.4,34.3,35.2,193800
1/19/2014,35.7,36.8,35.3,35.9,409700
1/20/2014,35.8,36.2,35.4,35.6,201300
1/21/2014,35.7,38.0,35.6,37.6,875700
1/22/2014,38.0,38.5,37.6,37.8,566700
1/23/2014,37.0,37.8,37.0,37.7,271200
1/26/2014,38.1,38.8,37.6,37.9,415100
1/27/2014,38.4,38.4,37.3,37.5,627500
1/28/2014,38.0,38.0,36.8,36.9,272000
1/29/2014,37.0,37.9,36.9,37.6,234600
1/30/2014,37.7,39.0,37.6,38.3,377500
2/2/2014,38.6,40.0,38.1,39.5,601800
2/3/2014,40.2,41.9,40.0,41.1,881800
2/4/2014,41.3,41.9,40.0,40.1,888500
2/5/2014,40.8,40.8,39.6,40.5,290200
2/6/2014,40.7,41.4,39.8,39.9,389200
2/9/2014,40.2,40.4,38.1,38.7,338400
2/10/2014,40.1,40.1,38.3,38.5,180100
2/11/2014,38.7,39.0,38.1,38.3,116100
2/12/2014,38.6,39.0,37.0,37.5,110400
2/13/2014,38.0,38.7,37.0,38.0,94100
2/16/2014,39.0,39.0,37.0,37.5,127900
2/17/2014,37.8,38.2,37.1,37.2,71800
2/18/2014,37.0,37.6,36.9,37.0,54900
2/19/2014,36.9,37.5,36.8,37.0,83800
2/20/2014,37.4,37.7,37.2,37.3,77100
2/23/2014,37.1,37.7,36.8,36.9,87800
2/24/2014,37.9,37.9,36.8,37.2,110600
2/25/2014,37.1,37.4,37.1,37.2,77000
2/26/2014,37.6,37.6,36.5,36.5,108200
2/27/2014,36.4,36.9,35.4,35.6,138300
3/2/2014,35.8,35.8,34.0,34.1,193400
3/3/2014,35.0,36.8,34.0,35.0,78100
3/4/2014,35.2,36.0,34.8,35.7,77700
3/5/2014,35.5,35.5,34.6,34.7,42900
3/6/2014,34.7,35.0,34.0,34.2,68200
3/9/2014,35.3,35.3,32.8,33.3,90900
3/10/2014,33.6,34.0,33.2,33.6,57000
