Date,Open,High,Low,Close,Volume
10/1/2012,130.0,133.0,127.0,128.8,31000
10/2/2012,127.1,134.8,126.7,131.4,46500
10/3/2012,135.5,135.5,129.0,130.1,28000
10/4/2012,130.2,131.5,128.0,129.8,35000
10/7/2012,129.0,130.0,128.1,128.9,32000
10/8/2012,128.8,130.0,119.0,124.6,22500
10/9/2012,123.0,128.9,121.0,124.2,43000
10/10/2012,124.7,125.0,121.6,123.1,25000
10/11/2012,127.1,127.1,120.6,121.3,23000
10/14/2012,121.6,122.0,118.1,120.6,10000
10/15/2012,120.0,122.0,118.0,118.8,29000
10/16/2012,115.1,120.4,115.1,117.3,21000
10/17/2012,118.5,118.5,117.7,118.1,4000
10/18/2012,116.0,123.0,115.0,118.8,13000
10/21/2012,118.1,121.7,118.1,119.8,11000
10/22/2012,117.5,120.1,116.0,119.5,13000
10/23/2012,115.3,125.0,115.3,123.6,11500
10/30/2012,118.3,123.1,118.2,119.9,4000
10/31/2012,121.1,123.9,121.1,122.6,4500
11/1/2012,121.1,128.7,121.0,126.3,36500
11/4/2012,126.2,126.2,122.0,124.0,10000
11/5/2012,122.2,122.2,122.2,122.2,500
11/6/2012,122.1,125.0,121.5,122.2,18500
11/7/2012,121.5,121.5,121.4,121.4,1500
11/8/2012,122.0,123.7,117.7,121.3,2000
11/11/2012,115.5,115.5,115.5,115.5,2000
11/12/2012,115.6,115.7,114.0,115.3,2500
11/13/2012,118.0,119.9,116.8,118.4,7000
11/14/2012,118.1,118.1,115.7,116.9,7500
11/15/2012,117.2,119.9,115.6,117.4,33000
11/18/2012,117.1,122.0,117.0,119.9,8000
11/19/2012,117.0,117.9,116.1,116.7,7500
11/20/2012,115.5,116.7,115.0,115.9,14000
11/21/2012,115.0,116.5,114.9,115.9,14000
11/22/2012,116.0,116.9,113.0,116.0,8000
11/26/2012,115.0,116.5,113.2,115.2,4500
11/27/2012,116.0,116.5,113.3,114.7,3500
11/28/2012,115.7,116.0,113.0,114.8,10000
11/29/2012,119.7,119.7,116.5,117.1,4500
12/2/2012,116.1,116.1,113.5,115.3,4500
12/3/2012,118.7,118.7,114.1,117.3,8500
12/4/2012,113.9,117.0,113.9,115.4,1000
12/6/2012,112.1,115.5,112.1,114.6,5000
12/9/2012,114.0,115.8,110.6,113.8,4000
12/10/2012,114.0,114.0,110.6,112.3,10000
12/11/2012,115.0,115.0,114.1,114.6,7500
12/12/2012,115.0,115.0,112.6,114.3,12500
12/13/2012,115.0,115.0,112.1,113.1,4500
12/17/2012,115.4,115.4,114.5,114.7,7000
12/18/2012,114.8,115.3,114.8,115.0,11000
12/19/2012,120.0,120.0,115.8,119.1,3500
12/20/2012,118.0,118.0,116.0,117.2,4500
12/23/2012,118.0,118.0,115.8,117.1,14500
12/24/2012,118.0,120.0,118.0,119.5,6500
12/26/2012,120.0,123.0,119.8,120.7,5500
12/27/2012,120.2,120.5,120.0,120.0,16500
12/30/2012,121.0,122.8,121.0,122.3,8000
1/1/2013,118.3,119.4,118.3,119.0,4000
1/2/2013,120.0,120.0,118.1,119.0,13500
1/3/2013,119.8,119.8,118.5,119.1,2000
1/6/2013,118.5,118.5,118.0,118.2,2000
1/7/2013,118.8,120.0,118.6,119.0,2000
1/8/2013,116.2,121.5,116.2,119.2,7500
1/9/2013,119.2,119.2,118.0,118.7,2000
1/13/2013,118.9,118.9,118.0,118.5,3000
1/14/2013,117.0,122.7,116.2,117.8,9000
1/15/2013,120.0,120.0,118.1,119.2,4000
1/16/2013,118.8,119.0,116.6,117.7,3000
1/17/2013,117.6,118.0,117.6,117.6,3500
1/21/2013,117.1,117.1,117.1,117.1,500
1/22/2013,120.5,121.5,119.2,120.6,7000
1/23/2013,126.0,126.0,122.7,124.0,6000
1/24/2013,124.0,129.0,124.0,127.0,18000
1/27/2013,129.3,135.0,129.3,133.7,69000
1/28/2013,133.0,137.5,132.0,135.8,54500
1/29/2013,135.0,135.4,132.0,133.2,14000
1/30/2013,131.0,131.9,128.8,130.2,4000
1/31/2013,130.0,130.0,128.0,128.5,13000
2/3/2013,128.0,133.5,128.0,132.7,9500
2/4/2013,132.0,132.0,128.5,130.5,6500
2/5/2013,131.8,131.8,129.6,130.0,3000
2/6/2013,134.8,134.9,130.3,133.1,15500
2/7/2013,133.1,133.4,131.5,132.3,9000
2/10/2013,132.4,142.0,132.4,140.5,26000
2/11/2013,140.9,141.9,140.9,141.1,7500
2/12/2013,142.8,142.9,135.2,139.0,11500
2/13/2013,135.0,135.0,134.5,134.7,1000
2/14/2013,138.8,138.9,135.0,135.4,19000
2/17/2013,135.1,137.0,133.1,135.1,20500
2/18/2013,139.5,139.5,134.0,136.5,16000
2/19/2013,132.3,134.0,131.1,132.3,9500
2/20/2013,130.4,130.4,128.5,129.9,5000
2/25/2013,125.0,125.0,125.0,125.0,500
2/26/2013,128.5,129.1,128.4,128.7,3500
2/27/2013,126.0,126.0,125.0,125.3,7000
3/3/2013,116.1,120.0,116.1,118.0,3000
3/4/2013,120.0,120.0,119.9,119.9,1500
3/5/2013,120.0,121.0,120.0,120.0,5500
3/6/2013,117.3,117.3,117.0,117.1,3000
3/7/2013,120.0,120.0,120.0,120.0,500
3/10/2013,120.0,120.0,114.5,117.0,9000
3/11/2013,112.0,115.9,112.0,114.7,3000
3/12/2013,115.2,115.2,114.7,115.0,5000
3/13/2013,116.0,118.0,115.0,116.0,8000
3/14/2013,115.1,117.5,115.0,115.4,4000
3/18/2013,118.0,118.0,117.9,117.9,7500
3/19/2013,119.0,121.4,119.0,120.5,6500
3/20/2013,116.0,117.8,116.0,117.5,4500
3/24/2013,115.2,115.5,115.2,115.4,2500
3/25/2013,115.7,115.7,115.7,115.7,500
3/28/2013,115.0,115.0,114.2,114.5,1500
3/31/2013,111.9,111.9,110.0,110.5,18000
4/1/2013,108.2,108.2,108.1,108.1,9000
4/2/2013,108.1,110.0,105.1,109.1,9500
4/3/2013,109.1,112.0,109.0,110.1,15500
4/4/2013,108.2,109.6,107.2,107.6,14500
4/7/2013,107.0,107.0,107.0,107.0,1500
4/8/2013,109.8,109.9,106.6,109.1,8000
4/9/2013,117.8,117.8,109.1,109.9,9000
4/10/2013,110.9,110.9,110.9,110.9,3000
4/11/2013,111.0,116.0,108.2,110.6,11500
4/15/2013,118.2,118.2,110.5,110.8,17500
4/16/2013,109.0,109.0,107.8,108.4,2000
4/17/2013,108.0,108.0,108.0,108.0,1000
4/18/2013,106.8,106.8,105.5,106.1,7500
4/21/2013,107.6,107.6,106.9,107.4,10500
4/22/2013,107.5,108.5,107.0,108.0,10500
4/23/2013,107.9,110.0,107.1,108.5,18500
4/24/2013,107.2,107.2,107.2,107.2,6000
4/25/2013,108.4,109.9,106.0,108.5,12500
4/28/2013,109.5,111.9,108.0,110.4,10000
4/29/2013,110.5,115.5,110.5,114.6,14500
4/30/2013,115.0,115.7,111.1,113.7,23000
5/2/2013,114.6,115.0,112.1,114.2,7000
5/5/2013,113.0,120.0,113.0,116.2,56500
5/6/2013,114.6,116.2,114.6,115.3,9500
5/7/2013,120.0,120.4,116.3,119.3,27500
5/8/2013,119.0,119.0,115.8,116.3,12000
5/9/2013,115.0,118.9,115.0,117.4,10000
5/12/2013,117.4,121.9,117.4,120.8,25000
5/13/2013,127.0,127.0,119.0,120.5,55500
5/14/2013,125.0,131.8,123.6,125.4,13500
5/15/2013,134.9,134.9,120.4,124.0,17000
