Date,Open,High,Low,Close,Volume
10/1/2012,54.7,56.4,54.0,56.0,584500
10/2/2012,58.3,58.3,55.7,56.2,554500
10/3/2012,55.7,57.0,54.8,55.1,467500
10/4/2012,55.8,56.8,53.5,54.1,427500
10/7/2012,54.6,55.1,52.0,53.0,437500
10/8/2012,53.1,54.0,51.2,51.7,316500
10/9/2012,53.8,54.7,52.8,54.1,333500
10/10/2012,55.0,55.0,52.7,53.0,384000
10/11/2012,53.0,53.2,51.3,51.6,249500
10/14/2012,52.0,53.9,51.8,52.8,434500
10/15/2012,54.0,55.2,53.2,54.1,442500
10/16/2012,55.0,55.1,53.2,53.6,225500
10/17/2012,53.5,53.9,51.8,52.1,173500
10/18/2012,52.0,53.0,51.5,51.7,232500
10/21/2012,51.8,52.0,51.4,51.7,112500
10/22/2012,51.9,52.6,51.0,51.8,146500
10/23/2012,52.5,53.0,52.1,52.4,140000
10/30/2012,52.0,53.5,52.0,52.6,187000
10/31/2012,52.5,53.6,52.5,53.2,156000
11/1/2012,53.2,54.0,52.7,53.6,184500
11/4/2012,53.7,56.3,53.7,54.9,640000
11/5/2012,54.4,55.3,54.1,54.3,222500
11/6/2012,54.3,54.6,53.2,53.4,155000
11/7/2012,53.5,54.5,52.3,52.5,161000
11/8/2012,52.6,53.0,50.8,51.2,193000
11/11/2012,51.5,51.8,49.9,50.1,201000
11/12/2012,51.5,51.5,48.1,48.6,347500
11/13/2012,49.1,51.8,48.4,51.5,267500
11/14/2012,51.5,52.5,51.0,51.4,265500
11/15/2012,51.7,52.0,50.6,51.9,187000
11/18/2012,51.9,52.5,51.1,51.4,342000
11/19/2012,51.0,51.0,48.5,48.6,159000
11/20/2012,48.9,50.0,48.0,48.2,144000
11/21/2012,50.0,50.0,47.8,48.3,93000
11/22/2012,49.4,50.0,48.2,48.5,177000
11/26/2012,48.5,49.7,47.6,47.7,141500
11/27/2012,47.3,48.4,46.7,46.8,116500
11/28/2012,47.4,48.4,46.5,46.9,122500
11/29/2012,48.0,51.1,48.0,50.3,331500
12/2/2012,51.6,51.7,49.1,49.4,254500
12/3/2012,48.9,49.1,47.9,47.9,129500
12/4/2012,48.0,48.6,47.2,48.3,119000
12/5/2012,47.8,50.5,47.8,49.8,266500
12/6/2012,48.3,49.3,47.6,47.8,205500
12/9/2012,47.2,47.5,46.2,46.3,102500
12/10/2012,46.1,47.2,45.5,45.5,127500
