Date,Open,High,Low,Close,Volume
10/2/2012,14.7,14.7,14.4,14.5,2000
10/3/2012,15.4,15.4,15.3,15.3,2500
10/4/2012,15.3,15.4,15.3,15.3,5500
10/7/2012,15.7,15.7,14.5,15.1,15000
10/8/2012,15.0,15.1,15.0,15.0,2000
10/9/2012,15.9,15.9,14.5,15.3,11000
10/10/2012,16.5,16.5,15.0,15.5,2500
10/11/2012,15.5,15.5,15.0,15.1,2500
10/14/2012,15.5,15.7,14.8,15.5,19500
10/15/2012,15.0,15.5,15.0,15.4,2500
10/16/2012,15.1,15.8,15.1,15.5,14500
10/17/2012,15.0,15.5,15.0,15.2,3500
10/18/2012,15.0,15.3,14.8,15.2,76500
10/21/2012,16.0,16.0,15.8,15.9,2500
10/22/2012,15.9,16.1,15.7,16.0,32500
10/23/2012,16.2,16.2,15.7,15.9,10500
10/30/2012,15.1,15.1,15.1,15.1,500
10/31/2012,15.2,16.3,15.2,16.0,18000
11/1/2012,15.2,15.6,14.8,15.1,114000
11/4/2012,15.0,15.0,15.0,15.0,8000
11/5/2012,15.9,15.9,15.9,15.9,500
11/6/2012,15.0,15.7,15.0,15.0,34000
11/7/2012,15.0,15.0,15.0,15.0,20500
11/8/2012,14.9,15.1,14.9,15.0,15000
11/11/2012,15.0,15.0,14.7,14.7,2000
11/12/2012,13.7,13.7,13.7,13.7,1000
11/13/2012,14.1,14.8,14.1,14.5,1500
11/14/2012,14.7,15.0,14.7,14.8,3000
11/15/2012,15.1,15.3,14.9,15.1,6000
11/18/2012,14.6,15.4,14.6,15.0,9500
11/19/2012,15.5,15.9,15.5,15.7,45500
11/20/2012,15.6,15.6,14.2,14.6,6000
11/21/2012,14.0,14.0,13.3,13.7,12500
11/22/2012,14.0,14.0,14.0,14.0,500
11/27/2012,14.2,14.2,14.2,14.2,500
11/28/2012,14.0,14.0,13.3,13.7,7000
11/29/2012,14.3,15.0,14.3,14.6,21000
12/2/2012,14.9,14.9,14.6,14.8,4000
12/3/2012,14.7,15.3,14.7,14.9,9500
12/5/2012,15.0,15.0,14.3,14.6,1000
12/6/2012,14.3,15.1,14.3,14.7,3500
12/9/2012,15.0,15.0,14.4,14.9,15000
12/10/2012,14.9,14.9,14.8,14.8,12000
12/11/2012,15.0,15.0,15.0,15.0,16500
12/12/2012,15.0,15.0,15.0,15.0,6500
12/19/2012,15.5,15.5,15.5,15.5,3000
12/20/2012,15.4,15.4,15.3,15.3,5500
12/23/2012,14.8,15.0,14.8,14.9,3000
12/27/2012,15.0,15.0,15.0,15.0,500
1/1/2013,15.1,15.1,15.1,15.1,3500
1/2/2013,15.1,15.5,15.1,15.3,4500
1/3/2013,15.0,15.0,15.0,15.0,6000
1/6/2013,15.0,15.0,15.0,15.0,1500
1/7/2013,15.0,15.5,15.0,15.3,7000
1/8/2013,14.1,15.4,14.1,14.6,4500
1/13/2013,15.3,15.4,15.3,15.3,3000
1/14/2013,15.9,15.9,15.5,15.5,2500
1/15/2013,15.0,15.5,15.0,15.4,6500
1/16/2013,15.5,15.5,15.5,15.5,3500
1/17/2013,15.0,15.8,15.0,15.2,5500
1/21/2013,15.1,15.1,15.1,15.1,500
1/22/2013,15.5,15.5,15.5,15.5,3000
1/23/2013,15.2,15.2,15.2,15.2,5000
1/24/2013,15.2,15.2,15.2,15.2,1000
1/28/2013,15.5,15.7,15.2,15.6,35500
1/29/2013,15.0,15.9,15.0,15.8,5500
1/30/2013,15.0,15.0,15.0,15.0,500
1/31/2013,15.4,15.4,15.4,15.4,500
2/3/2013,15.0,15.0,15.0,15.0,1500
2/7/2013,14.6,14.6,14.6,14.6,1000
2/10/2013,15.3,15.3,14.7,15.1,3500
2/12/2013,14.9,15.0,14.5,14.8,7500
2/14/2013,14.8,14.8,14.2,14.6,9000
2/17/2013,15.4,15.4,14.1,14.7,1000
3/10/2013,15.1,15.1,15.1,15.1,500
3/18/2013,14.0,14.0,14.0,14.0,500
3/25/2013,14.0,14.0,14.0,14.0,5500
3/27/2013,14.0,14.0,14.0,14.0,4500
4/17/2013,13.6,13.6,13.6,13.6,1000
5/26/2013,14.0,14.0,13.9,13.9,12000
5/28/2013,12.7,12.7,12.7,12.7,500
5/30/2013,12.8,12.8,12.7,12.7,2500
6/5/2013,12.7,12.7,12.7,12.7,500
6/11/2013,12.8,12.8,12.8,12.8,500
6/12/2013,13.2,13.7,13.1,13.5,4000
6/13/2013,13.5,13.5,13.5,13.5,500
6/17/2013,13.6,13.6,13.6,13.6,1000
6/18/2013,13.0,13.4,13.0,13.0,3500
6/19/2013,12.8,14.0,12.8,13.8,7000
6/20/2013,14.0,14.0,13.0,13.5,1000
6/24/2013,14.0,14.0,14.0,14.0,500
6/26/2013,12.8,12.8,12.6,12.6,2000
6/27/2013,13.8,13.8,13.8,13.8,500
7/2/2013,12.8,13.1,12.8,12.9,5500
7/4/2013,12.3,12.3,12.3,12.3,500
7/7/2013,12.7,13.0,12.5,12.6,7500
7/8/2013,13.0,13.1,13.0,13.0,11000
7/9/2013,13.0,13.4,12.8,13.0,4500
7/10/2013,12.6,12.6,12.5,12.5,1000
7/14/2013,11.6,11.6,11.5,11.5,1000
7/15/2013,11.0,11.2,11.0,11.1,4500
7/17/2013,11.0,11.1,11.0,11.0,3000
7/18/2013,12.1,12.1,12.1,12.1,1000
7/21/2013,13.0,13.0,13.0,13.0,500
7/28/2013,12.0,12.0,12.0,12.0,5000
7/31/2013,12.9,12.9,11.5,11.8,3500
8/1/2013,11.5,11.5,11.0,11.3,3000
8/13/2013,10.9,10.9,10.7,10.8,1000
8/14/2013,10.8,10.8,10.8,10.8,500
8/19/2013,10.8,10.9,10.8,10.8,1500
8/22/2013,11.5,11.5,11.5,11.5,500
8/25/2013,10.7,10.8,10.7,10.7,9500
8/27/2013,10.7,11.0,10.7,10.8,4000
9/1/2013,11.1,11.1,11.0,11.0,10000
9/3/2013,11.1,11.1,11.0,11.0,5000
9/9/2013,11.5,11.5,11.5,11.5,500
9/10/2013,12.5,12.5,12.2,12.4,1500
9/11/2013,12.5,12.6,12.5,12.5,3000
9/12/2013,12.7,12.7,12.6,12.6,4500
9/15/2013,13.6,13.6,13.6,13.6,5500
9/16/2013,13.3,13.3,13.0,13.1,2000
9/17/2013,13.3,14.4,13.3,13.9,32500
9/18/2013,14.0,15.2,14.0,14.8,9500
9/19/2013,14.4,15.0,14.4,14.7,5000
9/23/2013,15.1,15.1,15.0,15.0,1500
9/24/2013,14.1,14.1,14.1,14.1,2000
9/25/2013,13.9,13.9,13.8,13.8,2000
9/30/2013,14.6,14.6,14.0,14.1,3500
10/1/2013,13.4,13.4,13.4,13.4,1000
10/3/2013,13.0,13.1,12.6,12.8,2500
10/6/2013,11.9,11.9,11.9,11.9,500
10/7/2013,12.0,12.0,11.6,11.8,3000
10/8/2013,11.8,12.0,11.5,11.7,1500
10/9/2013,11.8,11.9,11.8,11.8,1000
10/20/2013,12.0,12.0,11.0,11.6,1500
10/23/2013,12.0,12.7,12.0,12.3,1000
10/24/2013,12.1,12.9,12.1,12.5,2000
10/27/2013,12.5,12.6,12.5,12.5,4500
10/28/2013,12.9,12.9,12.9,12.9,1000
10/29/2013,12.9,13.0,12.9,12.9,2000
10/30/2013,13.0,13.0,12.9,12.9,3000
11/5/2013,13.0,13.0,13.0,13.0,2000
11/6/2013,12.0,13.0,12.0,12.5,1000
11/7/2013,12.0,13.6,12.0,12.7,6500
11/10/2013,13.1,13.4,13.0,13.0,5500
11/11/2013,13.5,13.5,12.7,13.1,9000
11/12/2013,13.0,13.3,13.0,13.0,14000
11/13/2013,13.3,13.4,13.3,13.3,3000
11/14/2013,13.5,13.5,13.5,13.5,3500
11/17/2013,13.2,13.4,13.2,13.3,8500
11/18/2013,14.0,14.0,13.7,13.9,30000
11/20/2013,13.9,14.4,13.9,14.0,11500
11/21/2013,14.5,14.5,14.3,14.4,5000
11/24/2013,14.8,14.8,14.4,14.5,3500
11/26/2013,14.2,14.3,14.0,14.0,9500
11/27/2013,14.0,14.0,14.0,14.0,1000
11/28/2013,14.0,14.0,14.0,14.0,1000
12/1/2013,14.0,14.0,14.0,14.0,3500
12/3/2013,14.4,15.4,14.3,15.1,16500
12/4/2013,15.5,15.7,14.8,15.3,6000
12/5/2013,16.5,16.8,16.4,16.7,44000
12/8/2013,17.0,18.3,17.0,18.2,69500
12/9/2013,20.0,20.0,20.0,20.0,12500
12/10/2013,22.0,22.0,22.0,22.0,8500
12/11/2013,24.2,24.2,24.2,24.2,19500
12/12/2013,26.6,26.6,24.1,24.7,73500
12/15/2013,26.0,26.8,25.0,26.2,32000
12/17/2013,26.2,26.2,26.2,26.2,500
12/18/2013,25.1,25.1,25.1,25.1,4000
12/19/2013,27.5,27.5,24.2,24.2,37500
12/22/2013,22.2,22.2,22.0,22.0,12500
12/23/2013,19.8,19.8,19.8,19.8,1000
12/24/2013,17.9,20.0,17.9,18.0,139000
12/26/2013,19.5,19.8,17.6,18.0,61000
12/29/2013,18.2,19.8,18.2,19.7,12000
12/30/2013,20.7,21.6,20.7,21.1,23500
1/1/2014,22.7,23.2,22.4,22.8,9500
1/2/2014,23.3,25.0,23.3,24.6,21000
1/6/2014,26.2,27.0,26.2,26.9,13000
1/7/2014,28.5,29.5,25.0,28.0,68500
1/8/2014,28.0,29.8,26.5,29.0,8000
1/9/2014,28.3,28.3,27.6,28.1,47000
1/12/2014,28.0,28.0,26.0,27.3,24500
1/13/2014,27.9,27.9,24.6,25.2,15500
1/15/2014,25.0,27.7,24.7,26.7,14000
1/16/2014,29.2,29.3,29.0,29.2,20000
1/19/2014,30.0,30.0,28.2,29.4,9500
1/20/2014,29.0,29.0,28.9,28.9,20000
1/21/2014,28.0,29.0,28.0,28.1,6500
1/22/2014,28.0,28.1,27.8,28.0,8000
1/23/2014,28.0,28.0,27.7,27.8,3500
1/26/2014,28.0,28.0,26.9,27.4,4500
1/27/2014,26.8,27.0,26.4,26.8,11500
1/28/2014,27.0,27.0,27.0,27.0,4500
1/29/2014,25.3,25.3,25.2,25.2,4000
1/30/2014,25.1,25.1,23.9,24.8,3000
2/2/2014,24.5,24.8,24.5,24.6,3000
2/3/2014,24.0,24.0,24.0,24.0,1000
2/4/2014,22.9,23.0,22.9,22.9,1000
2/5/2014,23.0,23.0,21.9,22.0,7000
2/6/2014,24.2,24.2,24.2,24.2,15500
2/9/2014,24.0,24.1,24.0,24.0,7000
2/10/2014,23.8,23.8,23.5,23.6,3000
2/11/2014,24.5,25.9,23.5,25.2,28500
2/12/2014,25.0,25.6,25.0,25.4,5000
2/16/2014,25.6,25.6,25.4,25.5,5000
2/17/2014,26.0,27.5,26.0,26.3,2000
2/19/2014,24.7,24.7,24.7,24.7,1000
2/20/2014,24.5,24.6,24.5,24.5,11000
2/23/2014,23.6,23.6,23.6,23.6,500
2/24/2014,25.1,25.1,24.8,24.9,3500
2/25/2014,26.1,26.1,25.1,25.2,11500
2/26/2014,25.2,26.9,25.2,26.5,29500
2/27/2014,26.2,26.2,26.2,26.2,3000
3/2/2014,26.0,27.2,25.7,25.8,41500
3/3/2014,25.5,27.0,25.5,26.6,18500
3/6/2014,26.6,26.6,26.6,26.6,2000
3/9/2014,27.0,27.0,26.5,26.8,3500
3/10/2014,28.8,29.4,27.0,28.9,47000
3/11/2014,27.4,28.7,27.4,28.0,6000
3/12/2014,29.0,30.8,29.0,29.7,27500
3/13/2014,29.1,31.2,29.0,30.6,27000
3/16/2014,31.8,31.8,29.5,29.9,47500
3/18/2014,29.9,30.7,29.7,29.9,17500
3/19/2014,30.0,30.1,29.2,29.7,28000
3/20/2014,31.0,32.6,30.9,32.2,14000
3/23/2014,33.0,35.4,32.7,35.4,145500
3/24/2014,38.9,38.9,33.9,34.2,56000
3/25/2014,31.2,34.2,31.2,33.8,38000
3/27/2014,36.9,36.9,36.5,36.7,11500
3/30/2014,36.7,37.8,36.7,37.4,9000
3/31/2014,37.5,37.7,37.2,37.5,10500
4/1/2014,35.3,36.0,34.1,34.6,5500
4/2/2014,33.5,33.5,33.3,33.3,1500
4/3/2014,33.3,33.3,31.3,31.9,4000
4/6/2014,31.9,31.9,30.6,30.9,11000
4/7/2014,33.8,33.9,33.8,33.8,2500
4/8/2014,33.3,33.3,32.1,33.1,4000
4/9/2014,35.0,35.0,35.0,35.0,500
4/10/2014,34.0,35.9,34.0,35.2,19000
4/13/2014,33.5,35.0,33.0,33.7,5500
4/15/2014,33.3,34.3,32.6,33.9,4500
4/20/2014,33.1,33.1,33.1,33.1,500
4/21/2014,30.2,32.5,30.2,32.0,3000
4/22/2014,32.0,32.0,32.0,32.0,1500
4/23/2014,30.2,31.0,30.2,30.4,1500
4/24/2014,32.0,32.0,30.5,31.3,7500
4/27/2014,31.7,32.6,31.5,32.0,17000
4/28/2014,32.6,32.7,32.2,32.5,16500
4/29/2014,31.5,32.5,31.5,32.1,6000
4/30/2014,32.0,32.0,32.0,32.0,500
5/4/2014,33.7,34.0,32.1,33.3,6500
5/5/2014,31.0,31.0,30.8,30.8,7000
5/6/2014,30.9,31.2,30.9,31.0,9000
5/7/2014,31.0,31.0,31.0,31.0,500
5/8/2014,31.9,32.0,31.4,31.6,7000
5/12/2014,30.0,30.0,28.9,29.4,8000
5/14/2014,29.5,30.3,29.5,29.9,6500
5/18/2014,28.5,28.6,28.5,28.5,2500
5/20/2014,30.9,30.9,28.7,30.1,7500
5/21/2014,31.5,31.5,30.0,30.7,1000
5/25/2014,30.7,30.7,30.7,30.7,0
5/26/2014,30.8,30.9,30.8,30.8,5000
5/27/2014,30.0,30.0,30.0,30.0,3500
5/28/2014,30.0,30.5,30.0,30.3,2000
5/29/2014,30.4,30.4,30.4,30.4,500
6/1/2014,30.0,30.0,30.0,30.0,1500
6/2/2014,30.0,30.2,29.5,29.9,13500
6/3/2014,29.0,29.0,28.6,28.9,6500
6/4/2014,28.1,28.1,27.1,27.6,2500
6/5/2014,27.9,28.5,27.7,27.9,4000
6/8/2014,26.1,26.1,25.5,25.9,2500
6/9/2014,28.0,28.0,28.0,28.0,1000
6/10/2014,30.2,30.2,26.5,28.2,5500
6/11/2014,28.8,28.9,28.8,28.8,3000
6/12/2014,27.9,27.9,27.0,27.3,3000
6/15/2014,28.7,28.7,27.3,28.2,3000
6/17/2014,28.2,28.2,28.0,28.1,1000
6/18/2014,28.3,28.9,28.3,28.6,3500
6/19/2014,28.0,28.2,28.0,28.1,2000
6/22/2014,28.1,28.2,28.1,28.1,2000
6/23/2014,28.1,28.1,28.1,28.1,1000
6/24/2014,28.1,29.0,28.1,28.7,1500
6/25/2014,27.5,27.5,27.5,27.5,1500
6/26/2014,27.6,27.6,27.5,27.5,7000
6/29/2014,27.2,27.2,26.9,26.9,6000
7/2/2014,26.0,27.9,26.0,26.3,24500
7/7/2014,26.1,26.1,26.1,26.1,1500
7/8/2014,25.6,25.6,25.5,25.5,5000
7/10/2014,25.5,25.5,25.3,25.3,4500
7/21/2014,25.0,25.0,25.0,25.0,3000
7/23/2014,25.1,25.1,25.1,25.1,3000
7/24/2014,25.0,25.0,25.0,25.0,6000
8/3/2014,25.0,25.0,25.0,25.0,500
8/4/2014,25.6,25.6,24.5,25.0,6000
8/5/2014,25.0,25.2,24.0,24.6,13000
8/10/2014,24.5,24.5,24.0,24.1,2000
8/11/2014,24.3,26.0,24.2,24.5,9000
8/12/2014,24.5,24.5,24.5,24.5,500
8/14/2014,26.0,26.8,26.0,26.1,4000
8/18/2014,25.9,25.9,25.0,25.2,5500
8/19/2014,25.9,25.9,24.1,24.7,3500
8/20/2014,24.5,24.5,24.4,24.4,1500
8/21/2014,24.2,25.9,24.1,24.9,5000
8/24/2014,24.5,24.5,24.2,24.3,4000
8/26/2014,24.2,24.3,24.0,24.1,7000
8/28/2014,22.9,22.9,22.9,22.9,500
9/1/2014,23.0,23.1,23.0,23.0,7500
9/2/2014,23.0,23.0,23.0,23.0,2000
9/3/2014,24.1,24.1,23.2,23.3,3500
9/4/2014,23.0,23.0,23.0,23.0,1000
9/7/2014,23.8,23.8,22.0,22.9,11500
9/8/2014,22.0,23.5,22.0,22.0,18000
9/9/2014,22.0,22.4,21.0,21.5,32500
9/10/2014,21.6,22.9,21.0,21.6,11000
9/11/2014,22.9,23.7,22.9,23.4,3000
9/14/2014,24.9,24.9,24.9,24.9,1500
9/15/2014,23.6,23.6,23.6,23.6,500
9/16/2014,23.5,23.7,23.5,23.5,2000
9/17/2014,23.7,23.7,23.7,23.7,1500
9/22/2014,23.7,23.7,23.7,23.7,2500
9/23/2014,23.9,23.9,23.5,23.7,3500
9/24/2014,23.3,23.3,23.2,23.2,1000
9/25/2014,21.4,21.8,21.4,21.4,9000
9/28/2014,21.4,21.4,21.4,21.4,0
9/29/2014,21.4,21.4,21.4,21.4,0
9/30/2014,21.4,21.4,21.4,21.4,0
10/1/2014,21.9,21.9,21.5,21.7,3500
10/2/2014,21.1,21.1,21.1,21.1,1000
10/13/2014,21.3,21.3,21.2,21.2,1000
10/14/2014,21.1,22.0,21.1,21.5,3000
10/15/2014,21.0,21.0,20.8,20.9,3000
10/16/2014,20.9,20.9,20.9,20.9,500
10/19/2014,20.9,20.9,20.5,20.7,7500
10/20/2014,21.2,22.2,21.2,21.6,4500
10/21/2014,22.6,23.7,22.6,23.3,7000
10/22/2014,24.1,24.6,24.0,24.2,9000
10/23/2014,22.1,24.3,22.1,23.6,5000
10/26/2014,23.6,23.6,23.3,23.4,2500
10/27/2014,23.6,23.6,23.0,23.2,5500
10/28/2014,23.0,23.0,22.9,22.9,5500
10/29/2014,23.8,24.0,23.0,23.5,31500
10/30/2014,24.1,25.5,23.0,23.4,38000
11/2/2014,23.2,23.2,21.6,22.4,13000
11/3/2014,22.6,22.6,22.6,22.6,500
11/5/2014,22.0,22.5,21.5,21.9,2500
11/6/2014,20.8,20.8,20.1,20.3,8500
11/9/2014,19.9,22.3,19.8,20.7,5000
11/10/2014,22.7,22.7,21.0,22.1,16000
11/12/2014,21.0,21.3,20.0,21.0,5000
11/13/2014,21.0,21.0,20.6,20.8,5000
11/16/2014,20.6,21.0,20.3,20.7,11500
11/17/2014,20.0,20.0,19.4,19.6,7500
11/18/2014,19.4,20.9,19.4,20.0,6500
11/19/2014,20.0,20.4,20.0,20.0,2500
11/20/2014,21.0,21.0,20.1,20.4,17500
11/25/2014,22.3,22.4,22.3,22.3,1000
11/26/2014,20.4,20.4,20.4,20.4,500
11/27/2014,20.6,20.6,20.5,20.5,1500
12/2/2014,20.7,20.9,20.7,20.7,2000
12/4/2014,21.8,21.8,20.6,21.2,1000
12/8/2014,22.0,23.0,21.5,22.5,15000
12/9/2014,23.4,23.4,22.8,23.0,3000
12/10/2014,23.3,23.3,23.0,23.2,1500
12/11/2014,23.7,23.7,23.6,23.6,250
12/14/2014,24.5,24.5,22.8,23.4,4847
12/17/2014,23.0,23.0,23.0,23.0,761
12/18/2014,22.1,23.3,22.0,22.6,1000
12/21/2014,23.0,23.0,22.0,22.0,950
12/22/2014,22.1,22.1,22.0,22.0,1500
12/23/2014,20.8,20.8,20.8,20.8,1
12/28/2014,22.8,22.8,21.2,21.2,1001
12/29/2014,23.0,23.1,22.8,22.9,2800
